excel_row,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29
1,Item,Price,Vendor,Received,Paid,Plan_Timing,Plan_Decision,Inventory_Group,Restore_Replace,Build_State,Reconciled_Status,Reconciled_Note,Procured_Mark,Estimate_Range_PKR,Estimate_Avg_PKR,Estimate_Priority,Estimate_Source,Source_Tab,Source_Row,Inventory_ID,Purchase_Priority,Priority_Order,Priority_Basis,New_vs_Refresh_Decision,Photo_Evidence_Level,Photo_Evidence_Basis,Decision_Confidence,Lead_Time_Risk,Sourcing_Region
2,Toyota Land Cruiser FJ40 Neoprene Top Cover - Model 1960-1984,11500,Autozcare,Y,Y,,,replacement_part,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received.,✓,,,,,Parts,2,INV-0001,Done / On hand,0,status,BUY_NEW,medium,"photo_group=documentation_reference; group_photo_count=5; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
3,Maximus Under Seat Subwoofer Box With Built in Amplifier - Compact Active Bass Woofer for Cars,25100,SehgalMotors.PK,,Cancelled?,revovate existing,,replacement_part,cancelled,cancelled,cancelled,Marked cancelled.,cancelled,,,,,Parts,3,INV-0002,Cancelled,99,status,CANCELLED,medium,"photo_group=documentation_reference; group_photo_count=5; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
4,Universal Android LCD Tab 9 Inches With Wiring - Without Main Grip × 1,14600,]ehgalMotors.PK,,Cancelled?,,,replacement_part,cancelled,cancelled,cancelled,Marked cancelled.,cancelled,,,,,Parts,4,INV-0003,Cancelled,99,status,CANCELLED,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
5,"JBL GT5-S265 6-1/2"" Coaxial Speakers",51000,,,,,,replacement_part,replace_or_procure,planned_or_open,planned_or_open,Open item with no procurement evidence yet.,,,,,,Parts,5,INV-0004,P5 - Later phase,5,default,BUY_NEW,medium,"photo_group=documentation_reference; group_photo_count=5; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
6,MOMO Carbon Fiber Steering Wheel,8444,pakwheels,Y,Y,,,replacement_part,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received.,✓,,,,,Parts,6,INV-0005,Done / On hand,0,status,BUY_NEW,high,"photo_group=chassis_underside; group_photo_count=32; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
7,Steelmate Central Locking System,4680,Autostore.pk,Y,Y,,,replacement_part,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received.,✓,,,,,Parts,7,INV-0006,Done / On hand,0,status,BUY_NEW,medium,"photo_group=documentation_reference; group_photo_count=5; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
8,Sanden-type compressor,re-use,,,,,,existing_component,restore_and_reuse,existing_reuse,reuse_existing,"Marked for re-use, not replacement purchase.",✓,,,,,Parts,8,INV-0007,Done / On hand,0,status,REFRESH_EXISTING,medium,"photo_group=engine_bay; group_photo_count=10; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
9,Engine-specific compressor bracket and belt solution,re-use,,,,,,existing_component,restore_and_reuse,existing_reuse,reuse_existing,"Marked for re-use, not replacement purchase.",✓,15000-50000,40000,High,Fabricator,Parts,9,INV-0008,Done / On hand,0,status,REFRESH_EXISTING,medium,"photo_group=engine_bay; group_photo_count=10; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
10,Required Purchases (Active Plan),,,,,,,section_header,section_header,section,section_header,Planning section for active required buys only.,,,,,,Parts,10,INV-0009,Section,,header,SECTION,n/a,header row,n/a,low,local_pk_or_on_hand
