item_id,item,source,current_state_2026_04_19,vehicle_specific_use,required_stage,action
INV-0148,body_floor,j40_parts_list_clean_final_v7_20260417.csv,in_progress_weld_repair,Primary weld-repair scope on this shell,active_now,Continue repair and close rust-map with photo evidence
INV-0143,body_sections,j40_parts_list_clean_final_v7_20260417.csv,in_progress_refresh,Lower body section tie-in to floor closures,active_now,Keep in sync with floor weld geometry and refit interfaces
INV-0033,Primer,j40_parts_list_clean_final_v7_20260417.csv,planned_or_open_quote_only,Required first coating directly after weld dressing,immediate_post_weld,Place order before final welding day to avoid bare-metal delay
INV-0125,HB BODY 999 SEAM SEALER 300ML CARTR,j40_parts_list_clean_final_v7_20260417.csv,ordered_in_flight,Seal all repaired seams after primer,post_rust_repair,Track delivery and do not rebuy duplicate
INV-0127,HB BODY - U900 CAVITY WAX SPRAY U900 - 400ML,j40_parts_list_clean_final_v7_20260417.csv,planned_or_open_quote_only,Inject into closed seams/cavities after coating cure,post_rust_repair,Confirm quote and order before cavity closure
INV-0130,RAPTOR LINER TINTABLE STANDARD 3.8L KIT,j40_parts_list_clean_final_v7_20260417.csv,procured_or_on_hand,Final protective top layer for repaired floor zones,post_seam_seal_cure,Use on completed sealed dry substrate only
INV-0031,Evapo-Rust 5 Litre Heavy Duty Rust Remover,j40_parts_list_clean_final_v7_20260417.csv,delivered_on_hand,Condition-based rust removal where mechanical removal is insufficient,pre_or_post_weld_by_zone,Use on-hand stock for targeted rust-removal zones; top up only if actual volume runs short
INV-0126,3mm Sound Damping Sheet / Deadening Pad,j40_parts_list_clean_final_v7_20260417.csv,cancelled_outsourced_not_a_purchase,Not part of welding closure and intentionally deferred/cancelled for direct buy,after_body_closure,No procurement action for welding phase
SUB-07,Rust Converter 10L,data/manual/workbook_tabs/substances.csv,row_exists_not_mapped_in_final_list,Potential chemical rust-treatment item from original substances tab,pre_or_post_weld_by_zone,Decide keep/drop and map explicitly in final consolidated list
SUB-09,Epoxy Primer,data/manual/workbook_tabs/substances.csv,row_exists_not_mapped_in_final_list,Core weld-protection chemistry appears as generic primer in final list but not as explicit epoxy-primer line,immediate_post_weld,Normalize naming and keep one explicit epoxy-primer procurement line
GAP-001,Weld-through primer (zinc rich),gap_check_2026_04_19,not_found_in_final_list,Protect lap/flange interfaces before final closure welds,pre_weld_fitup,Add as explicit welding consumable
GAP-002,Sheet steel 1.0-1.2mm for patch fabrication,gap_check_2026_04_19,not_found_in_final_list,Required for WZ-01 and WZ-02 patch sections,pre_weld_fitup,Add with quantity after templating
GAP-003,Shielding gas (for MIG setup),user_update_2026_04_19 + tools_rows_46_47_48,mig_wire_on_hand_gas_on_order,MIG wire already received; gas supply is the remaining welding consumable dependency,pre_weld_fitup,Track gas order to delivery and lock weld day after cylinder/refill is physically available
GAP-004,Cutting and grinding consumables (1mm discs, flap discs, wire cup),tools_rows_6_50_plus_user_update_2026_04_19,partially_covered_flap_and_wire_cup_on_hand_cutting_discs_ordered,Needed to expose clean metal and finish weld seams,pre_weld_fitup,Track delivery of cutting discs and confirm final count by size before cut day
GAP-005,Weld fire-control kit (blanket plus extinguisher assigned to work zone),gap_check_2026_04_19,not_found_in_final_list,Required due to recent fuel-tank area work and underfloor line proximity,pre_weld_safety_gate,Assign kit before arc-on
