System,Item,Spec/Decision Locked,Buy Mode,Priority,Min_PKR,Max_PKR,Mid_PKR,Primary_PK_Link,Backup_PK_Link,Quality Gate,Action Now
EPS,Vitz SCP90 EPS column complete set (motor+torque sensor+reduction housing),Use Vitz EPS column conversion path (confirmed project direction).,USED_TESTED,P2,60000,140000,100000,https://www.pakwheels.com/accessories-spare-parts/search/-/q_vitz+eps+column/,https://www.olx.com.pk/items/q-vitz-parts,Bench test under load; no play/noise; matching splines for shaft plan.,BUY_AFTER_PHYSICAL_TEST
EPS,Vitz EPS ECU/controller (matching column family),Must match column generation; avoid mixed ECU/column pairings.,USED_TESTED,P2,20000,60000,40000,https://www.pakwheels.com/accessories-spare-parts/search/-/q_vitz+eps+computer/,https://www.pakwheels.com/accessories-spare-parts/search/-/q_power+steering+ecu+toyota/,Same donor family as EPS column; test assist behavior before install.,BUY_WITH_COLUMN_AS_SET
EPS,Intermediate shaft + U-joints + couplers,"Use new U-joints/couplers where possible, custom length after mock-up.",NEW_PLUS_FAB,P2,15000,45000,30000,https://www.pakwheels.com/accessories-spare-parts/search/-/q_steering+u+joint+toyota/,https://www.daraz.pk/catalog/?q=steering+u+joint,No binding through full steering sweep; proper phasing and lock-to-lock clearance.,MEASURE_THEN_BUY
EPS,Bracket/support fabrication + column alignment,Fabricate locally using jig alignment; do not compromise column angle.,FABRICATE_LOCAL,P2,15000,40000,27500,https://www.pakwheels.com/accessories-spare-parts/search/-/q_fabrication+shop+lahore/,https://www.olx.com.pk/items/q-automotive-fabrication,Column axis alignment and weld quality inspection before final paint.,FABRICATE_AFTER_TRIAL_FIT
Suspension,"Front leaf spring pack (new custom, quality-first)","Recommended: LEW first (Landhi Engineering), Popular Spring backup.",NEW_CUSTOM,P2,35000,90000,62500,https://spring.com.pk/,https://popularspringind.com/,Build to measured free-arch/load spec; left/right pair matching certificate if possible.,ORDER_AFTER_DIMENSION_SHEET
Suspension,"Rear leaf spring pack (new custom, quality-first)","Recommended: LEW first (Landhi Engineering), Popular Spring backup.",NEW_CUSTOM,P2,35000,90000,62500,https://spring.com.pk/,https://popularspringind.com/,Rear pack built for vehicle load case; check anti-wrap behavior and shackle angle.,ORDER_AFTER_DIMENSION_SHEET
Suspension,"Shock absorbers (quality priority, local serviceable path)",Primary: Agriauto genuine/local OEM-grade path. Backup: local TJM/XGS path. OME de-scoped by user.,NEW_GENUINE,P2,25000,120000,70000,https://www.agriauto.com.pk/distributors-network/,https://4x4stop.pk/index.php/product-category/suspensions-by-vehicle-tjm-xgs/,Invoice + warranty + verified fitment length/mounts; no used/refurb shocks.,QUOTE_LOCAL_NEW_AND_SELECT
Suspension,Spring eye + shackle bushing full set,Replace all bushes as a complete matched set (no mixed old/new).,NEW,P2,10000,30000,20000,https://www.pakwheels.com/accessories-spare-parts/search/-/q_leaf+spring+bush+toyota/,https://www.daraz.pk/catalog/?q=leaf+spring+bush,Correct ID/OD/length; consistent material hardness across full set.,BUY_FULL_SET
Suspension,U-bolt kit + greasable shackles/pins,New high-tensile U-bolts and fresh shackle hardware only.,NEW,P2,25000,70000,47500,https://www.pakwheels.com/accessories-spare-parts/search/-/q_u+bolt+leaf+spring+toyota/,https://www.pakwheels.com/accessories-spare-parts/search/-/q_shackle+bush+toyota/,Correct diameter/thread pitch/length; torque after settle-in run.,BUY_AFTER_AXLE_MEASURE
Engine/Trans,Engine mount set (2H),Inspect first; replace with new if sag/crack or vibration present.,INSPECT_THEN_NEW,P4,15000,50000,32500,https://www.pakwheels.com/accessories-spare-parts/search/-/q_2h+engine+mount+toyota/,https://www.daraz.pk/catalog/?q=toyota+engine+mount+rubber,Match 2H mount geometry; avoid gasoline-pattern mount mismatch.,BUY_IF_FAILED_INSPECTION
Engine/Trans,Gearbox/transfer mounts + shifter top service items,Directly relevant to clunky shift/disengage symptoms.,INSPECT_THEN_NEW,P4,12000,45000,28500,https://www.pakwheels.com/accessories-spare-parts/search/-/q_transmission+mount+toyota+land+cruiser/,https://www.daraz.pk/catalog/?q=gearbox+mount+rubber+toyota,Mounts + shifter bushes/detents condition check during tub-off access.,SERVICE_FIRST_PASS
Engine/Trans,Glow plugs (new only),"New only, engine-code/thread/reach/voltage verified.",NEW_ONLY,P4,12000,36000,24000,https://www.pakwheels.com/accessories-spare-parts/search/-/q_glow+plug+2h+toyota/,https://www.daraz.pk/catalog/?q=toyota+glow+plug,No used/refurb glow plugs. Brand and part-number verification required.,BUY_NEW_ONLY
Engine/Trans,Fuel filter + oil filter + service fluids bundle,Buy as one service bundle from Toyota/common parts market.,NEW,P4,12000,35000,23500,https://www.pakwheels.com/accessories-spare-parts/search/-/q_toyota+diesel+fuel+filter/,https://www.daraz.pk/catalog/?q=toyota+oil+filter+diesel,Filter brand/authenticity check.,BUY_AS_BUNDLE
Engine/Trans,Fuel hose (J30R7) + clamps + return line,Safety-critical hose refresh set.,NEW,P4,12000,35000,23500,https://www.daraz.pk/catalog/?q=SAE+J30R7+fuel+hose,https://www.daraz.pk/catalog/?q=fuel+hose+clamp,"Use fuel-rated hose only, no coolant-hose substitutes.",BUY_NEW
Engine/Trans,Radiator + heater hose refresh set,Replace brittle/aged hoses while access is open.,NEW,P4,15000,40000,27500,https://www.daraz.pk/catalog/?q=radiator+hose+toyota,https://www.daraz.pk/catalog/?q=heater+hose+toyota,Diameter and bend radius match; no kinks at full engine movement.,BUY_AFTER_MEASURE
Rubbers,Body-to-chassis mount rubber kit + shim pack,Replace all main mount rubbers and shim stack to OEM mount points.,NEW,P2,18000,72000,45000,https://www.pakwheels.com/accessories-spare-parts/search/-/q_body+mount+rubber+toyota+land+cruiser/,https://www.daraz.pk/catalog/?q=body+mount+bushing+toyota,Do not final torque until tub is aligned on all points.,BUY_NOW
Rubbers,Firewall/column/wiper/rear grommets,Replace all penetration grommets during final loom sealing.,NEW,P2,1000,7000,4000,https://www.daraz.pk/catalog/?q=rubber+grommet+kit+automotive,https://www.pakwheels.com/accessories-spare-parts/search/-/q_rubber+grommet+kit/,Match each hole OD/ID; add slit grommets only where service needed.,TOPUP_IF_SHORT
Rubbers,Door/weatherstrip + windshield + vent seals,Full rubber refresh for weatherproofing after body finish.,NEW,P5,70000,180000,125000,https://www.pakwheels.com/accessories-spare-parts/search/-/q_door+weatherstrip+toyota/,https://www.pakwheels.com/accessories-spare-parts/search/-/q_windshield+rubber+toyota/,Cross-section/profile check against existing channels before purchase.,BUY_POST_BODYWORK
Rubbers,Exhaust hangers + pedal rubbers + seal O-rings,Small consumable rubber refresh pack.,NEW,P5,8000,25000,16500,https://www.daraz.pk/catalog/?q=exhaust+hanger+rubber,https://industryparts.pk/products/o-ring-assortment-rubber-kit-382-pieces-30-sizes,"Buy by dimension and material, not only by model keyword.",BUY_WITH_FINAL_ASSEMBLY
TOTAL_P2_CORE,,,,,"=SUMIF(E2:E999,""P2"",F2:F999)","=SUMIF(E2:E999,""P2"",G2:G999)","=SUMIF(E2:E999,""P2"",H2:H999)",,,,
TOTAL_FULL_LIST,,,,,=SUM(F2:F999),=SUM(G2:G999),=SUM(H2:H999),,,,
