register_id,station,side,component_or_function,current_condition,evidence_level,evidence_refs,photo_read,decision,coating_gate,next_action,design_release_needed,implementation_owner,status,notes
CBR-001,front_support,left_chassis_radiator_connector,Left radiator chassis-connector context,owner_correction_requires_physical_A0_D_template,historical_measurement_photo_plus_owner_physical_state,20260512_213129_gp_IVnd8hWQ|20260512_213144_gp_2rlycKHA|20260512_213214_gp_xZKluAkg|20260512_100000_user_front_support_radiator_pickups_context|20260512_212929_gp_pnlr6x5w|20260512_212947_gp_AdvWGolg|20260512_213008_gp_1U5vulZw|20260512_213027_gp_9Cy950Kw|20260512_205417_gp_CzJNQsiA|20260512_205434_gp_QnE3tLvQ|20260512_073210_gp_zP427O2A|20260512_073303_gp_hNyAiN1g|20260422_004423_gp_B1N5ThVw|20260422_004429_gp_4emWbTrA|20260422_004436_gp_yjCPMWTg|20260430_215957_gp_2iBbUagw|20260430_220004_gp_C9oYiYmA,"May photos provide historical front-opening and fan/pulley context, but the owner confirms both radiator arms are now loose and unattached. The photos do not release an installed upright height, connector hole map, material thickness or isolator contact.","Create A0-D-L directly from the actual structural connector; use the loose left arm only as an inspectable blank/pattern and purpose-size it to the released connector, radiator plane and fan clearance.",blocks_final_primer_raptor_until_connector_arm_and_holder_release,"Record connector face/axis, section/condition, hole centres and diameters, edge/bearing area, fastener access, drainage and tool sweep; then issue the A0-L/A1-L drawing from the physical template.",no,workshop_to_fabricator,left_connector_template_required,"Owner correction dated 2026-08-15 supersedes the old attached-upright interpretation. No photo-scaled height or blind left-to-right transfer."
CBR-010,front_support,radiator_connector_reference,Historical left-side photo context for paired connector-arm fabrication,historical_context_only_physical_templates_required,historical_measurement_photo_plus_owner_physical_state,20260512_213129_gp_IVnd8hWQ|20260512_213144_gp_2rlycKHA|20260512_213214_gp_xZKluAkg|20260512_100000_user_front_support_radiator_pickups_context,"The May set shows opening and clearance context; it does not prove the current arm attachment state or release a left-to-right copy. Owner confirmation on 2026-08-15 establishes that both arm pieces are loose.","Template A0-D-L and A0-D-R independently at the real connectors; use common section/style only where the two measured interfaces permit a mirror-handed pair.",blocks_final_primer_raptor_until_both_connector_templates_released,"Make rigid left and right connector templates, photograph them with scale, then issue separate arm-end coordinates and a common radiator-plane datum before cutting either loose blank.",no,workshop_to_fabricator,paired_connector_templates_required,"Do not derive final height, holes or cut line from the photo or blindly copy one side. Rev O controls."
CBR-002,front_support,right_radiator_side,Shortened right radiator connector arm,right_arm_loose_connector_template_and_fabrication_release_pending,owner_physical_state_correction,20260512_213129_gp_IVnd8hWQ|20260512_213144_gp_2rlycKHA|20260512_213214_gp_xZKluAkg|20260512_100000_user_front_support_radiator_pickups_context|20260722_000001_user_second_radiator_arm_welded_front_structure,"Owner correction on 2026-08-15 confirms the radiator arms are loose and not attached; the July image/report is historical context and does not release an installed arm.","Measure A0-D-R at the actual structural connector; inspect the loose blank; then bench-shorten/rework or replace it as a purpose-sized A0-R/A1-R assembly ending at the highest required functional interface.",blocks_final_primer_raptor_until_structural_dry_fit_and_proof_release,"Complete connector template, structural drawing, bare-metal fit, total 2 x MR proof, radiator/isolator and guard/fan/bonnet clearance, then restore the released coating stack.",no,workshop,loose_arm_fabrication_release_pending,"Rev O supersedes the old 410 mm/4 mm post and X2 adapter concepts. No photograph-scaled dimension, new chassis hole, forced alignment or unused tall projection."
CBR-003,front_support,lower_crossmember,Lower radiator support or lower pickup holes,support_holes_visible_condition_unknown,direct_context,20260422_004423_gp_B1N5ThVw|20260422_004436_gp_yjCPMWTg|20260512_100000_user_front_support_radiator_pickups_context|20260512_100100_user_battery_side_tray_structure_context|20260512_073210_gp_zP427O2A|20260512_073303_gp_hNyAiN1g|20260512_213008_gp_1U5vulZw|20260512_213214_gp_xZKluAkg,"May 12 images show a front/lower support hole field and the new measurement photos add lower radiator tab and front-opening context; isolator style, hole condition, metal thickness, and lower load path are still not fully measured.","Use or repair lower pickups only after thickness, hole shape, and rubber/isolator fit are checked.",blocks_if_lower_support_requires_welding,"Clean the lower support area, inspect for oval holes or thin metal, then record hole diameter, pitch, edge distance, metal thickness, rubber contact area, and lower bracket template fit.",yes,workshop_to_fabricator,partial_measurement_imported_condition_check_required,Lower support work must not trap rust or block drain/service access.
CBR-004,front_support,radiator_fan_side,"Radiator, fan, belt, hose, and bonnet clearance envelope",clearance_sensitive,direct_photo,20260430_215957_gp_2iBbUagw|20260430_220004_gp_C9oYiYmA|20260317_235150|20260512_100000_user_front_support_radiator_pickups_context|20260512_100100_user_battery_side_tray_structure_context|20260512_073314_gp_GyAXZWBg|20260512_073402_gp_P6yrwLRw|20260512_073547_gp_SNtwIVyA|20260512_213129_gp_IVnd8hWQ|20260512_213144_gp_2rlycKHA|20260512_213214_gp_xZKluAkg,"Fan, belt, hose, radiator, alternator, steering, and exhaust-side packaging are visible enough to set design constraints; the 21:31-21:32 measurement photos add upright/opening/fan-envelope readings, but final dry-fit must confirm no fan, hose, bonnet, steering, or service-clearance conflict.","Treat current radiator plane and fan clearance as a release constraint for any bracket repair; keep the battery stand/carrier clear of steering, alternator, exhaust, and hose movement.",design_constraint_not_a_standalone_weld_gate,"Transcribe the closest fan-to-radiator and support-opening measurements into the template sheet, then re-check after any bracket dry-fit with the radiator and isolators installed.",no,workshop,design_constraint,"Any bracket that pulls the radiator toward the fan, stresses the upper hose, or crowds steering/exhaust/service access fails release."
CBR-005,engine_bay,battery_side_inner_wing,Battery top clamp or crossbar,battery_location_known_clamp_needs_recheck,partial_direct_context,20260317_235229|20260317_235232_gp_3Ojs4Rag|20260512_100100_user_battery_side_tray_structure_context,"Battery location/top restraint is known from earlier overview photos; May 12 battery-side context helps show surrounding structure and clearance, but the installed battery, top clamp path, and bonnet clearance still need a ruler check.",Inspect and upgrade the top restraint only after the tray base support is proven strong enough.,blocks_if_clamp_pickups_or_tray_welds_required,"Measure battery length, width, height, terminal orientation, top clamp path, bonnet clearance, and any existing clamp holes.",yes,workshop_to_fabricator,scouting_required,Clamp must not touch terminals or rely on a weak tray edge.
CBR-006,engine_bay,battery_side_inner_wing,"Battery tray base, tray feet, and support legs",partial_structure_visible_underside_unknown,partial_direct_context,20260317_235229|20260317_235232_gp_3Ojs4Rag|IMG-20260331-WA0004|20260512_100100_user_battery_side_tray_structure_context,"May 12 photo shows battery-side rail/plate context and nearby clearance constraints, so a stand/tray support concept can start; tray underside, feet, cracks, welds, and exact lower pickup points are still not proven.","Build or reinforce a battery stand tied into real structure rather than flat unsupported sheet; candidate load path is tray perimeter plus lower/inner support pickups, separated from the radiator bracket load path.",blocks_final_primer_raptor_if_new_welded_pickups_needed,"Capture top, side, front, rear, and underside tray photos with ruler; include existing legs, cracks, corrosion, drain path, possible lower brace route, and mark candidate lower landing points.",yes,workshop_to_fabricator,concept_scouting_started,This remains the main battery-holder release gap; the new image improves location and clearance read but does not release dimensions.
CBR-007,engine_bay,battery_side_inner_wing,Battery-side MIDI fuse enclosure and master cutoff carrier pickups,new_required_pickup_design_partial_context,hardware_and_partial_vehicle_context,20260317_235232_gp_3Ojs4Rag|20260411_143125|20260411_143135|20260420_221819_gp_YV69fbvA|20260512_100100_user_battery_side_tray_structure_context,"Battery location and MIDI/cutoff hardware are documented; May 12 context shows nearby structure/clearance, but no vehicle-side carrier pickup has been measured or released.","Design a removable carrier that uses tray support or adjacent structure, not the battery tray skin alone.",blocks_final_primer_raptor_if_new_welded_pickups_needed,"Mock up a 210 x 165 x 65 mm MIDI enclosure plus cutoff body near the installed battery; photograph cable lug sweep, cable exits, service access, bonnet clearance, and proposed tray-stand pickup points.",yes,workshop_to_fabricator,design_required_after_mockup,Keep this vehicle-side carrier separate from the current MIDI Rev D hinged enclosure package.
CBR-008,front_support,front_crossmember_and_auxiliary_tabs,"Front support auxiliary holes, tabs, and clip points",available_holes_visible_condition_unknown,direct_context,20260422_004429_gp_4emWbTrA|20260422_004436_gp_yjCPMWTg|20260512_100000_user_front_support_radiator_pickups_context|20260512_100100_user_battery_side_tray_structure_context|20260512_073210_gp_zP427O2A|20260512_073303_gp_hNyAiN1g|20260512_213129_gp_IVnd8hWQ|20260512_213144_gp_2rlycKHA|20260512_213214_gp_xZKluAkg,"Front support and crossmember holes/tabs are visible as context, including the May 12 hole fields and the new upright/opening measurement photos, but each point is not yet assigned to a proven function.","Do not weld generic auxiliary tabs; assign each hole or tab to radiator, line, harness, earth, exhaust, cable support, battery stand, or no-refit before work.",blocks_if_required_tab_is_missing_or_broken,"Photograph each front support hole/tab with a label and assign keep, repair, fabricate, remove non-baseline, or unknown; attach hole-centre and edge-distance measurements where the radiator bracket will land.",no,workshop,audit_required,This row captures the front-support part of Akbar's estimated auxiliary bracket additions.
CBR-009,front_engine_bay,radiator_and_battery_added_structure,Separate radiator connector-arm and battery-stand scopes,radiator_arms_loose_battery_structure_separate_scope,owner_physical_state_correction,20260512_213129_gp_IVnd8hWQ|20260512_213144_gp_2rlycKHA|20260512_213214_gp_xZKluAkg|20260512_100000_user_front_support_radiator_pickups_context|20260512_100100_user_battery_side_tray_structure_context|20260722_000001_user_second_radiator_arm_welded_front_structure,"Owner correction confirms both radiator arms are loose and not attached. Battery structure remains a separate design/inspection scope; radiator and battery load paths must not be combined casually.","Design the radiator A0/A1 pair directly from the real connector templates and continue any battery-stand work only under its own pickup load clearance and corrosion-control release.",blocks_final_primer_raptor_if_radiator_fabrication_or_battery_pickups_remain,"Dry-fit and structurally release the shortened radiator arms plus G0/R0 holders; separately template any battery stand without making it part of the radiator carrier.",yes,workshop_to_fabricator,radiator_arm_fabrication_pending_battery_scope_separate,"Do not combine radiator support and battery mass into one flexible bracket; shared structure is allowed only under a calculation with separated load paths and no fan/steering/exhaust interference."
