group,name,kind,x_mm,y_center_mm,z_mm,length_or_diameter_mm,width_mm,height_mm,confidence,notes
chassis,left_frame_rail,box,360,-390,430,3140,85,120,L0 envelope,straight ladder-frame reference rail
chassis,right_frame_rail,box,360,390,430,3140,85,120,L0 envelope,straight ladder-frame reference rail
chassis,crossmember_1,box,450,0,455,85,880,95,L0 envelope,crossmember station placeholder
chassis,crossmember_2,box,980,0,455,85,880,95,L0 envelope,crossmember station placeholder
chassis,crossmember_3,box,1660,0,455,85,880,95,L0 envelope,crossmember station placeholder
chassis,crossmember_4,box,2420,0,455,85,880,95,L0 envelope,crossmember station placeholder
chassis,crossmember_5,box,3230,0,455,85,880,95,L0 envelope,crossmember station placeholder
chassis,front_bumper,box,20,0,525,165,1620,120,L0 envelope,black front bumper from project photos
chassis,rear_bumper,box,3665,0,530,145,1550,110,L0 envelope,black rear bumper envelope
chassis,front_left_tow_ring,cylinder_x,75,-430,450,115,28,,L1 visible-detail primitive,front bumper tow ring reference
chassis,front_right_tow_ring,cylinder_x,75,430,450,115,28,,L1 visible-detail primitive,front bumper tow ring reference
running_gear,front_axle_tube,box,735,0,395,90,1560,90,L0 envelope,front live axle tube envelope
running_gear,rear_axle_tube,box,3020,0,395,90,1560,90,L0 envelope,rear live axle tube envelope
running_gear,front_left_leaf_spring,box,215,-430,335,1050,65,55,L0 envelope,leaf spring pack envelope
running_gear,front_right_leaf_spring,box,215,430,335,1050,65,55,L0 envelope,leaf spring pack envelope
running_gear,rear_left_leaf_spring,box,2500,-430,335,1050,65,55,L0 envelope,leaf spring pack envelope
running_gear,rear_right_leaf_spring,box,2500,430,335,1050,65,55,L0 envelope,leaf spring pack envelope
running_gear,front_left_tire,wheel_cylinder,735,-705,395,790,250,,L0 envelope,"tire/wheel cylinder, nominal 31 inch class"
running_gear,front_right_tire,wheel_cylinder,735,705,395,790,250,,L0 envelope,"tire/wheel cylinder, nominal 31 inch class"
running_gear,rear_left_tire,wheel_cylinder,3020,-705,395,790,250,,L0 envelope,"tire/wheel cylinder, nominal 31 inch class"
running_gear,rear_right_tire,wheel_cylinder,3020,705,395,790,250,,L0 envelope,"tire/wheel cylinder, nominal 31 inch class"
running_gear,front_left_mud_tire_outer_lug_1,box,1110.0,-705,395.0,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,front_left_mud_tire_outer_lug_2,box,1081.4548246917325,-705,538.5062871369087,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,front_left_mud_tire_outer_lug_3,box,1000.1650429449553,-705,660.1650429449553,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,front_left_mud_tire_outer_lug_4,box,878.5062871369087,-705,741.4548246917325,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,front_left_mud_tire_outer_lug_5,box,735.0,-705,770.0,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,front_left_mud_tire_outer_lug_6,box,591.4937128630913,-705,741.4548246917325,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,front_left_mud_tire_outer_lug_7,box,469.8349570550447,-705,660.1650429449553,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,front_left_mud_tire_outer_lug_8,box,388.54517530826746,-705,538.5062871369087,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,front_left_mud_tire_outer_lug_9,box,360.0,-705,395.00000000000006,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,front_left_mud_tire_outer_lug_10,box,388.5451753082674,-705,251.49371286309136,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,front_left_mud_tire_outer_lug_11,box,469.83495705504464,-705,129.8349570550447,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,front_left_mud_tire_outer_lug_12,box,591.4937128630911,-705,48.545175308267574,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,front_left_mud_tire_outer_lug_13,box,734.9999999999999,-705,20.0,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,front_left_mud_tire_outer_lug_14,box,878.5062871369088,-705,48.54517530826752,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,front_left_mud_tire_outer_lug_15,box,1000.1650429449553,-705,129.83495705504464,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,front_left_mud_tire_outer_lug_16,box,1081.4548246917325,-705,251.4937128630911,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,front_right_mud_tire_outer_lug_1,box,1110.0,705,395.0,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,front_right_mud_tire_outer_lug_2,box,1081.4548246917325,705,538.5062871369087,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,front_right_mud_tire_outer_lug_3,box,1000.1650429449553,705,660.1650429449553,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,front_right_mud_tire_outer_lug_4,box,878.5062871369087,705,741.4548246917325,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,front_right_mud_tire_outer_lug_5,box,735.0,705,770.0,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,front_right_mud_tire_outer_lug_6,box,591.4937128630913,705,741.4548246917325,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,front_right_mud_tire_outer_lug_7,box,469.8349570550447,705,660.1650429449553,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,front_right_mud_tire_outer_lug_8,box,388.54517530826746,705,538.5062871369087,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,front_right_mud_tire_outer_lug_9,box,360.0,705,395.00000000000006,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,front_right_mud_tire_outer_lug_10,box,388.5451753082674,705,251.49371286309136,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,front_right_mud_tire_outer_lug_11,box,469.83495705504464,705,129.8349570550447,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,front_right_mud_tire_outer_lug_12,box,591.4937128630911,705,48.545175308267574,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,front_right_mud_tire_outer_lug_13,box,734.9999999999999,705,20.0,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,front_right_mud_tire_outer_lug_14,box,878.5062871369088,705,48.54517530826752,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,front_right_mud_tire_outer_lug_15,box,1000.1650429449553,705,129.83495705504464,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,front_right_mud_tire_outer_lug_16,box,1081.4548246917325,705,251.4937128630911,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,rear_left_mud_tire_outer_lug_1,box,3395.0,-705,395.0,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,rear_left_mud_tire_outer_lug_2,box,3366.4548246917325,-705,538.5062871369087,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,rear_left_mud_tire_outer_lug_3,box,3285.1650429449555,-705,660.1650429449553,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,rear_left_mud_tire_outer_lug_4,box,3163.5062871369087,-705,741.4548246917325,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,rear_left_mud_tire_outer_lug_5,box,3020.0,-705,770.0,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,rear_left_mud_tire_outer_lug_6,box,2876.4937128630913,-705,741.4548246917325,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,rear_left_mud_tire_outer_lug_7,box,2754.8349570550445,-705,660.1650429449553,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,rear_left_mud_tire_outer_lug_8,box,2673.5451753082675,-705,538.5062871369087,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,rear_left_mud_tire_outer_lug_9,box,2645.0,-705,395.00000000000006,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,rear_left_mud_tire_outer_lug_10,box,2673.5451753082675,-705,251.49371286309136,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,rear_left_mud_tire_outer_lug_11,box,2754.8349570550445,-705,129.8349570550447,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,rear_left_mud_tire_outer_lug_12,box,2876.4937128630913,-705,48.545175308267574,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,rear_left_mud_tire_outer_lug_13,box,3020.0,-705,20.0,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
