feature_id,feature,geometry_type,x_mm,y_mm,width_or_diameter_mm,height_mm,z_mm,basis,confidence,release_status,notes
FACE-ENV,Quotation visible-face plotting envelope,rounded_rectangle,0.0,0.0,1400.0,250.0,0.0,ASSUMED_QUOTATION,low,HOLD_M1,"Plotting envelope only; it is not a vehicle outer profile, formed contour or CNC cut"
OEM-LOWER,Existing full-width lower edge,imported_trace,,,,,,VEHICLE_TRACE_LOCK,visual_only,HOLD_M1,"Must be direct-traced and unchanged; V35 cassette has no downward extension"
OEM-GB,Original glovebox including box and sweep,imported_trace,,,,,,VEHICLE_TRACE_LOCK,visual_only,HOLD_M2,"Do not move, resize, flatten or symmetrise"
OEM-CL,Original speedometer/cluster including rear package,imported_trace,,,,,,VEHICLE_TRACE_LOCK,visual_only,HOLD_M3,"Do not move or resize"
OEM-COL,RHD steering column and scallop including moving envelope,imported_trace,,,,,,VEHICLE_TRACE_LOCK,visual_only,HOLD_M3,"Do not move, resize or obstruct"
FREE-CENTRE,Photo-informed candidate free centre field,rectangle,510.0,5.0,350.0,210.0,0.0,PHOTO_INFORMED_QUOTATION,low,HOLD_M1,"M1 must establish actual field; this is the LCD-centering datum, not the overall-face midpoint"
CASS-ENV,Removable centre cassette visible envelope,rounded_rectangle,510.0,5.0,350.0,210.0,0.0,DERIVED_FROM_FREE_CENTRE,low,HOLD_M1_M4_M6,"Cover/carrier only; not permission for a 350 x 210 vehicle cut; 0 mm extension below existing lower edge"
LCD-MOD,9-inch LCD module,rectangle_center,685.0,75.25,211.10,126.50,5.0,OWNER_SUPPLIED_COMPONENT,medium,HOLD_M4,"Centre follows candidate free centre field; confirm rear body mounts connectors and active-image offset"
LCD-AA,9-inch LCD active image,rectangle_center,685.0,75.25,198.91,111.89,0.0,OWNER_SUPPLIED_COMPONENT,medium,HOLD_M4,"Shown concentric provisionally; actual active-image offset controls final opening"
LCD-CUT,LCD provisional visible opening,rounded_rectangle_center,685.0,75.25,202.0,115.0,0.0,ASSUMED_QUOTATION,low,DO_NOT_CUT,"Derive final opening from actual bezel/touch border and carrier"
LCD-KEEP,LCD minimum local reserve,rectangle_center,685.0,75.25,221.10,136.50,0.0,ASSUMED_QUOTATION,low,HOLD_M4_REAR_BUCK,"Expand for actual heat sink connectors cable bend and removal path"
VENT-P-FACE,Passenger outer vent face,circle_center,112.5,70.0,87.0,,0.0,ASSUMED_LAND_MIDPOINT,low,HOLD_M1_M7_REAR_BUCK,"Midpoint of assumed X=0 fascia end and X=225 glovebox-zone edge; recalculate from M1; target visible face only"
VENT-P-REAR,Passenger vent rear mounting diameter,circle_center,112.5,70.0,75.0,,0.0,OWNER_TARGET_AT_ASSUMED_MIDPOINT,low,DO_NOT_CUT,"Nominal target mounting diameter; actual boss/retention coupon controls production aperture"
VENT-D-FACE,Driver outer vent face,circle_center,1222.5,70.0,87.0,,0.0,ASSUMED_LAND_MIDPOINT,low,HOLD_M1_M7_REAR_BUCK,"Midpoint of assumed X=1045 cluster-zone edge and X=1400 fascia end; recalculate from M1; target visible face only"
