entry_id,phase,workstream,bucket,item,company,transaction_number,order_date,expected_delivery_date,status,procurement_stage,payment_status,delivery_status,amount,currency,product_link,evidence_ref,audit_status,audit_priority,order_search_query,receipt_search_query
part_hvac_barrier_hose_fittings_20260514,05_mechanical_baseline,ac_hvac_retrofit,parts,A/C barrier hose and refrigerant-compatible fittings,Amir runner / Coolsun / local automotive A/C supplier,,2026-05-14,,planned,purchase_ready,not_paid,not_ordered,,PKR,,user_update_2026-05-14_aftermarket_ac_removed_hidden_evaporator_plan|workbook_parts_row_220|RUB-024|HLS-22|user_update_2026-05-29_list_under_amir_mechanical_easy,find_order_or_quote_proof,high,"""Amir runner / Coolsun / local automotive A/C supplier"" ""A/C barrier hose and refrigerant-compatible fittings"" (order OR confirmation OR shipped OR dispatch OR tracking)","""Amir runner / Coolsun / local automotive A/C supplier"" ""A/C barrier hose and refrigerant-compatible fittings"" (receipt OR invoice OR paid OR payment)"
part_hvac_blower_clutch_fan_wiring_20260514,04_electrical_reset,ac_hvac_retrofit,parts,"Relay, fuse, switch, and wiring pack for blower, compressor clutch, and condenser fan request",local electrical / automotive A/C supplier,,2026-05-14,,planned,purchase_ready,not_paid,not_ordered,,PKR,,user_update_2026-05-14_aftermarket_ac_removed_hidden_evaporator_plan|workbook_parts_row_222,find_order_or_quote_proof,high,"""local electrical / automotive A/C supplier"" ""Relay, fuse, switch, and wiring pack for blower, compressor clutch, and condenser fan request"" (order OR confirmation OR shipped OR dispatch OR tracking)","""local electrical / automotive A/C supplier"" ""Relay, fuse, switch, and wiring pack for blower, compressor clutch, and condenser fan request"" (receipt OR invoice OR paid OR payment)"
part_hvac_control_panel_20260514,07_interior_weatherproofing,ac_hvac_retrofit,parts,Compact A/C control panel or integrated controls,Coolsun / local automotive A/C supplier,,2026-05-14,,planned,purchase_ready,not_paid,not_ordered,,PKR,,user_update_2026-05-14_aftermarket_ac_removed_hidden_evaporator_plan|workbook_parts_row_214,find_order_or_quote_proof,high,"""Coolsun / local automotive A/C supplier"" ""Compact A/C control panel or integrated controls"" (order OR confirmation OR shipped OR dispatch OR tracking)","""Coolsun / local automotive A/C supplier"" ""Compact A/C control panel or integrated controls"" (receipt OR invoice OR paid OR payment)"
part_hvac_duct_defrost_hose_kit_20260514,07_interior_weatherproofing,ac_hvac_retrofit,parts,"2.5 inch duct hose, vent adapters, and defrost/demist hose kit",Coolsun / local automotive A/C supplier,,2026-05-14,,planned,purchase_ready,not_paid,not_ordered,,PKR,,user_update_2026-05-14_aftermarket_ac_removed_hidden_evaporator_plan|workbook_parts_row_215|RUB-025,find_order_or_quote_proof,high,"""Coolsun / local automotive A/C supplier"" ""2.5 inch duct hose, vent adapters, and defrost/demist hose kit"" (order OR confirmation OR shipped OR dispatch OR tracking)","""Coolsun / local automotive A/C supplier"" ""2.5 inch duct hose, vent adapters, and defrost/demist hose kit"" (receipt OR invoice OR paid OR payment)"
part_hvac_evaporator_drain_mount_kit_20260514,07_interior_weatherproofing,ac_hvac_retrofit,parts,Evaporator drain hose and mounting/sealing kit,Coolsun / local automotive A/C supplier,,2026-05-14,,planned,purchase_ready,not_paid,not_ordered,,PKR,,user_update_2026-05-14_aftermarket_ac_removed_hidden_evaporator_plan|workbook_parts_row_216|RUB-024,find_order_or_quote_proof,high,"""Coolsun / local automotive A/C supplier"" ""Evaporator drain hose and mounting/sealing kit"" (order OR confirmation OR shipped OR dispatch OR tracking)","""Coolsun / local automotive A/C supplier"" ""Evaporator drain hose and mounting/sealing kit"" (receipt OR invoice OR paid OR payment)"
part_hvac_firewall_bulkhead_fittings_20260514,05_mechanical_baseline,ac_hvac_retrofit,parts,A/C firewall bulkhead fittings and sealing grommets,Amir runner / Coolsun / local automotive A/C supplier,,2026-05-14,,planned,purchase_ready,not_paid,not_ordered,,PKR,,user_update_2026-05-14_aftermarket_ac_removed_hidden_evaporator_plan|workbook_parts_row_221|user_update_2026-05-29_list_under_amir_mechanical_easy,find_order_or_quote_proof,high,"""Amir runner / Coolsun / local automotive A/C supplier"" ""A/C firewall bulkhead fittings and sealing grommets"" (order OR confirmation OR shipped OR dispatch OR tracking)","""Amir runner / Coolsun / local automotive A/C supplier"" ""A/C firewall bulkhead fittings and sealing grommets"" (receipt OR invoice OR paid OR payment)"
part_hvac_hidden_evaporator_blower_unit_20260514,07_interior_weatherproofing,ac_hvac_retrofit,parts,Hidden compact evaporator core/case and outlet plenum for custom blower fitment,AliExpress,3073062248277489,2026-05-30,,ordered,ordered_pending_delivery,paid,pending_delivery,36942,PKR,,user_update_2026-05-14_aftermarket_ac_removed_hidden_evaporator_plan|user_update_2026-05-30_cabin_ac_missing|workbook_parts_row_212|docs/hvac-evaporator-blower-sourcing-20260514.md|docs/amir-montgomery-road-shopping-list-20260527.md|gmail_msg_19e78b8a26f000c1|bank_alert_19e78b8dbe36d812|aliexpress_order_3073062248277489|gmail_msg_19e8cd7d9efb4afa|aliexpress_shipped_3073062248277489,track_order_delivery,high,"""3073062248277489"" ""AliExpress"" ""Hidden compact evaporator core/case and outlet plenum for custom blower fitment"" (order OR confirmation OR shipped OR dispatch OR tracking)","""3073062248277489"" ""AliExpress"" ""Hidden compact evaporator core/case and outlet plenum for custom blower fitment"" (receipt OR invoice OR paid OR payment)"
part_hvac_parallel_flow_condenser_20260514,05_mechanical_baseline,ac_hvac_retrofit,parts,Parallel-flow A/C condenser sized to core support,Amir runner / Coolsun / local automotive A/C supplier,,2026-05-14,,planned,purchase_ready,not_paid,not_ordered,,PKR,,user_update_2026-05-14_aftermarket_ac_removed_hidden_evaporator_plan|workbook_parts_row_217|user_update_2026-05-29_list_under_amir_mechanical_easy,find_order_or_quote_proof,high,"""Amir runner / Coolsun / local automotive A/C supplier"" ""Parallel-flow A/C condenser sized to core support"" (order OR confirmation OR shipped OR dispatch OR tracking)","""Amir runner / Coolsun / local automotive A/C supplier"" ""Parallel-flow A/C condenser sized to core support"" (receipt OR invoice OR paid OR payment)"
part_hvac_r134a_oil_oring_charge_kit_20260514,05_mechanical_baseline,ac_hvac_retrofit,parts,"HNBR O-rings, refrigerant oil, vacuum/leak test, and R134a charge setup",Amir runner / Coolsun / local automotive A/C supplier,,2026-05-14,,planned,purchase_ready,not_paid,not_ordered,,PKR,,user_update_2026-05-14_aftermarket_ac_removed_hidden_evaporator_plan|workbook_parts_row_224|RUB-024|user_update_2026-05-29_list_under_amir_mechanical_easy,find_order_or_quote_proof,high,"""Amir runner / Coolsun / local automotive A/C supplier"" ""HNBR O-rings, refrigerant oil, vacuum/leak test, and R134a charge setup"" (order OR confirmation OR shipped OR dispatch OR tracking)","""Amir runner / Coolsun / local automotive A/C supplier"" ""HNBR O-rings, refrigerant oil, vacuum/leak test, and R134a charge setup"" (receipt OR invoice OR paid OR payment)"
part_hvac_receiver_drier_20260514,05_mechanical_baseline,ac_hvac_retrofit,parts,Receiver-drier matched to R134a A/C layout,Amir runner / Coolsun / local automotive A/C supplier,,2026-05-14,,planned,purchase_ready,not_paid,not_ordered,,PKR,,user_update_2026-05-14_aftermarket_ac_removed_hidden_evaporator_plan|workbook_parts_row_218|user_update_2026-05-29_list_under_amir_mechanical_easy,find_order_or_quote_proof,high,"""Amir runner / Coolsun / local automotive A/C supplier"" ""Receiver-drier matched to R134a A/C layout"" (order OR confirmation OR shipped OR dispatch OR tracking)","""Amir runner / Coolsun / local automotive A/C supplier"" ""Receiver-drier matched to R134a A/C layout"" (receipt OR invoice OR paid OR payment)"
part_hvac_return_air_grille_filter_20260514,07_interior_weatherproofing,ac_hvac_retrofit,parts,Hidden return-air grille and washable filter for evaporator intake,Coolsun / local automotive A/C supplier,,2026-05-14,,planned,purchase_ready,not_paid,not_ordered,,PKR,,user_update_2026-05-14_aftermarket_ac_removed_hidden_evaporator_plan,find_order_or_quote_proof,high,"""Coolsun / local automotive A/C supplier"" ""Hidden return-air grille and washable filter for evaporator intake"" (order OR confirmation OR shipped OR dispatch OR tracking)","""Coolsun / local automotive A/C supplier"" ""Hidden return-air grille and washable filter for evaporator intake"" (receipt OR invoice OR paid OR payment)"
