Row,Item,Plan_Decision,Purchase_Priority,Priority_Order,Priority_Basis,Estimate_Range_PKR,Estimate_Avg_PKR,Estimate_Source,Reconciled_Note
11,"Body mount bolts, washers, sleeves, captive-nut repairs",grade_spec_then_buy,P2 - Buy before refit,2,P2-A immediate low-risk local procurement (2026-04-15),12000-35000,22000,Bilal Ganj + industrial fastener shops (class-marked grade 8.8),"Active required purchase item from Procurement_Pass2. | Tub refit locked to original OEM mount locations; no custom offset mounting. | P2 active batch confirmed 2026-04-15 | Reconciled 2026-04-15: prioritize as low-risk, locally available buy-first item. | Price basis 2026-04-15: structural body mount hardware bundle with sleeves + captive-nut repair material."
12,Body-to-chassis mount rubber kit,measure_then_buy_with_trial_fit,P2 - Buy before refit,2,P2-A immediate low-risk local procurement (2026-04-15),15000-60000,30000,Bilal Ganj rubber market (FJ/LC pattern) + import fallback,"Active required purchase item from Procurement_Pass2. | Tub refit locked to original OEM mount locations; no custom offset mounting. | P2 active batch confirmed 2026-04-15 | Reconciled 2026-04-15: prioritize as low-risk, locally available buy-first item. | Price basis 2026-04-15: body mount rubber set, local pattern if correct hardness and sleeve fit verified."
13,Body mount shims/spacers alignment pack,prepare_before_trial_fit,P2 - Buy before refit,2,P2-A immediate low-risk local procurement (2026-04-15),3000-12000,7000,Local fabricator/washer stock + Bilal Ganj,"Active required purchase item from Procurement_Pass2. | Tub refit locked to original OEM mount locations; no custom offset mounting. | P2 active batch confirmed 2026-04-15 | Reconciled 2026-04-15: prioritize as low-risk, locally available buy-first item. | Price basis 2026-04-15: alignment shim pack assorted thicknesses for tub leveling."
41,Ignition lock security fix (new barrel + matched keys OR full locksmith re-key),mandatory_security_fix_before_refit,P2 - Buy before refit,3,P2-B security/control completion after parts audit (2026-04-15),4000-25000,12000,Bilal Ganj locksmith + lock vendors; import lock set fallback,"Current key security reported weak; complete matched-key security fix before final refit. | P2 active batch confirmed 2026-04-15 | Reconciled 2026-04-15: prioritize as low-risk, locally available buy-first item. | Price basis 2026-04-15: locksmith re-key/local lock solution preferred; exact FJ40 imported set costs higher."
186,Internal compact covered blade fuse box (OEM-style) x3,buy_3_compact_covered_oem_style_fuse_boxes_bilal_ganj_first,P2 - Buy before refit,3,P2-B electrical completion (Bilal Ganj first for compact OEM-style fuse boxes) (2026-04-15),11100-21000,15000,"Bilal Ganj local first (compact covered OEM-style), online fallback","Reconciled 2026-04-15: electrical power bay relay/fuse architecture already built; only remaining electrical procurement is 3 internal cabin fuse boxes. Preference locked: compact covered OEM-style (stable/smaller/secure), avoid large open-style universal blocks. Primary local option: Daraz 6-way covered ATO/ATC box (in-stock listing seen 2026-04-15) https://www.daraz.pk/products/6-ways-12-24v-automotive-circuit-blade-fuse-box-for-car-truck-vehicle-i486699111.html . Backup imports: Ubuy Electop 6-way covered https://www.ubuy.com.pk/en/product/36PF6CC-electop-6-way-fuse-block-blade-fuse-box-with-negative-bus-6-circuit-fuse-holder-fuse-block-w-negativ ; Blue Sea 5025/5026 class options (higher cost) via Ubuy/Starshop lookup. | Decision 2026-04-15: Bilal Ganj is primary sourcing path for these fuse boxes due to immediate fit-check and same-day availability; online only if exact covered format not found."
215,Full set of new nuts and bolts,buy_full_fastener_kit_local_grade_spec,P2 - Buy before refit,2,P2-A immediate low-risk local procurement (2026-04-15),45000-105000,72000,Roll-up of Kits A-D fastener scope (rows 244-247),"Master fastener scope = Kits A+B+C+D combined for structural/body/electrical refit. Local grade-spec procurement first; avoid waiting on China for standard fasteners. | P2 active batch confirmed 2026-04-15 | Reconciled 2026-04-15: prioritize as low-risk, locally available buy-first item."
216,Captive nuts / clip nuts,buy_captive_nuts_clipnuts_local,P2 - Buy before refit,2,P2-A immediate low-risk local procurement (2026-04-15),3000-12000,10000,Fastener supplier,"Migrated from Parts_Estimates; needs buy/restore decision before ordering. | Critical for restoring original tub mount points and panel attachment integrity. | P2 active batch confirmed 2026-04-15 | Reconciled 2026-04-15: prioritize as low-risk, locally available buy-first item."
217,Spring / serrated / star washers,buy_star_serrated_washers_local_full_set,P2 - Buy before refit,2,P2-A immediate low-risk local procurement (2026-04-15),3000-12000,10000,Fastener supplier,"Migrated from Parts_Estimates; needs buy/restore decision before ordering. | Use star/serrated washers on grounds and high-vibration mounts. | P2 active batch confirmed 2026-04-15 | Reconciled 2026-04-15: prioritize as low-risk, locally available buy-first item."
218,Body shims / spacers,prepare_before_trial_fit,P2 - Buy before refit,2,P2-A immediate low-risk local procurement (2026-04-15),3000-12000,10000,Fastener supplier / fabricator,"Migrated from Parts_Estimates; needs buy/restore decision before ordering. | Required for original tub seating and alignment at OEM mount positions. | P2 active batch confirmed 2026-04-15 | Reconciled 2026-04-15: prioritize as low-risk, locally available buy-first item."
229,Electrical power steering,buy_complete_eps_column_kit_bilal_ganj_with_inclusion_checklist,P2 - Buy before refit,5,P2-D EPS kit procurement with mandatory inclusion checklist (2026-04-15),54000-136000,90000,Bilal Ganj EPS kit quotes + project baseline comparison (2026-04-15),"Legacy planned item retained; EPS path remains in scope. | P2 active batch confirmed 2026-04-15 | EPS kit must include at minimum: column-assist EPS unit (motor + torque sensor + reduction gear), EPS controller/ECU or integrated control module, matching connectors with pigtails >=150mm, upper+lower intermediate shaft sections with U-joints, steering coupler/spline adapters for FJ40-side fitment, column mount/clamp bracket set + firewall support bracket, heavy feed cable path for 60A fused supply + ignition trigger lead, fail-safe manual steering capability if assist disabled. Bench-test before payment; reject noisy/jerky units or excessive lash."
