item,quantity,likely source if from another car,needs to be mechanic checked,expected price
Full fastener scope (Kits A-D: M6/M8/M10/M12 bolts nuts washers captive nuts rivnuts star washers),1 complete set,Not from donor car (new fastener market),Yes,PKR 45000-105000
Body mount rubber insulator set with sleeves/cup washers,1 full vehicle set,Not from donor car (new OEM-style replacement),Yes,PKR 15000-60000
Shim/spacer alignment pack (M10/M12 thickness mix),1 assorted pack,Not from donor car (new hardware),Yes,PKR 3000-12000
Compact covered ATO/ATC fuse box (6-way),3 identical units,Toyota donor fuse boxes (Bilal Ganj) or new aftermarket,Yes,PKR 11100-21000
Ignition barrel/lock set with matched keys,1 set,Toyota donor lock set plus locksmith or new replacement,Yes,PKR 4000-25000
EPS complete kit (column + ECU + shafts + U-joints + couplers + brackets + connectors),1 complete kit,Toyota Vitz/Yaris 2005-2011 SCP90/NCP90 EPS setup (Bilal Ganj),Yes,PKR 54000-136000
Heat plugs (glow plugs) diesel set (NEW only after engine-code match),1 full engine set,Not from donor car (buy new only),Yes,PKR 12000-36000
Electrical tape (automotive PVC 19mm x 18-20m),10 rolls,Not from donor car (new electrical market),No,PKR 1500-4500
Cloth harness loom tape (Tesa-style),5 rolls,Not from donor car (new electrical market),No,PKR 2500-9000
Firewall rubber grommet assortment,1 set,Not from donor car (new electrical market),Yes,PKR 2000-7000
Heavy cable lugs + adhesive heat-shrink set for 25/16/10/6 mm² cables,1 mixed set,Not from donor car (new electrical market),Yes,PKR 4000-15000
