feature_id,feature,geometry_type,x_mm,y_mm,width_or_diameter_mm,height_mm,z_or_depth_mm,class,cut_status,notes
FACE-ENV,Nominal complete fascia face,rounded_rectangle,0.0,0.0,1400.0,250.0,100.0,ASSUMED,quote_only,"Public vendor envelope; replace complete profile and depth with M1 trace"
FACE-MID,Nominal complete-face midpoint,point,700.0,125.0,,,,ASSUMED,quote_only,"Recalculate from signed complete-face trace"
LCD-AA,9-inch LCD active image,rectangle_center,700.0,125.0,198.91,111.89,0.0,SUPPLIED,confirm_actual,"Active-image centre must equal final complete-face midpoint"
LCD-MOD,9-inch LCD module,rectangle_center,700.0,125.0,211.10,126.50,5.0,SUPPLIED,confirm_actual,"Confirm actual module corner radii and active-image offsets"
LCD-CUT,LCD provisional visible opening,rounded_rectangle_center,700.0,125.0,202.0,115.0,3.0,ASSUMED,do_not_cut_production,"Derive from bought-screen bezel and touch border"
LCD-KEEP,LCD minimum local reserve,rectangle_center,700.0,125.0,221.10,136.50,,ASSUMED,quote_only,"Expand for actual carrier connectors and cable bends"
VENT-L-FACE,Passenger circular outlet visible face,circle_center,135.0,70.0,87.0,,22.0,ASSUMED,confirm_actual,"High/inboard V32 position; glovebox and rear package control final centre"
VENT-R-FACE,Driver circular outlet visible face,circle_center,1265.0,70.0,87.0,,22.0,ASSUMED,confirm_actual,"High/inboard V32 position; switches and rear package control final centre"
VENT-L-CUT,Passenger outlet candidate coupon aperture,circle_center,135.0,70.0,75.50,,,COUPON,coupon_only,"Use only if measured slip-through boss is no greater than 75.00"
VENT-R-CUT,Driver outlet candidate coupon aperture,circle_center,1265.0,70.0,75.50,,,COUPON,coupon_only,"Use only if measured slip-through boss is no greater than 75.00"
SW-T1,WIPERS 3-position selector,circle_center,1060.0,137.5,22.5,,68.0,ASSUMED,confirm_actual,"Top row 1; provisional visible head OD 30"
SW-T2,LIGHTS 3-position selector,circle_center,1110.0,137.5,22.5,,68.0,ASSUMED,confirm_actual,"Top row 2; provisional visible head OD 30"
SW-T3,SPOTS 2-position selector,circle_center,1160.0,137.5,22.5,,68.0,ASSUMED,confirm_actual,"Top row 3; provisional visible head OD 30"
SW-T4,AUX 2-position selector,circle_center,1210.0,137.5,22.5,,68.0,ASSUMED,confirm_actual,"Top row 4; provisional visible head OD 30"
SW-B1,BLOWER 3-position selector,circle_center,1060.0,190.0,22.5,,68.0,ASSUMED,confirm_actual,"Bottom row 1; OFF LOW HIGH"
SW-B2,A-C 2-position selector,circle_center,1110.0,190.0,22.5,,68.0,ASSUMED,confirm_actual,"Bottom row 2; low-current request"
SW-B3,FUEL STOP 2-position selector,circle_center,1160.0,190.0,22.5,,68.0,ASSUMED,confirm_actual,"Bottom row 3; RUN STOP request; retain manual fallback"
SW-B4,Separate red hazard control,circle_center,1210.0,190.0,22.5,,68.0,ASSUMED,confirm_actual,"Bottom row 4; not an eighth black selector"
OEM-GB,Original asymmetric glovebox,imported_profile,,,,,,TRACE-LOCK,hold_for_M2,"Copy lid aperture mounts and sweep without moving or resizing"
OEM-CL,Original Toyota speedometer cluster,imported_profile,,,,,,TRACE-LOCK,hold_for_M3,"Copy complete aperture and mounts at original position"
OEM-COL,Factory RHD steering column and scallop,imported_profile,,,,,,TRACE-LOCK,hold_for_M3,"Shaft axis and moving envelope are immutable"
ASH-DEL,Original ashtray deletion,imported_profile,,,,,,TRACE-LOCK,hold_for_M2,"Close recorded aperture flush with no new seam lid or handle"
