shot_id,pipe_id,order_lines,exact_name,vehicle_placement,shot_required,measurement_targets_mm,photo_status,media_ids,placement_notes,release_use
RPI-COOL-001-A,RP-COOL-001,RPO-COOL-001,Upper radiator hose - thermostat housing end,Front top engine bay at thermostat housing,Close photo square to neck with old hose/clamp visible,thermostat_neck_od|hose_od_for_clamp|clamp_band_width,image_standard_basis_closed,20260503_153249_gp_Lg6JX6Gg|20260503_155314_gp_et0BrVkQ|20260503_160327_gp_sFtQuWNQ,"Engine-side coolant neck context imported; standard HJ47/2H molded hose basis released, final clamp fit checked on receipt.",Releases molded upper radiator hose neck basis
RPI-COOL-001-B,RP-COOL-001,RPO-COOL-001,Upper radiator hose - radiator upper neck end,Front top engine bay at radiator upper inlet,Close photo square to radiator neck with clamp land visible,radiator_upper_neck_od|hose_od_for_clamp|clamp_band_width,image_standard_basis_closed,20260503_155956_gp_P4xfMJzw|20260503_160010_gp_9F5ZH8kQ,"Radiator top/neck context imported; standard HJ47/2H molded hose basis released, final clamp fit checked on receipt.",Releases molded upper radiator hose radiator-side basis
RPI-COOL-001-C,RP-COOL-001,RPO-COOL-001,Upper radiator hose - full route,Front top route between thermostat housing and radiator,Wide photo showing complete molded route and fan/belt/radiator support clearance,old_hose_free_length|route_clearance_to_fan_belt_support,image_standard_basis_closed,20260430_220004_gp_C9oYiYmA|20260503_155928_gp_ZQtxQutA|20260503_160010_gp_9F5ZH8kQ|20260503_160327_gp_sFtQuWNQ,"Fan, belt, and radiator support context imported; order standard molded hose and dry-fit before coolant fill.",Releases molded upper radiator hose shopping basis
RPI-COOL-002-A,RP-COOL-002,RPO-COOL-002,Lower radiator hose - radiator outlet end,Front lower engine bay at radiator lower outlet,Close photo of lower radiator outlet neck and clamp land,radiator_lower_outlet_od|hose_od_for_clamp|clamp_band_width,image_standard_basis_closed,20260503_155956_gp_P4xfMJzw|20260503_160010_gp_9F5ZH8kQ,Radiator lower/side outlet context imported; standard HJ47/2H molded lower hose basis released.,Releases molded lower radiator hose radiator-side basis
RPI-COOL-002-B,RP-COOL-002,RPO-COOL-002,Lower radiator hose - engine inlet end,Front lower engine bay at water pump or engine inlet,Close photo of engine inlet neck and hose/clamp relationship,engine_inlet_od|hose_od_for_clamp|clamp_band_width,image_standard_basis_closed,20260503_153249_gp_Lg6JX6Gg|20260503_160327_gp_sFtQuWNQ,Engine inlet/front cooling context imported; standard HJ47/2H molded lower hose basis released.,Releases molded lower radiator hose engine-side basis
RPI-COOL-002-C,RP-COOL-002,RPO-COOL-002,Lower radiator hose - full route,Front lower route between radiator and engine inlet,Wide photo showing full lower bend and clearance to belt/fan/crossmember,old_hose_free_length|lower_bend_clearance,image_standard_basis_closed,20260430_215957_gp_2iBbUagw|20260503_155928_gp_ZQtxQutA|20260503_160010_gp_9F5ZH8kQ|20260503_160327_gp_sFtQuWNQ,"Fan, belt, and radiator support context imported; order standard molded hose and dry-fit before coolant fill.",Releases molded lower radiator hose shopping basis
RPI-COOL-003-A,RP-COOL-003,RPO-COOL-003,Radiator overflow hose - radiator nipple,Radiator neck overflow nipple,Close photo of overflow nipple with ruler or caliper,nipple_od|clamp_or_clip_size,image_standard_basis_closed,20260503_155956_gp_P4xfMJzw,Radiator overflow nipple captured; 1000 mm small EPDM overflow hose stock released for cut-to-route install.,Releases overflow hose stock order
RPI-COOL-003-B,RP-COOL-003,RPO-COOL-003,Radiator overflow hose - bottle route,Overflow bottle and hose route,Photo from radiator nipple to reserve bottle plus close bottle nipple,bottle_nipple_od|finished_route_length|hose_od_for_clip,image_standard_basis_closed,20260503_153639_gp_ZueGlpJw|20260503_153647_gp_L54euoMQ|20260503_155956_gp_P4xfMJzw,Overflow bottle and radiator-to-bottle context imported; 1000 mm small EPDM overflow hose stock released.,Releases overflow cut length basis
RPI-COOL-004-A,RP-COOL-004,RPO-COOL-004A|RPO-COOL-004B,Front heater hoses - firewall/heater core ends,Firewall heater core nipple area,Close photo of heater core inlet/outlet nipples and clamps,heater_core_nipple_od|hose_od_for_clamps|inlet_outlet_identification,image_standard_basis_closed,20260503_153200_gp_YXNuQgGQ|20260503_155132_gp_r4UGNnsQ,Firewall heater hose area context imported; 16 mm / 5/8 in heater hose stock released.,Releases heater hose ID basis at firewall
RPI-COOL-004-B,RP-COOL-004,RPO-COOL-004A|RPO-COOL-004B,Front heater hoses - engine nipple ends,Engine heater nipple area,Close photo of engine-side heater nipples and hose/clamp relationship,engine_heater_nipple_od|hose_od_for_clamps,image_standard_basis_closed,20260503_155314_gp_et0BrVkQ|20260503_155825_gp_Gvgy4PXA|20260503_160207_gp_43b3TblQ,Engine-side heater/cooling hose area context imported; 16 mm / 5/8 in heater hose stock released.,Releases heater hose ID basis at engine
RPI-COOL-004-C,RP-COOL-004,RPO-COOL-004A|RPO-COOL-004B,Front heater hoses - route and lengths,Engine bay firewall heater hose routing,Wide route photo with tape along inlet and outlet paths,inlet_route_length|outlet_route_length|exhaust_clearance,image_standard_basis_closed,20260503_155747_gp_s91OxyAA|20260503_155825_gp_Gvgy4PXA|20260503_160207_gp_43b3TblQ,Tape/context photos imported; 1000 mm heater stock released to cut 400 mm inlet and 280 mm outlet on vehicle.,Releases 400 mm and 280 mm cut-length basis
RPI-COOL-005-A,RP-COOL-005,RPO-COOL-005,Formed metal coolant pipe - full flat-lay sample,Loose formed coolant pipe sample on flat surface,Flat-lay full pipe with tape along centerline and both ends visible,centerline_length|visible_envelope_height|offset|tube_od,image_tape_template_closed,20260502_004044_gp_Hx4Yo0Qg|20260502_004106_gp_wlYlUahA|20260502_004120_gp_7Jw9Zyrg|20260502_004133_gp_ZEpqmARA|20260502_004139_gp_jt1dGw4A|20260502_004145_gp_e8soxsyA,May 2 tape-reference photos plus physical sample accepted for quote/template; 750 mm minimum blank released.,Releases fabrication template quote geometry
RPI-COOL-005-B,RP-COOL-005,RPO-COOL-005,Formed metal coolant pipe - beaded ends and clamp lands,Loose formed coolant pipe both hose ends,Close photos of both ends showing bead/flare and clamp lands,tube_od|hose_id|bead_height|clamp_land_length|hose_overlap,image_tape_template_closed,20260502_004044_gp_Hx4Yo0Qg|20260502_004106_gp_wlYlUahA|20260502_004120_gp_7Jw9Zyrg|20260502_004133_gp_ZEpqmARA|20260502_004139_gp_jt1dGw4A|20260502_004145_gp_e8soxsyA,May 2 sample photos accepted for quote/template; fabricator still copies bead and clamp lands from physical sample.,Releases bead and hose retention quote spec
RPI-COOL-005-C,RP-COOL-005,RPO-COOL-005,Formed metal coolant pipe - installed clearance,Front engine cooling route dry-fit position,Installed or held-in-place photo showing fan/belt/radiator/body clearance,clearance_to_fan|clearance_to_belts|clearance_to_radiator|clearance_to_body,clearance_context_imported_pipe_dryfit_pending,20260503_155928_gp_ZQtxQutA|20260503_160010_gp_9F5ZH8kQ|20260503_160327_gp_sFtQuWNQ,Front fan belt radiator clearance captured; formed pipe still needs final vehicle dry-fit before coating.,Releases dry-fit and pressure-test gate
RPI-COOL-006-A,RP-COOL-006,RPO-COOL-006A,Formed coolant pipe connector hose - end A,Loose formed coolant pipe connector hose at end A,Close photo square to connector A with pipe end bead clamp land mating hose end and tape/caliper visible,pipe_end_a_od|mating_spigot_od|connector_a_free_length|hose_id|hose_od_for_clamp|hose_overlap|clamp_band_width,image_tape_template_closed,20260502_004044_gp_Hx4Yo0Qg|20260502_004106_gp_wlYlUahA|20260502_004120_gp_7Jw9Zyrg|20260502_004133_gp_ZEpqmARA|20260502_004139_gp_jt1dGw4A|20260502_004145_gp_e8soxsyA,May 2 sample/tape photos accepted; buy 500 mm EPDM connector blank on 28-30 mm ID exact order basis and cut by sample/dry-fit.,Releases RPO-COOL-006A connector hose order
RPI-COOL-006-B,RP-COOL-006,RPO-COOL-006B,Formed coolant pipe connector hose - end B,Loose formed coolant pipe connector hose at end B,Close photo square to connector B with pipe end bead clamp land mating hose end and tape/caliper visible,pipe_end_b_od|mating_spigot_od|connector_b_free_length|hose_id|hose_od_for_clamp|hose_overlap|clamp_band_width,image_tape_template_closed,20260502_004044_gp_Hx4Yo0Qg|20260502_004106_gp_wlYlUahA|20260502_004120_gp_7Jw9Zyrg|20260502_004133_gp_ZEpqmARA|20260502_004139_gp_jt1dGw4A|20260502_004145_gp_e8soxsyA,May 2 sample/tape photos accepted; buy 500 mm EPDM connector blank on 28-30 mm ID exact order basis and cut by sample/dry-fit.,Releases RPO-COOL-006B connector hose order
RPI-COOL-006-C,RP-COOL-006,RPO-COOL-006A|RPO-COOL-006B,Formed coolant pipe connector hoses - installed kink clearance,Front engine cooling route dry-fit position,Installed or held-in-place route photo showing both connector hoses and bends,connector_a_bend_clearance|connector_b_bend_clearance|kink_check|fan_belt_radiator_clearance,clearance_context_imported_connector_dryfit_pending,20260503_155747_gp_s91OxyAA|20260503_155825_gp_Gvgy4PXA|20260503_155928_gp_ZQtxQutA|20260503_160207_gp_43b3TblQ|20260503_160327_gp_sFtQuWNQ,Front fan belt radiator clearance captured; connector hoses still need final dry-fit kink check with pipe installed.,Releases straight-hose or molded-connector decision
RPI-FUEL-001-A,RP-FUEL-001,RPO-FUEL-001A,Diesel feed hose - tank/chassis to engine feed,Tank/chassis feed route to engine fuel filter and injection pump feed,"Close photos of tank/line end, filter barb, pump feed barb, and hose route",tank_or_line_end_od|filter_barb_od|pump_feed_barb_od|feed_route_length|hose_od_for_clamps,image_standard_basis_closed,20260503_152937_gp_HdsO0xMA|20260503_153042_gp_ZL9JEazw|20260503_160427_gp_HSrKmfzw|20260504_090640_user_long_diesel_feed_measurement,User measured long feed route at about 1200 mm; 8 mm ID x 1500 mm diesel hose stock released for trim allowance. The May 4 red-hose/tape image is supplemental length evidence only.,Releases 8 mm feed hose order
RPI-FUEL-001-B,RP-FUEL-001,RPO-FUEL-001B,Diesel return and bleed hose,Injection pump return/bleed and filter return area,Close photos of return barbs and route back to return line,pump_return_barb_od|return_route_length|hose_od_for_clamps,image_standard_basis_closed,20260503_152937_gp_HdsO0xMA|20260503_160207_gp_43b3TblQ|20260503_160427_gp_HSrKmfzw,Injection pump return/bleed area captured; 6 mm ID x 2000 mm diesel hose stock released.,Releases 6 mm return hose order
RPI-FUEL-001-C,RP-FUEL-001,RPO-FUEL-001C,Injector leak-off hose and sample markings,Injector tops and loose red/black hose samples,Close photos of injector nipples plus readable hose markings,injector_leakoff_nipple_od|sample_hose_id|sample_hose_od|rating_markings,image_standard_basis_closed,20260503_155314_gp_et0BrVkQ|20260503_160207_gp_43b3TblQ|20260503_160427_gp_HSrKmfzw,Injector top/leak-off area context imported; 3.2-3.5 mm ID x 1000 mm braided diesel leak-off stock released.,Releases 3.2-3.5 mm leak-off hose order
RPI-SAMPLE-BLACK-001,RP-FUEL-001|RP-VAC-001,sample_sorting_only,Loose black hose or pipe sample - unassigned circuit,Loose sample bench with tape reference,Full-length sample photos showing route shape and both ends where visible,sample_free_length|hose_or_pipe_od|end_id|rating_markings|vehicle_route_match,length_photo_imported_id_marking_pending,20260502_160754_gp_Zd9UeENg|20260502_160855_gp_w3sghS8Q|20260502_160929_gp_exms2QzQ|20260502_160950_gp_5KW8RnDQ|20260503_155832_gp_SHrzreNA|20260503_160215_gp_ml0C9cxw,May 2 and May 3 black sample/line photos imported; marking read is useful for sorting but no longer blocks standard hose stock order.,Supports sample sorting only; standard stock order released separately
RPI-SAMPLE-RED-001,RP-FUEL-001|RP-VAC-001,sample_sorting_only,Loose red hose or line sample - unassigned circuit,Loose sample bench with tape reference,Full-length sample photos showing route shape and both ends where visible,sample_free_length|hose_or_pipe_od|end_id|rating_markings|vehicle_route_match,length_photo_imported_id_marking_pending,20260502_161055_gp_lS8VRrWg|20260502_161214_gp_zc3zwXlg|20260504_090640_user_long_diesel_feed_measurement,Red sample/tape photos imported; circuit match is useful for sorting but no longer blocks standard hose stock order. May 4 image supports the measured long feed route only.,Supports sample sorting only; standard stock order released separately
RPI-FUEL-002-A,RP-FUEL-002,RPO-FUEL-002A|RPO-FUEL-002B,Low-pressure fuel hard lines - forward chassis run,Chassis rail forward fuel feed/return route,Wide and close photos of feed/return lines along forward rail,tube_od_feed|tube_od_return|section_length|bend_pattern,image_route_context_closed,20260503_152926_gp_4eOEiLQQ|20260503_153130_gp_gkKoFapg,Forward chassis hard-line route captured; standard 8 mm feed and 6 mm return new stock basis accepted for replacement.,Releases new hard-line replacement decision
RPI-FUEL-002-B,RP-FUEL-002,RPO-FUEL-002A|RPO-FUEL-002B,Low-pressure fuel hard lines - rear/tank run,Chassis rail rear fuel line and tank end area,Wide and close photos of rear route and end fittings,end_style|section_length|bend_pattern|tank_end_fitting,rear_route_context_assigned_tank_end_detail_pending,20260501_194026_gp_gjPjhxdA|20260501_194041_gp_6zRIFJUw|20260501_194106_gp_e4CETkdg|20260422_004306_gp_vGlNr2UA|20260422_004311_gp_994KQ0Pw,Rear/mid chassis hard-line context assigned; tank end fittings still need direct confirmation if rear sections are fabricated.,Releases rear section route context
RPI-FUEL-002-C,RP-FUEL-002,RPO-FUEL-002A|RPO-FUEL-002B|RPO-CLIP-001,Low-pressure fuel hard lines - clips and protection,Chassis rail clip points and pass-through areas,Close photos under clips and through brackets/grommets,clip_spacing|clip_id|line_od|pass_through_protection,image_route_context_closed,20260503_152926_gp_4eOEiLQQ|20260503_153130_gp_gkKoFapg,"Forward rail clip/pass-through context captured; use rubber-lined P-clips matched to 8 mm and 6 mm line stock, with final clip count during install.",Releases P-clip and protection sizes
RPI-VAC-001-A,RP-VAC-001,RPO-VAC-001A,Brake booster vacuum hose - pump end,Vacuum pump outlet and hose start,Close photo of vacuum pump barb and hose end,pump_barb_od|hose_id|hose_od_for_clamp,engine_context_assigned_final_barb_check_pending,20260503_155314_gp_et0BrVkQ|20260503_160207_gp_43b3TblQ|20260503_160427_gp_HSrKmfzw,Engine-side hose context assigned; standard 10-12 mm x 2000 mm reinforced vacuum hose stock is released and final barb fit/no-collapse check happens at install.,Releases 10-12 mm vacuum hose stock order
RPI-VAC-001-B,RP-VAC-001,RPO-VAC-001A,Brake booster vacuum hose - booster and check valve,Brake booster/check-valve area,Close photo showing check-valve direction and booster fitting,booster_checkvalve_od|checkvalve_direction|route_length,firewall_context_assigned_checkvalve_detail_pending,20260503_153200_gp_YXNuQgGQ|20260503_155132_gp_r4UGNnsQ,Firewall/booster-side context assigned; check-valve direction and booster fitting still verify during installation.,Releases vacuum route stock order
RPI-VAC-001-C,RP-VAC-001,RPO-VAC-001B|RPO-VAC-001C,Breather and oil-mist hose route,Crankcase breather/vacuum pump oil outlet area,Close and route photos of breather/oil-mist hose and spigots,breather_spigot_od|route_length|hose_id|oil_exposure,standard_breather_stock_closed_oil_outlet_conditional,20260503_155314_gp_et0BrVkQ|20260503_160207_gp_43b3TblQ|20260503_160327_gp_sFtQuWNQ,Engine-side breather/oil-mist hose context assigned; standard 16-19 mm x 1000 mm stock is released and separate vacuum pump oil-outlet molded hose remains conditional on fitted presence.,Releases breather stock order; oil outlet remains conditional
RPI-BRAKE-001-A,RP-BRAKE-001,RPO-BRAKE-001A,Front brake flex hoses,Front caliper flex hose ends and brackets,Close photos of both ends plus free-length reference,end_thread_or_banjo|free_length|route_clearance|bracket_retention,image_route_context_closed,20260503_152902_gp_xBbsFRzQ|20260503_152913_gp_AvVGAlHw|20260503_153054_gp_uj94xuug|20260503_160050_gp_3aBjHmzw|20260503_160057_gp_VL1ESgKQ|20260503_160107_gp_HBcJ3Ipg|20260503_160112_gp_eWV3krtw,"Front flex hose and bracket area captured; local quote basis is complete assembly copied from old sample, final fitting confirmation remains safety-held.",Releases front flex hose route context
RPI-BRAKE-001-B,RP-BRAKE-001,RPO-BRAKE-001A,Rear centre brake flex hose,Rear frame-to-axle flex hose and brackets,Close photos of frame end axle end bracket retention and free length,end_thread_or_seat|free_length|route_clearance|bracket_retention,rear_axle_context_assigned_flex_detail_pending,20260501_194305_gp_EllBGvXA|20260501_194313_gp_lfUqLibA|20260501_194322_gp_XuRtjN4w|20260324_004852,Rear axle and frame context assigned; rear centre flex hose still needs direct end/fitting confirmation before quote.,Releases rear centre route context
RPI-BRAKE-001-C,RP-BRAKE-001,RPO-BRAKE-001B|RPO-CLIP-001,Brake hard lines and unions,Frame and axle brake hard-line routes,Close photos of unions flare nuts tube routing and clips,tube_od|flare_standard|union_thread|route_length|clip_spacing,image_route_context_closed,20260503_152902_gp_xBbsFRzQ|20260503_153017_gp_dM8BCa4w|20260503_153031_gp_rFfqDUBw|20260503_153130_gp_gkKoFapg|20260503_160050_gp_3aBjHmzw|20260503_160057_gp_VL1ESgKQ|20260503_160107_gp_HBcJ3Ipg|20260503_160112_gp_eWV3krtw,"Brake hard-line unions route and clips captured; standard 4.75 mm brake tube stock accepted, but flare/thread and pressure-test remain safety-held.",Releases brake hard-line stock and support basis
RPI-CLUTCH-001-A,RP-CLUTCH-001,RPO-CLUTCH-001A|RPO-CLUTCH-001B,Clutch master line and fitting,Clutch master cylinder outlet and hard-line start,Close photo of port/fitting and first bend,master_port_thread|flare_or_seat|hard_line_od,bellhousing_context_assigned_master_detail_pending,20260430_215915_gp_ycQ395Gg|20260430_215939_gp_EjZ7u1ow|20260430_233755_gp_DO69MLAA,Bellhousing/clutch-side context assigned; master-side port detail still needs confirmation before hydraulic fabrication.,Releases clutch hydraulic route context
