entry_id,workstream,item,status,procurement_stage,amount,amount_status,product_link,week_plan_action,overlap_status,stock_signal,stock_match_item,stock_match_score,decision,dependency_gate,recommended_action,decision_reason
part_hvac_barrier_hose_fittings_20260514,ac_hvac_retrofit,A/C barrier hose and refrigerant-compatible fittings,planned,purchase_ready,,missing,,confirm_price_then_order,,none,,0.407,confirm_price_then_buy,baseline_execution,lock_vendor_price_and_order,Item is buy-now but still missing confirmed amount.
part_hvac_blower_clutch_fan_wiring_20260514,ac_hvac_retrofit,"Relay, fuse, switch, and wiring pack for blower, compressor clutch, and condenser fan request",planned,purchase_ready,,missing,,confirm_price_then_order,,none,,0.349,confirm_price_then_buy,baseline_execution,lock_vendor_price_and_order,Item is buy-now but still missing confirmed amount.
part_hvac_control_panel_20260514,ac_hvac_retrofit,Compact A/C control panel or integrated controls,planned,purchase_ready,,missing,,confirm_price_then_order,,none,,0.424,confirm_price_then_buy,baseline_execution,lock_vendor_price_and_order,Item is buy-now but still missing confirmed amount.
part_hvac_duct_defrost_hose_kit_20260514,ac_hvac_retrofit,"2.5 inch duct hose, vent adapters, and defrost/demist hose kit",planned,purchase_ready,,missing,,confirm_price_then_order,,none,,0.386,confirm_price_then_buy,baseline_execution,lock_vendor_price_and_order,Item is buy-now but still missing confirmed amount.
part_hvac_evaporator_drain_mount_kit_20260514,ac_hvac_retrofit,Evaporator drain hose and mounting/sealing kit,planned,purchase_ready,,missing,,confirm_price_then_order,,none,,0.494,confirm_price_then_buy,baseline_execution,lock_vendor_price_and_order,Item is buy-now but still missing confirmed amount.
part_hvac_firewall_bulkhead_fittings_20260514,ac_hvac_retrofit,A/C firewall bulkhead fittings and sealing grommets,planned,purchase_ready,,missing,,confirm_price_then_order,,none,,0.382,confirm_price_then_buy,baseline_execution,lock_vendor_price_and_order,Item is buy-now but still missing confirmed amount.
part_hvac_parallel_flow_condenser_20260514,ac_hvac_retrofit,Parallel-flow A/C condenser sized to core support,planned,purchase_ready,,missing,,confirm_price_then_order,,none,,0.394,confirm_price_then_buy,baseline_execution,lock_vendor_price_and_order,Item is buy-now but still missing confirmed amount.
part_hvac_r134a_oil_oring_charge_kit_20260514,ac_hvac_retrofit,"HNBR O-rings, refrigerant oil, vacuum/leak test, and R134a charge setup",planned,purchase_ready,,missing,,confirm_price_then_order,,none,,0.393,confirm_price_then_buy,baseline_execution,lock_vendor_price_and_order,Item is buy-now but still missing confirmed amount.
part_hvac_receiver_drier_20260514,ac_hvac_retrofit,Receiver-drier matched to R134a A/C layout,planned,purchase_ready,,missing,,confirm_price_then_order,,none,,0.375,confirm_price_then_buy,baseline_execution,lock_vendor_price_and_order,Item is buy-now but still missing confirmed amount.
part_hvac_return_air_grille_filter_20260514,ac_hvac_retrofit,Hidden return-air grille and washable filter for evaporator intake,planned,purchase_ready,,missing,,confirm_price_then_order,,none,,0.378,confirm_price_then_buy,baseline_execution,lock_vendor_price_and_order,Item is buy-now but still missing confirmed amount.
