stock_id,procurement_entry_id,workstream,material,minimum_buy,primary_use,route_position,notes
metal_ms3_sheet_flat_faces,part_fabrication_raw_mild_steel_plate_3mm_20260513,fabrication_handoff,3.0 mm mild-steel sheet/plate,1 sheet at least 700 x 400 mm; nearest stock size 600 x 600 or 1000 x 500 acceptable,"Battery tray deck 315 x 265, front/radiator service cassette flat face 325 x 120, hold-down 315 x 38, small tabs/guards",required_flat_stock,Do not try to make the deck or component mounting faces from angle only.
metal_ms3_angle_tray_cassette,part_fabrication_raw_mild_steel_plate_3mm_20260513,fabrication_handoff,3.0 mm 90-degree mild-steel angle/L-section,25 x 25 x 3 mm or 30 x 30 x 3 mm; 3 m total,Battery tray perimeter/upstands; front service cassette frame; shallow top-front shelf rails; cable/P-clip tabs,angle_first_preferred,Use straight stock with clean legs; mitre ends rather than making long folded channels from sheet.
metal_ms4_plate_chassis_faces,part_fabrication_raw_mild_steel_plate_4mm_20260513,fabrication_handoff,4.0 mm mild-steel plate,1 plate at least 700 x 450 mm; nearest stock size 1000 x 500 acceptable,Chassis saddle flat pattern; flat bolt tabs; upright/gusset plates if angle route needs flat interfaces; first-article trial coupons,required_flat_stock,Still needed even with angle stock because the chassis saddle and bolt faces need measured flat geometry.
metal_ms4_angle_radiator_post,part_fabrication_raw_mild_steel_plate_4mm_20260513,fabrication_handoff,4.0 mm 90-degree mild-steel angle/L-section,50 x 50 x 4 mm angle; 1 m length,Radiator two-side retention post with 48-50 mm measured main face and 618 mm developed main-face route,angle_first_preferred,If 50 x 50 x 4 is unavailable use the nearest 4 mm angle with one leg close to 48-50 mm; otherwise form from plate.
metal_ms4_angle_stand_bridge,part_fabrication_raw_mild_steel_plate_4mm_20260513,fabrication_handoff,4.0 mm 90-degree mild-steel angle/L-section,40 x 40 x 4 mm angle; 2 m length,Battery stand upright bridge members; stand frame trials; structural corner braces,angle_first_preferred,Use only where dry-fit keeps bolt access and battery/electrical service clear; flat plates still control chassis pickup faces.
metal_ms_sleeve_crush_tube,part_fabrication_raw_mild_steel_plate_4mm_20260513,fabrication_handoff,mild-steel tube/sleeve stock for crush tubes,300 mm shop offcut; ID to final M8/M10 through-bolt size after dry-fit,Chassis/front-support through-bolt sleeves or spacers if bolting through boxed structure,measurement_hold,Do not buy final ID/OD until the through-bolt size and boxed-section wall spacing are confirmed.
metal_al3_electrical_faces,part_fabrication_raw_aluminium_plate_3mm_20260513,fabrication_handoff|electrical_reset,3.0 mm 5052-H32 aluminium sheet,250 x 350 mm minimum; 500 x 500 mm if optional relay/electrical fallback prototypes are also cut,MIDI Rev C mount plate; folded cutoff base/guard; optional fallback relay/electrical carriers,required_electrical_stock,"Use aluminium only for electrical component carriers/guards, not for the battery stand structure."
metal_tub_sheet_1_2,part_tub_repair_steel_sheet_1_2mm_20260513,body_chassis,1.2 mm cold-rolled mild-steel sheet,1 sheet about 1000 x 1000 mm or nearest manageable body-panel sheet size,Tub skin/floor/firewall lip/small closure patch allowance,separate_body_repair_stock,Keep away from battery/radiator fabrication stock.
metal_tub_sheet_1_6,part_tub_repair_steel_sheet_1_6mm_20260513,body_chassis,1.6 mm cold-rolled mild-steel sheet,1 sheet about 1000 x 500 mm or nearest manageable body-panel sheet size,Heavier tub flange/floor/seat-box edge repairs,separate_body_repair_stock,Use where original tub sheet is heavier than skin panels.
metal_tub_mount_plate_3,part_tub_mount_reinforcement_plate_3mm_20260513,body_chassis,3.0 mm mild-steel plate,1 plate about 500 x 500 mm or 300 x 600 mm,Tub body-mount backing plates; captive-nut/weld-nut repair plates; reinforcement coupons,separate_body_repair_stock,Release final shapes only after each mount station is cleaned and measured.
