estimate_id,source_media_id,source_file,hardware_class,visible_estimate_min,visible_estimate_likely,visible_estimate_max,procurement_entry_id,procurement_stage,coverage_status,purchase_count_basis,confidence,notes
metric_machine_screws_bolts_covered,20260503_153832_gp_0FJJiLHg,photos/20260503_153832_gp_0FJJiLHg.jpg,Metric machine screws/bolts/hex-flange bolts,150,180,220,part_fastener_kit_a_millat|part_fastener_kit_b_millat|part_fastener_kit_e_millat,ordered_pending_delivery,covered_by_millat_orders,"Millat screw pack alone is 260 screws; A/B rows cover loose bolt/nut/washer stock. Verify delivered quantities before buying any duplicate metric screws or bolts.",medium,"Visible rusty M6/M8/M10-ish bolts and screws are mostly covered by MTL order rows; this is an old-sample visibility estimate, not a new buy count."
loose_standard_nuts,20260503_153832_gp_0FJJiLHg,photos/20260503_153832_gp_0FJJiLHg.jpg,Loose standard hex/flange nuts,35,45,60,part_fastener_kit_a_millat|part_fastener_kit_b_millat,ordered_pending_delivery,covered_by_millat_orders,"Covered by Millat nut/bolt stock rows unless old-sample sorting finds a special nut style or captive nut.",medium,"Counts visible loose nuts and nuts still sitting on old bolts where separable."
flat_spring_star_washers,20260503_153832_gp_0FJJiLHg,photos/20260503_153832_gp_0FJJiLHg.jpg,Flat/spring/star washers and standard body washers,70,95,125,part_fastener_kit_a_millat|part_fastener_kit_b_millat|part_fastener_kit_d_millat,ordered_pending_delivery,mostly_covered_by_millat_orders,"Flat/spring/star washer stock is covered by Millat A/B/D rows; finishing/cup washers are counted separately under trim hardware.",medium,"Many washers are partly hidden under bolts; use this only as a sample-pile scale estimate."
captive_clip_speed_nuts,20260503_153832_gp_0FJJiLHg,photos/20260503_153832_gp_0FJJiLHg.jpg,Captive/clip/speed nuts plus rivnut/weld-nut candidates,22,30,40,part_fastener_kit_c_captive_clip_nuts,purchase_ready,not_covered_by_millat_orders,"Use workbook Kit C planning basis before vendor quote: M6 captive/clip nuts x120, M8 captive/clip nuts x60, weld nuts M6 x30, weld nuts M8 x20, rivnuts M6 x30, rivnuts M8 x20. Confirm split against old samples.",medium,"Visible count is old hardware only; buy basis intentionally exceeds the visible old count to cover full body hardware replacement."
trim_self_tapping_countersunk_cup_washers,20260503_153832_gp_0FJJiLHg,photos/20260503_153832_gp_0FJJiLHg.jpg,Self-tapping/trim/countersunk screws and cup/finishing washers,35,50,70,part_fastener_kit_e_trim_screws_cup_washers,deferred_until_body_closed,not_covered_by_millat_orders,"Buy after trim/panel alignment. Use old screws to confirm head style, length, diameter, thread type, and cup/finishing washer count.",medium,"Includes pointed screws, countersunk/slotted screws, and finishing washer styles visible in the mixed pile."
retaining_clips_cotters,20260503_153832_gp_0FJJiLHg,photos/20260503_153832_gp_0FJJiLHg.jpg,R-clips/hairpins/split pins/circlips/small cotters,6,10,15,part_body_retaining_clips_cotter_pin_pack,purchase_ready,not_covered_by_millat_orders,"Buy an assorted plated/stainless pack around 40-60 pieces, then size-match critical locations against samples.",low,"Small wire clips are easy to miss in the pile; visible count is a lower-bound estimate."
rubber_plastic_bumpers_isolators,20260503_153832_gp_0FJJiLHg,photos/20260503_153832_gp_0FJJiLHg.jpg,Rubber/plastic bumpers knobs isolators and small spacers,8,12,18,part_body_rubber_plastic_bumpers_isolators,spec_needed_before_order,not_covered_by_millat_orders,"Sort by installed location, diameter, height, thread/stud size, and material hardness before buying sample-matched replacements.",medium,"Do not merge into the body-mount rubber kit unless a sample proves a body-mount location."
shoulder_pins_sleeves_spacers,20260503_153832_gp_0FJJiLHg,photos/20260503_153832_gp_0FJJiLHg.jpg,Shoulder/pivot bolts cylindrical sleeves stand-off spacers and stepped pins,10,16,24,part_body_shoulder_pins_sleeves_spacers,spec_needed_before_order,not_covered_by_millat_orders,"Measure shoulder diameter, grip length, thread, sleeve OD/ID, and installed location before purchase or fabrication.",medium,"Do not substitute fully threaded bolts where a shoulder/sleeve controls alignment."
specialty_brackets_retainer_plates,20260503_153832_gp_0FJJiLHg,photos/20260503_153832_gp_0FJJiLHg.jpg,Specialty brackets retainer plates captive-nut plates and straps,8,12,18,part_body_specialty_brackets_retainer_plates,spec_needed_before_order,not_covered_by_millat_orders,"Sort by installed location and function; refurbish only sound originals and buy/fabricate replacements for thin, bent, cracked, or damaged captive-thread plates.",medium,"Visible rusted plates and retainers are not supplied by the Millat screw/nut/washer orders."
overall_visible_hardware_rollup,20260503_153832_gp_0FJJiLHg,photos/20260503_153832_gp_0FJJiLHg.jpg,Overall visible individual hardware pieces in the mixed photo,344,450,590,multiple,mixed,mixed_covered_and_not_covered,"Rollup only; do not use as a purchase quantity. Use the category rows and procurement statuses.",low,"This sums category-level visible estimates and intentionally allows overlap/occlusion uncertainty."
