entry_id,date,phase,workstream,bucket,category,item,status,amount,currency,amount_status,company,transaction_number,expected_delivery_date,source,evidence_ref,payment_status,delivery_status,procurement_stage,product_link,notes
part_fuel_filler_neck_hose_vent_20260619,2026-06-19,05_mechanical_baseline,mechanical_baseline,parts,fuel_system,Fuel filler rubber parts - main fuel fill hose vent hose and smooth-band clamps,planned,,PKR,missing,Amir runner / Land Cruiser parts counter / local fuel-hose supplier,,,user_update|photo_review,user_update_2026-06-19_fuel_filler_purchase_decision|codex-clipboard-956824d4-d24a-47f7-9df7-46cb0a95279e.png|RHA-015|RUB-011|RUB-012,not_paid,not_ordered,purchase_ready,,"User clarified on 2026-06-19 that the metal filler neck/cap appears usable or easily restorable; buy rubber parts only. Purchase sample-matched 9/1972-12/1978 J40 fuel fill hose, OEM reference 77217-60014, NBR/fuel-rated, plus fuel-rated vent hose and rolled-edge/smooth-band fuel clamps. Use the removed assembly as the pattern. Before payment, match filler neck OD, tank neck OD, hose ID/free length/bend, vent nipple OD/ID, clamp OD range, cap seal condition, and tank/body clearance. Restore/reuse the metal neck/cap if it seals correctly. Reject used rubber, cracked NOS hose, coolant/vacuum hose, non-fuel-rated hose, or sharp perforated clamps."
admin_vehicle_purchase,2026-03-12,01_legal_admin,legal_admin,admin,vehicle_purchase,Vehicle purchase price,purchased,,PKR,missing,seller,,,whatsapp_fj40,fj40-00014,paid,completed,completed,,Chat confirms the jeep was bought but the exact purchase price is not yet captured in the archive
admin_excise_challan,2026-03-12,01_legal_admin,legal_admin,admin,registration,Excise challan,paid,11365,PKR,confirmed,Fj40 group,,,whatsapp_fj40,fj40-00025,paid,completed,completed,,Vehicle transfer cost mentioned in the group chat
admin_vehicle_inspection,2026-03-12,01_legal_admin,legal_admin,admin,inspection,Vehicle inspection,paid,5000,PKR,confirmed,Fj40 group,,,whatsapp_fj40,fj40-00025,paid,needs_confirmation,completed,,Inspection cost mentioned in the group chat
part_battery_purchase,2026-03-16,05_mechanical_baseline,mechanical_baseline,parts,battery,New battery purchase - installed,installed,20000,PKR,confirmed,Ghazi Road,,,whatsapp_akber,akber_khan-00753,paid,installed,completed,,"New battery is already purchased and installed. Gross PKR 20,000 retained."
tool_grease_gun,,00_site_setup,site_setup,tools,general,Grease gun,received,,PKR,missing,Toolsmart,,2026-03-18,user_seed|whatsapp_akber|whatsapp_fj40,user_seed|akber_khan-00395|akber_khan-00671|fj40-00286|akber_khan-00879,unknown,received,received,,"Seeded as received; a later tool basket shows a Harden Pro Grease Gun 500CC at Rs.4,790 and tools later arrived, but the exact paid amount is still left open pending order proof"
tool_torque_wrench,,00_site_setup,site_setup,tools,general,Torque wrench,received,,PKR,missing,ToolsMart.pk,,,user_seed|whatsapp_akber,user_seed|akber_khan-00395,unknown,received,received,,Marked with x in the user purchase list; torque wrench was explicitly called out in tool planning chat Vendor backfilled from J40_Costs.xlsx.
tool_cover,,00_site_setup,site_setup,tools,storage,Car cover,received,,PKR,missing,Shopify storefront,932d270cf0bc36f7d57c42f9ede63dae,2026-03-18,user_seed|whatsapp_akber,user_seed|akber_khan-00793|akber_khan-00805|akber_khan-00806|akber_khan-00879,unknown,received,received,,"Marked with x in the user purchase list; chat shows it was needed before strip-down, was already on the way on 2026-03-17, budget guidance was 2-4k, and arrival was confirmed on 2026-03-18"
tool_bench_grinder,,00_site_setup,site_setup,tools,general,Bench grinder,cancelled,,PKR,missing,Toolsmart,,2026-03-18,user_seed|whatsapp_akber|whatsapp_fj40,user_seed|akber_khan-00662|akber_khan-00671|fj40-00286|akber_khan-00879,not_paid,not_required,deferred_optional,,User update 2026-04-27: bench grinder currently considered not required.
tool_tap_set,,00_site_setup,site_setup,tools,general,Tap set,received,,PKR,missing,ToolsMart.pk,,,user_seed|whatsapp_akber,user_seed|akber_khan-00663|akber_khan-00664,unknown,received,received,,Marked with x in the user purchase list; tap set was later discussed as useful for stripped bolts Vendor backfilled from J40_Costs.xlsx.
part_cable_sleeve_protection,,04_electrical_reset,electrical_reset,parts,electrical,"Braided sleeve inventory - 8/10/14/16/20 mm sleeves, 5m lengths received",received,,PKR,missing,electronicsstore.pk / HAQ ELECTRIC,,,user_seed|whatsapp_fj40|whatsapp_akber,user_seed|akber_khan-00489|fj40-00276|fj40-00282,paid,received,received,,"Workbook inventory shows braided sleeve stock already received/paid: 8, 10, 14, 16, and 20 mm sleeve entries in 5m lengths. Loom-pipe planning basis for this J40/HJ47: do not buy extra 8mm split pipe. If physical stock count is short after final routing, top-up only 12mm x 10m for cabin/light branches and 16mm x 6m for under-bonnet/cabin trunk branches; existing 14/16/20mm 5m sleeve stock is already counted."
part_dielectric_grease,,04_electrical_reset,electrical_reset,parts,electrical,Dielectric grease,received,5609,PKR,confirmed,Adenwalla & Sons,3070231697777489,,user_seed|whatsapp_akber|gmail,user_seed|akber_khan-00489|gmail_msg_19d0f6304329edde|gmail_msg_19d9ff896e3406a1|gmail_order_3070231697777489|gmail_package_PK001206015RS|photo_20260424_part_dielectric_grease_aliexpress_order_3070231697777489.jpg,paid,received,received,,Marked with x in the user purchase list Vendor backfilled from J40_Costs.xlsx. Gmail AliExpress evidence shows dielectric grease order 3070231697777489 shipped and package PK001206015RS delivered.
part_copper_grease,,06_steering_brakes_suspension,steering_brakes_suspension,parts,brakes,Copper grease for brakes,received,,PKR,missing,Pakistan Power Tool,,,user_seed,user_seed,unknown,received,received,,Marked with x in the user purchase list Vendor backfilled from J40_Costs.xlsx.
part_rubber_grommet_set,2026-04-22,04_electrical_reset,electrical_reset,parts,electrical,Rubber grommet set,received,,PKR,missing,AliExpress,,,user_seed|whatsapp_akber|whatsapp_fj40|user_update,user_seed|akber_khan-00489|akber_khan-00497|fj40-00276|fj40-00282|user_update_2026-04-22_grommet_received|user_update_2026-05-01_grommet_image_wrong,paid,received,received,https://www.aliexpress.com/i/1005008318051049.html,User confirmed this grommet set was received; exact product link: https://www.aliexpress.com/i/1005008318051049.html. User correction 2026-05-01: current tracker image is incorrect; require exact order/received photo before treating image as evidence.
part_electric_wires,2026-03-18,04_electrical_reset,electrical_reset,parts,electrical,"Electric wire inventory - 4 AWG red/black silicone cable, 1m each (approx 21 mm2)",received,11529,PKR,confirmed,AliExpress,3070027285627489,,user_seed|whatsapp_akber|user_update,user_seed|akber_khan-00489|akber_khan-00497|user_update_2026-04-22_wiring_built|gmail_msg_19d045e33582292a|gmail_msg_19d3e56a9e4a3991|gmail_order_3070027285627489|gmail_package_PK015187314R|photo_20260424_part_electric_wires_aliexpress_3070027285627489.jpg,paid,received,received,,"Received AliExpress order 3070027285627489: 4 AWG silicone cable, red/black, 1m each (approx 21 mm2). Workbook also contains 1.0/1.5/2.5 mm2 roll inventory; physically count before buying more wire."
tool_electrical_test_kit,2026-03-22,04_electrical_reset,electrical_reset,tools,electrical,Electrical test kit,received,8811,PKR,confirmed,AliExpress,3070231697877489,,user_seed|whatsapp_akber|gmail|user_update,user_seed|akber_khan-00489|akber_khan-00638|gmail_msg_19d146a9c4d6e8c9|gmail_msg_19d7678e0f8b0da0|gmail_msg_19d7b9f19fa4f39f|gmail_order_3070231697877489|photo_20260424_tool_electrical_test_kit_aliexpress_order_3070231697877489.jpg|user_update_2026-05-02_electrical_test_kit_received,paid,received,received,,AliExpress order 3070231697877489 was ordered and arrived; prior 2026-04-27 uncertainty closed from Gmail/order evidence plus user confirmation on 2026-05-02.
part_android_unit,,09_optional_upgrades,optional_upgrades,parts,interior,Android unit,planned,,PKR,missing,SehgalMotors.PK,,,user_seed|whatsapp_akber|whatsapp_fj40|user_update,user_seed|akber_khan-00318|fj40-00279|fj40-00280|user_update_2026-05-02_dashboard_switch_lcd_update,not_paid,not_ordered,deferred_optional,,"9 inch, flush-mounted, integrated into the dash panel. User update 2026-05-02: a specific 9 inch LCD panel has been recommended; capture exact model/link, dimensions, mounting depth, power draw, and camera inputs before purchase. Keep deferred_optional until baseline dash/electrical fit-up is proven."
part_piano_hinge,,09_optional_upgrades,optional_upgrades,parts,interior,Piano hinge,received,,PKR,missing,,,,user_seed,user_seed,unknown,received,received,,Listed with Y in the user purchase list
part_bedliner_sprays,2026-05-02,03_body_chassis,body_chassis,parts,bodywork,Bedliner sprays,received,,PKR,missing,U-POL / Raptor on hand,,,user_seed|whatsapp_akber|user_shelf_image,user_seed|akber_khan-00798|akber_khan-00800|user_shelf_image_2026-05-02_raptor_liner_visible,paid,received,received,,"Listed by the user as still needed; chat says they are required immediately after floor repair and primer | Marked on hand from shelf image on 2026-05-02: Raptor liner bottles visible. Treat as bedliner/protective coating already acquired, not as primer."
part_primer,2026-05-02,03_body_chassis,body_chassis,parts,bodywork,Hi-Build Zinc Rich Epoxy Primer EC 11 two-pack set,received,25550,PKR,confirmed,Daraz / MM PAINT,242366749280938,2026-05-09,user_seed|whatsapp_akber|user_update|gmail,user_seed|akber_khan-00798|akber_khan-00800|akber_khan-00819|user_update_2026-05-02_zinc_rich_epoxy_primer_order|gmail_msg_19de69fd6503ed45|gmail_order_242366749280938|gmail_msg_19dfcaab0866f88d|gmail_delivery_242366749280938,paid,received,received,https://www.daraz.pk/products/i556870547-s4006655573.html?urlFlag=true&mp=1,"Daraz order 242366749280938 confirmed 2026-05-02 from MM PAINT: ICI industrial coating Zinc Rich epoxy primer set - Zinc Rich primer set - ici industrial x1, product PKR 25000 plus PKR 550 shipping, total PKR 25550, paid by card. Delivery window 2026-05-07 to 2026-05-09. Selected as the zinc-rich two-pack epoxy primer for blasted steel chassis; seller images show separate base and hardener tins. Confirm mix ratio, thinner, and recoat window on receipt. Product link: https://www.daraz.pk/products/i556870547-s4006655573.html?urlFlag=true&mp=1 ; image: https://pk-live-21.slatic.net/kf/Sb3943ecd4f6040c39d009641d24206143.jpg | Gmail Daraz delivery email confirms order 242366749280938 delivered on 2026-05-06; still verify base/hardener tins, mix ratio, thinner, and recoat window before primer use."
part_metal_protection,2026-05-02,03_body_chassis,body_chassis,parts,bodywork,Metal protection and restoration products,cancelled,,PKR,missing,Daraz,,,user_seed|whatsapp_akber|user_update,user_seed|akber_khan-00397|akber_khan-00701|user_update_2026-05-02_zinc_rich_epoxy_primer_order|user_update_2026-05-02_autohub_prep_solvent_cavity_wax_order,not_paid,not_required,not_required_covered_by_epoxy_wax,,"Listed by the user as still needed; rust reformer and related metal-treatment products were discussed | Closed on 2026-05-02 as a generic duplicate: current corrosion-protection stack is covered by zinc-rich epoxy primer, prep solvent, seam sealer, cavity wax, and on-hand Raptor bedliner."
part_wax_and_grease_remover,2026-05-02,03_body_chassis,body_chassis,parts,bodywork,3M Prep Solvent-70 1 gallon / wax and grease remover,received,18999,PKR,confirmed,Autohub,62192,2026-05-06,user_seed|whatsapp_akber|user_update|gmail,user_seed|akber_khan-00803|akber_khan-00817|user_update_2026-05-02_autohub_prep_solvent_cavity_wax_order|gmail_msg_19de69d1f1e3d70a|gmail_order_1762192|autohub_order_62192|user_update_2026-05-08_all_remaining_autohub_orders_arrived|user_update_2026-05-11_3m_prep_solvent_received|gmail_msg_19e0c5bc0f1cf25e|blueex_tracking_AhubRider,paid,received,received,https://autohub.pk/products/3m-prep-solvent-70-1-gallon,"Autohub order 1762192 / order number 62192 confirmed 2026-05-02: 3M Prep Solvent - 70, 1 gal (08983) x1 at PKR 18999. Shared order also includes HB Body U900 cavity wax x2; order subtotal PKR 23997 plus PKR 249 shipping, total PKR 24246. Product link: https://autohub.pk/products/3m-prep-solvent-70-1-gallon ; image: https://cdn.shopify.com/s/files/1/0424/5433/files/3m-08983_medium.png?v=1709701797 | Gmail recheck on 2026-05-08 found the Autohub 1762192 / 62192 confirmation only; later user confirmation on 2026-05-08 closes delivery. | User confirmed on 2026-05-08 that the pre solvent / remaining Autohub orders have arrived; user reconfirmed item-level receipt on 2026-05-11. Receipt check: confirm one sealed 1 gallon 3M Prep Solvent-70 can, intact label, and no leaks or dents. | Gmail recheck 2026-05-12 found Autohub shipment email sent 2026-05-09 for order 1762192 listing 3M Prep Solvent-70 x1 and HB Body U900 cavity wax x2 via Blue-ex AhubRider; user receipt confirmations from 2026-05-08 and 2026-05-11 keep the row received."
part_self_etching_primer,2026-05-02,03_body_chassis,body_chassis,parts,bodywork,Self etching primer,cancelled,,PKR,missing,,,,user_seed|whatsapp_akber|user_update,user_seed|akber_khan-00803|user_update_2026-05-02_zinc_rich_epoxy_primer_order,not_paid,not_required,not_required_with_epoxy,,Listed by the user as still needed; explicit bodywork-material mention in chat | Closed on 2026-05-02: not ordering self-etch primer under the selected two-pack zinc-rich epoxy system unless that coating system later explicitly requires it.
part_epoxy_primer,2026-05-02,03_body_chassis,body_chassis,parts,bodywork,Epoxy primer,cancelled,,PKR,missing,Daraz / ICI Industrial Coatings,USER-CONFIRMED-20260502-PRIMER,,user_seed|whatsapp_akber|user_update,user_seed|akber_khan-00803|user_update_2026-05-02_zinc_rich_epoxy_primer_order,not_paid,not_required,not_required_duplicate,,Listed by the user as still needed; explicit bodywork-material mention in chat | Closed on 2026-05-02: epoxy-primer need is covered by part_primer order for Hi-Build Zinc Rich Epoxy Primer EC 11; do not buy a second epoxy primer.
part_seam_sealer,2026-03-21,03_body_chassis,body_chassis,parts,bodywork,Seam sealer,received,7696,PKR,confirmed,Autohub,1761310,,user_seed|whatsapp_akber|gmail|user_update,user_seed|akber_khan-00803|akber_khan-00820|gmail_msg_19d0ef66d4eacdee|gmail_msg_19d48a1d197405a3|gmail_order_1761310|photo_20260424_part_seam_sealer_autohub_order_1761310.jpg|user_update_2026-05-02_autohub_prep_solvent_cavity_wax_order|user_update_2026-05-08_all_remaining_autohub_orders_arrived,paid,received,received,,"Listed by the user as still needed; later product research includes an Autohub seam-sealer link. Gmail Autohub order 1761310 confirms 3x HB BODY 999 seam sealer and shipment status. | Payment marked paid per user confirmation on 2026-05-02; keep delivery/quantity reconciliation tied to Autohub order 1761310 and physical tube count. | Gmail recheck on 2026-05-08 found the 2026-04-01 Autohub shipment email for order 1761310 but no delivery confirmation; later user confirmation on 2026-05-08 closes delivery. | User confirmed on 2026-05-08 that all remaining Autohub orders have arrived; mark the three HB BODY 999 seam sealer cartridges received. Receipt check: confirm tube count, labels, expiry/softness, and nozzle condition before body sealing."
