excel_row,col_1,col_2,col_3,col_4,col_5,col_6,col_7
1,Item,Price,Vendor,Received,Paid,Reconciled_Status,Reconciled_Note
2,"Black Cable Ties (pack of 100) - 4"" × 1",390,ToolsMart.pk,Y,Y,procured_or_on_hand,Evidence indicates purchased/received.
3,"Black Cable Ties (pack of 100) - 14"" × 1",1150,ToolsMart.pk,Y,Y,procured_or_on_hand,Evidence indicates purchased/received.
4,"Black Cable Ties (pack of 100) - 8"" × 1",620,ToolsMart.pk,Y,Y,procured_or_on_hand,Evidence indicates purchased/received.
5,Harden 32Pcs Screw Tap × 1,11940,ToolsMart.pk,Y,Y,procured_or_on_hand,Evidence indicates purchased/received.
6,Ingco Wire cup brush 50mm WB30501 × 1,510,ToolsMart.pk,Y,Y,procured_or_on_hand,Evidence indicates purchased/received.
7,"Gaocheng Angle Grinder 125MM, 1500W GC-AG150H × 1",11400,ToolsMart.pk,Y,Y,procured_or_on_hand,Evidence indicates purchased/received.
8,,18500,ToolsMart.pk,Y,Y,procured_or_on_hand,Evidence indicates purchased/received.
9,"Total 1/2‰Û Flexible Handle 15"" THTFX12151 × 1",2310,ToolsMart.pk,Y,Y,procured_or_on_hand,Evidence indicates purchased/received.
10,"LICOTA MADE IN TAIWAN 3/4"" DR. IMPACT SOCKET 6PT 41mm CR-MO BLACK × 1",3340,ToolsMart.pk,Y,Y,procured_or_on_hand,Evidence indicates purchased/received.
11,"LICOTA MADE IN TAIWAN 1"" DR. IMPACT SOCKET 6PT 36mm CR-MO BLACK × 1",4170,ToolsMart.pk,Y,Y,procured_or_on_hand,Evidence indicates purchased/received.
12,"Harden 1/2"" Torque Wrench Set 30-210N.m × 1",19380,ToolsMart.pk,Y,Y,procured_or_on_hand,Evidence indicates purchased/received.
13,LICOTA MADE IN TAIWAN 90Pcs Socket and Tools Set × 1,73460,ToolsMart.pk,Y,Y,procured_or_on_hand,Evidence indicates purchased/received.
14,Harden 10Pcs 18x100mm Knife Blade,480,ToolsMart.pk,Y,Y,procured_or_on_hand,Evidence indicates purchased/received.
15,Harden Folding knife,1520,ToolsMart.pk,Y,Y,procured_or_on_hand,Evidence indicates purchased/received.
16,Harden Pro Grease Gun 500CC,4790,ToolsMart.pk,Y,Y,procured_or_on_hand,Evidence indicates purchased/received.
17,Ingco Heat gun 2000w HG200078,6770,ToolsMart.pk,Y,Y,procured_or_on_hand,Evidence indicates purchased/received.
