item,quantity,likely source if from another car,needs mechanic checked,expected price,image to show,purchase stage,what to verify,all image refs,source row
Kit A bolt - M10x1.25 class 8.8 hex bolt,16 (+20% spare),New hardware/electrical market (not donor car),Optional (sample-check),PKR 15000-35000,images/20260405_234546.jpg,BUY_NOW,"Head mark 8.8, pitch-gauge check, length by sample",20260405_234546.jpg;20260405_234802.jpg,244
Kit A nut - M10 nyloc/all-metal mix,24 (+20% spare),New hardware/electrical market (not donor car),Optional (sample-check),PKR 15000-35000,images/20260405_234546.jpg,BUY_NOW,Thread fit and lock quality,20260405_234546.jpg,244
Kit A washer - M10 flat washer,40 (+20% spare),New hardware/electrical market (not donor car),Optional (sample-check),PKR 15000-35000,images/20260405_234546.jpg,BUY_NOW,ID/OD match cups and bolt,20260405_234546.jpg,244
Kit A spring washer - M10 spring washer,20 (+20% spare),New hardware/electrical market (not donor car),Optional (sample-check),PKR 15000-35000,images/20260405_234546.jpg,BUY_NOW,"No cracks, consistent spring",20260405_234546.jpg,244
Kit A sleeve/spacer - Sleeve for M10 mount points,16,New hardware/electrical market (not donor car),Optional (sample-check),PKR 15000-35000,images/20260405_234652.jpg,BUY_NOW,ID/OD/length match stack,20260405_234652.jpg,244
Kit A bolt - M12 class 8.8 hex bolt,4 (+20% spare),New hardware/electrical market (not donor car),Optional (sample-check),PKR 15000-35000,images/20260405_234802.jpg,BUY_NOW,"Head mark 8.8, length by sample",20260405_234802.jpg,244
Kit A nut - M12 nut,6 (+20% spare),New hardware/electrical market (not donor car),Optional (sample-check),PKR 15000-35000,images/20260405_234802.jpg,BUY_NOW,"Thread clean, pitch match",20260405_234802.jpg,244
Kit A washer - M12 flat washer,12 (+20% spare),New hardware/electrical market (not donor car),Optional (sample-check),PKR 15000-35000,images/20260405_234802.jpg,BUY_NOW,ID/OD match,20260405_234802.jpg,244
Kit A spring washer - M12 spring washer,6 (+20% spare),New hardware/electrical market (not donor car),Optional (sample-check),PKR 15000-35000,images/20260405_234802.jpg,BUY_NOW,Consistent tension,20260405_234802.jpg,244
Kit B bolt - M6x1.0 class 8.8 hex bolts lengths 12/16/20/25mm,220 total,New hardware/electrical market (not donor car),Optional (sample-check),PKR 18000-40000,images/20260405_234546.jpg,BUY_NOW,Confirm mix by length,20260405_234546.jpg,245
