excel_row,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
1,Kit_Name,Includes_Rubbers_From_Rubbers_Exact_Online,Phase,Est_PKR_Medium,Typical_Online_Listed_Price,Online_Option_1,Online_Option_2,Fitment_Check,Notes
2,Body mount complete kit + shims,Rows 2-3,NOW,37000,USD 154.95-235 + shipping,https://cruisercorps.com/products/body-mount-set-fj40,https://btbprod.com/product/body-mount-kit-fj40-1958-78-replacement-w-hardware/,Confirm your exact model year and mount count before order.,Main tub/chassis rubbers are covered here.
3,Firewall/column/wiper grommet kit,Row 4,NOW,4500,PKR 1k-7k (local assorted kits),https://www.daraz.pk/catalog/?q=rubber+grommet+kit+automotive,https://www.cityracerllc.com/products/wiper-motor-harness-grommet-for-75-to-84-land-cruiser-fj40-fj45,Measure each hole OD/ID first.,Top up only; one set already appears procured.
4,Powertrain mount kit (engine + trans/transfer),Rows 5-6,HOLD_DEFERRED,53500,USD 44.95 trans kit + diesel engine mounts (varies),https://cruisercorps.com/products/mounts-transmission-transfer-case,https://www.4wheelauto.com/engine-mount-land-cruiser-bj40-bj42-bj60-02-74-11-84-b-3b-engine,Diesel fitment must be confirmed; avoid gasoline-only kits. Do not buy a bundled powertrain mount kit under the no-engine-lift baseline.,Inspect engine mounts in place; buy only if failed or if another approved job already supports/lifts the engine. Gearbox/transfer mount remains a separate inspection item.
5,Leaf spring + shackle bush full-vehicle kit,Rows 7-8,NOW_OR_INSPECT,25000,USD 45 for 24-rubber-bush kit,https://cruiserteq.com/suspension-bushing-rubber-set-of-24-fits-1958-1979-fj40-front-rear-43-44-45-front-only-leaf-spring-applications-susebushkit/,https://www.arb.com.au/stores/arb-usa/,"Before buying any separate bush kit, verify what is included in the ordered Ironman Foamcell kit.",One kit can cover full vehicle for stock-type leaf setup.
6,Steering bushings refresh kit,Row 9,NOW_OR_INSPECT,10000,PKR 3k-12k,https://www.pakwheels.com/accessories-spare-parts/search/-/ct_steering-suspension/,https://www.daraz.pk/catalog/?q=toyota+steering+bushing,Confirm play at steering relay/box first.,Conditional purchase.
7,Brake flex hose kit (+ clutch hose if worn),Rows 10-11,NOW,22500,USD 66 front pair + center/clutch extra,https://www.cityracerllc.com/products/set-of-oem-front-brake-hoses-for-69-to-80-toyota-land-cruiser-fj40-bj40-fj55,https://cruisercorps.com/collections/brake-hoses-lines,Center hose length depends on year/lift.,Brake hoses are priority; clutch hose only if aged.
8,Fuel hose + clamps + tank rubber service kit,Rows 12 & 16,NOW,43000,USD 45 tank hose kit + local fuel hose by meter,https://www.coolcruisers.com/hosekit.html,https://www.daraz.pk/catalog/?q=SAE+J30R7+fuel+hose,Fuel-safe hose spec required; no generic water hose.,Treat as critical safety replacement.
9,Cooling/heater/reservoir hose kit,Rows 13-15,NOW_OR_INSPECT,40000,Varies by engine and hose count,https://redlinelandcruisers.com/product/toyota-2f-radiator-hose-clamp-kit-fj40-1976-1980-land-cruiser/,https://www.cityracerllc.com/,Only order after confirming your exact engine family and diameters.,Likely local fabrication can reduce cost.
10,Body weatherstrip master set,Rows 17-19,LATER,112000,"USD 199.95+ for door kit, additional glass/cowl seals extra",https://jtoutfitters.com/products/weatherstripping-kit-for-toyota-land-cruiser-fj40-75-84-front-ambulance-doors,https://www.cityracerllc.com/products/sliding-window-weatherstrip-kit-for-land-cruiser-fj40-lx-and-fj45-troopy,Best bought after bodywork is finished.,Large cost driver; defer for now.
11,Exhaust hangers + pedal rubbers,Rows 20 & 22,LATER,12000,PKR 4k-12k combined typical,https://www.daraz.pk/catalog/?q=exhaust+rubber+hanger,https://www.daraz.pk/catalog/?q=toyota+pedal+rubber,"Buy by dimension, not just model name.","Low risk, low urgency."
12,HVAC hoses + O-ring service kit,Row 21,LATER,45000,Varies widely with compressor/evap setup,https://www.industryparts.pk/collections/o-rings,https://www.daraz.pk/catalog/?q=ac+barrier+hose,Do after final HVAC layout is locked.,Not needed to refit tub.
14,NOW_TOTAL,,,,,,,,
15,NOW_PLUS_INSPECT_TOTAL,,,,,,,,
16,FULL_PROGRAM_TOTAL,,,,,,,,
