Item_Group,Covers_Parts_Rows,Required_For_Current_Build,Duplicate_Reconciled_From,Current_Procurement_Status,Price_Range_PKR,Medium_PKR,Online_Primary,Online_Backup,Fitment_Note,Decision
Body-to-chassis mount rubber kit (main tub/chassis rubbers),"12, 169",YES,169 duplicate estimate merged into 12,NOT_PURCHASED,15000-60000,30000,https://btbprod.com/product/body-mount-kit-fj40-1958-78-after-market-style/,https://cruisercorps.com/products/body-mount-set-fj40,Critical before tub refit; match sleeve stack heights to OEM mount points.,BUY_NEW_NOW
Body mount shim/spacer alignment pack,"13, 168",YES,168 duplicate estimate merged into 13,NOT_PURCHASED,3000-12000,7000,https://www.daraz.pk/catalog/?q=m10+shim+washer,https://www.daraz.pk/catalog/?q=m12+shim+washer,Needed for tub leveling at OEM mount locations.,BUY_NOW
Firewall/column/wiper/rear wiring grommets set,"35, 49, 157, 224",YES,35 and 49 treated as same grommet procurement track,PARTIAL (one grommet set appears procured),1000-7000,4500,https://www.daraz.pk/products/180pcs-rubber-grommet-kits-metric-rubber-o-rings-assortment-set-sealing-o-rings-rubber-washer-gasket-for-household-vehicle-i300571970.html,https://www.cityracerllc.com/products/wiper-motor-harness-grommet-for-75-to-84-land-cruiser-fj40-fj45,Confirm hole OD/ID sizes before final order quantity.,VERIFY_EXISTING_THEN_TOPUP
Engine mounts (front + rear),"22, 212",YES,22 and 212 merged,NOT_PURCHASED,10000-40000,35000,https://www.cityracerllc.com/products/motor-mount-kit-for-58-to-76-land-cruiser-fj40-fj45-fj55,https://www.cityracerllc.com/products/rear-motor-mount-for-toyota-land-cruiser-fj40-fj45-fj55,CityRacer note says one kit variant not compatible with diesel; verify engine family before purchase.,INSPECT_THEN_BUY_NEW
Gearbox / transfer mounts + top-cover bush service items,"14, 213",YES,Grouped for transmission support rubbers/bushes,NOT_PURCHASED,8000-30000,18500,https://cruisercorps.com/products/mounts-transmission-transfer-case,https://www.fjparts.com/58-80-land-cruiser-fj40-45-engine-motor-mount-rear-aft-p-480.html,Confirm mount style against your transmission/transfer combination.,INSPECT_THEN_BUY_NEW
Spring eye bushes (leaf springs),160,YES,N/A,NOT_PURCHASED,6000-20000,15000,https://www.cityracerllc.com/products/poly-leaf-spring-bushing-set-for-land-cruiser-fj40-fj45-fj60-fj62,https://www.arb.com.au/stores/arb-usa/,Each set quantity must match axle count and shackle/hanger sizes.,BUY_NEW_AFTER_SPRING_MEASURE
Shackle bushes,161,YES,N/A,NOT_PURCHASED,4000-15000,10000,https://www.cityracerllc.com/products/poly-leaf-spring-bushing-set-for-land-cruiser-fj40-fj45-fj60-fj62,https://www.arb.com.au/stores/arb-usa/,Match bush OD/ID to selected shackle/pin configuration.,BUY_NEW_AFTER_SPRING_MEASURE
Steering bushings,230,CONDITIONAL,N/A,NOT_PURCHASED,3000-12000,10000,https://www.pakwheels.com/accessories-spare-parts/search/-/ct_steering-suspension/,https://www.daraz.pk/catalog/?q=toyota+steering+bushing,Buy only if measurable play/cracking persists after inspection.,BUY_IF_WORN
Brake flexible hose set (front + rear center),"19, 190",YES,19 and 190 merged,NOT_PURCHASED,5000-15000,12500,https://www.cityracerllc.com/products/set-of-oem-front-brake-hoses-for-69-to-80-toyota-land-cruiser-fj40-bj40-fj55,https://www.cityracerllc.com/products/oem-rear-center-brake-hose-for-81-to-84-land-cruiser-fj40,"If lifted height changes, verify hose length requirement before ordering OEM-length hoses.",BUY_NEW
Clutch flex hose,197,CONDITIONAL,N/A,NOT_PURCHASED,3000-12000,10000,https://www.cityracerllc.com/products/oem-clutch-hose-for-9-71-to-12-75-land-cruiser-fj40-fj45,https://www.daraz.pk/catalog/?q=clutch+hose+toyota,Validate model year and hose end fittings before purchase.,BUY_IF_WORN
Fuel hose + return hose + hose clamps kit,"25, 202, 203, 204",YES,Rows grouped as one fuel-line rubber package,NOT_PURCHASED,10000-40000,33000,https://www.starshop.pk/product/esewalas-20pcs-fuel-line-kit985-feet-1-4-inch-id-fuel-line-hose2-5-11mm--in-pakistan/,https://www.daraz.pk/products/10pcs-fuel-line-jubilee-hose-clips-clamp-diesel-petrol-pipe-coolant-radiator-carbon-steel-galvanized-pipe-fittings-fixing-clamp-i645582306.html,Use fuel-rated hose only (diesel compatible) and quality clamps.,BUY_NEW
Heater hose set,"26, 207",CONDITIONAL,26 and 207 merged,NOT_PURCHASED,3000-12000,9000,https://www.cityracerllc.com/products/rear-heater-hose-for-land-cruiser-fj40-26,https://www.daraz.pk/catalog/?q=heater+hose+toyota,Verify ID and total run length before ordering by meter.,BUY_IF_AGED
Radiator/coolant hoses + thermostat gasket + radiator mount pads,"28, 30, 206, 210",CONDITIONAL,Grouped cooling rubbers and gasket line items,NOT_PURCHASED,12000-45000,23000,https://www.cityracerllc.com/products/oem-radiator-hoses-set-for-69-to-76-land-cruiser-fj40,https://www.cityracerllc.com/products/oem-coolant-overflow-hose-with-cap-for-78-to-84-land-cruiser-fj40,Confirm engine/year-specific hose geometry and thermostat housing style.,BUY_IF_AGED_OR_CRACKED
Reservoir hoses / caps / seals,194,CONDITIONAL,N/A,NOT_PURCHASED,2000-8000,8000,https://www.cityracerllc.com/products/oem-coolant-overflow-hose-with-cap-for-78-to-84-land-cruiser-fj40,https://industryparts.pk/products/o-ring-assortment-rubber-kit-382-pieces-30-sizes,Replace brittle caps and cracked small hoses during cooling refresh.,BUY_IF_AGED
Tank strap pads/rubbers + sender seal,"201, 200",CONDITIONAL,Grouped tank rubber ancillaries,NOT_PURCHASED,2000-12000,10000,https://www.pakwheels.com/accessories-spare-parts/search/-/q_tank+seal+toyota/,https://industryparts.pk/products/o-ring-assortment-rubber-kit-382-pieces-30-sizes,Confirm sender flange OD and strap pad dimensions before order.,BUY_IF_TANK_DROPPED
Door weatherstrip set,171,LATER_OPTIONAL,N/A,NOT_PURCHASED,30000-90000,80000,https://www.cityracerllc.com/products/front-door-seal-weatherstrips-for-73-to-74-land-cruiser-fj40,https://redlinelandcruisers.com/product/fj40-door-weatherstrip-kit-rl1144/,Year-specific profile; choose by door type (early vs late).,DEFER_UNTIL_BODY_FINISH
Windscreen rubber / base seal,172,LATER_OPTIONAL,N/A,NOT_PURCHASED,8000-25000,20000,https://www.cityracerllc.com/products/windshield-weatherstrip-for-75-to-84-land-cruiser-fj40,https://www.cityracerllc.com/products/land-cruiser-fj40-windshield-base-weatherstrip-spacer-seal,Match glass style/year before purchase.,DEFER_UNTIL_GLASS_STAGE
