component_group,specific_component,photo_count,video_count,date_range,stage_counts,example_files,model_groups,model_part_count,model_part_examples,model_confidence_mix,digital_twin_readiness,measurement_priority,job_status,job_action,reconciliation_status
chassis_underside,frame_floor_underside_and_lines,58,2,2026-03-31 to 2026-05-14,underside_inspection:55|brake_system:3,20260331_030439_gp_Hm0ga9nQ.jpg|20260331_224409.jpg|20260331_224411_gp_xotdHr5w.jpg|20260331_224415.jpg|20260331_224416_gp_HZ3sjkkA.jpg|20260331_224423.jpg|20260331_224424_gp_whE84rpw.jpg|20260331_224428.jpg,chassis,12,left_frame_rail|left_front_frame_horn_side_web|left_front_frame_horn_top_plate|left_rear_frame_horn_side_web|left_rear_frame_horn_top_plate|right_frame_rail|right_front_frame_horn_side_web|right_front_frame_horn_top_plate,L2 bracket reference:9|L0 envelope:2|L2 service datum:1,represented_needs_measurement_refinement,P1,,,
body_exterior,wing_removal_and_body_lift_prep,35,5,2026-04-19 to 2026-04-21,stripdown_cataloguing:35,20260419_190643_gp_UM5SilTQ.jpg|20260419_190654_gp_1EaxkrUA.jpg|20260419_190707_gp_WCc87lEg.jpg|20260419_190736_gp_ymvXBmNA.jpg|20260419_190741_gp_C3FddI9g.jpg|20260419_190749_gp_AtrQSXHA.jpg|20260419_190806_gp_9yVHtwgA.jpg|20260419_195946_gp_9VNxVqNA.jpg,body,12,left_door_hinge_pin_cap_1|left_door_hinge_pin_cap_2|left_door_hinge_pin_cap_3|left_door_hinge_pin_cap_4|left_front_fender|left_front_fender_sloped_outer_skin|right_door_hinge_pin_cap_1|right_door_hinge_pin_cap_2,L3 exterior material reference:8|L0 envelope:2|L4 gallery-shaped surface:2,represented_needs_measurement_refinement,P1,,,
body_floor,floor_pan_rust_zones,35,0,2026-04-13 to 2026-05-17,rust_assessment:35,20260413_005435.jpg|20260413_005437_gp_84WzM92A.jpg|20260413_005516.jpg|20260413_005520_gp_cPf1PDAg.jpg|20260413_005523.jpg|20260413_005526_gp_ZYnYrDDg.jpg|20260413_005529.jpg|20260413_005531_gp_5VurJvdg.jpg,body,12,floor_pan|floor_cross_pressing_1|floor_cross_pressing_2|floor_cross_pressing_3|floor_cross_pressing_4|floor_cross_pressing_5|floor_cross_pressing_6|rear_floor_longitudinal_rib_1,L2 panel rib reference:11|L0 envelope:1,represented_needs_measurement_refinement,P1,,,
engine_bay,engine_interior_and_stripdown_detail,32,0,2026-04-20,stripdown_cataloguing:32,20260420_005132_gp_MgOMVKpQ.jpeg|20260420_005143_gp_5JtjMOoA.jpeg|20260420_005201_gp_WEoLBuzQ.jpeg|20260420_005240_gp_2gDmDYfQ.jpeg|20260420_010535_gp_r3KU0Asw.jpg|20260420_013423_gp_albazLaw.jpeg|20260420_013526_gp_WY73IuyA.jpeg|20260420_013551_gp_Wytz9EgQ.jpeg,engine_bay,12,air_filter|alternator_body|battery_case|battery_negative_terminal|battery_positive_terminal|battery_tray_reference|brake_booster|brake_booster_firewall_bracket,L2 service datum:6|L2 visible-detail primitive:3|L0 envelope:2|L2 routing reference:1,represented_needs_measurement_refinement,P1,,,
engine_bay,cooling_pipe_fabrication_samples,29,0,2026-05-02 to 2026-05-29,fabrication_measurement:23|mechanical_baseline:6,20260502_004044_gp_Hx4Yo0Qg.jpg|20260502_004106_gp_wlYlUahA.jpg|20260502_004120_gp_7Jw9Zyrg.jpg|20260502_004133_gp_ZEpqmARA.jpg|20260502_004139_gp_jt1dGw4A.jpg|20260502_004145_gp_e8soxsyA.jpg|20260528_194853_gp_SiEb7xTg.jpg|20260528_235330_gp_8pOmnEbg.jpg,engine_bay,12,cooling_fan_blade_1|cooling_fan_blade_2|cooling_fan_blade_3|cooling_fan_blade_4|cooling_fan_blade_5|cooling_fan_blade_6|cooling_fan_hub|exhaust_downpipe_reference,L2 visible-detail primitive:8|L2 service datum:2|L1 visible-detail primitive:1|L0 envelope:1,measurement_photo_available_needs_cad_datum,P1,,,
engine_bay,engine_powertrain_cleaning_baseline,19,0,2026-05-01 to 2026-05-12,mechanical_cleaning:14|mechanical_baseline:5,20260501_194330_gp_CogcrEXA.jpg|20260501_194338_gp_81Nj4SVA.jpg|20260501_194344_gp_V7P0qatA.jpg|20260501_194402_gp_W9J4rcsw.jpg|20260501_194414_gp_gdDllc8Q.jpg|20260501_194421_gp_toAeFYqg.jpg|20260501_194427_gp_QjfOBtTQ.jpg|20260501_194435_gp_ewUJAfPA.jpg,engine_bay,12,air_filter|alternator_body|battery_case|battery_negative_terminal|battery_positive_terminal|battery_tray_reference|brake_booster|brake_booster_firewall_bracket,L2 service datum:6|L2 visible-detail primitive:3|L0 envelope:2|L2 routing reference:1,represented_needs_measurement_refinement,P1,,,
interior_cabin,dashboard_and_cabin_stripdown,19,0,2026-03-23,stripdown_cataloguing:19,20260323_180218.jpg|20260323_180220_gp_R3uBBhUw.jpg|20260323_180314.jpg|20260323_180316_gp_65cSGRyQ.jpg|20260323_185922_gp_XWQyq7dw.jpg|20260323_185947.jpg|20260323_185949_gp_bRW3C2Ng.jpg|20260323_190006_gp_xzDpzXmg.jpg,interior,12,dashboard_glovebox_door|dashboard|dashboard_gauge_1|dashboard_gauge_2|dashboard_gauge_3|dashboard_gauge_4|accelerator_linkage_pivot|accelerator_pedal_arm,L2 visible-detail primitive:5|L1 visible-detail primitive:4|L2 service datum:2|L0 envelope:1,represented_needs_measurement_refinement,P1,,,
body_floor,body_off_shell_floor_and_bulkhead,16,0,2026-04-22,rust_assessment:16,20260422_004449_gp_ZzlGoYsQ.jpg|20260422_004449_gp_ZzlGoYsQ_2.jpg|20260422_004513_gp_bgO24J2g.jpg|20260422_004513_gp_bgO24J2g_2.jpg|20260422_004523_gp_p13iAnmw.jpg|20260422_004523_gp_p13iAnmw_2.jpg|20260422_004536_gp_AAvm6QRQ.jpg|20260422_004536_gp_AAvm6QRQ_2.jpg,body,12,floor_cross_pressing_1|floor_cross_pressing_2|floor_cross_pressing_3|floor_cross_pressing_4|floor_cross_pressing_5|floor_cross_pressing_6|floor_pan|rear_floor_longitudinal_rib_1,L2 panel rib reference:11|L0 envelope:1,represented_needs_measurement_refinement,P1,,,
engine_bay,engine_bay_overview,15,0,2026-03-17 to 2026-04-23,stripdown_cataloguing:10|baseline_walkaround:5,20260317_235150.jpg|20260317_235152_gp_yJFNNGlA.jpg|20260317_235201.jpg|20260317_235204_gp_14hUn3XA.jpg|20260317_235216.jpg|20260317_235219_gp_rjDgGWZw.jpg|20260317_235229.jpg|20260317_235232_gp_3Ojs4Rag.jpg,engine_bay,12,air_filter|alternator_body|battery_case|battery_negative_terminal|battery_positive_terminal|battery_tray_reference|brake_booster|brake_booster_firewall_bracket,L2 service datum:6|L2 visible-detail primitive:3|L0 envelope:2|L2 routing reference:1,represented_needs_measurement_refinement,P1,,,
removable_panels,detached_body_panels_and_doors,15,0,2026-04-08 to 2026-04-23,hardware_refinish:11|removed_parts_cataloguing:4,20260408_211754.jpg|20260408_211756_gp_UFEU6uIA.jpg|20260408_211804.jpg|20260408_211806_gp_TbbCJsoQ.jpg|20260408_211812.jpg|20260408_211814_gp_hJ3szRKQ.jpg|20260408_212835_gp_nwY1TOwQ.jpg|20260408_212839.jpg,body,12,left_rear_tub_top_flange|right_rear_tub_top_flange|cowl_top|firewall|floor_cross_pressing_1|floor_cross_pressing_2|floor_cross_pressing_3|floor_cross_pressing_4,L2 panel rib reference:6|L0 envelope:3|L4 online-reference detail:2|L3 exterior material reference:1,represented_needs_measurement_refinement,P1,,,
