excel_row,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
1,Tub-Off To Refit Control Plan,,,,,,,
2,Generated,2026-04-15T03:52:25,,,,,,
3,Intent,Control welding + engine-access service + correct tub reattachment + ordered Ironman Foamcell suspension kit.,,,,,,
5,phase_id,lane,task,depends_on,inspection_or_measurement,parts_or_materials,decision_gate,completion_signal
6,TO1,body_structure,Pre-lift baseline capture and tagging,stripdown_cataloguing_complete,Photo and tag every mount point and spacer before separation.,"Tagging consumables, marker labels, template sheet",No tub lift until tag-map is complete.,Mount map and reference photos signed off.
7,TO2,body_structure,Tub lift and mount-point condition survey,TO1,"Record hole ovality, captive-nut condition, and corrosion depth at each point.","Inspection tools, rust-penetrant, borescope as needed",No welding closure without per-point repair decision.,Mount condition matrix completed.
8,TO3,body_structure,Welding and closure of mount interfaces,TO2,"Confirm mount faces, hole centerlines, and plate thickness restoration.","Repair plates, primer, metal protection",No refit planning until weld closure and anti-corrosion prep are complete.,All mount points dimension-checked and protected.
9,TO4,mechanical,Tub-off engine-bay access inspection and service list lock,TO2,"Inspect mounts, lines, hoses, clamps, shift linkage/top service items.",Service parts bundle + condition-based items,Buy only confirmed-failed items for condition-based components.,Inspection report with buy/no-buy per line item.
10,TO5,steering_brakes_suspension,Suspension install path: ordered Ironman Foamcell kit,TO3,"Validate spring arch, shackle angle, pinion/caster behavior after trial load.",Ironman main kit shipment; separate front damper shipment (24635FE x2),"Do not final-torque suspension until both shipments are received, contents-checked, and ride-height/alignment checks pass.",Suspension geometry check signed off.
11,TO6,body_weather_seal,Tub reattachment interface prep and trial fit,TO3,Dry trial fit with shim pack and rubber mounts before final bolt-up.,"Body mount rubber kit, hardware kit, shim/spacer pack",No permanent tub fastening before successful trial seating.,All attachment points align without forced fit.
12,TO7,integration,Final tub reattachment and torque map execution,TO6|TO5|TO4,Follow cross-pattern torque sequence and recheck after settling.,Final hardware and thread treatment,Gate to integration close only after torque recheck and gap alignment.,Tub fixed at all correct points with verified torque log.
13,TO8,integration,Post-refit validation,TO7,"Road/yard check for shift engagement, vibration, mount settling, and steering feel.",None beyond completed assemblies,Escalate only if disengagement or mount-settle issues remain.,Vehicle moves to reassembly validation lane.
