Action,Row,Item,Age_Condition_Acceptance,Expected_Range_PKR
BUY_NOW,244,Kit A bolt,NEW_ONLY,15000-35000
BUY_NOW,244,Kit A nut,NEW_ONLY,15000-35000
BUY_NOW,244,Kit A washer,NEW_ONLY,15000-35000
BUY_NOW,244,Kit A spring washer,NEW_ONLY,15000-35000
BUY_NOW,244,Kit A sleeve/spacer,NEW_ONLY,15000-35000
BUY_NOW,244,Kit A bolt,NEW_ONLY,15000-35000
BUY_NOW,244,Kit A nut,NEW_ONLY,15000-35000
BUY_NOW,244,Kit A washer,NEW_ONLY,15000-35000
BUY_NOW,244,Kit A spring washer,NEW_ONLY,15000-35000
BUY_NOW,245,Kit B bolt,NEW_ONLY,18000-40000
BUY_NOW,245,Kit B nuts,NEW_ONLY,18000-40000
BUY_NOW,245,Kit B nuts,NEW_ONLY,18000-40000
BUY_NOW,245,Kit B washers,NEW_ONLY,18000-40000
BUY_NOW,245,Kit B spring washers,NEW_ONLY,18000-40000
BUY_NOW,245,Kit B bolt,NEW_ONLY,18000-40000
BUY_NOW,245,Kit B nuts,NEW_ONLY,18000-40000
BUY_NOW,245,Kit B nuts,NEW_ONLY,18000-40000
BUY_NOW,245,Kit B washers,NEW_ONLY,18000-40000
BUY_NOW,245,Kit B spring washers,NEW_ONLY,18000-40000
BUY_NOW,246,Kit C captive nut,NEW_ONLY,7000-18000
BUY_NOW,246,Kit C captive nut,NEW_ONLY,7000-18000
BUY_NOW,246,Kit C weld nut,NEW_ONLY,7000-18000
BUY_NOW,246,Kit C weld nut,NEW_ONLY,7000-18000
BUY_NOW,246,Kit C rivnut,NEW_ONLY,7000-18000
BUY_NOW,246,Kit C rivnut,NEW_ONLY,7000-18000
BUY_NOW,247,Kit D star washer,NEW_ONLY,5000-12000
BUY_NOW,247,Kit D star washer,NEW_ONLY,5000-12000
BUY_NOW,247,Kit D star washer,NEW_ONLY,5000-12000
BUY_NOW,247,Kit D flange nut,NEW_ONLY,5000-12000
BUY_NOW,247,Kit D flange nut,NEW_ONLY,5000-12000
BUY_NOW,247,Kit D paste,NEW_ONLY,5000-12000
BUY_NOW,12,Body mount rubber,NEW_ONLY,15000-60000
BUY_NOW,13,Shims/spacers,NEW_ONLY,3000-12000
BUY_NOW,41,Ignition barrel,SERVICE_OR_NEW,4000-25000
BUY_NOW,186,Fuse box,NEW_ONLY,11100-21000
BUY_NOW,229,EPS kit,USED_TESTED_2005_2011_SCP90_NCP90_ONLY,54000-136000
BUY_IF_ENGINE_CODE_MATCH,29,Heat plugs / glow plugs,NEW_ONLY,12000-36000
MEASURE_THEN_BUY,15,Front leaf spring pack,NEW_FABRICATED_ONLY,35000-90000
MEASURE_THEN_BUY,16,Rear leaf spring pack,NEW_FABRICATED_ONLY,35000-90000
QUOTE_ONLY,33,OME shocks,NEW_GENUINE_ONLY,110000-220000
QUOTE_ONLY,44,OME shackle front,NEW_GENUINE_ONLY,25000-60000
QUOTE_ONLY,45,OME shackle rear,NEW_GENUINE_ONLY,25000-65000
QUOTE_ONLY,46,OME bush kit,NEW_GENUINE_ONLY,28000-60000
QUOTE_ONLY,47,OME U-bolt kit,NEW_GENUINE_ONLY,42000-98000
QUOTE_ONLY,230,Steering bushings,NEW_ONLY,3000-12000
