input_id,input_name,photo_refs,location_visible,identified_function_or_status,confidence,existing_wiring_reconciliation,refit_action,verification_before_connection,closeout_evidence_required,notes
EEI-001,Starter motor main feed solenoid trigger and ground return,20260517_204429_gp_yEAcUHBg,Starter motor and solenoid area on engine/gearbox side,Starter high-current B+ feed plus solenoid trigger region and ground return evidence,high,Reconcile to HD1 heavy cable path plus ignition/start control and WP03B starter-interrupt path; include engine/chassis ground in the same voltage-drop check,Replace damaged or taped small-wire ends; clean and protect heavy lugs; label solenoid trigger; confirm engine-to-chassis ground strap contact before final wrap,Read solenoid terminal markings; continuity-test start trigger from key/start relay path; crank-test solenoid pull-in; voltage-drop-test B+ and ground while cranking,Labelled before/after photo plus cranking voltage-drop readings,Do not rely on old splice colors; prove terminal identity at the starter
EEI-002,Alternator charge output regulator exciter sense and ground,20260517_204740_gp_yI8f8DQw|20260517_204756_gp_xdOm3erw,Alternator body and rear terminal side,Alternator charging circuit and regulator/exciter/sense wiring evidence,high,Reconcile to main charge lead plus charge warning/excite circuit plus voltage sense if fitted plus any external regulator wiring in the existing master,Map actual terminal markings before terminating; replace taped joints and weak ring or plug terminals; add heat/oil protection and strain relief near alternator,Confirm alternator terminal labels on the unit; continuity-test to battery/fuse point and warning lamp; live-test charge voltage and lamp behavior after start,Labelled terminal photo plus charging-voltage log,Do not assign B/L/IG/S/E or similar functions from wire color alone
EEI-003,Injection-pump or throttle-linkage electrical input,20260517_204504_gp_46p1VNCg|20260517_204550_gp_kDsqLZQg|20260517_204711_gp_jZ4tm3uQ|20260517_204725_gp_y7P6qvhQ,Injection-pump/throttle-linkage side with nearby hard lines,Electrical input near injection-pump or throttle linkage; possible fuel stop idle-up or engine-control function,medium,Reconcile to WP03B fuel-stop/diesel cutoff only after the device and wire behavior are proven; manual stop cable remains the backup path,Label connector and branch; replace damaged plug/boots if retained; secure loom away from linkage and injector lines; leave final wrap open until running tests pass,Identify device by terminal count and mechanical action; continuity-test to loom/dash side; test key-on/key-off behavior; verify normal engine shutdown plus manual fallback,Function label photo plus key-on/run/key-off test result,This is the likely place where the new diesel cutoff plan may meet existing engine hardware but it is not assigned until tested
EEI-004,Engine sender branch to gauges or warning lamps,20260517_204615_gp_wsn4bN8g|20260517_204711_gp_jZ4tm3uQ,Engine side sender/wire branch with green/red wiring visible,Probable sender or switch branch for gauge or warning-lamp input,medium,Reconcile to existing gauge/warning branch in WP03 and the dash cluster wiring map after sender type is identified,Trace each sender wire; replace brittle terminals and boots; protect the branch from heat/oil; record sender terminal labels,Resistance-test sender if gauge type; continuity-test to dash endpoint; ground-switch-test if warning-lamp type; confirm correct dash response,Sender close-up plus dash response test result,Treat as probable sender evidence only; exact coolant/oil/other function must be proven at the component
EEI-005,Unidentified two-wire inline engine connector,20260517_204445_gp_oaQKzDrA,Engine or gearbox-side inline connector close-up,Two-wire connector present but function unassigned from photo,medium,Hold as unassigned until both connector sides are traced; reconcile only after component endpoint and key-state behavior are known,Tag temporarily as U-01; inspect locking tabs and seals; repair or delete only after function is confirmed,Pin-to-pin continuity; voltage check in OFF/ACC/RUN/START; component endpoint identification; insulation check to ground,Photo with temporary label plus continuity record,No blind reconnection
EEI-006,Loose unassigned engine-side connector,20260517_204538_gp_9CERKvYA|20260517_204550_gp_kDsqLZQg,Loose connector/wire branch near injection-pump/engine-front area,Loose engine connector present but endpoint and function unassigned,medium,Hold as unassigned until traced to component or confirmed as obsolete/nonstandard wiring,Tag temporarily as U-02; trace loom direction; replace damaged shell if retained; remove only if proven non-baseline and safely isolated,Continuity to harness endpoint; key-state voltage check; component-end inspection; comparison against existing pin map,Photo with temporary label plus repair/delete decision,Keep this separate from EEI-003 until the endpoint is proven
EEI-007,Engine input loom route and protection,20260517_204550_gp_kDsqLZQg|20260517_204711_gp_jZ4tm3uQ|20260517_204725_gp_y7P6qvhQ,Injection-pump side hard-line and linkage route context,Routing and clearance control for engine input branch,medium,Reconcile to Electrical Master final protection row and any harness clip/bracket decisions before final wrap,Use P-clips or retained brackets plus abrasion sleeve plus heat/oil resistant protection plus grommets plus strain relief; keep branches serviceable,Check clearance to throttle linkage plus injection lines plus alternator plus starter plus steering/exhaust heat paths plus service-tool access after engine movement allowance,Final routed photo set with labelled clips and sleeves,This is not a circuit by itself; it is the closure gate that prevents the identified inputs becoming future faults
EEI-008,Fuel level sender and rear loom gauge input,20260323_202016|20260413_040659,Rear cargo floor and fuel tank bay context; sender close-up still missing,Fuel tank level sender circuit; not an engine input but belongs in the same electrical sender closeout list,low,Reconcile to L3 rear loom sender branch and instrument-cluster fuel gauge input; distinguish fuel-level sender from rear lighting and any future camera or display wiring,Capture tank sender or pickup close-up; tag sender lead; inspect tank ground path; do not close rear loom until gauge sweep is proven,Identify sender terminal and ground or reference path; resistance-test sender sweep; continuity-test to dash cluster; bench or live-test gauge response before final loom wrap,Sender unit close-up plus fuel gauge sweep/result log,Added from owner note 2026-05-18; current photo refs are tank and cargo-floor context only not sender terminal evidence
EEI-009,Turbo EGT thermocouple input,planned_turbo_manifold_probe,Pre-turbine exhaust manifold to firewall and dash gauge,Planned Type-K or gauge-specified thermocouple input for turbo thermal protection,high,Add to dedicated turbo instrument branch without splicing ordinary copper wire into the manufacturer extension lead,"Install probe at approved depth; use supplied/spec-matched extension wire and connector; preserve polarity; route away from turbine heat and alternator/starter/fan wiring with grommet strain relief.",Bench heat-response and polarity test; compare displayed temperature to workshop reference; prove high-temperature alarm before loaded tuning,Probe location photo plus labelled route plus calibration/alarm result,No fuel increase without functioning pre-turbine EGT monitoring
EEI-010,Turbo boost measurement input,planned_intake_plenum_reference,Intake plenum to dash gauge or electronic pressure sensor,Planned low-range boost monitoring for 5-7 psi mechanical-wastegate baseline,high,Mechanical gauge needs no sender power; electronic gauge uses fused turbo instrument branch and clean ground,"Provide a dedicated sealed plenum port; secure heat-rated reference hose or protected sensor wiring; avoid unsupported tees and keep service access.",Pressure-test reference circuit; compare gauge to workshop reference; verify zero and stable loaded reading,Labelled port/hose/sensor photo plus comparison readings,Do not confuse the boost gauge branch with wastegate reference or optional pump-compensator hose
