phase,priority,item,current_status,next_action,release_gate,do_not_do,source_refs
focus_rule,P0,Rear brakes first,active_focus,Park front disc pad/caliper/rotor shopping unless a safety or fit dependency forces it back into scope.,"Rear axle brake work can proceed with rear-only capture, sample matching, and service checks; final road test still validates the complete brake system.","Do not let front disc catalog searches delay rear axle hard lines, rear hose, drums, wheel cylinders, or parking-brake work.",user_update_2026-06-18_focus_rear_brakes|docs/brake-workstream.md
hydraulic_line,P0,Rear axle hard brake lines,tube_received_buy_spare_flare_nuts_anyway,"Buy a brake-rated 3/16 flare tube-nut set anyway, then photo tube label/printing, measure OD, count any Altivox kit fittings, sample-match thread/seat, and make practice double/inverted flares.","Brake-rated 4.75 mm / 3/16 in tube, brake-rated steel flare tube nuts that match old Toyota thread/seat, old route copied, and at least five clean practice double/inverted flares.","Do not use bare/plumbing copper, compression fittings, guessed threads, first-attempt flares on final vehicle lines, or rear wheel cylinders as evidence that flare fittings are covered.",BR-REAR-002|BHL-PART-001|BHL-PART-002|user_update_2026-06-18_copper_tubing_arrived|user_update_2026-06-18_rear_wheel_cylinder_clarification|user_query_2026-06-19_flare_nut_connectors_order_check|user_update_2026-06-19_buy_flare_tube_nuts_anyway
hydraulic_line,P0,Rear center flexible brake hose,outstanding_old_sample_required,"Remove/label only when hydraulics can be drained and capped; photograph both hose ends, bracket groove, retaining clip, free length, and axle droop route.","Complete crimped brake hose assembly rated DOT/SAE J1401 or OEM-equivalent, matched to old sample/thread/seat/free length.","Do not buy generic roll hose, reused hose, or any hose with unmatched fittings or no brake rating.",BR-REAR-003|data/manual/brake_outstanding_lahore_options_20260618.csv
drum_hydraulics,P0,Rear wheel cylinders,received_match_likely_final_teardown_check,"User reports the received rear wheel cylinders seem to match exactly. Photograph/count every cylinder, keep packaging, then confirm side/position, bore, port thread/seat, pushrod, mounting, boot, and bleed-screw access against the opened drums before installation.","Actual fitted count, bore, mounting bolt spacing, port thread/seat, pushrod end, boot shape, bleed screw size/access, and LH/RH or upper/lower position match old samples; no leaks after bleed.","Do not assume one visible top cylinder covers the full rear axle; do not fit a generic cylinder if bore, port, mount, or side/position differs.",BR-REAR-004|user_update_2026-06-18_rear_wheel_cylinder_clarification|user_update_2026-06-19_rear_wheel_cylinders_match_exactly
drum_friction,P0,Rear brake shoes/friction set,new_shoes_on_hand_fit_check,"User reports new rear brake shoes are on hand. Compare shoe width, arc, lining, web holes, and adjuster/parking-brake lever contact points to the opened drums before installation.","New shoes match actual drum diameter/backing-plate family and both sides can adjust, apply, and return evenly after bedding.","Do not assume the shoe order includes springs, clips, adjusters, or wheel-cylinder fasteners.",BR-REAR-005|gmail_order_1075298|gmail_order_1075421|user_update_2026-06-19_new_rear_brake_shoes_on_hand
drum_hardware,P0,Rear drum spring hold-down adjuster hardware,procured_by_amir_fit_check,"Compare Centric 116971-05110530 kit against opened drum layout before installation; replace all shoe return/hold-down/adjuster springs covered by the kit, and route external handbrake cable springs through the BR-REAR-009 hardware row if not included.","Spring hooks, wire diameter, hold-down pin length, cups, adjusters, retaining clips, parking-brake lever clips, and side-to-side layout match old parts; no reused weak springs remain in the rear drum/handbrake system.",Do not fit mismatched springs or incomplete side-to-side hardware.,BR-REAR-007|part_rear_drum_spring_hold_down_hardware_20260527|user_update_2026-06-19_replace_all_handbrake_springs
parking_brake,P0,Rear parking-brake splitter/equalizer cable assembly,local_fabrication_required_by_sample,"Focus on the back splitter/equalizer section that feeds both wheels. Photograph/remove the old section, keep every yoke/clevis/pin/spring, and take it to a Montgomery Road auto-control-cable maker to copy locally.","Local assembly pulls both rear wheel levers evenly through a free-moving equalizer, clips into original brackets, adjusts correctly, and releases fully through axle movement.","Do not buy another random catalog cable, use wire-rope clamps as final ends, or replace the splitter with two unequal cables.",BR-REAR-001|gmail_order_243701549680938|user_update_2026-06-19_long_handbrake_cable_wheel_end_parts_needed|user_update_2026-06-19_replace_all_handbrake_springs|user_update_2026-06-19_handbrake_cable_definite_need|user_request_2026-06-19_handbrake_buy_links_all_parts|user_update_2026-06-19_rear_handbrake_splitter_local_fabrication
parking_brake,P1,Rear parking-brake attachment hardware,outstanding_wheel_end_hardware_and_springs,"Source the yoke/equalizer/clevis/pin/clip/adjuster pieces locally by sample, likely Bilal Ganj for hard parts and Montgomery Road cable/brake shops for new pins, clips, and springs. Replace all handbrake springs.",Every cable-to-wheel connection has new or verified matching pins/clips/springs/adjusters; both wheels apply evenly and release fully without drag.,"Do not reuse stretched/weak handbrake springs, substitute wire, or assume the long cable includes wheel-end hardware.",BR-REAR-009|user_update_2026-06-19_long_handbrake_cable_wheel_end_parts_needed|user_update_2026-06-19_replace_all_handbrake_springs|user_request_2026-06-19_handbrake_buy_links_all_parts|user_update_2026-06-19_rear_handbrake_splitter_local_fabrication
drum_decision,P1,Rear brake drums,simple_cleanup_done_measure_still_pending,"User reports a simple drum cleanup is done. Still measure inside diameter, scoring, step, cracks, heat checking, and out-of-round per side before final brake assembly.",Each cleaned drum passes service-limit inspection or is safely machined/replaced by side-specific decision.,Do not order a generic drum pair before measurement.,BR-REAR-008|user_update_2026-06-19_simple_rear_drum_cleanup_done
support,P1,"Brake line clips, P-clips, U-clips, tees, and retainers",on_hand_fit_check,"Photograph/count original supports before removal; choose on-hand clips/tees for the same route, and tidy the axle-side routing so new hard lines and parking-brake cable are clipped, sleeved, and clear of chafe points.","Lines and cables are retained without metal-on-metal rub, unsupported spans, or binding through suspension travel; axle-side brackets/clip points are cleaned and protected.","Do not move brake lines to suit stocked clips, use cable ties, or fit plumbing tees/compression unions.",BR-REAR-006|BHL-PART-003|BHL-PART-005|user_update_2026-06-19_axle_side_tidy_request
consumables,P1,Hydraulic opening consumables,mostly_on_hand_verify_before_opening,"Confirm caps/plugs, catch bottle/tray, brake cleaner, rags, clear bleed hose, nitrile gloves, and sealed DOT 3 before opening lines.",Open ports capped immediately; final bleed uses clean fresh DOT 3 and no unknown old fluid.,Do not open the hydraulic system without caps and catch setup ready.,BR-SYS-002|BHL-PART-006
parallel_service,P0,Brake booster / servo service,service_rebuild_preferred_parallel,Send the removed booster for professional service/rebuild using the old unit as the sample; exchange unit only if rebuild is not viable and the sample match is proven.,"Video gate: old sample identity, side-by-side or before/after match, interface close-ups, vacuum hold for at least 60 seconds, assist movement, contamination check, and final acceptance before payment/collection.","Do not buy a raw untested used booster, single/drum booster, welded shell, wrong pushrod/stud pattern, or unit with vacuum leakdown.",BR-SYS-003|docs/amir-refurbishment-video-gates-20260529.md|user_update_2026-06-18_booster_service_preferred
axle_tidy,P1,Rear axle-side backing-plate tidy,scope_added_do_while_brakes_apart,"With drums/hardware off, clean the backing-plate outside face, axle tube bracket area, clip points, and wheel-cylinder/hard-line entry area; inspect for axle seal leaks, cracks, loose brackets, chafe marks, and corroded fasteners before reassembly.","Axle-side brake area is clean, dry, leak-free, lightly protected/painted only where appropriate, and all brake line/cable supports are tidy without contaminating friction surfaces.","Do not paint friction surfaces, rubber boots, bleeders, threads, flare seats, drum faces, shoe linings, or mask leaks with paint/undercoat.",user_update_2026-06-19_axle_side_tidy_request
