step_id,work_package_id,component_job_id,phase,action,gate_or_hold,output_record,notes
WP02-WIN-01,WP02,front_vent_window_assemblies,intake_tagging,"Tag LH/RH assemblies, mark orientation, bag screws/clips/springs, and photograph both faces before teardown.",No teardown without side/orientation tags.,Tagged photo set plus bag labels,"Use the May 3 photo as intake evidence; add close-ups before removing glass or rubbers."
WP02-WIN-02,WP02,front_vent_window_assemblies,condition_inspection,"Check glass cracks/chips, tint condition, frame corrosion, lower tabs, pivots, latch hardware, rubber shrinkage, and drain/weep paths.",No replacement buy before this inspection is recorded.,Inspection notes with reusable/replace decision per subpart,"Classify glass, metal frame, latch/pivot hardware, and seals separately."
WP02-WIN-03,WP02,front_vent_window_assemblies,controlled_disassembly,"Remove loose hardware and rubbers only as needed; protect glass edges and avoid forcing bonded or brittle rubber.",Stop if glass or frame starts loading.,Disassembly photos and parts tray inventory,"Do not mix LH/RH screws or shims."
WP02-WIN-04,WP02,front_vent_window_assemblies,metal_refurbish,"Wire-brush small tabs/channels by hand, de-rust, neutralize, epoxy-prime, and topcoat/refinish metal contact surfaces.",No paint over active rust or trapped rubber residue.,Refinished frame/bracket photos,"Keep sealing faces smooth so new or reused rubber can seat."
WP02-WIN-05,WP02,front_vent_window_assemblies,mechanism_service,"Clean and lubricate pivots/latches/sliders, confirm free movement, and replace only damaged fasteners or springs.",No refit if mechanism binds or has missing retention hardware.,Bench movement check,"Use light lubricant compatible with rubber and painted surfaces."
WP02-WIN-06,WP02,front_vent_window_assemblies,seal_glass_decision,"Clean glass, inspect perimeter fit, decide reuse versus replacement seals, and capture seal profile measurements if replacement is needed.",Seal buy held until profile and length are measured.,Seal decision row or procurement update,"Prefer exact profile match; avoid generic rubber until trial fit proves compression."
WP02-WIN-07,WP02,front_vent_window_assemblies,bench_validation,"Assemble temporarily, check latch closure, frame seating, glass clearance, and run a controlled water test off the vehicle.",No WP02 closure until water path is understood.,Bench fit and water-test result,"Record any leak point before final body refit."
WP02-WIN-08,WP02,front_vent_window_assemblies,storage_refit_release,"Store wrapped and tagged with hardware bags attached; release to refit only after WP01 body sealing and paint contact surfaces are closed.",Blocked by WP01 body/floor/rust closure.,Refit-ready tag,"This sub-job feeds WP02 and then WP06 final reassembly."
WIN-ALL-01,WIN,front_windows,intake_scope,"Bring front windshield, side glass, vent/quarter assemblies, rear hatch/window mechanisms, and window rubbers into one windows workstream so repair and seal buys are not split across body/chassis rows.",Do not buy a complete seal kit before the actual glass/channel inventory is tagged.,Windows scope checklist,May 17 window photos start the wider intake beyond the earlier front vent assemblies.
WIN-ALL-02,WIN,window_mechanisms,hardware_inventory,"Tag and inspect latches, pivots, sliders, channels, fasteners, shims, and clips by window location.",No mixed loose hardware bins.,Window hardware inventory row,"Separate mechanism service from rubber sourcing so missing or seized hardware is caught before refit."
WIN-RUB-01,WIN,window_rubbers_weatherstrips,profile_measurement,"Measure old rubber/weatherstrip profile, total length, groove width, glass thickness, lip direction, and compression gap for each fixed, sliding, vent, and rear window location.",No replacement rubber order without profile and length evidence.,Window seal profile sheet,"Use the May 17 ruler photos as intake evidence; final release still needs calipers/profile close-ups."
WIN-RUB-02,WIN,window_rubbers_weatherstrips,sourcing_trial_fit,"Compare reusable seals, supplier samples, and any model-specific kit against the actual glass/channel before buying a full set.",Reject generic rubber that has not been trial-fitted.,Supplier/sample decision row,"Prefer one matched seal route where possible; keep old pieces as templates until receipt check passes."
WIN-ALL-03,WIN,front_windows,bench_refit_water_test,"After frame repair and seal choice, bench-fit glass into cleaned channels, test latch/slider movement, and run a controlled water check before final body refit.",No final body refit with untested windows.,Bench-fit and leak-test result,"Record leak points and adjustment needs while access is still good."
