id,component,quantity,manufacturer_model,controlled_feature,width_mm,height_mm,depth_mm,nominal_mount_cut_mm,status,source,measurement_gate,production_use,notes
LCD-01,Pioneer multimedia receiver,1,DMH-AP6650BT,Nose/front bounding envelope,229,131,13,,PUBLISHED,https://pioneer-mea.com/wp-content/uploads/2025/07/OPM_DMHAP6650BTGS_EG.pdf,M4/M5,REFERENCE_ONLY,"Corner radii, front-glass offset and mounting coordinates are not published; measure received unit"
LCD-02,Pioneer multimedia receiver,1,DMH-AP6650BT,Chassis bounding envelope,188,108,37,,PUBLISHED,https://pioneer-mea.com/wp-content/uploads/2025/07/OPM_DMHAP6650BTGS_EG.pdf,M4/M5,REFERENCE_ONLY,"Do not infer connector or cable-bend envelope from chassis box"
LCD-03,Pioneer multimedia receiver,1,DMH-AP6650BT,Effective display area,196.608,114.15,,,PUBLISHED,https://pioneer-mea.com/wp-content/uploads/2025/07/OPM_DMHAP6650BTGS_EG.pdf,M4/M5,REFERENCE_ONLY,"Display area offset relative to 229 x 131 nose is not published"
LCD-04,Pioneer multimedia receiver,1,DMH-AP6650BT,Display nominal diagonal,,,,,PUBLISHED,https://pioneer-mea.com/wp-content/uploads/2025/07/OPM_DMHAP6650BTGS_EG.pdf,,REFERENCE_ONLY,228.6 mm / 9-inch wide display; 1024 x 600 pixels
LCD-05,Pioneer multimedia receiver,1,DMH-AP6650BT,Rear mounting screws,,,,M3 x 8,PUBLISHED,https://www.pioneer.com.au/wp-content/uploads/2024/12/DMHAP6650BT-Quick-Start-Guide.pdf,M4/M5,VERIFY_RECEIVED_PART,"Four supplied binding-head screws are stated; hole coordinates are not stated"
LCD-06,Pioneer installation,1,DMH-AP6650BT,Installation angle range,,,,0-30 degrees,PUBLISHED,https://www.pioneer.com.au/wp-content/uploads/2024/12/DMHAP6650BT-Quick-Start-Guide.pdf,M4/M5,DESIGN_CONSTRAINT,Install horizontally within 0 to 30 degrees
LCD-07,Pioneer installation,1,DMH-AP6650BT,Clear-space graphic,,,50,,PUBLISHED_WITH_INTERPRETATION,https://www.pioneer.com.au/wp-content/uploads/2024/12/DMHAP6650BT-Quick-Start-Guide.pdf,M4/M5,VERIFY_IN_BUCK,"Guide says leave ample space and shows 5 cm; treat as a clear zone rather than adding it to product depth"
SW2-01,Selector switch,4,Schneider Harmony XB4BD21,Overall bounding envelope,30,47,68,22.5,PUBLISHED,https://eshop.se.com/sg/selector-switch-harmony-xb4-metal-black-22mm-2-positions-stay-put-1no-xb4bd21.html,M6,VERIFY_RECEIVED_PART,"2 positions; stay put; standard handle; 1NO"
SW3-01,Selector switch,3,Schneider Harmony XB4BJ33,Overall bounding envelope,30,48,68,22.5,PUBLISHED,https://eshop.se.com/sg/selector-switch-harmony-xb4-metal-black-22mm-long-handle-3positions-stay-put-2no-xb4bj33.html,M6,VERIFY_RECEIVED_PART,"3 positions +/-45 degrees; stay put; long handle; 2NO"
HAZ-01,Hazard pushbutton,1,Unconfirmed generic 16 mm class,All physical dimensions,,,,16 class only,UNVERIFIED_PURCHASE_DESCRIPTION,,M6,HOLD,"Measure bore, flat/notch, bezel, projection, body, terminals and panel-thickness range"
ROW-01,Control bank,1,4 x XB4BD21 + 3 x XB4BJ33 + hazard,Provisional centre pitch,40,,,,PROVISIONAL_PROJECT_ASSUMPTION,,M6,ARRANGEMENT_ONLY,"Not released for transfer; 7 intervals give 280 mm first-to-last centre span"
DASH-01,Vehicle dashboard,1,Toyota J40,Common coordinate datum,,,,,NO_VALID_SCALE_EVIDENCE,,M1,HOLD,Establish perpendicular X/Y datums on bare dashboard
DASH-02,Vehicle dashboard,1,Toyota J40,Glovebox-side boundary and top corner radius,,,,,DIRECT_TRACE_REQUIRED,,M2,HOLD,Trace retained glovebox edge and adjacent top corner
DASH-03,Vehicle dashboard,1,Toyota J40,Speedometer-side boundary and top corner radius,,,,,DIRECT_TRACE_REQUIRED,,M3,HOLD,Trace retained speedometer/column edge and adjacent top corner
DASH-04,Vehicle dashboard,1,Toyota J40,Factory straight bottom line,,,,,DIRECT_TRACE_REQUIRED,,M2,HOLD,"New insert must close on the existing line with zero downward extension"
DASH-05,Vehicle dashboard,1,Toyota J40,Removed ashtray/opening boundary and attachment flange,,,,,DIRECT_TRACE_REQUIRED,,M1/M2,HOLD,Record cut edge and all surviving usable flange widths
DASH-06,Vehicle dashboard,1,Toyota J40,Rear clearance depth map,,,,,DIRECT_MEASUREMENT_REQUIRED,,M4/M5,HOLD,Measure at screen corners/chassis and every control centre
VENT-01,Outer circular outlets,4 ordered / 2 selected,Unconfirmed purchased SKU,Visible face and full retained package,,,,,NO_TRUSTWORTHY_PUBLISHED_DIMENSIONS,,M7,HOLD,"Outside the centre insert; measure all received outlets and choose matched pair"
HVAC-01,Under-dash HVAC package,1,Unselected / unmeasured,Case fittings drain and two complete branches,,,,,NO_CONTROLLED_DIMENSIONS,,M8,HOLD,Must be packaged with dashboard buck
PANEL-01,New centre insert,1,Custom,Perimeter and attachment features,,,,,UNRELEASED,,M1-M9,DO_NOT_CUT,"Cannot be exact until dashboard trace, received-part measurements and full-depth buck are complete"
