gate_id,component,identity_or_measurement_required,pass_rule,release_effect,status
J80-001,RHD J80 steering box,"observed as-fitted raised case mark 25050; still require donor model/year, complete part or casting identity, RHD orientation, mount pattern, input spline, sector spline, port threads, overall envelope, condition","one exact rebuildable/verified box is identified and photographed with measurements; raised 25050 alone does not prove donor application",allows rigid chassis mock-up,OPEN_PARTIAL_ID_25050
J80-002,matched pitman arm,"part identity, sector compatibility, clocking, centre distance, drop/offset, ball-joint or drag-link interface","arm is proven matched to selected box and clears frame/spring through lock-to-lock",allows linkage mock-up,OPEN
J80-003,J40 frame and reinforcement,"rail dimensions/thickness, existing holes/repairs, actual J80 bolt centres, sleeve and tool access","new full-size J40-to-J80 template fits actual box and sound frame; J60 pattern is not reused by assumption",allows engineering drawing only,OPEN
J80-004,column and collapsible shaft,"J40 column lower support, J80 input spline, joint ratings/angles, shaft plunge, firewall support","supported double-joint layout has adequate collapse/plunge and no bind through engine movement",allows shaft detail release,OPEN
J80-005,drag link and axle interface,"ride-height centre distance, both end tapers/threads, joint angles, adjustment, bump/rebound and lock-to-lock sweep","matched/custom link runs without bind/contact and produces required full steering travel",allows drag-link purchase/fabrication,OPEN
J80-006,2H pump drive,"pump identity, flow, pressure, relief, fluid, bracket rigidity, pulley plane, belt wrap and service path","pump specification is compatible with exact J80 box and pulleys align under load",allows pump bracket release,OPEN
J80-007,hydraulic circuit,"box port threads, pump outlet, reservoir height/capacity, hose ratings, bend radii, heat and movement","rated hoses use correct ends and remain clear/cool/serviceable lock-to-lock",allows final hose manufacture,OPEN
J80-008,battery carrier interaction,"box/shaft/pitman/port/hose/bolt/tool envelope plus 340 x 265 tray and 300 x 205 battery footprint","current battery/tray orientation clears all steering/service envelopes; battery-only 90-degree rotation is rejected because 300 mm exceeds the 265 mm tray side; any whole-carrier turn separately proves a 265 x 340 bay envelope plus bonnet, terminal, cable and lift-out clearance",allows carrier holes to be locked,OPEN
J80-009,turbo interaction,"manifold/turbo/downpipe/heat-shield envelopes, engine roll, steering hoses and shaft","no contact or unsafe heat exposure at full steering travel and engine movement",allows hot-side fabrication,OPEN
J80-010,commissioning,"fastener marks/torques, hose flush/bleed, leak check, lock-to-lock, return to centre, bump steer and road test","independent inspection and controlled low-speed/load test pass",allows road release,OPEN
