excel_row,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12
1,Item_Group,Covers_Parts_Rows,Required_For_Current_Build,Duplicate_Reconciled_From,Current_Procurement_Status,Price_Range_PKR,Medium_PKR,Online_Primary,Online_Backup,Fitment_Note,Decision,
2,Body-to-chassis mount rubber kit (main tub/chassis rubbers),"12, 169",YES,169 duplicate estimate merged into 12,NOT_PURCHASED,15000-60000,30000,https://www.pakwheels.com/accessories-spare-parts/search/-/q_body+mount+rubber+toyota+land+cruiser/,https://www.daraz.pk/catalog/?q=body+mount+bushing+toyota,Critical before tub refit; match sleeve stack heights to OEM mount points.,BUY_NEW_NOW,
3,Body mount shim/spacer alignment pack,"13, 168",YES,168 duplicate estimate merged into 13,NOT_PURCHASED,3000-12000,7000,https://www.daraz.pk/catalog/?q=m10+shim+washer,https://www.daraz.pk/catalog/?q=m12+shim+washer,Needed for tub leveling at OEM mount locations.,BUY_NOW,
4,Firewall/column/wiper/rear wiring grommets set,"35, 49, 157, 224",YES,35 and 49 treated as same grommet procurement track,PARTIAL (one grommet set appears procured),1000-7000,4500,https://www.daraz.pk/catalog/?q=rubber+grommet+kit+automotive,https://www.pakwheels.com/accessories-spare-parts/search/-/q_rubber+grommet+kit/,Confirm hole OD/ID sizes before final order quantity.,VERIFY_EXISTING_THEN_TOPUP,
5,Engine mounts (front + rear),"22, 212",YES,22 and 212 merged,NOT_PURCHASED,10000-40000,35000,https://www.pakwheels.com/accessories-spare-parts/search/-/q_2h+engine+mount+toyota/,https://www.daraz.pk/catalog/?q=toyota+engine+mount+rubber,CityRacer note says one kit variant not compatible with diesel; verify engine family before purchase.,INSPECT_THEN_BUY_NEW,
6,Gearbox / transfer mounts + top-cover bush service items,"14, 213",YES,Grouped for transmission support rubbers/bushes,NOT_PURCHASED,8000-30000,18500,https://www.pakwheels.com/accessories-spare-parts/search/-/q_transmission+mount+toyota+land+cruiser/,https://www.daraz.pk/catalog/?q=gearbox+mount+rubber+toyota,Confirm mount style against your transmission/transfer combination.,INSPECT_THEN_BUY_NEW,
7,Spring eye bushes (leaf springs),160,YES,N/A,PENDING_IRONMAN_RECEIPT_CHECK,6000-20000,15000,https://www.pakwheels.com/accessories-spare-parts/search/-/q_leaf+spring+bush+toyota/,https://www.daraz.pk/catalog/?q=leaf+spring+bush,"Do not order separately until the Ironman kit contents are counted; if missing, match spring eye ID, pin OD, sleeve length, and bush width.",VERIFY_IRONMAN_KIT_THEN_BUY_IF_MISSING,
8,Shackle bushes,161,YES,N/A,PENDING_IRONMAN_RECEIPT_CHECK,4000-15000,10000,https://www.pakwheels.com/accessories-spare-parts/search/-/q_shackle+bush+toyota/,https://www.daraz.pk/catalog/?q=shackle+bushing,"Do not order separately until the Ironman kit contents are counted; if missing, match shackle/pin OD, hanger ID, sleeve length, and flange width.",VERIFY_IRONMAN_KIT_THEN_BUY_IF_MISSING,
9,Steering bushings,230,CONDITIONAL,N/A,NOT_PURCHASED,3000-12000,10000,https://www.pakwheels.com/accessories-spare-parts/search/-/ct_steering-suspension/,https://www.daraz.pk/catalog/?q=toyota+steering+bushing,Buy only if measurable play/cracking persists after inspection.,BUY_IF_WORN,
10,Brake flexible hose set (front + rear center),"19, 190",YES,19 and 190 merged,NOT_PURCHASED,5000-15000,12500,https://www.pakwheels.com/accessories-spare-parts/search/-/q_brake+hose+toyota+land+cruiser/,https://www.daraz.pk/catalog/?q=brake+hose+toyota,"If lifted height changes, verify hose length requirement before ordering OEM-length hoses.",BUY_NEW,
