system,component,known_or_current_location,required_action,provisional_destination_or_rule,conflict_to_check,release_state,measurement_or_evidence_needed
Engine,Toyota 2H engine and final mounts,Longitudinal centre of bay,RETAIN/FREEZE,Final mounts define all package datums,Engine roll and bonnet/body clearance,MEASUREMENT HOLD,Record engine position and movement at torque reaction
Steering,Fitted late-J40 hydraulic gear baseline plus planned RHD J60/HJ60 box matched pitman/linkage and collapsible shaft,Driver-side chassis rail and column corridor beside battery carrier and turbo hot side,REPLACE/TRIAL-FIT,Current J40-type interface survey plus actual J60 box mount input-shaft line and pitman/drag-link geometry control battery support turbo and downpipe,J40 frame/pedestal battery saddle/offset bars turbo manifold downpipe engine mount axle linkage and tool access,COMPONENT-FIRST HOLD,Measure the fitted baseline; acquire and identify the exact RHD J60/HJ60 box/input spline/sector/pitman; record mount pattern box/port envelope shaft angle pitman lock-to-lock sweep drag-link line service-tool access and engine-roll clearance; no J80 procurement
Steering,Power-steering pump and belt,Engine front accessory drive,RETAIN/FREEZE,Final aligned bracket and belt plane,A/C compressor alternator hoses fan and belt service,MEASUREMENT HOLD,Actual pump bracket pulley alignment and belt-removal path
Steering,Power-steering reservoir and hoses,Not yet frozen,ADD/MOVE,Upright accessible cool zone away from turbo heat,Downpipe heat bonnet hose bend radius and steering movement,MEASUREMENT HOLD,Reservoir envelope cap/tool sweep and lock-to-lock hose sweep
Intake,Existing large round air cleaner,Rear/side bay region shown in baseline photos,MOVE,Remove from turbo/charge packaging corridor,Bonnet brake hydraulics battery and turbo inlet route,RELOCATION REQUIRED,Full envelope inlet/outlet centres and removal path
Intake,Compact sealed remote air cleaner,Not installed,ADD,Cool-air wing/remote zone selected by full-size mock-up,Water ingress service access battery and charge pipes,MEASUREMENT HOLD,Rated airflow filter element size duct bends and dust/water protection
Breather,Crankcase separator and hoses,Not installed,ADD,Accessible cool location feeding clean-air duct before compressor,Restriction drain service and turbo/downpipe heat,MEASUREMENT HOLD,Measured blow-by separator rating hose bore and drain/service envelope
Turbo,Low-mount manifold and TD05H 16G turbo,Selected package not finally positioned,ADD,Low mount controlled by steering/body datums,Steering starter oil filter A/C bonnet wing and engine roll,MEASUREMENT HOLD,Actual supplied assembly rigid mock-up with actuator and inlet/outlet elbows
Turbo,Turbo oil feed,Not installed,ADD,Verified 2H gallery take-off to turbo supplier specification,Exhaust heat vibration and service access,DESIGN HOLD,Port thread hot oil pressure and supplier restrictor requirement
Turbo,Gravity oil drain and sump return,Not installed,ADD,Continuous fall to bung above normal sump oil level,Steering engine mount exhaust and sump removal,MEASUREMENT HOLD,Turbo drain centre sump oil level route gradient and removable-sump weld plan
Exhaust,Downpipe heat shield flex and hangers,Not installed,ADD,Independently supported route after steering/turbo freeze,Steering hoses starter firewall floor brake/fuel lines,MEASUREMENT HOLD,Full-size tube mock-up engine-roll gap and hanger pickup evidence
Charge air,Charge cooler,Conflicting front-pack and side/wing specifications,DECIDE,Choose one signed architecture before fabrication,Front cooling restriction versus side-wing duct and hot-air exit,DECISION HOLD,Reconcile turbo sheet with Rev H; prove duty pressure loss and complete installed envelope
Charge air,Beaded charge pipes couplers and supports,Not installed,ADD,Turbo to chosen cooler to intake with movement joints,Air cleaner battery steering A/C bonnet and service routes,MEASUREMENT HOLD,Chosen cooler ports full bend templates support points and pressure test
Cooling,HJ47/2H radiator rear mechanical fan and shroud,Front cooling plane,RETAIN/REPACKAGE,Rev H measured two-side rail/saddle interface,Fan movement cap hoses bonnet and removal path,MANUFACTURE HOLD,Signed B0 H0-L H0-R W0 P0 R0 M3 and full-size dummy
Cooling,A/C condenser and front fan provision,Front of radiator in cooling aperture,RETAIN/REPACKAGE,Rev H stack subject to complete-depth proof,Charge-cooler decision drier fittings grille and airflow,MANUFACTURE HOLD,Physical condenser/fan samples complete depth and installed performance evidence
A/C,A/C compressor clutch and belt,Engine front/side as shown in baseline photos,RETAIN/FREEZE,Keep final serviceable accessory-drive position,Turbo charge pipes steering pump alternator and belt access,MEASUREMENT HOLD,Port style clutch voltage pulley alignment and service-removal path
A/C,Receiver-drier and barrier hoses,Not finally located,ADD/MOVE,Vertical rubber-lined clamp behind a measured upright,Charge pipes fan shroud heat and hose bends,MEASUREMENT HOLD,Actual drier fittings trinary switch envelope and hose templates
Electrical,Daewoo DLS120 battery and hold-down,Known rear-side battery pocket,RETAIN/REPACKAGE,Chassis-supported tray/stand in measured pocket,Bonnet terminals air cleaner charge pipes and lift-out path,PROTOTYPE HOLD,Actual XYZ case/terminal dimensions tray underside pickups and bonnet gap
Electrical,Master cutoff or 100A breaker,Battery-side,RETAIN/REPACKAGE,Immediately beside battery before longer protected feed,Terminal boots key/knob sweep and battery lift-out,MEASUREMENT HOLD,Actual body studs lug bends boots operating and tool sweeps
Electrical,Relay Rev D covered box,Former battery-ladder plan is superseded,MOVE,Independent high/rear structural bracket near cooling aperture,Airflow lid sweep hoses fans bonnet splash and module removal,MEASUREMENT HOLD,Mock actual 360 x 245 base and cover sweep at E2/E2a position
Electrical,MIDI Rev D hinged fuse enclosure,Former battery-ladder plan is superseded,MOVE,Independent high/rear bracket staggered vertically/depth within Relay projected width,Relay box lid sweep cable bends fans airflow and removal,MEASUREMENT HOLD,Mock actual 210 x 165 x 65 body 230 x 185 lid envelope glands and fuse access
Electrical,Turbo instruments senders and thermocouple loom,Reserved circuit only,ADD,Protected fused instrument branch with clean ground,Turbo/downpipe heat alternator starter fan and compressor noise,DESIGN HOLD,Final gauge/sender set EGT cable route fuse load and connector locations
Engine service,Alternator,Engine front side,RETAIN/FREEZE,Preserve fitted alignment and adjustment sweep,Turbo charge pipes steering pump A/C and removal path,MEASUREMENT HOLD,Adjustment arc belt path tool access and lift-out envelope
Engine service,Starter,Engine side near hot-side corridor,RETAIN/FREEZE,Preserve service removal without removing turbo system,Manifold downpipe heat shield and steering,MEASUREMENT HOLD,Actual starter removal envelope tool path and heat clearance
Engine service,Oil filter and vacuum-pump arrangement,As fitted on retained 2H,RETAIN/FREEZE,Preserve filter change and pump service access,Turbo oil lines manifold downpipe and charge pipes,MEASUREMENT HOLD,Filter removal cylinder tool path and vacuum-pump envelope
Fuel,Fuel filter injection pump hard lines and flexible feeds,As fitted on retained 2H,RETAIN/MOVE ONLY IF NEEDED,Keep accessible and outside unshielded hot-side zone,Manifold turbo downpipe vibration and air ingress,MEASUREMENT HOLD,Photograph all routes then prove heat/chafe clearance and bleed access
Brakes,Brake booster and master cylinder,Firewall; booster function accepted,RETAIN/FREEZE,Cosmetic work only with sealed/adjusted interfaces untouched,Air cleaner charge pipes and service access,ACCEPTED WITH FIT CHECK,Preserve pushrod check valve lines reservoir and removal envelope
Clutch,Clutch master reservoir lines and slave hose route,Firewall/chassis as fitted,RETAIN/MOVE ONLY IF NEEDED,Preserve service and bleed access away from heat,Turbo/downpipe heat charge pipes and steering,INSPECT THEN REPLACE,Record full route condition fittings and heat clearance
