ref,hand,qty,item,make_or_buy,provisional_stock_or_product,final_control,release_state,finish,notes
X0,Centre,1,Lower full-width crossmember,MAKE,"40 x 40 x 3 mm mild-steel SHS for packaging/mock-up only if L0 <= 700 mm and MR <= 35 kg","Structural drawing: section length ends connections welds fasteners torque",HOLD,"2K epoxy + 2K polyurethane; cavity wax if eligible","No final cut from nominal stock guidance"
X1,LH/RH,2,Formed lower saddle seats,MAKE,"Released structural steel plate/section; thickness HOLD","S0 plus selected R1 sample drainage and structural calculation",HOLD,"Same compatible ferrous coating system","Full rubber support; no tank seam or metal contact"
X2,LH/RH,2,Compact removable crossmember-to-upright end brackets,MAKE,"Released structural steel plate/section; no assumed thickness","U0-L/U0-R released existing structural pickups plus parent inspection and structural drawing for outline material bends holes gussets welds/fasteners torque",HOLD,"Same compatible ferrous coating system","Mirror-handed; smallest released attachment envelope; never use steering suspension bumper tow or thin sheet. No new chassis holes or upright alteration except a separately written U0/competent-person release that names a pre-existing non-structural projection and defines cut line retained ligament/edge distance weld/HAZ exclusion repair drainage and corrosion protection"
T0,LH/RH,2,Short upper locator ears,MAKE,"Released plate/section; no assumed 3 mm thickness","B0 transferred only after natural R0 seating",HOLD,"Same compatible coating system","Locator/restraint only; must not lift or unload either R1 saddle"
C1,Measured,Measured,Independent condenser support brackets,MAKE,"Compatible isolated steel or aluminium design","C0 full map ports pipe/tool sweep and isolator drawing",HOLD,"Substrate-compatible finish","No load through a heat-exchanger core"
F1,Centre,1 set,Single FS front-pusher carrier rails/tabs,MAKE,"Released compatible section","Complete FS frame map and centred C0 usable face",HOLD,"Substrate-compatible finish","Exactly one complete front fan; no through-core ties"
F2,Measured,1 set,FL rear-puller support rails/tabs and seal land,MAKE,"Released compatible section","Complete FL frame R0 seal map and service sweep",HOLD,"Substrate-compatible finish","Independent support; continuous EPDM seal; zero core load"
G1,Measured,1 set,Removable G0 guard stand-offs,MAKE,"Released compatible section","G0 frame map clearance and removal path",HOLD,"Substrate-compatible finish","Rubber-faced with edge protection and accessible locking hardware"
E1,Measured,1,Relay/fuse mounting plate,MAKE,"Released coated metal plate","Electrical enclosure relay/fuse cable-bend drainage and service map",HOLD,"Substrate-compatible finish","No side annex or water-trapping orientation"
R1,LH/RH,2,J40-pattern lower radiator rubber saddles,BUY,"New automotive rubber parts matched to actual locators","S0 locator diameter cup depth installed height load area and compound",HOLD,Uncoated,"Old rubber is pattern only"
R2,LH/RH,2 sets,Upper EPDM bush and crush-sleeve hardware,BUY,"New EPDM bushes fitted steel sleeves broad zinc washers class 8.8 bolts locknuts","B0 plus released T0 drawing fastener grip and torque",HOLD,Uncoated,"Sleeve controls rubber compression; no loose washer-stack spacer"
I1,Measured,Measured,C0/FS/FL/G0 isolators and shoulder/crush sleeves,BUY,"New automotive EPDM and compatible metal sleeves","Each released carrier drawing and actual clamp stack",HOLD,Uncoated,"Every clamped rubber joint sleeved where required"
H1,Measured,1 set,Matching mounting fasteners,BUY,"Zinc-plated class 8.8 unless released drawing requires otherwise","Released diameter pitch grip length torque and locking method",HOLD,Uncoated,"Do not mix unidentified grades"
S1,Measured,Measured,Shroud seal anti-chafe and guard edge trim,BUY,"Closed-cell automotive EPDM and compatible edge trim","R0/FL/G0 measured maps and service clearances",HOLD,Uncoated,"Do not block fins or drains"
