requirement_id,system,package_id,title,current_status,release_position,primary_pdf,readme,cut_list,inspection_checklist,dxf_files,svg_files,model_files,source_spec,notes
FAB-RUB-001,chassis_rubbers,longman_rubber_order_20260508,Longman rubber order 2026-05-08,current_release,"Longman quote pack is presented as 3 supplier-facing things: one 80 x 80 x 24 body-pad size, front support/body-support rubbers, and bump stops. The smaller 22 mm body-rubber line is removed. Detailed controls remain the retained body-pad control, FS-OVAL pads, first-article underfloor FS-STRIP-L/R flat strips, first-article bump stops updated to the May 31 exact front-stop construction, and hold rows only for any still-unidentified full-width liners.",docs/longman-rubber-order-spec-20260508.md,data/manual/fabrication/longman_rubber_order_20260508/README.md,,data/manual/longman_rubber_order_specs.csv,data/manual/fabrication/rubber_recreation_rev_a/bm_iso_lg_square_pad_rev_a.dxf|data/manual/fabrication/rubber_recreation_rev_a/fs_oval_front_support_pad_rev_a.dxf|data/manual/fabrication/rubber_recreation_rev_a/fs_strip_left_template_blank_rev_a.dxf|data/manual/fabrication/rubber_recreation_rev_a/fs_strip_right_template_blank_rev_a.dxf|data/manual/fabrication/rubber_recreation_rev_a/bump_stop_vehicle_measurement_control.dxf,data/manual/fabrication/rubber_recreation_rev_a/bm_iso_lg_square_pad_rev_a.svg|data/manual/fabrication/rubber_recreation_rev_a/fs_oval_front_support_pad_rev_a.svg|data/manual/fabrication/rubber_recreation_rev_a/fs_strip_left_template_blank_rev_a.svg|data/manual/fabrication/rubber_recreation_rev_a/fs_strip_right_template_blank_rev_a.svg|data/manual/fabrication/rubber_recreation_rev_a/bump_stop_vehicle_measurement_control.svg|data/manual/fabrication/rubber_recreation_rev_a/chassis_rubber_current_order_preview_rev_a.svg|data/manual/fabrication/rubber_recreation_rev_a/chassis_rubber_location_map_rev_a.svg|data/manual/fabrication/rubber_recreation_rev_a/chassis_rubber_all_drawings_preview_rev_a.svg,data/manual/fabrication/rubber_recreation_rev_a/models_3d/README.md|data/manual/fabrication/rubber_recreation_rev_a/models_3d/model_manifest.csv|data/manual/fabrication/rubber_recreation_rev_a/models_3d/j40_rubber_models_master.scad|data/manual/fabrication/rubber_recreation_rev_a/models_3d/bm_iso_lg_square_pad.scad|data/manual/fabrication/rubber_recreation_rev_a/models_3d/fs_oval_front_support_pad.scad|data/manual/fabrication/rubber_recreation_rev_a/models_3d/fs_strip_l_plain_strip.scad|data/manual/fabrication/rubber_recreation_rev_a/models_3d/fs_strip_r_plain_strip.scad|data/manual/fabrication/rubber_recreation_rev_a/models_3d/b_60010_long_measurement_model.scad|data/manual/fabrication/rubber_recreation_rev_a/models_3d/b_60020_short_measurement_model.scad|data/manual/fabrication/rubber_recreation_rev_a/models_3d/b_60010_rear_pair_measurement_model.scad|data/manual/fabrication/rubber_recreation_rev_a/models_3d/old_rubber_checks.md,docs/chassis-rubbers-workstream.md|photo_import_20260710T232017|20260710_body_chassis_rubber_sample_inventory|20260710_bilal_ganj_urdu_receipt_user_photo|data/manual/bilal_ganj_bill_breakdown_20260710.csv,"Steel cup/seat washers, sleeves, shims, and bolts are separate hardware. Supplier request is 3 things; detailed SVG/DXF controls remain for the retained 80 x 80 x 24 body pad, FS-OVAL, FS-STRIP-L/R, and the bump-stop vehicle measurement drawing. Bump-stop design now follows the May 31 exact front-stop photos: rubber through-holes, central fixture/channel interface, broad rounded/tapered body, rear/back same shape longer, and vehicle-measured final dimensions. | July 10 photo intake adds square/round rubber pads, metal-cup isolator sample, rectangular bumpers/isolators, and bolt/spring/rubber stack samples. Measure installed station, OD/ID/thickness, cup/sleeve/washer geometry, and hardness before changing the Longman order; bill/cost source is still missing. | Bilal Ganj Urdu receipt 2026-07-10 confirms rubber-line costs: cover foam rubber x4 PKR 10000 and body packing x2 PKR 3000. Use these as purchased sample/part evidence, not final fitment release without station labels and dimensions."
FAB-SUS-001,suspension_upgrade,suspension_wood_cribbing_rev_a,Suspension wood cribbing Rev A,suspension_reference,Backup drawing pack for the suspension cribbing buy: 8 rectangular blocks plus 4 wedge chocks.,data/manual/fabrication/suspension_wood_cribbing_rev_a/j40_suspension_wood_cribbing_rev_a_dimension_sheet.pdf,data/manual/fabrication/suspension_wood_cribbing_rev_a/README.md,data/manual/fabrication/suspension_wood_cribbing_rev_a/fabricator_cut_list.csv,data/manual/fabrication/suspension_wood_cribbing_rev_a/inspection_checklist.csv,swc_rectangular_cribbing_block_rev_a.dxf|swc_wedge_chock_rev_a.dxf,swc_rectangular_cribbing_block_rev_a.svg|swc_wedge_chock_rev_a.svg,,docs/suspension-wood-cribbing-merchant-spec.md,Shop ask is owned by suspension_upgrade through docs/suspension-wood-cribbing-merchant-spec.md; this package is the drawing backup. Supplemental cribbing/chocks only; not a substitute for rated stands.
FAB-ELEC-002,fabrication_handoff,midi5_enclosure_rev_d,MIDI 5-way hinged enclosure Rev D,current_release,"Current recommended covered MIDI holder route: folded 210 x 165 x 65 mm aluminium enclosure body, 230 x 185 mm hinged lid, and 140 x 85 x 5.0 mm non-conductive holder subplate. Output side has five grommet holes; far-side output pilot is enlarged for two power cables; input side has one grommet aligned to fuse 4 / second-from-last holder for the bus-bar feed.",data/manual/fabrication/midi5_enclosure_rev_d/j40_midi5_enclosure_rev_d_dimension_sheet.pdf,data/manual/fabrication/midi5_enclosure_rev_d/README.md,,,midi5_enclosure_body_rev_d.dxf|midi5_holder_subplate_rev_d.dxf|midi5_enclosure_lid_rev_d.dxf,midi5_enclosure_body_rev_d.svg|midi5_holder_subplate_rev_d.svg|midi5_enclosure_lid_rev_d.svg,,data/manual/fabrication/midi5_enclosure_rev_d/README.md,Required definition is the Rev D PDF/DXF/SVG set in millimeters; external plastic/CNC quote row is only the holder subplate; aluminium body and hinged lid are owner-made or sheet-metal-shop parts. Rev C open plate is superseded.
FAB-ELEC-004,fabrication_handoff,battery_power_carrier_mount_rev_a,Battery stand power carrier Rev F standard-battery access,prototype_release_mockup_required,"Compact steel chassis-bolted battery stand: 3 mm 340 x 265 top tray/deck around a standard N70/27-class 318 x 180 x 230 battery envelope with central top terminals, removable battery hold-down and lift-out path, widened 660 x 310 front/radiator-side access ladder, folded aluminium side-mounted cutoff/kill-switch base/guard, one known 4 mm formed chassis saddle/upright bridge, and 4 mm slotted body-side offset bars. The saddle drops over the chassis rail from above, has legs down both sides, and is through-bolted through both saddle legs/chassis at the one pickup location. The offset bars stretch from the saddle/upright bridge toward the body/wing-side battery pocket so the tray/access-ladder offset can be configured around a 190 mm target with 160-230 mm retained adjustment. Relay Rev D mounts outside the battery footprint on the outboard/access edge with about 80 mm relay-to-battery service gap, using a flat 360 x 245 x 3 mm aluminium base mounted vertically and directly flat to the main metal service sheet plus exact 300 x 197 insulating sheet and the existing covered relay box; no separate relay cable-boot, output-cluster, or loom-card fabrication is added above it. The red relay power pipe enters the relay top hole closest to the battery, and the relay output power bundle leaves the second top relay hole. MIDI Rev D hinged enclosure mounts on a separated shallow top-front shelf whose leading edge starts at the battery leading-edge datum, with fuse 4 cutoff-switched power input through the input/bus-side grommet, five output-side grommets, and the far-side output enlarged for two power cables. Folded cutoff/kill-switch base/guard sits beside the MIDI enclosure, not after the MIDI outputs, with a 210 x 150 mm flat pattern, 170 x 110 mm finished face, and 20 mm lips bent upward around the 100A breaker/terminal side. Central battery positive enters the far-side cutoff/kill-switch stud first; the near-side cutoff output splits into two protected branches, one to the red relay power pipe and one to the MIDI fuse 4 grommeted input, with an 80 mm cable gutter and five-output fanout clearance. Final drilling/welding remains gated by battery-installed cavity map, LHD mock-up, chassis saddle measurement, offset-bar setting, 100A breaker body dimensions and stud spacing, battery-to-cutoff and cutoff-output cable lug sweeps, battery lift-out, relay cover access, relay top-hole cable sweep, bonnet clearance, steering/radiator/fan/hose clearance, and battery terminal orientation.",data/manual/fabrication/battery_power_carrier_mount_rev_a/j40_battery_power_carrier_mount_rev_a_dimension_sheet.pdf,data/manual/fabrication/battery_power_carrier_mount_rev_a/README.md,data/manual/fabrication/battery_power_carrier_mount_rev_a/fabricator_cut_list.csv,data/manual/fabrication/battery_power_carrier_mount_rev_a/inspection_checklist.csv,battery_stand_compact_top_tray_rev_b.dxf|battery_stand_compact_single_chassis_pickup_rev_b.dxf|battery_stand_adjustable_offset_bar_rev_b.dxf|battery_stand_compact_single_mount_upright_rev_b.dxf|battery_stand_compact_hold_down_crossbar_rev_b.dxf|battery_power_compact_front_service_rail_rev_b.dxf|battery_power_compact_cutoff_tab_rev_b.dxf,battery_stand_compact_top_tray_rev_b.svg|battery_stand_compact_single_chassis_pickup_rev_b.svg|battery_stand_adjustable_offset_bar_rev_b.svg|battery_stand_compact_single_mount_upright_rev_b.svg|battery_stand_compact_hold_down_crossbar_rev_b.svg|battery_power_compact_front_service_rail_rev_b.svg|battery_power_compact_cutoff_tab_rev_b.svg,,docs/front-engine-bay-mounting-fabrication-plan-20260508.md|data/manual/fabrication/battery_power_carrier_mount_rev_a/README.md|data/manual/fabrication/battery_power_carrier_mount_rev_a/cavity_mapping_plan.csv|data/manual/fabrication/relay_mount_rev_d/README.md|data/manual/fabrication/midi5_enclosure_rev_d/README.md,"User update 2026-05-16 relay/battery carrier correction: use Relay Rev D in the battery stand power carrier with the flat aluminium base mounted vertically and directly flat to the main metal service sheet; keep the exact insulating sheet and existing covered relay box only. The red relay power pipe enters the relay top hole closest to the battery, and the relay output power bundle exits the second top relay hole. Remove the separate red/black relay cable-boot/output-cluster/loom-card fabrication. Keep MIDI Rev D hinged enclosure from midi5_enclosure_rev_d and slotted body-side offset bars so the battery stand power carrier can be adjusted on the chassis saddle. Keep the widened access ladder at 660 x 310, the 340 x 265 tray around a 318 x 180 x 230 standard battery envelope, battery removal after hold-down removal, relay outside the battery footprint on the outboard/access edge, kill switch beside the MIDI enclosure, central battery positive to the far-side cutoff stud first, near-side cutoff output to relay and MIDI fuse 4, 80 mm cable gutter, five grommeted MIDI outputs, and far-side enlarged double-cable output clearance. Chassis fixing is a formed saddle over both rail sides, through-bolted at the one pickup location, with configurable 160-230 mm body-side offset bars."
FAB-RAD-001,fabrication_handoff,front_radiator_two_side_retention_rev_a,Front radiator two-side retention bracket Rev A,measured_template_right_side_dry_fit_required,"Right-side radiator retention bracket/template pack derived from the measured existing chassis-attached radiator bracket. Current concept is one 4 mm mild-steel formed-angle saddle post: 48 mm measured main face, 410 mm upright/post height, 618 mm developed main-face template length, perpendicular return flange, full-depth 58 mm top return carried back to the far edge of the angle section, 70 mm chassis bridge allowance, 80 mm far-side saddle leg, one top screw point, and clean near/far lower saddle legs with no side ears that straddle both sides of the chassis/front-support section so a through-bolt can pass through both legs and the chassis. Final drilling/bending remains gated by right-side dry-fit, radiator ear offset, chassis width, through-bolt route, crush-tube/spacer decision, isolator stack, and fan clearance.",data/manual/fabrication/front_radiator_two_side_retention_rev_a/j40_front_radiator_two_side_retention_rev_a_dimension_sheet.pdf,data/manual/fabrication/front_radiator_two_side_retention_rev_a/README.md,data/manual/fabrication/front_radiator_two_side_retention_rev_a/fabricator_cut_list.csv,data/manual/fabrication/front_radiator_two_side_retention_rev_a/inspection_checklist.csv,front_radiator_saddle_right_angle_post_rev_a.dxf,front_radiator_saddle_right_angle_post_rev_a.svg,,docs/front-engine-bay-mounting-fabrication-plan-20260508.md|data/manual/chassis_bracket_analysis_register_20260508.csv|data/manual/fabrication/front_radiator_two_side_retention_rev_a/measurement_basis.csv,User update 2026-05-13: use a bolt-through saddle over the chassis rather than welding the bracket to the chassis. Existing-side measurements are imported; only right-side transfer/dry-fit remains before final hole drilling.
FAB-ELEC-003,electrical_reset,relay_mount_rev_d,Relay mount Rev D,current_release,"Current recommended relay-box fabrication route: the existing relay box is already a covered enclosure, so Rev D provides a flat 360 x 245 x 3.0 mm aluminium base plate with stand-attachment slots plus an exact 300 x 197 x 3.0 mm insulating sheet under the relay box's large uncovered bottom face. Transfer relay-box fixing holes from the actual enclosure after orientation is confirmed. In the battery power carrier, mount this aluminium base vertically and directly flat to the main metal service sheet.",data/manual/fabrication/relay_mount_rev_d/j40_relay_mount_rev_d_dimension_sheet.pdf,data/manual/fabrication/relay_mount_rev_d/README.md,,,relay_base_plate_rev_d.dxf|relay_insulating_sheet_rev_d.dxf,relay_base_plate_rev_d.svg|relay_insulating_sheet_rev_d.svg,,data/manual/fabrication/relay_mount_rev_d/README.md,Rev D supersedes the folded Relay Rev C carrier. Use the exposed base slots to attach the relay assembly to the battery stand/access ladder; in the battery power carrier the red relay power pipe enters the relay top hole closest to the battery and the relay output power bundle leaves the second top relay hole. Keep the relay cover removable and top/end-side loom exits clear.
FAB-RPO-001,replacement_pipes,bilal_ganj_wire_pipe_reproduction_20260706,Bilal Ganj wire and pipe reproduction checklist,sample_handoff_ready_price_pending,"Supplier-facing sample-copy checklist for coolant, fuel, vacuum, brake, clutch, A/C, drain, heavy electrical, loom verification, support clips, parking-brake/control cables, and related routed parts. Physical old samples, measurements, safety ratings, and vehicle dry-fit control final bends, fittings, clocking, and acceptance.",,docs/bilal-ganj-wire-pipe-reproduction-task-list-20260706.md,,,,,,docs/bilal-ganj-wire-pipe-reproduction-task-list-20260706.md|docs/replacement-pipes-workstream.md|docs/engine-hose-tube-replacement-specs.md|docs/wire-heavy-resize-cutlist.md|photo_import_20260710T232017|20260710_111909_gp_wjJFiGHA|20260710_111922_gp_fitRdwig|20260710_115709_gp_WMDUdgpw|20260710_115725_gp_mPuwEjYw|20260710_115730_gp_ytcZloOQ,"No itemized Bilal Ganj bill/cost source is captured yet. Add actual line prices to expenses.csv only after WhatsApp bill/photo evidence is ingested. Brake/clutch hydraulic parts must be rated new assemblies/tube; fuel hose must be diesel-rated; coolant/heater hose EPDM; A/C barrier hose must wait for component dry-fit before crimping. | July 10 photo intake adds threaded fitting close-ups and engine-bay hose/pipe route samples. Use them as sample evidence only until circuit, thread/seat, material/rating, and itemized bill amounts are captured."
FAB-TURBO-001,turbocharger_powertrain,2h_turbo_integration_20260717,2H turbocharger complete fabrication and connection package,concept_engine_health_hold,"Future handoff must include the approved turbo/manifold position, body/front-stack clearance datums, oil-feed port and pressure, sump oil level/drain fall, intake/intercooler routes, downpipe/exhaust/hangers, heat shields, breather separator, boost-reference ports, gauge/sender locations, electrical branch and a connection-by-connection inspection sheet.",,docs/2h-turbo-suitability-and-options-20260717.md,,,,,,docs/2h-turbo-suitability-and-options-20260717.md|docs/master-project-plan.md|data/manual/expenses.csv|data/manual/engine_electrical_inputs_reconciliation_20260517.csv,"Do not release drawings or cut parts until engine-health and exact donor turbo identification gates close. Use current chassis-only access for measurement and templates; recreate bonnet, wing, firewall, front-panel, radiator, condenser, intercooler, fan and A-C compressor envelopes before final fabrication."
FAB-TURBO-002,body_chassis,turbo_readiness_chassis_rev_a,2H turbo-readiness chassis welder provisions Rev A,superseded_planning_reference_do_not_send,"No conversion-specific welding is released. Wait until the complete J60 steering set and selected turbo/manifold hardware are physically present for trial fit. Current welder sheet permits only existing steering-mount cleaning/crack inspection, temporary corrosion protection in likely future fabrication zones and unrelated already-approved chassis work.",,data/manual/fabrication/turbo_readiness_chassis_rev_a/README.md,data/manual/fabrication/turbo_readiness_chassis_rev_a/fabrication_scope.csv,data/manual/fabrication/turbo_readiness_chassis_rev_a/inspection_checklist.csv,,,,docs/chassis-welder-steering-turbo-component-first-instruction-20260719.md|docs/turbo-readiness-chassis-welder-fabrication-spec-20260717.md|docs/2h-turbo-suitability-and-options-20260717.md,"Do not hand the detailed Rev A planning package to the welder now. No J60 steering plates/holes/sleeves/gussets and no turbo/downpipe/intercooler/hanger/shield/support tabs until actual components are trial-fitted."
FAB-HVAC-001,fabrication_handoff,dashboard_lcd_hvac_fascia_rev_i,J40 RHD factory-height 9-inch LCD dashboard Rev I V32,quotation_release_production_measurement_hold,"Owner-selected V32 is released for visual review, supplier quotation, 1:1 disposable face template, full-depth buck and fit coupons. The portal separates the exact-CNC measurement route from the V32-Q1 assumption route. Preserve the original Toyota cluster and RHD column/scallop at their direct-traced position, preserve the original asymmetric glovebox, remove and close the ashtray, centre the true 9-inch active image on the complete fascia, use two high/inboard Ø87-class chrome outlets, and use seven bought selectors plus separate hazard in the fixed 4 x 2 bank. Production metal and vehicle cutting remain HOLD until the M1-M10 schedule, actual components, full-size trace and full-depth mockup are complete.",,data/manual/fabrication/dashboard_lcd_hvac_fascia_rev_i/README.md,,,,,,data/manual/fabrication/dashboard_lcd_hvac_fascia_rev_i/cnc_measurement_and_survey_checklist.md|data/manual/fabrication/dashboard_lcd_hvac_fascia_rev_i/dashboard_rev_i_v32_provisional_assumption_cnc_spec.md|data/manual/fabrication/dashboard_lcd_hvac_fascia_rev_i/ac_outlet_87mm_cnc_addendum.md|data/manual/fabrication/dashboard_lcd_hvac_fascia_rev_i/ac_outlet_interface_schedule.csv|data/manual/fabrication/dashboard_lcd_hvac_fascia_rev_i/switch_position_schedule.csv,"Quotation basis is explicitly assumed where unmeasured: nominal 1400 x 250 mm public-listing face envelope, 1.5 mm CR4, supplied LCD module 211.10 x 126.50 x 5.0 with active image 198.91 x 111.89, two Ø87 face / Ø75 target-boss / approximately 22 mm body outlets, provisional new-component coordinates and 22.5 mm-class control cuts. OEM glovebox, cluster, column, outer profile, folds, mountings, rear packages, actual screen aperture, ordered-vent retention/spigot and HVAC duct routes are trace/measurement holds and cannot be cut from the rendered images or assumption coordinates."
