source_name,message_id,date,author,amount,currency,raw_match,hint,text
Fj40,fj40-00025,2026-03-12,~ HM,11365,PKR,11365 PKR,spend,11365 PKR for excise chalan 5000 for vehicle inspection @⁨David⁩ sharing account number in which to transfer 16365 PKR.
Fj40,fj40-00025,2026-03-12,~ HM,16365,PKR,16365 PKR,spend,11365 PKR for excise chalan 5000 for vehicle inspection @⁨David⁩ sharing account number in which to transfer 16365 PKR.
Fj40,fj40-00106,2026-03-15,Uk David,24000,PKR,24k,mentioned,Maybe its not the right call but the engine seems ok to me. Only 24k on the clock
Fj40,fj40-00110,2026-03-15,~ HM,24000,PKR,24k,mentioned,That 24k on the clock is a big fat lie! Lol
Fj40,fj40-00115,2026-03-15,Uk David,24000,PKR,24k,mentioned,Hmm. Yes. Probably 24k + an entire round trip of the clock before that
Akber Khan,akber_khan-00468,2026-03-15,Akber Khan,46000,PKR,46k,mentioned,Not bad. Saw the same thing being sold for 46k a while back. But not on this site / import ‎
Akber Khan,akber_khan-00469,2026-03-15,Akber Khan,46000,PKR,46k,mentioned,Not bad. Saw the same thing being sold for 46k a while back. But not on this site / import ‎
Akber Khan,akber_khan-00489,2026-03-15,David,20000,PKR,20k,quote,"Good — if you want to completely re-wire a 1978 Toyota Land Cruiser J40, I’ll give you three things: The exact Daraz shopping list (everything needed) The ideal modern wiring architecture for a J40 The fuse box layout + wiring plan This is essentially the same method professional restorers use for old Land Cruisers. 1️⃣ The Core Re-Wiring Kit (Buy First) Universal 21‑Circuit Automotive Wiring Harness Kit Price not available • Go to merchant Universal Extra‑Long 21‑Circuit Car Wiring Harness Price not available • Go to merchant 21‑Circuit Hot Rod Wiring Harness Kit Price not available • Go to merchant Universal 21‑Circuit Vehicle Electrical Wiring Kit Price not available • Go to merchant A 21-circuit harness kit is ideal for a classic 4x4. Typical circuits included: headlights brake lights ignition coil horn turn signals gauges wipers radio dome light backup lights fuel pump accessories These harnesses are colour-coded and labelled to simplify installation. 2️⃣ Everything Else You Must Buy (Daraz List) Search these exact items on Daraz. Automotive Wire Kit Buy stranded copper automotive wire. Recommended gauges: Gauge Use 4 AWG battery cables 10 AWG alternator / main power 12 AWG headlights 14 AWG ignition 16 AWG accessories 18 AWG gauges Automotive wiring uses the AWG system where lower numbers mean thicker wire capable of carrying more current. Search: automotive primary wire kit 12v car wire roll stranded copper automotive wire Connectors Kit Search: automotive electrical connector kit crimp terminal kit ring terminal assortment bullet connector kit You will need: ring terminals spade connectors bullet connectors heat shrink solder sleeves Wire Protection Search: split wire loom tubing braided cable sleeve rubber firewall grommets Sizes: 6mm 10mm 16mm 25mm Fuse and Relay System Search: 12 way blade fuse box 12v relay with socket relay block automotive Minimum relays: headlights horn auxiliary lights radiator fan accessories Battery and Starter Cables Search: 4 gauge battery cable kit heavy duty battery terminals starter cable automotive Ground Straps Classic Land Cruisers rely heavily on chassis ground. Search: braided ground strap engine ground cable Minimum grounds: battery → chassis engine → frame body → frame Lighting Connectors Search: H4 headlight connector indicator bulb socket tail light socket Tools (if doing it yourself) Search: ratcheting crimp tool wire stripper heat gun multimeter soldering iron 3️⃣ Ideal Modern Wiring Architecture for a J40 A good wiring system splits the truck into four harness sections. 1️⃣ Engine Harness Runs to: starter alternator ignition coil temperature sender oil pressure sender electric fan 2️⃣ Front Lighting Harness Runs to: headlights indicators parking lights horn 3️⃣ Dash Harness Runs to: ignition switch gauges heater fan wipers radio switches 4️⃣ Rear Harness Runs to: tail lights brake lights reverse lights fuel sender number plate light A wiring harness bundles these cables together so they are protected from vibration, abrasion, and moisture. 4️⃣ Ideal Fuse Box Layout Mount the fuse box under the dashboard. Suggested layout: Fuse Circuit 1 ignition 2 headlights 3 tail lights 4 indicators 5 horn 6 wipers 7 heater 8 gauges 9 radio 10 reverse lights 11 accessories 12 spare 5️⃣ Headlight Relay Upgrade (Important) Old Land Cruisers ran headlights directly through the switch. Upgrade: battery ↓ relay ↓ headlights Benefits: brighter lights longer switch life less voltage drop 6️⃣ Where to Route Wires in a J40 Typical routing: Engine bay → firewall grommet → fuse box under dash Rear harness: Dash → along driver side floor → rear lights 7️⃣ Estimated Cost in Pakistan Item PKR Harness kit 20k – 40k Wire 6k Connectors 4k Fuse / relay 5k Loom 3k Tools 8k Total: 45k – 70k PKR 8️⃣ Pro Tips for a J40 Rewire Do these while you're at it: upgrade headlights to H4 add USB charger add aux fuse block add winch wiring add LED light bar relay This makes the truck far more usable. ✅ If you want, I can also show you: 1️⃣ The full wiring diagram for a J40 (clean modern version) 2️⃣ The easiest way to wire a Toyota 2F engine 3️⃣ The exact Daraz order links for everything 4️⃣ The most common wiring mistakes people make on Land Cruisers These will save you days of work and a lot of headaches."
Akber Khan,akber_khan-00489,2026-03-15,David,40000,PKR,40k,quote,"Good — if you want to completely re-wire a 1978 Toyota Land Cruiser J40, I’ll give you three things: The exact Daraz shopping list (everything needed) The ideal modern wiring architecture for a J40 The fuse box layout + wiring plan This is essentially the same method professional restorers use for old Land Cruisers. 1️⃣ The Core Re-Wiring Kit (Buy First) Universal 21‑Circuit Automotive Wiring Harness Kit Price not available • Go to merchant Universal Extra‑Long 21‑Circuit Car Wiring Harness Price not available • Go to merchant 21‑Circuit Hot Rod Wiring Harness Kit Price not available • Go to merchant Universal 21‑Circuit Vehicle Electrical Wiring Kit Price not available • Go to merchant A 21-circuit harness kit is ideal for a classic 4x4. Typical circuits included: headlights brake lights ignition coil horn turn signals gauges wipers radio dome light backup lights fuel pump accessories These harnesses are colour-coded and labelled to simplify installation. 2️⃣ Everything Else You Must Buy (Daraz List) Search these exact items on Daraz. Automotive Wire Kit Buy stranded copper automotive wire. Recommended gauges: Gauge Use 4 AWG battery cables 10 AWG alternator / main power 12 AWG headlights 14 AWG ignition 16 AWG accessories 18 AWG gauges Automotive wiring uses the AWG system where lower numbers mean thicker wire capable of carrying more current. Search: automotive primary wire kit 12v car wire roll stranded copper automotive wire Connectors Kit Search: automotive electrical connector kit crimp terminal kit ring terminal assortment bullet connector kit You will need: ring terminals spade connectors bullet connectors heat shrink solder sleeves Wire Protection Search: split wire loom tubing braided cable sleeve rubber firewall grommets Sizes: 6mm 10mm 16mm 25mm Fuse and Relay System Search: 12 way blade fuse box 12v relay with socket relay block automotive Minimum relays: headlights horn auxiliary lights radiator fan accessories Battery and Starter Cables Search: 4 gauge battery cable kit heavy duty battery terminals starter cable automotive Ground Straps Classic Land Cruisers rely heavily on chassis ground. Search: braided ground strap engine ground cable Minimum grounds: battery → chassis engine → frame body → frame Lighting Connectors Search: H4 headlight connector indicator bulb socket tail light socket Tools (if doing it yourself) Search: ratcheting crimp tool wire stripper heat gun multimeter soldering iron 3️⃣ Ideal Modern Wiring Architecture for a J40 A good wiring system splits the truck into four harness sections. 1️⃣ Engine Harness Runs to: starter alternator ignition coil temperature sender oil pressure sender electric fan 2️⃣ Front Lighting Harness Runs to: headlights indicators parking lights horn 3️⃣ Dash Harness Runs to: ignition switch gauges heater fan wipers radio switches 4️⃣ Rear Harness Runs to: tail lights brake lights reverse lights fuel sender number plate light A wiring harness bundles these cables together so they are protected from vibration, abrasion, and moisture. 4️⃣ Ideal Fuse Box Layout Mount the fuse box under the dashboard. Suggested layout: Fuse Circuit 1 ignition 2 headlights 3 tail lights 4 indicators 5 horn 6 wipers 7 heater 8 gauges 9 radio 10 reverse lights 11 accessories 12 spare 5️⃣ Headlight Relay Upgrade (Important) Old Land Cruisers ran headlights directly through the switch. Upgrade: battery ↓ relay ↓ headlights Benefits: brighter lights longer switch life less voltage drop 6️⃣ Where to Route Wires in a J40 Typical routing: Engine bay → firewall grommet → fuse box under dash Rear harness: Dash → along driver side floor → rear lights 7️⃣ Estimated Cost in Pakistan Item PKR Harness kit 20k – 40k Wire 6k Connectors 4k Fuse / relay 5k Loom 3k Tools 8k Total: 45k – 70k PKR 8️⃣ Pro Tips for a J40 Rewire Do these while you're at it: upgrade headlights to H4 add USB charger add aux fuse block add winch wiring add LED light bar relay This makes the truck far more usable. ✅ If you want, I can also show you: 1️⃣ The full wiring diagram for a J40 (clean modern version) 2️⃣ The easiest way to wire a Toyota 2F engine 3️⃣ The exact Daraz order links for everything 4️⃣ The most common wiring mistakes people make on Land Cruisers These will save you days of work and a lot of headaches."
Akber Khan,akber_khan-00489,2026-03-15,David,6000,PKR,6k,quote,"Good — if you want to completely re-wire a 1978 Toyota Land Cruiser J40, I’ll give you three things: The exact Daraz shopping list (everything needed) The ideal modern wiring architecture for a J40 The fuse box layout + wiring plan This is essentially the same method professional restorers use for old Land Cruisers. 1️⃣ The Core Re-Wiring Kit (Buy First) Universal 21‑Circuit Automotive Wiring Harness Kit Price not available • Go to merchant Universal Extra‑Long 21‑Circuit Car Wiring Harness Price not available • Go to merchant 21‑Circuit Hot Rod Wiring Harness Kit Price not available • Go to merchant Universal 21‑Circuit Vehicle Electrical Wiring Kit Price not available • Go to merchant A 21-circuit harness kit is ideal for a classic 4x4. Typical circuits included: headlights brake lights ignition coil horn turn signals gauges wipers radio dome light backup lights fuel pump accessories These harnesses are colour-coded and labelled to simplify installation. 2️⃣ Everything Else You Must Buy (Daraz List) Search these exact items on Daraz. Automotive Wire Kit Buy stranded copper automotive wire. Recommended gauges: Gauge Use 4 AWG battery cables 10 AWG alternator / main power 12 AWG headlights 14 AWG ignition 16 AWG accessories 18 AWG gauges Automotive wiring uses the AWG system where lower numbers mean thicker wire capable of carrying more current. Search: automotive primary wire kit 12v car wire roll stranded copper automotive wire Connectors Kit Search: automotive electrical connector kit crimp terminal kit ring terminal assortment bullet connector kit You will need: ring terminals spade connectors bullet connectors heat shrink solder sleeves Wire Protection Search: split wire loom tubing braided cable sleeve rubber firewall grommets Sizes: 6mm 10mm 16mm 25mm Fuse and Relay System Search: 12 way blade fuse box 12v relay with socket relay block automotive Minimum relays: headlights horn auxiliary lights radiator fan accessories Battery and Starter Cables Search: 4 gauge battery cable kit heavy duty battery terminals starter cable automotive Ground Straps Classic Land Cruisers rely heavily on chassis ground. Search: braided ground strap engine ground cable Minimum grounds: battery → chassis engine → frame body → frame Lighting Connectors Search: H4 headlight connector indicator bulb socket tail light socket Tools (if doing it yourself) Search: ratcheting crimp tool wire stripper heat gun multimeter soldering iron 3️⃣ Ideal Modern Wiring Architecture for a J40 A good wiring system splits the truck into four harness sections. 1️⃣ Engine Harness Runs to: starter alternator ignition coil temperature sender oil pressure sender electric fan 2️⃣ Front Lighting Harness Runs to: headlights indicators parking lights horn 3️⃣ Dash Harness Runs to: ignition switch gauges heater fan wipers radio switches 4️⃣ Rear Harness Runs to: tail lights brake lights reverse lights fuel sender number plate light A wiring harness bundles these cables together so they are protected from vibration, abrasion, and moisture. 4️⃣ Ideal Fuse Box Layout Mount the fuse box under the dashboard. Suggested layout: Fuse Circuit 1 ignition 2 headlights 3 tail lights 4 indicators 5 horn 6 wipers 7 heater 8 gauges 9 radio 10 reverse lights 11 accessories 12 spare 5️⃣ Headlight Relay Upgrade (Important) Old Land Cruisers ran headlights directly through the switch. Upgrade: battery ↓ relay ↓ headlights Benefits: brighter lights longer switch life less voltage drop 6️⃣ Where to Route Wires in a J40 Typical routing: Engine bay → firewall grommet → fuse box under dash Rear harness: Dash → along driver side floor → rear lights 7️⃣ Estimated Cost in Pakistan Item PKR Harness kit 20k – 40k Wire 6k Connectors 4k Fuse / relay 5k Loom 3k Tools 8k Total: 45k – 70k PKR 8️⃣ Pro Tips for a J40 Rewire Do these while you're at it: upgrade headlights to H4 add USB charger add aux fuse block add winch wiring add LED light bar relay This makes the truck far more usable. ✅ If you want, I can also show you: 1️⃣ The full wiring diagram for a J40 (clean modern version) 2️⃣ The easiest way to wire a Toyota 2F engine 3️⃣ The exact Daraz order links for everything 4️⃣ The most common wiring mistakes people make on Land Cruisers These will save you days of work and a lot of headaches."
