part_id,qty,material,process,notes
FCS-UPRIGHT-L,1,"4.0 mm mild-steel formed angle matching existing 48 mm face","duplicate/mirror existing; weld after complete dry-fit","New left upright: 410 mm upright height with 58 mm top return 70 mm chassis bridge and 80 mm outer leg basis. Transfer from the real existing upright before welding."
FCS-UPRIGHT-R,0,"existing vehicle part","retain and inspect","Existing upright is the physical pattern and datum; do not replace unless inspection finds damage."
FCS-LOWER-SADDLE-L,1,"4.0 mm mild steel plate or formed angle saddle","form/drill after chassis width measure","Bolt-through saddle or weld-prep foot for left upright. Use crush tube/spacer if boxed metal is clamped."
FCS-LOWER-SADDLE-R,1,"4.0 mm mild steel plate or formed angle saddle","form/drill after chassis width measure","Bolt-through saddle or weld-prep foot for right upright. Use crush tube/spacer if boxed metal is clamped."
FCS-RAD-TAB-UPPER,2,"3.0-4.0 mm mild steel tab","cut slot after radiator ear dry-fit","Rubber-isolated upper radiator tabs; slot only enough for tolerance, not to compensate for wrong radiator."
FCS-RAD-TAB-LOWER,2,"3.0-4.0 mm mild steel tab","cut slot after lower pad dry-fit","Lower radiator tabs or pad retainers; radiator weight should sit on pads/saddles, not a side tank leg."
FCS-COND-TAB-UPPER,2,"2.0-3.0 mm mild steel or aluminium tab","drill after condenser bracket measure","Forward condenser tabs with rubber washer isolation; keep separate from radiator tabs."
FCS-COND-TAB-LOWER,2,"2.0-3.0 mm mild steel or aluminium tab","drill after condenser bracket measure","Forward condenser tabs with rubber washer isolation and drain/service clearance."
FCS-FAN-HOOP,1,"25 x 25 x 3 mm angle or 3 mm strap hoop","optional; fabricate only after fan selected","Carries optional slim pusher fan without through-fin mounting."
FCS-DRIER-CLAMP,1,"2.0-3.0 mm mild steel/aluminium strap plus rubber liner","bend to drier OD after drier selected","Vertical receiver-drier clamp on side upright; drier remains removable."
FCS-CROSS-UP,1,"25 x 25 x 3 mm angle or 30 x 3 mm flat","optional bolt-in","Upper removable crossbar if condenser/fan tab stiffness needs it."
FCS-CROSS-LOW,1,"25 x 25 x 3 mm angle or 30 x 3 mm flat","optional bolt-in","Lower removable crossbar if condenser/fan tab stiffness needs it."
FCS-SIDE-RAIL,2,"30 x 3 mm mild-steel flat or 25 x 25 x 3 mm angle","cut to M2 minus 10; drill after mock-up","Removable component carrier rails between structural uprights; 5 mm top/bottom clearance."
FCS-ADAPTER-TAB,4,"50 x 70 x 4 mm mild steel","cut 9 x 20 vertical slot; joggle to M7","Maximum simple offset 20 mm; use boxed two-shear-face spacer above 20 mm."
FCS-IC-TAB,4,"4.0 mm mild steel","drill/slot after actual intercooler dry-fit","Rubber-isolated intercooler tabs; one upper tab permits 2-3 mm horizontal thermal movement."
