System,Item,Qty,Priority,Stage,Price_Min_PKR,Price_Max_PKR,Target_PKR,Direct_Link_1,Direct_Link_2,Price_Basis,Buy_Notes
EPS,Vitz EPS column complete set (motor+torque sensor+housing),1 set,P2,pre_tub_refit,60000,140000,100000,https://www.pakwheels.com/accessories-spare-parts/search/-/q_vitz+eps+column/,https://www.olx.com.pk/items/q-vitz-parts,Market listing range,Buy tested unit only; no lash/noise.
EPS,Vitz EPS ECU/controller (matching generation),1,P2,pre_tub_refit,20000,60000,40000,https://www.pakwheels.com/accessories-spare-parts/search/-/q_vitz+eps+computer/,https://www.pakwheels.com/accessories-spare-parts/search/-/q_power+steering+ecu+toyota/,Market listing range,Buy with column as matched pair.
EPS,Steering U-joints/couplers/intermediate shaft materials,1 conversion set,P2,pre_tub_refit,15000,45000,30000,https://www.pakwheels.com/accessories-spare-parts/search/-/q_steering+u+joint+toyota/,https://www.pakwheels.com/accessories-spare-parts/search/-/q_steering+coupler+toyota/,Fabrication market range,New joints preferred; final length after mock-up.
Suspension,Front leaf spring packs (new custom),2 packs,P2,pre_tub_refit,35000,90000,62500,https://spring.com.pk/contact-2/,https://popularspringind.com/,Supplier quote range,"Primary LEW, backup Popular Spring."
Suspension,Rear leaf spring packs (new custom),2 packs,P2,pre_tub_refit,35000,90000,62500,https://spring.com.pk/contact-2/,https://popularspringind.com/,Supplier quote range,Build to measured load + desired ride height.
Suspension,"New genuine shocks (4 pcs, local serviceable path)",1 full set,P2,pre_tub_refit,25000,120000,70000,https://www.agriauto.com.pk/distributors-network/,https://4x4stop.pk/index.php/product-category/suspensions-by-vehicle-tjm-xgs/,Distributor quote range,No used/refurb shocks.
Suspension,Spring eye + shackle bushings (full set),1 full set,P2,pre_tub_refit,10000,30000,20000,https://www.pakwheels.com/accessories-spare-parts/search/-/q_leaf+spring+bush+toyota/,https://www.pakwheels.com/accessories-spare-parts/search/-/q_shackle+bush+toyota/,Market listing range,Replace all as matched set.
Suspension,U-bolts + shackles/pins (new),1 full set,P2,pre_tub_refit,25000,70000,47500,https://www.pakwheels.com/accessories-spare-parts/search/-/q_u+bolt+leaf+spring+toyota/,https://www.pakwheels.com/accessories-spare-parts/search/-/q_shackle+bush+toyota/,Market listing range,High-tensile U-bolts only.
Rubbers,Body-to-chassis mount rubber kit,1 kit,P2,pre_tub_refit,18000,60000,39000,https://longmansales.com/rubber-bushes.html,https://longmansales.com/custom-molded-rubber-parts.html,Market listing range,Custom quote by dimensions; verify sleeve fit and durometer.
Rubbers,Body mount shims/spacers pack (M10/M12 mix),1 pack,P2,pre_tub_refit,3000,12000,7000,https://parts.millat.com.pk/product/washer-flat-m12/,https://parts.millat.com.pk/product/washer-flat-m8/,Local hardware / machine-shop spacer stack,Build the shim stack from washer stock after measuring mount gaps.
