excel_row,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14
1,Engine / Transmission Cost Comparison,,,,,,,,,,,,,
2,Generated,2026-04-15T03:42:11,,,,,,,,,,,,
3,Workbook,/Users/davidpridmore/Documents/J40_Costs.xlsx,,,,,,,,,,,,
4,"Baseline (manual steering, no OME, no steering damper)","PKR 553,000 to PKR 1,901,000",,,,,,,,,,,,
5,EPS conversion delta,"PKR 54,000 to PKR 136,000",,,,,,,,,,,,
6,"Baseline (with EPS, no OME, no steering damper)","PKR 607,000 to PKR 2,037,000",,,,,,,,,,,,
7,FX assumptions for imported gearbox references,"USD->PKR ~= 280, AUD->PKR ~= 194 (Pakistan open-market snapshot 6 Apr 2026)",,,,,,,,,,,,
9,Scenario Group,Option,Base Build Cost,Transmission Delta,Total Build Cost,Confidence,Notes,,,,,,,
10,Current engine retained,"Current gearbox service only (linkage, oil, minor shift hardware)","PKR 607,000 to PKR 2,037,000","PKR 30,000 to PKR 120,000","PKR 637,000 to PKR 2,157,000",Medium,Low-cost first attempt to fix clunky shift feel.,,,,,,,
11,Current engine retained,Local rebuild of current gearbox + synchro/bearing work,"PKR 607,000 to PKR 2,037,000","PKR 200,000 to PKR 500,000","PKR 807,000 to PKR 2,537,000",Low-Medium,Workshop overhaul path when service-level fixes are not enough.,,,,,,,
12,Current engine retained,Used replacement gearbox from local market,"PKR 607,000 to PKR 2,037,000","PKR 90,000 to PKR 250,000","PKR 697,000 to PKR 2,287,000",Medium,Anchored by local OLX gearbox listings; add install and fluids.,,,,,,,
13,Current engine retained,Imported reconditioned H55F + transfer package,"PKR 607,000 to PKR 2,037,000","PKR 1,100,000 to PKR 1,600,000","PKR 1,707,000 to PKR 3,637,000",Low-Medium,"Uses US$3,278 package anchor plus freight/duty/install spread.",,,,,,,
14,Current engine retained,Imported brand-new H55F,"PKR 607,000 to PKR 2,037,000","PKR 1,200,000 to PKR 1,800,000","PKR 1,807,000 to PKR 3,837,000",Low-Medium,"Uses AUD$4,970 anchor plus freight/duty/install spread.",,,,,,,
16,Scenario Group,Engine Option,Engine Package,Transmission Pairing,Integration / Fabrication,Total Build Cost (with EPS baseline),Recommended Transmission,Confidence,Market Anchor,,,,,
17,Engine replacement,Toyota 3B diesel + 4x4 gearbox package,"PKR 350,000 to PKR 500,000","PKR 0 to PKR 120,000","PKR 180,000 to PKR 350,000","PKR 1,137,000 to PKR 3,007,000",Use included 4x4 gearbox; service before install.,Medium,OLX listing around PKR 4.37 lac for 3B + 4x4 gearbox package.,,,,,
18,Engine replacement,Toyota 1HZ 4.2 diesel + manual gearbox package,"PKR 750,000 to PKR 1,050,000","PKR 0 to PKR 150,000","PKR 150,000 to PKR 350,000","PKR 1,507,000 to PKR 3,587,000",Factory-style manual pairing; refresh clutch/hydraulics.,Medium,OLX listing around PKR 9 lac for 1HZ with manual gearbox.,,,,,
19,Engine replacement,Toyota 1HD-FTE 4.2 turbo diesel,"PKR 780,000 to PKR 1,200,000","PKR 180,000 to PKR 450,000","PKR 350,000 to PKR 800,000","PKR 1,917,000 to PKR 4,487,000",Heavy-duty manual (H55/R151 family) with upgraded cooling and fuel support.,Low-Medium,OLX listing around PKR 8.6 lac for 1HD-FTE engine; integration is the expensive part.,,,,,
20,Engine replacement,Toyota 1KZ-TE turbo diesel,"PKR 350,000 to PKR 500,000","PKR 120,000 to PKR 350,000","PKR 250,000 to PKR 600,000","PKR 1,327,000 to PKR 3,487,000",R-series manual or matched automatic donor setup.,Medium,OLX anchors around PKR 3.9-4.2 lac for 1KZ turbo engine.,,,,,
21,Engine replacement,Toyota 1KD turbo intercooler,"PKR 650,000 to PKR 900,000","PKR 150,000 to PKR 400,000","PKR 400,000 to PKR 900,000","PKR 1,807,000 to PKR 4,237,000",Matched manual/auto donor transmission with ECU/immobilizer handling.,Low-Medium,OLX anchor around PKR 7.5 lac for 1KD turbo/intercooler setup.,,,,,
22,Engine replacement,Toyota 3RZ-FE petrol,"PKR 160,000 to PKR 350,000","PKR 0 to PKR 220,000","PKR 220,000 to PKR 500,000","PKR 987,000 to PKR 3,107,000",Use complete engine+gear donor if possible to cut integration risk.,Medium,OLX anchors from PKR 1.6 to 3.5 lac (including some with auto gear).,,,,,
23,Engine replacement,Toyota 1FZ-FE petrol (complete with auto gear),"PKR 480,000 to PKR 750,000","PKR 0 to PKR 150,000","PKR 260,000 to PKR 600,000","PKR 1,347,000 to PKR 3,537,000",Use bundled auto/manual set and refresh mounts/cooling/exhaust.,Low-Medium,OLX anchor around PKR 6 lac for 1FZ-FE complete with auto gear.,,,,,
24,Engine replacement,Toyota 1UZ-FE V8,"PKR 150,000 to PKR 320,000","PKR 200,000 to PKR 700,000","PKR 450,000 to PKR 1,000,000","PKR 1,407,000 to PKR 4,057,000",A340/A341 family with adapter package and full custom integration.,Low-Medium,OLX anchors around PKR 1.5 to 3.0 lac for 1UZ VVTi engines.,,,,,
26,Sources used,,,,,,,,,,,,,
