excel_row,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
1,Electrical Master - Clear Tracker (As-Built + Remaining Work),,,,,,,,
2,Last updated: 2026-05-18 09:31 | Purpose: one-page wiring progress + locked standards + quick lookup,,,,,,,,
4,1) Wiring Progress Tracker,,,,,,,,
5,Priority,Area,Task,Status,Done,Current State / Evidence,Next Action,Dependency,Parts/Tools Impact
6,A,Power Corner,Main shut-off path to MIDI fuse block and relay feeds assembled,Done,Yes,Built in current loom: battery -> breaker -> junction -> MIDI/relay feeds.,Re-torque and inspect during final reassembly.,Tub-off + final assembly,No new parts required
7,A,Relay Feeds,Branches into relay power/control entries terminated,Done,Yes,Primary relay bank power and control entry branches are wired.,Final continuity check before wrap.,Post-weld validation,No new parts required
8,A,Connectors,"Deutsch connectors fitted at power-bay and loom interfaces (X1, X2, X3, X4, X5, X6, X7, X8, X10)",Done,Yes,Connector system installed and mapped to loom IDs.,Pin-by-pin continuity + retention pull check.,Post-weld validation,No new parts required
9,A,Coding,Relay/wire code combinations locked to available coloured heat-shrink set,Done,Yes,Two-band code scheme is the best practical option with current local colour availability.,Keep as-is; only document any unavoidable substitutions.,None,No additional heat-shrink redesign
10,B,Documentation,"Loom layout, wire requirements, wire summary, routing, Deutsch pinout, heat-shrink key, connector plan, relay assignment, and J40 wiring diagram reference reconciled",Done,Yes,J40.jpg/J40.graffle and electrical_diagram_reconciliation_20260518.csv are registered alongside the electrical master quick-look tables.,Update the reconciliation CSV, Graffle source, and JPG export on any physical wiring change.,Change control discipline,No parts required
11,B,Relay Plan,"Relay assignment baseline frozen (T1-T5 active, B1-B2 active, B3-B5 spare)",Done,Yes,Functional mapping is agreed for current build scope.,Use spare relays only when adding future circuits.,Feature additions only,No new parts required
12,B,Fuse Plan,"Dash and MIDI fuse sizing reconciled (incl. EPS 60A, Glow 50A)",Done,Yes,Fuse sizing documented for current electrical load plan.,Verify against final accessory additions.,Any major load change,Only if load changes
13,A,Switch Panel,"Install 7 Schneider selectors (4 right cluster, 2 AC cluster, 1 fuel-stop/control)",In Progress,Yes - all 7 received,All 7 Schneider selectors are now received: 4x 2-way and 3x 3-way. Installation remains in progress until panel mounting and termination are complete.,Complete mounting and terminate switch wiring.,Dash panel machining complete,Tools for hole sizing / panel work
14,A,Dash Fabrication,Machine/enlarge dashboard holes to 22 mm and confirm cluster spacing,Pending,No,Panel prep is required for new selector footprint.,Complete drilling/cutting and edge finishing.,Tooling availability,Chuck + correct bit/cutter in Tools tab
15,A,Fuel Stop Control,Ensure ignition OFF reliably cuts diesel fuel-stop; retain manual cable backup,Pending,No,Manual cutoff retained; ignition-linked behavior must be finalized.,Wire and test shutdown behavior with engine running.,Switch panel + ignition wiring final,No major new parts expected
16,B,Security,Upgrade ignition/key security (current keying not secure),Pending,No,Current lock/key setup can be defeated too easily.,Select and install improved barrel/key solution.,Mechanical lock choice,Likely parts purchase in Parts tab
17,B,Grounding,"Verify battery/chassis, engine/chassis, and dash grounds after tub-off work",In Progress,Partial,Ground architecture defined; needs post-work physical validation.,"Clean points, torque, and coat after final fit.",Tub/chassis work completion,Ground straps/hardware if needed
18,A,Continuity Test,End-to-end continuity test on all active circuits,Pending,No,Build is advanced but must be re-validated after structural work.,Run full continuity matrix and log pass/fail.,Welding/tub refit complete,No parts; testing time
19,A,Load Test,"Live load checks on high-current circuits (EPS, glow, blower, spot)",Pending,No,High-current branches need voltage-drop and thermal confirmation.,Run engine-on load test and record voltage drops.,Continuity test pass,No parts; test equipment
20,A,Functional Test,"Operational test: lights, indicators, wipers, horn, AC, reverse, brake, hazards",Pending,No,System test required before interior close-out.,Execute checklist and clear defects.,Load test pass,Minor consumables possible
21,B,Final Protection,"Final loom securing, abrasion sleeves, grommet checks, heat shielding",Pending,No,Protection should be finalized after all rework risk is gone.,Finish wraps/clips/sleeves as last electrical step.,All functional tests complete,Clips/sleeves/grommets from Parts tab
22,C,Change Control,Record any field reroute or pin change in this sheet before final wrap,In Progress,Partial,Process defined; needs strict use during reassembly.,Update tracker immediately on any wiring change.,Team discipline,No parts required
24,2) Locked As-Built Standards (Do not redesign unless required),,,,,,,,
25,Standard,Decision,Why This Is Locked,Revisit Trigger,,,,,
