Item_Group,Medium_PKR,Buy_Link_1,Buy_Link_2,Replace_All,Notes
Body-to-chassis mount rubber kit (main tub/chassis rubbers),30000,https://cruisercorps.com/products/body-mount-set-fj40,https://daystarproducts.com/products/daystar-kt04003bk,YES,Complete body mount kit; verify year and mount count.
Body mount shim/spacer alignment pack,7000,https://www.daraz.pk/catalog/?q=m10+shim+washer,https://www.daraz.pk/catalog/?q=m12+shim+washer,YES,Order mixed shim thicknesses for tub leveling.
Firewall/column/wiper/rear wiring grommets set,4500,https://www.daraz.pk/catalog/?q=rubber+grommet+kit+automotive,https://www.cityracerllc.com/products/wiper-motor-harness-grommet-for-75-to-84-land-cruiser-fj40-fj45,YES,Use assortment kit + exact FJ40 grommet where needed.
Engine mounts (front + rear),35000,https://mrlandcruiser.com/products/engine-mount-front-2h,https://mrlandcruiser.com/products/engine-mount-rear-2h-suits-toyota-landcruiser-47-hj60-8-1980-12-1984,YES,2H/HJ47-specific mounts; matches your engine family better.
Gearbox / transfer mounts + top-cover bush service items,18500,https://cruisercorps.com/products/mounts-transmission-transfer-case,https://www.coolcruisers.com/motrtrca58to.html,YES,Transmission/transfer case rubber mount kit.
Spring eye bushes (leaf springs),15000,https://cruiserteq.com/suspension-bushing-rubber-set-of-24-fits-1958-1979-fj40-front-rear-43-44-45-front-only-leaf-spring-applications-susebushkit/,https://www.cityracerllc.com/products/poly-leaf-spring-bushing-set-for-land-cruiser-fj40-fj45-fj60-fj62,YES,Leaf spring bushing full set.
Shackle bushes,10000,https://cruiserteq.com/suspension-bushing-rubber-set-of-24-fits-1958-1979-fj40-front-rear-43-44-45-front-only-leaf-spring-applications-susebushkit/,https://www.cityracerllc.com/products/poly-leaf-spring-bushing-set-for-land-cruiser-fj40-fj45-fj60-fj62,YES,Shackle bushings are usually in same full bushing kit.
Steering bushings,10000,https://www.pakwheels.com/accessories-spare-parts/search/-/ct_steering-suspension/,https://www.daraz.pk/catalog/?q=toyota+steering+bushing,YES,Pick exact steering arm/relay/box bush sizes at checkout.
Brake flexible hose set (front + rear center),12500,https://www.cityracerllc.com/products/set-of-oem-front-brake-hoses-for-69-to-80-toyota-land-cruiser-fj40-bj40-fj55,https://www.cityracerllc.com/products/oem-front-center-brake-hose-for-75-to-80-toyota-land-cruiser-fj40-fj45-fj55,YES,Front pair + center hose; add rear center as needed by year.
Clutch flex hose,10000,https://www.cityracerllc.com/products/oem-clutch-hose-for-9-71-to-12-75-land-cruiser-fj40-fj45,https://www.daraz.pk/catalog/?q=clutch+hose+toyota,YES,Use OEM style if available for pedal feel and durability.
Fuel hose + return hose + hose clamps kit,33000,https://www.daraz.pk/catalog/?q=SAE+J30R7+fuel+hose,https://www.cityracerllc.com/products/stainless-steel-double-wire-hose-clamp-pack-for-toyota-land-cruiser-fj40-fj60,YES,Fuel hose by meter + clamp pack as a kit approach.
Heater hose set,9000,https://www.cityracerllc.com/products/rear-heater-hose-for-land-cruiser-fj40-26,https://www.daraz.pk/catalog/?q=heater+hose+toyota,YES,Buy by inner diameter and total length required.
Radiator/coolant hoses + thermostat gasket + radiator mount pads,23000,https://www.cityracerllc.com/products/radiator-hoses-set-for-69-to-76-land-cruiser-fj40,https://www.cityracerllc.com/products/coolant-overflow-hose-with-cap-for-78-to-84-land-cruiser-fj40,YES,Radiator set + overflow hose/cap covers coolant rubber service.
Reservoir hoses / caps / seals,8000,https://www.cityracerllc.com/products/radiator-overflow-tank-cap-with-hose-for-75-to-77-land-cruiser-fj40,https://industryparts.pk/products/o-ring-assortment-rubber-kit-382-pieces-30-sizes,YES,Reservoir cap/hose plus sealing O-rings.
Tank strap pads/rubbers + sender seal,10000,https://www.cruiseryard.com/new-toyota-land-cruiser-oem-fuel-sender-gauge-gasket-83361-20030/,https://www.pakwheels.com/accessories-spare-parts/search/-/q_tank+seal+toyota/,YES,Sender gasket online; tank strap pads may be fabricated locally.
Door weatherstrip set,80000,https://jtoutfitters.com/products/weatherstripping-kit-for-toyota-land-cruiser-fj40-75-84-front-ambulance-doors,https://www.cityracerllc.com/products/front-door-seal-weatherstrips-for-73-to-74-land-cruiser-fj40,YES,"Try full kit first, then fill gaps with per-door seals."
Windscreen rubber / base seal,20000,https://www.cityracerllc.com/products/windshield-weatherstrip-for-75-to-84-land-cruiser-fj40,https://www.cityracerllc.com/products/land-cruiser-fj40-windshield-base-weatherstrip-spacer-seal,YES,Includes glass seal and windshield base spacer/seal.
Vent / flap / cowl seal set,12000,https://www.cityracerllc.com/products/cowl-vent-damper-gasket-for-toyota-land-cruiser-fj40,https://www.cityracerllc.com/products/cowl-side-vent-seal-for-land-cruiser-fj40,YES,Cowl vent damper + side vent seals as a bundle.
Exhaust hanger rubbers,8000,https://www.daraz.pk/catalog/?q=exhaust+hanger+rubber,https://www.pakwheels.com/accessories-spare-parts/search/-/q_exhaust+hanger+rubber/,YES,Match by hanger pin size and rubber length.
A/C barrier hoses + drain hoses + O-rings,45000,https://www.daraz.pk/catalog/?q=car+ac+hose,https://industryparts.pk/products/o-ring-assortment-rubber-kit-382-pieces-30-sizes,YES,Barrier hoses usually crimped to length locally; buy O-rings online.
Pedal rubbers,4000,https://cruisercorps.com/collections/pedal-pads/fj40,https://www.daraz.pk/catalog/?q=toyota+pedal+rubber,YES,OEM style pedal pads online plus local generic option.
TOTAL_ALL_RUBBERS_REPLACE,=SUM(B2:B22),,,,
