inventory_id,item,priority,pk_local_link_1,pk_local_link_2,local_only_status,suitability_check_for_1978_j40,fitment_gate_before_payment,stock_note_2026_04_18,action_state
INV-0018,Brake flexible hose set front and rear,P4 - Post inspection,https://toyota-indus.com/toyota-genuine-parts/,https://www.partcify.com/catalog?category=Brakes,LOCAL_ONLY_IF_DEALER_OR_LOCAL_STOCK,"Suitable only if front/rear hose length, end fitting thread, and banjo style match J40 hard lines and wheel ends.","Measure old hoses eye-to-eye, fitting thread/pitch, and center hose lengths after final suspension ride height.",QUOTE_REQUIRED,NOT_UNDER_QUOTE
INV-0021,Engine mount set,P4 - Post inspection,https://www.partcify.com/catalog?category=Engine+Mounts,https://mrparts.pk/engine-parts/engine-mounting/,LOCAL_ONLY_IF_LOCAL_STOCK,"Suitable only if mount geometry matches the engine currently installed in this J40 (engine code must be confirmed on vehicle).","Match old mount bolt pattern, stud size, and installed height under load before payment.",QUOTE_REQUIRED,NOT_UNDER_QUOTE
INV-0024,Fuel-rated rubber hose and clamp kit,P4 - Post inspection,https://www.daraz.pk/products/10pcs-fuel-line-jubilee-hose-clips-clamp-diesel-petrol-pipe-coolant-radiator-carbon-steel-galvanized-pipe-fittings-fixing-clamp-i645582306.html,https://toyota-indus.com/toyota-genuine-parts/,LOCAL_ONLY,"Suitable only with fuel-rated hose spec (SAE J30R7/J30R9 equivalent) plus correct ID for feed/return/vent; clamp-only listings are not enough.","Measure each fuel line run and confirm hose material spec before buying hose by length.",CLAMPS_AVAILABLE_HOSE_QUOTE_REQUIRED,NOT_UNDER_QUOTE
INV-0013,"Gearbox top-cover service items (detents, bushes, shift-seat kit)",P4 - Post inspection,https://www.toyotajinnah.com/parts,https://toyota-indus.com/toyota-genuine-parts/,LOCAL_ONLY_IF_DEALER_OR_LOCAL_GEAR_SHOP_STOCK,"Suitable only when parts match actual gearbox top cover and shift mechanism variant installed in this vehicle.","Open top cover, capture gearbox code/casting and sample old detent/seat dimensions before quote confirmation.",QUOTE_REQUIRED,NOT_UNDER_QUOTE
INV-0028,Heat plugs (glow plugs) set - diesel engine (NEW only),P4 - Post inspection,https://toyota-indus.com/toyota-genuine-parts/,https://www.toyotajinnah.com/parts,LOCAL_ONLY_IF_DEALER_STOCK_NEW_ONLY,"Suitable only if glow plug thread, reach, and voltage exactly match the diesel engine currently fitted; new parts only.","Read engine code from block and verify current plug part number before paying.",QUOTE_REQUIRED,NOT_UNDER_QUOTE
INV-0025,Heater hose set with clamps,P4 - Post inspection,https://toyota-indus.com/toyota-genuine-parts/,https://www.partcify.com/catalog?+Cooling+System=&category=Radiators+,LOCAL_ONLY_IF_LOCAL_STOCK,"Suitable only when coolant/heater hose ID and bend radius match J40 heater circuit without kinking.","Measure heater core and engine-side nipple ODs; buy EPDM coolant-grade hose only.",QUOTE_REQUIRED,NOT_UNDER_QUOTE
INV-0026,Radiator cap,P4 - Post inspection,https://www.daraz.pk/products/few-r125-radiator-cap-09-kgcm-88-kpa-wira-kancil-waja-blm-viva-gen-2-toyota-mitsubishi-mazda-daihatsu-suzuki-i880854048.html,https://toyota-indus.com/toyota-genuine-parts/,LOCAL_ONLY,"Suitable only if radiator neck and cap pattern match and pressure spec is correct for your cooling system (typically 0.9 kg/cm2 / 88 kPa path used here).","ACTION: Verify radiator neck depth and cap ear style, then confirm cap family fitment before payment.",DARAZ_IN_STOCK_LISTING_VISIBLE_PENDING_FITMENT_CHECK,FITMENT_CHECK_PENDING
INV-0027,Radiator hose set upper plus lower with clamps,P4 - Post inspection,https://www.daraz.pk/products/radiator-hose-pipe-for-car-radiator-hose-pipe-rubber-radiator-hose-pipe-metal-radiator-hose-pipe-radiator-hose-pipe-for-engine-radiator-hose-pipe-for-radiator-i1504896.html,https://toyota-indus.com/toyota-genuine-parts/,LOCAL_ONLY,"Suitable only when upper and lower hose diameters and bends match engine outlet/inlet and radiator neck positions.","Sample old hoses first and confirm no kink through full engine movement.",GENERIC_LOCAL_LISTING_AVAILABLE,NOT_UNDER_QUOTE
INV-0052,Steering bushings,P4 - Post inspection,https://www.partcify.com/catalog?+Bushes=&category=Control+Arms+,https://www.autos1000.com/PK/Lahore/104041934338579/Bilal-Auto--Suspension-parts,LOCAL_ONLY,"Suitable only if bush ID/OD/length exactly match worn steering linkage/relay locations on this J40.","Press out one old bush and measure dimensions before placing order.",QUOTE_REQUIRED,NOT_UNDER_QUOTE
INV-0255,Suspension Geometry Safety Pack (caster shims + brake hose length check),P4 - Post inspection,https://www.partcify.com/catalog?category=Suspension,https://www.autos1000.com/PK/Lahore/104041934338579/Bilal-Auto--Suspension-parts,LOCAL_ONLY_IF_FABRICATED_OR_LOCAL_STOCK,"Suitable only after alignment readings; caster shim degree must be selected from measured caster/pinion angle and droop-hose checks.","Do alignment first, then choose shim degree and verify brake hose free length at full droop.",QUOTE_REQUIRED_AFTER_ALIGNMENT,NOT_UNDER_QUOTE
INV-0030,Vacuum hose refresh kit,P4 - Post inspection,https://www.daraz.pk/products/1pc-car-6mm-14-id-full-silicone-fuelair-vacuum-hoselinepipetube-1-meter-black-replacement-accessories-flexible-parts-i674318283.html,https://toyota-indus.com/toyota-genuine-parts/,LOCAL_ONLY,"Suitable for vacuum circuits only when hose ID and heat rating match each vacuum line; do not substitute as fuel hose.","Map all vacuum lines and cut by measured runs; confirm each connection ID.",DARAZ_LOCAL_DELIVERY_LISTING_VISIBLE,NOT_UNDER_QUOTE
