feature,reference_value,provenance,confidence,production_release,required_gate,source_url
public early replacement-panel product envelope,1400 x 250 x 100 mm,"Reborn FJ 1968-1978 steel dashboard listing; centimetre-resolution product dimension, not installed RHD face datums, bends or aperture coordinates",PUBLISHED_VENDOR_ENVELOPE,NOT FOR CNC,M1 physical full-width trace,https://rebornfj.com/product-detail/for-toyota-land-cruiser-fj40-fj45_26995.html
full dashboard visible-face perimeter,1260 x 280 nominal coordinate envelope,Rev G proportional design datum; public vendor envelope is broader product context only and Toyota EPC shows configuration-specific panels,DESIGN_REFERENCE_ONLY,HOLD,M1 physical full-width trace,https://rebornfj.com/product-detail/for-toyota-land-cruiser-fj40-fj45_26995.html
fascia/LCD/inner-vent common centreline,X=630.0; inner vents X=555.0/705.0,parametric Rev G constraint: LCD centre equals fascia centreline; inner-pair midpoint equals same centreline; equal offsets ±75,MATHEMATICALLY_EXACT_IN_NOMINAL_MODEL,HOLD for physical transfer,M1 + M5 + M9,
OEM glovebox,nominal only envelope in drawing,Toyota parts fitment family only; no public 1978 RHD lid/hinge dimensional drawing found,PHYSICAL_TRANSFER_REQUIRED,HOLD,M2 direct trace and opening sweep,https://www.megazip.net/zapchasti-dlya-avtomobilej/toyota/land-cruiser-38286/fj40-55808/fj40lv-kw-936553/instrument-panel-glove-compartment-18026590
OEM speedometer / cluster,nominal only envelope in drawing,Toyota parts fitment family only; no public 1978 RHD cluster dimensional drawing found,PHYSICAL_TRANSFER_REQUIRED,HOLD,"M3 direct trace, rear depth, mounts and sight line",https://www.megazip.net/zapchasti-dlya-avtomobilej/toyota/land-cruiser-38286/fj40-55808/fj40lv-kw-936553/instrument-panel-glove-compartment-18026590
LCD active-image reference,199.2 x 112.1; 228.6 diagonal,mathematical 9-inch 16:9 reference; Sehgal local listing states 9-inch but has no chassis/cutout drawing,REFERENCE_ONLY,HOLD,M4-M5 bought sample and manufacturer drawing,https://sehgalmotors.pk/products/universal-android-lcd-tab-9-inches-with-wiring-without-main-grip
LCD bezel/aperture/support,224 x 136 / 202 x 115 / 246 x 158 nominal,design envelope only,PHYSICAL_TRANSFER_REQUIRED,HOLD,M4-M5,
generic silver vent family,face Ø87; panel opening Ø75,"Joom listing; cross-check only, generic variants have spigot/retainer variation",PUBLISHED_LISTING_REFERENCE,HOLD,M7 received matched four-piece sample batch + calipers,https://www.joom.com/en/products/68c8f9fa6dffb3012ca80d30
vent x/y centres,"((65.0, 50.0), (555.0, 50.0), (705.0, 50.0), (1195.0, 50.0))",Rev G layout decision; inner pair is exactly symmetric about LCD/fascia centreline; outer faces close to usable ends and clear of side returns,DESIGN_LOCKED,HOLD for actual vehicle transfer,M1 + M7,
Schneider-style selector aperture,Ø22.5,Schneider Electric Harmony XB4 published mounting diameter,VERIFIED_PRODUCT_STANDARD,HOLD to bought-part confirmation,M6 part-code photo + calipers,https://shop.se.com/pro/us/en/product/selector-switch-harmony-xb4-black-22mm-3-positions-stay-put-2no/
Schneider-style selector rear envelope,68,Schneider Electric Harmony XB4 published complete depth,VERIFIED_PRODUCT_STANDARD,HOLD to bought-part confirmation,M6 part-code photo + rear-stack trial,https://shop.se.com/pro/us/en/product/selector-switch-harmony-xb4-black-22mm-3-positions-stay-put-2no/
hazard aperture,Ø16 nominal,no selected/published hazard part drawing,REFERENCE_ONLY,HOLD,M6 actual part,
