item_id,system,buy_stage,item,quantity,required_spec,fit_acceptance,buy_location,status,notes
RAD-01,cooling,1_hard_parts,HJ47 2H heavy-duty radiator,1,"Toyota 16400-68030 pattern; copper/brass high-efficiency four-row; preferred core 435H x 530W x 64D mm; 435 x 540 x 60 only if clearance allows; 38 mm ports; no AT cooler","Old sample matches necks cap overflow drain mounts; 540 mm core requires >=550 mm upright clearance; overall mounting width target <=600 mm; bench pressure and flow test",Bilal Ganj radiator specialist,planned_new_purchase,Old sample controls converted-vehicle details
RAD-02,cooling,1_hard_parts,Radiator cap,1,"Toyota HJ47 reference 16401-41021; branded and pressure-marked; matched to supplied neck and Toyota 2H system","Radiator builder confirms rating; common 0.9 kg/cm2 or 88 kPa only if verified",Bilal Ganj radiator specialist,planned_new_purchase,Reject unmarked or higher-pressure cap
RAD-03,cooling,1_hard_parts,Radiator drain cock,1,Toyota HJ47 reference 96431-03873 or matched new equivalent,Installed and leak-tested,With radiator,planned_new_purchase,Omit only if included new
RAD-04,cooling,1_hard_parts,Lower radiator saddles or pads,2,"EPDM/SBR; normally 5-10 mm; shaped to radiator frame/tank","Carry weight without touching core",Bilal Ganj rubber or radiator shop,planned_new_purchase,Site-fit
RAD-05,cooling,1_hard_parts,Side and upper radiator isolators,4,Rubber bobbins/grommets/sleeved bushes for M8 mounts,No hard steel-to-radiator clamp,Bilal Ganj rubber or hardware shop,planned_new_purchase,Final style follows radiator brackets
RAD-06,cooling,1_hard_parts,Mechanical fan shroud,1,Close-fitting removable shroud for new radiator and existing fan,"Aperture and depth set after installed dry-fit; serviceable",Bilal Ganj radiator/fabrication shop,planned_new_purchase,Fabricate if no donor shroud matches
RAD-07,cooling,1_hard_parts,Coolant recovery bottle kit,1,New bottle cap bracket and bottom pickup,Mount vertical and away from heat,Bilal Ganj cooling parts shop,planned_new_purchase,Reuse old only if proven sound
AC-01,air_conditioning,1_hard_parts,Universal parallel-flow condenser,1,"R134a; nominal 14 x 22 in; pattern 03262-VUC or CNFP1422; preferred body about 356H x 559W x 21D mm; hard body max 370H x 600W x 25D mm; finned face >=330H x 508W; top #8 male O-ring 3/4-16 and bottom #6 male O-ring 5/8-18","Mount upright with side manifolds vertical and ahead of uprights; measure core/body; trial-fit elbows inside 640-670 mm opening; ports capped",Bilal Ganj A/C parts shop,planned_new_purchase,Pattern reference only; buy new locally with same-side ports and external drier
AC-02,air_conditioning,1_hard_parts,Slim pusher fan,1,"12 V; 14 in; pusher/reversible; <=370 x 370 x 65 mm; sealed motor","Bench-run in push direction; record current; independent frame mount",Bilal Ganj A/C or auto-electric shop,planned_new_purchase,Use 12 in only if depth fails
AC-03,air_conditioning,1_hard_parts,Receiver-drier with clamp,1,"New factory-sealed R134a; vertical; #6 O-ring inlet/outlet preferably male 5/8-18; switch port","Matched to switch thread; never opened for display",Bilal Ganj A/C parts shop,planned_new_purchase,Install near condenser outlet
AC-04,air_conditioning,1_hard_parts,Trinary switch with normally-open fan contacts,1,"Low/high compressor protection plus fan request; four-wire pigtail; Mastercool 61-25642 functional reference has 7/16-20 female thread and 3/8-24 male adapter","Thread matched to drier; reference about 22 psi low 340 psi high 240 psi fan",Bilal Ganj A/C parts shop,planned_new_purchase,Buy with drier as matched pair
AC-05,air_conditioning,1_hard_parts,Condenser and drier bracket set,1 set,Rubber-isolated removable tabs and vertical drier clamp,No through-fin rods or radiator-tank loads,Bilal Ganj fabricator,planned_new_purchase,Final drilling after dry-fit
RAD-08,cooling,2_routes,Upper radiator hose,1,"38 mm ID coolant-rated EPDM; Toyota HJ47 shape reference 16571-68020",No kink rub or forced neck alignment,Bilal Ganj hose shop,planned_after_dry_fit,Use model hose only if natural fit
RAD-09,cooling,2_routes,Lower radiator hose,1,"38 mm ID reinforced/suction-rated EPDM; Toyota HJ47 shape reference 16572-68020",Must not collapse at engine speed,Bilal Ganj hose shop,planned_after_dry_fit,Conversion route controls
