item_type,item,vendor,source_table,source_ref,listing_url,image_url,local_path,status,error
part,eBay Yaris/Vitz fuse box cover reference,eBay,ebay_yaris_cover_html,file,https://i.ebayimg.com/images/g/UPAAAOSwcPNjC4eu/s-l140.jpg,https://i.ebayimg.com/images/g/UPAAAOSwcPNjC4eu/s-l140.jpg,deliverables/selling_site_images/images/ebay_yaris_cover_html_ebay_yaris_vitz_fuse_box_cover_reference_725c318714ab.jpg,downloaded,
part,eBay Yaris/Vitz fuse box cover reference,eBay,ebay_yaris_cover_html,file,https://i.ebayimg.com/images/g/g7kAAOSwIodjC4et/s-l140.jpg,https://i.ebayimg.com/images/g/g7kAAOSwIodjC4et/s-l140.jpg,deliverables/selling_site_images/images/ebay_yaris_cover_html_ebay_yaris_vitz_fuse_box_cover_reference_49f3b468edd0.jpg,downloaded,
part,eBay Yaris/Vitz fuse box cover reference,eBay,ebay_yaris_cover_html,file,https://i.ebayimg.com/images/g/g7kAAOSwIodjC4et/s-l1600.jpg,https://i.ebayimg.com/images/g/g7kAAOSwIodjC4et/s-l1600.jpg,deliverables/selling_site_images/images/ebay_yaris_cover_html_ebay_yaris_vitz_fuse_box_cover_reference_756f18c3cb33.jpg,downloaded,
part,eBay Yaris/Vitz fuse box cover reference,eBay,ebay_yaris_cover_html,file,https://i.ebayimg.com/images/g/g7kAAOSwIodjC4et/s-l500.jpg,https://i.ebayimg.com/images/g/g7kAAOSwIodjC4et/s-l500.jpg,deliverables/selling_site_images/images/ebay_yaris_cover_html_ebay_yaris_vitz_fuse_box_cover_reference_1de4cd0c5feb.jpg,downloaded,
part,eBay Yaris/Vitz fuse box cover reference,eBay,ebay_yaris_cover_html,file,https://i.ebayimg.com/images/g/nSoAAOSwTx5jC4et/s-l140.jpg,https://i.ebayimg.com/images/g/nSoAAOSwTx5jC4et/s-l140.jpg,deliverables/selling_site_images/images/ebay_yaris_cover_html_ebay_yaris_vitz_fuse_box_cover_reference_42415b557d08.jpg,downloaded,
part,eBay Yaris/Vitz fuse box cover reference,eBay,ebay_yaris_cover_html,file,https://i.ebayimg.com/images/g/nSoAAOSwTx5jC4et/s-l1600.jpg,https://i.ebayimg.com/images/g/nSoAAOSwTx5jC4et/s-l1600.jpg,deliverables/selling_site_images/images/ebay_yaris_cover_html_ebay_yaris_vitz_fuse_box_cover_reference_7b568fff1bab.jpg,downloaded,
part,eBay Yaris/Vitz fuse box cover reference,eBay,ebay_yaris_cover_html,file,https://i.ebayimg.com/images/g/nSoAAOSwTx5jC4et/s-l500.jpg,https://i.ebayimg.com/images/g/nSoAAOSwTx5jC4et/s-l500.jpg,deliverables/selling_site_images/images/ebay_yaris_cover_html_ebay_yaris_vitz_fuse_box_cover_reference_7ee756544e63.jpg,downloaded,
part,eBay Yaris/Vitz fuse box cover reference,eBay,ebay_yaris_cover_html,file,https://i.ebayimg.com/thumbs/images/g/g7kAAOSwIodjC4et/s-l500.jpg,https://i.ebayimg.com/thumbs/images/g/g7kAAOSwIodjC4et/s-l500.jpg,deliverables/selling_site_images/images/ebay_yaris_cover_html_ebay_yaris_vitz_fuse_box_cover_reference_1de4cd0c5feb.jpg,downloaded,
part,eBay Yaris/Vitz fuse box cover reference,eBay,ebay_yaris_cover_html,file,https://www.ebay.ch/itm/226987123356,,,resolve_failed,HTTP Error 403: Forbidden
part,eBay Yaris/Vitz fuse box cover reference,eBay,ebay_yaris_cover_html,file,https://www.ebay.com/itm/226987123356,,,resolve_failed,HTTP Error 403: Forbidden
part,HB Body U900 cavity wax spray 400ml,Autohub,expenses,part_cavity_wax,https://autohub.pk/products/hb-body-u900-cavity-wax-spray-u900-400ml,https://autohub.pk/cdn/shop/products/x2020_3pkmicrofiber_peg_large.png?v=1579552582,deliverables/selling_site_images/images/expenses_hb_body_u900_cavity_wax_spray_400ml_24d52c190fc8.webp,downloaded,
part,Jubilee hose clip assortment - 10 pc fuel line/diesel/petrol/coolant clamp packs x3,Daraz / Gravax corporation,expenses,part_daraz_jubilee_hose_clip_assortment_30pc,https://www.daraz.pk/products/i645582306-s3011629985.html?urlFlag=true&mp=1,https://static-01.daraz.pk/p/ba3d027177170958c46096eff8c97f61.jpg,deliverables/selling_site_images/images/expenses_jubilee_hose_clip_assortment_10_pc_fuel__2a666ef4bae6.jpg,downloaded,
part,Jubilee hose clip assortment - 10 pc fuel line/diesel/petrol/coolant clamp packs x3,Daraz / Gravax corporation,expenses,part_daraz_jubilee_hose_clip_assortment_30pc,https://www.daraz.pk/products/i645582306-s3011629988.html?urlFlag=true&mp=1,https://static-01.daraz.pk/p/ba3d027177170958c46096eff8c97f61.jpg,deliverables/selling_site_images/images/expenses_jubilee_hose_clip_assortment_10_pc_fuel__2a666ef4bae6.jpg,reused_cached_image,
part,Jubilee hose clip assortment - 10 pc fuel line/diesel/petrol/coolant clamp packs x3,Daraz / Gravax corporation,expenses,part_daraz_jubilee_hose_clip_assortment_30pc,https://www.daraz.pk/products/i645582306-s3011629989.html?urlFlag=true&mp=1,https://static-01.daraz.pk/p/ba3d027177170958c46096eff8c97f61.jpg,deliverables/selling_site_images/images/expenses_jubilee_hose_clip_assortment_10_pc_fuel__2a666ef4bae6.jpg,reused_cached_image,
