Item,Price,Vendor,Received,Paid,Plan_Timing,Plan_Decision,Inventory_Group,Restore_Replace,Build_State,Reconciled_Status,Reconciled_Note,Procured_Mark,Estimate_Range_PKR,Estimate_Avg_PKR,Estimate_Priority,Estimate_Source,Source_Tab,Source_Row,Inventory_ID,Purchase_Priority,Priority_Order,Priority_Basis,New_vs_Refresh_Decision,Photo_Evidence_Level,Photo_Evidence_Basis,Decision_Confidence,Lead_Time_Risk,Sourcing_Region
Rubber grommet set,,Use local electrical markets first; avoid duplicate online orders.,Needs check,9200 COD (ref Wiring),in_flight_now,track_in_flight_order,replacement_part,replace_or_procure,ordered_in_flight,needs_confirmation,Already ordered/in-flight in procurement and mirrored by Wiring grommet entry; avoid duplicate buy. | RR action=Use local electrical markets first; avoid duplicate online orders.; evidence=Already ordered; do not rebuy.,ordered/in-flight,,,,,Parts,35,INV-0034,P1 - In flight / immediate,1,procurement_pass2,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
"Schneider Harmony 22mm 2-position maintained selector switch (1NO, black) x 4",31900,purchaser.com.pk | https://purchaser.com.pk/schneider-harmony-22mm-push-button-2-position-selector-switch-black-maintained-1-no-600-v/,No,Ordered (combined total),in_flight_now,track_in_flight_order,replacement_part,replace_or_procure,ordered_in_flight,needs_confirmation,"Combined order total PKR 31,900 for both selector lines (4x 2-position + 3x 3-position); awaiting delivery.",ordered/in-flight,,,,,Parts,38,INV-0037,P1 - In flight / immediate,1,decision_or_timing,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
"Schneider Harmony XB4 22mm 3-position maintained selector switch (2NO, long handle) x 3",,purchaser.com.pk | https://purchaser.com.pk/schneider-selector-switch-harmony-xb4-metal-black-22mm-long-handle-3positions-stay-put-2no/,No,Included in combined total,in_flight_now,track_in_flight_order,replacement_part,replace_or_procure,ordered_in_flight,needs_confirmation,"Price included in PKR 31,900 combined selector-switch order total logged on 2-position row.",ordered/in-flight,,,,,Parts,39,INV-0038,P1 - In flight / immediate,1,decision_or_timing,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
Body mount shims/spacers alignment pack,,Fabricate shim pack after mount-point map and weld closure dimensions are confirmed.,,,pre_tub_refit,prepare_before_trial_fit,replacement_part,replace_or_procure,planned_or_open,planned_or_open,"Active required purchase item from Procurement_Pass2. | Tub refit locked to original OEM mount locations; no custom offset mounting. | P2 active batch confirmed 2026-04-15 | Reconciled 2026-04-15: prioritize as low-risk, locally available buy-first item. | Price basis 2026-04-15: alignment shim pack assorted thicknesses for tub leveling.",,3000-12000,7000,Medium,Local fabricator/washer stock + Bilal Ganj,Parts,13,INV-0012,P2 - Buy before refit,2,P2-A immediate low-risk local procurement (2026-04-15),NEW_ONLY,medium,"photo_group=body_floor; group_photo_count=15; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_preferred
Body-to-chassis mount rubber kit,,Local rubber/4x4 supplier or custom rubber fabricator if exact kit unavailable.,,,pre_tub_refit,measure_then_buy_with_trial_fit,replacement_part,replace_or_procure,planned_or_open,planned_or_open,"Active required purchase item from Procurement_Pass2. | Tub refit locked to original OEM mount locations; no custom offset mounting. | P2 active batch confirmed 2026-04-15 | Reconciled 2026-04-15: prioritize as low-risk, locally available buy-first item. | Price basis 2026-04-15: body mount rubber set, local pattern if correct hardness and sleeve fit verified. | Age/condition rule: NEW_ONLY body mount rubbers/sleeves.",,15000-60000,30000,High,Bilal Ganj rubber market (FJ/LC pattern) + import fallback,Parts,12,INV-0011,P2 - Buy before refit,2,P2-A immediate low-risk local procurement (2026-04-15),NEW_ONLY,medium,"photo_group=documentation_reference; group_photo_count=5; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_preferred
Dashboard fascia / auxiliary switch panel (if OEM holes are insufficient),,Local sheet-metal/fabrication shop,No,,pre_dash_refit,fabricate_only_if_required_by_switch_fitup,replacement_part,replace_or_procure,planned_or_open,planned_or_open,Only buy/fabricate if right+mid cluster hole count/spacing/depth cannot safely host all required controls. | P2 active batch confirmed 2026-04-15 | Reconciled 2026-04-15: fabricate only if OEM holes cannot safely fit required controls.,,,,,,Parts,40,INV-0039,P2 - Buy before refit,6,P2-E conditional fabrication only if switch fit requires it (2026-04-15),BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
Electrical power steering,,,,,pre_tub_refit,buy_complete_eps_column_kit_bilal_ganj_with_inclusion_checklist,replacement_part,replace_or_procure,planned_or_open,planned_or_open,"Legacy planned item retained; EPS path remains in scope. | P2 active batch confirmed 2026-04-15 | EPS kit must include at minimum: column-assist EPS unit (motor + torque sensor + reduction gear), EPS controller/ECU or integrated control module, matching connectors with pigtails >=150mm, upper+lower intermediate shaft sections with U-joints, steering coupler/spline adapters for FJ40-side fitment, column mount/clamp bracket set + firewall support bracket, heavy feed cable path for 60A fused supply + ignition trigger lead, fail-safe manual steering capability if assist disabled. Bench-test before payment; reject noisy/jerky units or excessive lash. | Age/condition rule: USED_TESTED_OK_MAX_15Y for EPS donor units; bench-test mandatory.",,54000-136000,90000,High,Bilal Ganj EPS kit quotes + project baseline comparison (2026-04-15),Parts,52,INV-0051,P2 - Buy before refit,5,P2-D EPS kit procurement with mandatory inclusion checklist (2026-04-15),USED_TESTED_OK_MAX_15Y,high,"photo_group=chassis_underside; group_photo_count=32; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,bilal_ganj_first_then_online_fallback
"Fastener Kit A: Tub-to-chassis mounts (OEM positions) - M10/M12 class 8.8 bolts, matching nuts, flat+spring washers, sleeves",,,No,,pre_tub_refit,buy_local_grade_spec_kit,replacement_part,replace_or_procure,planned_or_open,planned_or_open,"Spec qty baseline: M10x1.25 class 8.8 bolts x16, M10 nuts (nyloc + all-metal mix) x24, M10 flat washers x40, M10 spring washers x20, M10 sleeves/spacers x16, M12 class 8.8 bolts x4, M12 nuts x6, M12 flat washers x12, M12 spring washers x6. Buy +20% spares. | P2 active batch confirmed 2026-04-15 | Reconciled 2026-04-15: prioritize as low-risk, locally available buy-first item. | Price basis 2026-04-15: Kit A detailed qty with +20% spares. | Age/condition rule: NEW_ONLY class-marked structural hardware.",,15000-35000,24000,High,Bilal Ganj + industrial fastener shops (M10/M12 class 8.8),Manual,,INV-0243,P2 - Buy before refit,2,P2-A immediate low-risk local procurement (2026-04-15),NEW_ONLY,medium,manual_specification_update_2026_04_15,high,low,local_pk_preferred
"Fastener Kit B: Body panel/bracket hardware - M6/M8 class 8.8 flange bolts, nyloc nuts, washers",,,No,,pre_tub_refit,buy_local_grade_spec_kit,replacement_part,replace_or_procure,planned_or_open,planned_or_open,"Spec qty baseline: M6x1.0 class 8.8 bolts (assorted lengths 12/16/20/25mm) x220, M6 nyloc nuts x160, M6 flange nuts x80, M6 flat washers x300, M6 spring washers x140, M8x1.25 class 8.8 bolts (16/20/25/30mm) x120, M8 nyloc nuts x90, M8 flange nuts x40, M8 flat washers x180, M8 spring washers x90. | P2 active batch confirmed 2026-04-15 | Reconciled 2026-04-15: prioritize as low-risk, locally available buy-first item. | Price basis 2026-04-15: Kit B detailed qty with mixed lengths and washers. | Age/condition rule: NEW_ONLY class-marked structural hardware.",,18000-40000,28000,High,Bilal Ganj + industrial fastener shops (M6/M8 class 8.8),Manual,,INV-0244,P2 - Buy before refit,2,P2-A immediate low-risk local procurement (2026-04-15),NEW_ONLY,medium,manual_specification_update_2026_04_15,high,low,local_pk_preferred
Fastener Kit C: Captive nuts/clip nuts assortment - M6/M8 with anti-corrosion finish,,,No,,pre_tub_refit,buy_local_grade_spec_kit,replacement_part,replace_or_procure,planned_or_open,planned_or_open,"Spec qty baseline: M6 captive/clip nuts x120, M8 captive/clip nuts x60, weld nuts M6 x30, weld nuts M8 x20, rivnuts M6 steel x30, rivnuts M8 steel x20. Prefer yellow-zinc or equivalent corrosion-resistant finish. | P2 active batch confirmed 2026-04-15 | Reconciled 2026-04-15: prioritize as low-risk, locally available buy-first item. | Price basis 2026-04-15: Kit C captive/clip/weld nut + rivnut assortment. | Age/condition rule: NEW_ONLY plated captive/clip/rivnut hardware.",,7000-18000,12000,Medium,Bilal Ganj clip/captive/rivnut suppliers,Manual,,INV-0245,P2 - Buy before refit,2,P2-A immediate low-risk local procurement (2026-04-15),NEW_ONLY,medium,manual_specification_update_2026_04_15,high,low,local_pk_preferred
