source_workbook_path,source_sheet,source_row,item,price_raw,parsed_amount,currency,vendor,received_flag,paid_flag,notes,row_type
/Users/davidpridmore/Documents/J40_Costs.xlsx,Tools,2,"Black Cable Ties (pack of 100) - 4"" × 1",390,390,PKR,ToolsMart.pk,Y,Y,procured_or_on_hand | Evidence indicates purchased/received.,line_item
/Users/davidpridmore/Documents/J40_Costs.xlsx,Tools,3,"Black Cable Ties (pack of 100) - 14"" × 1",1150,1150,PKR,ToolsMart.pk,Y,Y,procured_or_on_hand | Evidence indicates purchased/received.,line_item
/Users/davidpridmore/Documents/J40_Costs.xlsx,Tools,4,"Black Cable Ties (pack of 100) - 8"" × 1",620,620,PKR,ToolsMart.pk,Y,Y,procured_or_on_hand | Evidence indicates purchased/received.,line_item
/Users/davidpridmore/Documents/J40_Costs.xlsx,Tools,5,Harden 32Pcs Screw Tap × 1,11940,11940,PKR,ToolsMart.pk,Y,Y,procured_or_on_hand | Evidence indicates purchased/received.,line_item
/Users/davidpridmore/Documents/J40_Costs.xlsx,Tools,6,Ingco Wire cup brush 50mm WB30501 × 1,510,510,PKR,ToolsMart.pk,Y,Y,procured_or_on_hand | Evidence indicates purchased/received.,line_item
/Users/davidpridmore/Documents/J40_Costs.xlsx,Tools,7,"Gaocheng Angle Grinder 125MM, 1500W GC-AG150H × 1",11400,11400,PKR,ToolsMart.pk,Y,Y,procured_or_on_hand | Evidence indicates purchased/received.,line_item
/Users/davidpridmore/Documents/J40_Costs.xlsx,Tools,8,,18500,18500,PKR,ToolsMart.pk,Y,Y,procured_or_on_hand | Evidence indicates purchased/received.,line_item
/Users/davidpridmore/Documents/J40_Costs.xlsx,Tools,9,"Total 1/2‰Û Flexible Handle 15"" THTFX12151 × 1",2310,2310,PKR,ToolsMart.pk,Y,Y,procured_or_on_hand | Evidence indicates purchased/received.,line_item
/Users/davidpridmore/Documents/J40_Costs.xlsx,Tools,10,"LICOTA MADE IN TAIWAN 3/4"" DR. IMPACT SOCKET 6PT 41mm CR-MO BLACK × 1",3340,3340,PKR,ToolsMart.pk,Y,Y,procured_or_on_hand | Evidence indicates purchased/received.,line_item
/Users/davidpridmore/Documents/J40_Costs.xlsx,Tools,11,"LICOTA MADE IN TAIWAN 1"" DR. IMPACT SOCKET 6PT 36mm CR-MO BLACK × 1",4170,4170,PKR,ToolsMart.pk,Y,Y,procured_or_on_hand | Evidence indicates purchased/received.,line_item
/Users/davidpridmore/Documents/J40_Costs.xlsx,Tools,12,"Harden 1/2"" Torque Wrench Set 30-210N.m × 1",19380,19380,PKR,ToolsMart.pk,Y,Y,procured_or_on_hand | Evidence indicates purchased/received.,line_item
/Users/davidpridmore/Documents/J40_Costs.xlsx,Tools,13,LICOTA MADE IN TAIWAN 90Pcs Socket and Tools Set × 1,73460,73460,PKR,ToolsMart.pk,Y,Y,procured_or_on_hand | Evidence indicates purchased/received.,line_item
/Users/davidpridmore/Documents/J40_Costs.xlsx,Tools,14,Harden 10Pcs 18x100mm Knife Blade,480,480,PKR,ToolsMart.pk,Y,Y,procured_or_on_hand | Evidence indicates purchased/received.,line_item
/Users/davidpridmore/Documents/J40_Costs.xlsx,Tools,15,Harden Folding knife,1520,1520,PKR,ToolsMart.pk,Y,Y,procured_or_on_hand | Evidence indicates purchased/received.,line_item
/Users/davidpridmore/Documents/J40_Costs.xlsx,Tools,16,Harden Pro Grease Gun 500CC,4790,4790,PKR,ToolsMart.pk,Y,Y,procured_or_on_hand | Evidence indicates purchased/received.,line_item
/Users/davidpridmore/Documents/J40_Costs.xlsx,Tools,17,Ingco Heat gun 2000w HG200078,6770,6770,PKR,ToolsMart.pk,Y,Y,procured_or_on_hand | Evidence indicates purchased/received.,line_item
/Users/davidpridmore/Documents/J40_Costs.xlsx,Tools,18,Harden 12pcs Tap and Die Set 12pcs,7940,7940,PKR,ToolsMart.pk,Y,Y,procured_or_on_hand | Evidence indicates purchased/received.,line_item
/Users/davidpridmore/Documents/J40_Costs.xlsx,Tools,19,Ratchet crimping plier 9″ THCPL1506 | Company: Total | Origin: China,2600,2600,PKR,totaltool.pk,Y,Y,planned_or_open | Open item with no procurement evidence yet.,line_item
/Users/davidpridmore/Documents/J40_Costs.xlsx,Tools,20,Labels,,,PKR,,,,section_header | Label/group row.,section_header
/Users/davidpridmore/Documents/J40_Costs.xlsx,Tools,21,“1/2 inch 24 inch breaker bar — heavy duty”,,,PKR,,Y,Y,section_header | Label/group row.,line_item
/Users/davidpridmore/Documents/J40_Costs.xlsx,Tools,22,Electric Clamp Meter Multimeter Tester Pen Kit ANENG ST170+B15 600V AC/DC Voltage with 24V-250V AC Voltage Tester Home DIY Tools,8811,8811,PKR,AliExpress,Y,Y,procured_or_on_hand | AliExpress order 3070231697877489 was ordered and arrived; matched to active expense row tool_electrical_test_kit.,line_item
