decision_id,system,proposed_direction,decision_state,evidence_basis,priority,notes
design_position,whole_vehicle,OE-adjacent restoration with selective usability upgrades,proposed,repo_inference_from_chat,critical,"This is the design umbrella that best matches the current evidence"
body_identity,exterior,Keep recognisable J40 form and avoid visually loud customization,proposed,fj40-00164|fj40-00230|akber_khan-00432,high,"Body quality matters, but the evidence does not support a wild custom direction"
roof_strategy,body,Remove roof and correct water-channel/body issues before final finish,proposed,fj40-00133|fj40-00229|akber_khan-00796,critical,"Roof water-path issues were directly called out"
floor_strategy,body,Expose floor repair pinholes and seal in the correct welding-primer-lining sequence,proposed,akber_khan-00798|akber_khan-00803,critical,"This is a core structural and interior prerequisite"
engine_direction,mechanical,Retain current engine pending baseline inspection,proposed,fj40-00247|akber_khan-00737,high,"Engine replacement remains exploratory rather than approved"
steering_direction,steering,Fix wheel lag and move toward power steering if justified,proposed,fj40-00006|fj40-00246|fj40-00263|akber_khan-00858,critical,"Power steering is repeatedly mentioned as a target outcome"
brake_direction,brakes,Refresh the current front-disc / rear-drum system first and treat rear-disc conversion as optional only if inspection or use shows a real need,under_review,20260423_232202_gp_ryYH6xZg|20260324_004852|20260324_004906|whatsapp_fj40|akber_khan-00858,high,"Current repo evidence points to front discs already fitted and rear drums retained; the highest-value path is hardware identification plus hydraulic refresh rather than defaulting to a rear-disc conversion."
shock_direction,suspension,Use Bilstein or OME type shock upgrade rather than radical conversion,proposed,akber_khan-00857|akber_khan-00858,high,"Fits the usable-classic design target"
full_suspension_conversion,suspension,Defer full spring or 4-link conversion out of baseline scope,deferred,fj40-00263|akber_khan-00855,high,"Explicitly expensive and outside the baseline brief"
wiring_architecture,electrical,Perform a clean documented rewire with proper fuse and relay architecture,proposed,fj40-00103|fj40-00251|akber_khan-00489|akber_khan-00506,critical,"This is one of the clearest design intentions in the evidence"
electrical_starting_point,electrical,Start with the hot rod 21-circuit harness quote plus support items for heavy-gauge power cables grommets sleeving and test tools; treat the separate fuse block as a fallback only,decided,akber_khan-00489|akber_khan-00494|akber_khan-00497|fj40-00103|fj40-00251,critical,"This keeps the electrical reset on one labeled loom strategy and avoids buying three competing harness kits at once"
lighting_direction,electrical,Improve lighting reliability and headlight performance while removing accessory clutter,proposed,fj40-00251|akber_khan-00489,high,"Better headlight architecture fits the design and usage brief"
interior_noise,interior,Use sound deadening foam and carpet after body sealing is complete,proposed,fj40-00050|fj40-00256|akber_khan-00803,critical,"Noise reduction is a direct owner requirement"
seating_direction,interior,Review bench-seat conversion as a possible final seating layout,under_review,fj40-00256,medium,"Mentioned as a target but not yet validated against packaging"
dash_discipline,interior,Keep the dash visually clean and avoid visible aftermarket clutter,proposed,akber_khan-00477|repo_inference_from_chat,high,"Speaker-over-fuse-box style compromises run against the intended design quality"
android_head_unit,interior,Optional flush-integrated Android unit only if packaging stays clean,under_review,part_android_unit|fj40-00279|fj40-00280|akber_khan-00318,medium,"Desired, but subordinate to dash coherence and electrical architecture"
audio_upgrade,audio,Optional restrained audio upgrade with hidden or disciplined packaging,under_review,fj40-00280|fj40-00287|akber_khan-00687,low,"Audio is allowed only if it does not dominate the build"
