component_job_id,component_group,current_status,photo_match_status,matched_file_count,matched_specific_components,stages_seen,date_range,example_files,notes
roof_shell,roof,planned_send_out,photo_evidence_present,4,roof_gutter_and_window_channel,rust_assessment,2026-03-23,20260323_210944.jpg|20260323_210954.jpg|20260323_211003.jpg|20260323_211027.jpg,
back_doors,doors,planned_send_out,photo_evidence_present,8,detached_body_panels_and_doors|detached_doors_and_panels|front_door_card,baseline_walkaround|removed_parts_cataloguing,2026-03-17 to 2026-04-08,20260317_165203.jpg|20260319_182448.jpg|20260408_211754.jpg|20260408_211804.jpg|20260408_211812.jpg|20260408_212832.jpg|20260408_212839.jpg|20260408_212846.jpg,
front_windows,windows,planned_send_out,photo_evidence_present,9,cabin_overview|cabin_view_through_glass,baseline_walkaround,2026-03-17 to 2026-03-29,20260317_165113.jpg|20260317_165120.jpg|20260317_165124.jpg|20260317_165129.jpg|20260317_165134.jpg|20260317_165140.jpg|20260317_165145.jpg|20260317_165157.jpg,
hood,hood,planned_send_out,photo_evidence_present,12,engine_bay_overview|front_exterior_walkaround|front_panel_lighting_mount_area,baseline_walkaround|removed_parts_cataloguing|stripdown_cataloguing,2026-03-17 to 2026-04-13,20260317_165030.jpg|20260317_235150.jpg|20260317_235201.jpg|20260317_235216.jpg|20260317_235229.jpg|20260321_235501.jpg|20260323_185920.jpg|20260412_215136.jpg,
back_cabin,body_sections,planned_send_out,photo_evidence_present,11,body_shell_with_doors_removed|dashboard_shell_and_cabin|detached_body_panels_and_doors|rear_cargo_floor|rear_side_opening,removed_parts_cataloguing|stripdown_cataloguing,2026-03-23 to 2026-04-13,20260323_201950.jpg|20260323_201957.jpg|20260323_202016.jpg|20260408_211754.jpg|20260408_211804.jpg|20260408_211812.jpg|20260408_212832.jpg|20260408_212839.jpg,
window_mechanisms,window_hardware,planned_separate_service,limited_photo_evidence,1,wiper_arm_or_linkage_hardware,hardware_refinish,2026-04-12,20260412_010713.jpg,
body_rubbers,rubbers_and_seals,planned_separate_service,photo_evidence_present,5,cabin_view_through_glass|roof_gutter_and_window_channel,baseline_walkaround|rust_assessment,2026-03-23 to 2026-03-29,20260323_210944.jpg|20260323_210954.jpg|20260323_211003.jpg|20260323_211027.jpg|20260329_122855.jpg,
interior,interior,planned_strip,photo_evidence_present,37,cabin_overview|cabin_view_through_glass|dashboard_and_cabin_stripdown|dashboard_fascia_trim|dashboard_lower_structure|dashboard_shell_and_cabin|driver_footwell_firewall_and_wiring|floor_pan_and_firewall|floor_pan_rust_zones|front_door_card|rear_cargo_floor,baseline_walkaround|hardware_refinish|rust_assessment|stripdown_cataloguing,2026-03-17 to 2026-04-13,20260317_165113.jpg|20260317_165120.jpg|20260317_165124.jpg|20260317_165129.jpg|20260317_165134.jpg|20260317_165140.jpg|20260317_165145.jpg|20260317_165157.jpg,
old_accessory_wiring,electrical_accessories,partially_removed,photo_evidence_present,55,driver_footwell_firewall_and_wiring|driver_footwell_firewall_pass_through|electrical_reference_document|electrical_wiring_diagram|firewall_and_dash_wiring|fuse_distribution_and_power_hardware|fuse_distribution_and_wiring|pedal_box_wiring|wiring_harness_and_connectors|wiring_harness_and_fuse_distribution,electrical_rework|reference_material|stripdown_cataloguing,2026-03-20 to 2026-04-11,20260320_191834.jpg|20260320_191846.jpg|20260320_192143.jpg|20260320_192148.jpg|20260320_192153.jpg|20260321_235600.jpg|20260324_004812.jpg|20260328_232207.jpg,
floor_pan,body_floor,pending_exposure_inspection,photo_evidence_present,40,floor_pan_and_firewall|floor_pan_rust_zones|floor_seam_and_body_mount_rust|frame_floor_underside_and_lines|roof_gutter_and_window_channel,rust_assessment|stripdown_cataloguing|underside_inspection,2026-03-21 to 2026-04-13,20260321_235436.jpg|20260321_235441.jpg|20260321_235441_exported_1774186863455.jpg|20260321_235605.jpg|20260323_210944.jpg|20260323_210954.jpg|20260323_211003.jpg|20260323_211027.jpg,
