basket_id,basket_title,row_count,timing_windows,sourcing_modes,entries,notes
basket_body_fastener_hardware,Body Fastener Hardware,7,body_fastener_topup|body_hardware_sample_sort,local_fastener_hardware,part_body_mount_hardware_kit|part_body_mount_shim_pack|part_body_retaining_clips_cotter_pin_pack|part_body_rubber_plastic_bumpers_isolators|part_body_shoulder_pins_sleeves_spacers|part_body_specialty_brackets_retainer_plates|part_fastener_kit_c_captive_clip_nuts,Buy exact body fastener/captive hardware from old samples; track Millat-covered stock separately.
basket_compact_cabin_fuse_boxes,Compact Cabin Fuse Boxes,1,electrical_closeout,local_electrical_common,part_cabin_compact_fuse_boxes,Buy or source compact cabin fuse protection with 3 isolated 6-fuse input groups.
basket_deferred,Deferred Scope,6,body_sealed|post_baseline_only,local_fastener_hardware|mixed_local_or_online,part_android_unit|part_carpet|part_fastener_kit_e_trim_screws_cup_washers|part_foam|part_power_steering_upgrade|part_sound_dampening_sheets,Not baseline now.
basket_gearbox_oil_service,Custom,1,gearbox_oil_service_gate,local_toyota_gearbox_service,part_mech_transmission_oil_service,
basket_in_flight_tracking,In-Flight Orders,14,in_flight_now,local_electrical_common|local_hardware_common|local_toyota_common|mixed_local_or_online,part_brake_clutch_475_hard_line_stock_full_vehicle_20260514|part_brake_clutch_line_support_clamps_full_vehicle_20260514|part_brake_flex_hose_retaining_clip_pack_20260514|part_brake_hydraulic_tees_unions_splitters_20260514|part_brake_master_reservoir_refresh|part_brighto_extreme_paint_remover_3l_second_order_20260618|part_hvac_hidden_evaporator_blower_unit_20260514|part_ironman_front_dampers_separate_shipment|part_mech_engine_oil_filter_service|part_raptor_hardener_1l_amir_20260528|part_rear_brake_line_cable_clips|part_rear_drum_spring_hold_down_hardware_20260527|part_star_washers|part_toolsmart_vmd_brake_clutch_cleaner_400ml_tm26231_20260704,No rebuy; only track delivery/quality.
basket_longman_hose_pipe_order_ready,Longman Hose/Pipe Order Ready,4,longman_mills_quote_pack,local_toyota_common,part_mech_fuel_hose_and_clamps|part_mech_heater_hose_set|part_mech_radiator_hose_set|part_mech_vacuum_hose_refresh,"Fuel, coolant, heater, vacuum, and breather stock rows have explicit Longman quote/order lengths; final trim, clamp, chafe, and leak checks remain install tasks."
basket_mechanical_local_bundle,Mechanical Local Bundle,3,post_tub_off_inspection,local_toyota_common,part_fuel_filler_neck_hose_vent_20260619|part_mech_heat_glow_plugs_set|part_mech_oil_filter_guard_gdo135_20260529,Single local Toyota/common supplier batch after inspection.
basket_merged_brake_suspension_window,Merged Brake/Suspension Window,3,merged_suspension_brake_window,local_toyota_common,part_clutch_flex_hose_assembly_20260514|part_clutch_hard_line_fittings_20260514|part_rear_axle_hard_brake_lines,"Capture fitted hardware and old samples, then order exact brake parts for the Ironman install window. Front disc quote tasks moved to Amir runner-spec-controlled basket on 2026-05-29."
basket_review,Review,56,review,local_electrical_common|local_toyota_common|mixed_local_or_online,part_brake_clutch_hard_line_fittings_20260514|part_clutch_master_slave_cylinders_20260514|part_fabrication_raw_epdm_sheet_small_isolators_20260513|part_fabrication_raw_mild_steel_plate_4mm_20260513|part_hvac_barrier_hose_fittings_20260514|part_hvac_blower_clutch_fan_wiring_20260514|part_hvac_control_panel_20260514|part_hvac_duct_defrost_hose_kit_20260514|part_hvac_evaporator_drain_mount_kit_20260514|part_hvac_firewall_bulkhead_fittings_20260514|part_hvac_parallel_flow_condenser_20260514|part_hvac_r134a_oil_oring_charge_kit_20260514|part_hvac_receiver_drier_20260514|part_hvac_return_air_grille_filter_20260514|part_hvac_slim_louver_outlet_panel_20260514|part_hvac_trinary_switch_20260514|part_rear_brake_shoes_correct_k2221_20260722|part_rear_brake_shoes_hardware|part_rear_center_brake_flex_hose|part_rear_parking_brake_attachment_hardware_20260527|part_turbo_air_cleaner_element_housing_20260717|part_turbo_boost_gauge_daraz_lead_20260717|part_turbo_boost_gauge_quality_20260717|part_turbo_boost_reference_hose_fittings_20260717|part_turbo_charge_pipe_import_lead_20260717|part_turbo_charge_pipe_kit_20260717|part_turbo_clean_air_inlet_duct_20260717|part_turbo_coolant_temperature_gauge_sender_20260717|part_turbo_crankcase_breather_separator_20260717|part_turbo_downpipe_flange_vband_20260717|part_turbo_downpipe_tube_20260717|part_turbo_egt_gauge_probe_20260717|part_turbo_exhaust_flex_joint_20260717|part_turbo_exhaust_hanger_set_20260717|part_turbo_exhaust_manifold_2h_20260717|part_turbo_exhaust_system_20260717|part_turbo_fastener_support_bracket_stock_20260717|part_turbo_gauge_mount_wiring_20260717|part_turbo_heat_shield_package_20260717|part_turbo_intake_manifold_adapter_20260717|part_turbo_intercooler_core_20260717|part_turbo_intercooler_mount_isolator_set_20260717|part_turbo_line_heat_sleeve_set_20260717|part_turbo_manifold_gasket_stud_set_20260717|part_turbo_oil_drain_flange_20260717|part_turbo_oil_drain_tube_20260717|part_turbo_oil_feed_line_20260717|part_turbo_oil_feed_restrictor_20260717|part_turbo_oil_feed_takeoff_20260717|part_turbo_oil_pressure_gauge_sender_20260717|part_turbo_silicone_coupler_reducer_set_20260717|part_turbo_sump_return_bung_20260717|part_turbo_tbolt_clamp_set_20260717|part_turbo_wastegate_actuator_control_20260717|part_turbo_water_line_set_conditional_20260717|part_turbocharger_matched_2h_20260717,Manual review required.
basket_runner_spec_controlled,Runner Spec-Controlled,9,runner_spec_controlled,local_toyota_common,part_front_brake_hose_pair|part_front_caliper_rebuild_or_replace_pair|part_front_disc_pad_axle_set_sumitomo_20260530|part_front_disc_pad_pin_hardware_kit_sumitomo_20260530|part_front_rotor_service_pair|part_mech_accessory_belt_set|part_mech_brake_flex_hose_set|part_mech_fuel_filter|part_mech_radiator_cap,"Office-runner scope: collect prices/photos now, and buy only when a written spec, mechanic-labelled sample, or explicit mechanic/user approval removes the fit decision from the runner. Front disc pads, hoses, calipers, and rotors are quote/sample-match tasks only until the old samples or written specs are approved."
