record_id,component_id,release_status,feature,unit_or_format,datum_and_method,photo_supported_value,allowed_deviation,released_value,instrument_photo,inspector,date,notes
GEO-01,CBL-01,REFERENCE_ONLY,Standard_short_wheelbase,mm,Toyota_standard_chassis_datum,2285,not_a_cable_cut_length,2285,,,,Use only as a routing-envelope cross-check
GEO-02,CBL-01,REFERENCE_ONLY,Standard_rear_track,mm,Project_standard_J40_axle_reference_datum,1410,not_a_cable_cut_length,1410,,,,Use only as an across-axle routing-envelope cross-check
PHO-01,CBL-01,PHOTO_SCREENING_ONLY,Fixed_support_or_ferrule_group_1,mm_from_control_end_flange_datum,Tape photograph with cable laid adjacent,1430-1490,screening_range_only,,,,,Perspective and curvature prevent fabrication release
PHO-02,CBL-01,PHOTO_SCREENING_ONLY,Fixed_guide_or_ferrule_group_2,mm_from_control_end_flange_datum,Tape photograph with cable laid adjacent,1625-1665,screening_range_only,,,,,Perspective and curvature prevent fabrication release
PHO-03,CBL-01,PHOTO_SCREENING_ONLY,Fixed_guide_or_ferrule_group_3,mm_from_control_end_flange_datum,Tape photograph with cable laid adjacent,2110-2150,screening_range_only,,,,,Perspective and curvature prevent fabrication release
PHO-04,CBL-01,PHOTO_SCREENING_ONLY,Outer_casing_exit_or_exposed_inner_start,mm_from_control_end_flange_datum,Tape photograph with cable laid adjacent,2590-2610,screening_range_only,,,,,Nominal visual observation approximately 2.60 m
PHO-05,CBL-01,PHOTO_LOWER_BOUND_ONLY,Inner_effective_length,mm,Tape photograph ends before far inner terminal,greater_than_3300,lower_bound_only,,,,,Reject a candidate advertised at 3300 mm or less; measure physical master for release
PHY-01,CBL-01,MASTER_MEASURE_HOLD,Inner_effective_length,mm,Functional load datum A to B under 20 N axial seating load,,master_value_plus_or_minus_1.0_mm,,,,,Far terminal is not visible in supplied photos
PHY-02,CBL-01,MASTER_MEASURE_HOLD,Outer_casing_length,mm,Load-bearing casing abutment face to face under 20 N axial seating load,,master_value_plus_or_minus_1.0_mm,,,,,Photographic value is only a candidate screening range
PHY-03,CBL-01,MASTER_MEASURE_HOLD,Fixed_support_stop_and_ferrule_positions,dimensioned_schedule,Each feature from functional control-end load datum under 20 N,,master_value_plus_or_minus_1.0_mm,,,,,Record feature order and all load-contact geometry
PHY-04,CBL-01,MASTER_MEASURE_HOLD,Inner_wire_and_casing_outside_diameters,mm,Caliper measurement on unworn straight sections,,master_value_plus_or_minus_0.1_mm,,,,,Replacement cable construction and rating shall be recorded
PHY-05,CBL-01,MASTER_MEASURE_HOLD,End_terminals_threads_and_adjustment,dimensioned_photographs,"Record both terminal load faces; thread diameter pitch hand engagement and usable travel",,exact_interface_match,,,,,Required before OEM selection or custom fabrication drawing release
DRM-01,CBL-02,RELEASED_STANDARD_PART,Internal_rear_drum_wire,part_number_and_quantity,Toyota standard part used one at each rear wheel,"47616-60010; quantity 2",no_length_modification,Toyota_47616-60010_qty_2,,,,Dry-fit to fitted backing-plate actuation; correct the interface rather than alter the wire
