item,quantity,likely source if from another car,needs mechanic checked,expected price,image to show,purchase stage,what to verify,all image refs,source row,existing one ok? (analysis)
Kit A bolt - M10x1.25 class 8.8 hex bolt,16 (+20% spare),New hardware/electrical market (not donor car),Optional (sample-check),PKR 1400-2800,images/20260405_234546.jpg,BUY_NOW,"Head mark 8.8, pitch-gauge check, length by sample",20260405_234546.jpg;20260405_234802.jpg,244,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.
Kit A nut - M10 nyloc/all-metal mix,24 (+20% spare),New hardware/electrical market (not donor car),Optional (sample-check),PKR 1200-2400,images/20260405_234546.jpg,BUY_NOW,Thread fit and lock quality,20260405_234546.jpg,244,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.
Kit A washer - M10 flat washer,40 (+20% spare),New hardware/electrical market (not donor car),Optional (sample-check),PKR 400-900,images/20260405_234546.jpg,BUY_NOW,ID/OD match cups and bolt,20260405_234546.jpg,244,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.
Kit A spring washer - M10 spring washer,20 (+20% spare),New hardware/electrical market (not donor car),Optional (sample-check),PKR 300-650,images/20260405_234546.jpg,BUY_NOW,"No cracks, consistent spring",20260405_234546.jpg,244,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.
Kit A sleeve/spacer - Sleeve for M10 mount points,16,New hardware/electrical market (not donor car),Optional (sample-check),PKR 1200-3200,images/20260405_234652.jpg,BUY_NOW,ID/OD/length match stack,20260405_234652.jpg,244,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.
Kit A bolt - M12 class 8.8 hex bolt,4 (+20% spare),New hardware/electrical market (not donor car),Optional (sample-check),PKR 600-1400,images/20260405_234802.jpg,BUY_NOW,"Head mark 8.8, length by sample",20260405_234802.jpg,244,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.
Kit A nut - M12 nut,6 (+20% spare),New hardware/electrical market (not donor car),Optional (sample-check),PKR 500-1100,images/20260405_234802.jpg,BUY_NOW,"Thread clean, pitch match",20260405_234802.jpg,244,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.
Kit A washer - M12 flat washer,12 (+20% spare),New hardware/electrical market (not donor car),Optional (sample-check),PKR 200-500,images/20260405_234802.jpg,BUY_NOW,ID/OD match,20260405_234802.jpg,244,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.
Kit A spring washer - M12 spring washer,6 (+20% spare),New hardware/electrical market (not donor car),Optional (sample-check),PKR 150-350,images/20260405_234802.jpg,BUY_NOW,Consistent tension,20260405_234802.jpg,244,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.
Kit B bolt - M6x1.0 class 8.8 hex bolts lengths 12/16/20/25mm,220 total,New hardware/electrical market (not donor car),Optional (sample-check),PKR 6000-13000,images/20260405_234546.jpg,BUY_NOW,Confirm mix by length,20260405_234546.jpg,245,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.
