channel,message_id,date_utc,category,subcategory,source,subject_or_ref,product_or_topic,part_number_or_code,amount_pkr,status,action_required,notes
email,19de403887352e2d,2026-05-01T14:48:47Z,project_update,order_quote_tracking,Aliexpress,Price drop on your carted items,96 US $28.01 off on 24-way New Energy Vehicle Control 16 Relay Box ... ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌,,0,order_or_project_signal,yes,"Imported by Gmail MCP; reason=project_order_signal; hits=relay,aliexpress"
email,19de62bcd140fa41,2026-05-02T00:52:01Z,supplier_communication,receipt_payment,Daraz,"Yay, your Order 242365766980938 is confirmed!","Yay, your Order #242365766980938 is confirmed! Yay, your order is confirmed! --> Yay, your order is confirmed! Dear pridmoredave, Thank you for shopping with Daraz. We have received your Order 242365766980938 on 02 May 2026 08:50. We're excited for you to rece",242365766980938,561,payment_or_receipt_signal,yes,"Imported by Gmail MCP; reason=supplier_order_signal; hits=daraz,confirmed,delivered,delivery,order,paid,payment"
email,19de62bcd3dd7207,2026-05-02T00:52:01Z,supplier_communication,receipt_payment,Daraz,"Yay, your Order 242365766280938 is confirmed!","Yay, your Order #242365766280938 is confirmed! Yay, your order is confirmed! --> Yay, your order is confirmed! Dear pridmoredave, Thank you for shopping with Daraz. We have received your Order 242365766280938 on 02 May 2026 08:50. We're excited for you to rece",242365766280938,3896,payment_or_receipt_signal,yes,"Imported by Gmail MCP; reason=supplier_order_signal; hits=daraz,confirmed,delivered,delivery,order,paid,payment"
email,19de62bcdb1080ff,2026-05-02T00:52:01Z,supplier_communication,receipt_payment,Daraz,"Yay, your Order 242365766580938 is confirmed!","Yay, your Order #242365766580938 is confirmed! Yay, your order is confirmed! --> Yay, your order is confirmed! Dear pridmoredave, Thank you for shopping with Daraz. We have received your Order 242365766580938 on 02 May 2026 08:50. We're excited for you to rece",242365766580938,2390,payment_or_receipt_signal,yes,"Imported by Gmail MCP; reason=supplier_order_signal; hits=hose,radiator,daraz,confirmed,delivered,delivery,order,paid,payment"
email,19de62bcddc3ff3a,2026-05-02T00:52:01Z,supplier_communication,receipt_payment,Daraz,"Yay, your Order 242365766080938 is confirmed!","Yay, your Order #242365766080938 is confirmed! Yay, your order is confirmed! --> Yay, your order is confirmed! Dear pridmoredave, Thank you for shopping with Daraz. We have received your Order 242365766080938 on 02 May 2026 08:50. We're excited for you to rece",242365766080938,764,payment_or_receipt_signal,yes,"Imported by Gmail MCP; reason=supplier_order_signal; hits=daraz,confirmed,delivered,delivery,order,paid,payment"
email,19de62cf4907c036,2026-05-02T00:53:18Z,supplier_communication,order_quote_tracking,Autohub,Order 1762191 confirmed,HOME ( http://autohub.pk/?syclid=09464018-b409-4390-ae78-122f9a1a953e ) FEATURED ( http://autohub.pk/collections/featured?syclid=9557522c-1a99-459d-87c1-b73c1be0b01b ) Thanks for your purchase! ------------------------- This email is just to confirm your order,1762191|AE78-122F9A1A953E,2588,order_or_project_signal,yes,"Imported by Gmail MCP; reason=supplier_order_signal; hits=autohub,confirmed,delivered,order"
email,19de632df983464c,2026-05-02T00:59:46Z,supplier_communication,shipment_update,Powerhouse,Order #26242 confirmed,Thank you for your purchase! Powerhouse Express Order #26242 ---------------------------- Thank you for your purchase! ---------------------------- We're getting your order ready to be shipped. We will notify you when it has been sent. View your order ( https:,WB30501|BB4F76E649B6|AFE3-AE757D576ABF,1065,shipment_tracking_signal,yes,"Imported by Gmail MCP; reason=supplier_order_signal; hits=powerhouse,confirmed,delivery,order,payment,shipped"
email,19de69d1f1e3d70a,2026-05-02T02:55:49Z,supplier_communication,order_quote_tracking,Autohub,Order 1762192 confirmed,HOME ( http://autohub.pk/?syclid=63fda8fd-ffc0-4066-888c-b782150e15b2 ) FEATURED ( http://autohub.pk/collections/featured?syclid=4fa5dbbf-dd69-4391-bf93-3bc3c34c8cab ) Thanks for your purchase! ------------------------- This email is just to confirm your order,1762192|FFC0-4066-888C-B782150E15B2|DD69-4391-BF93-3BC3C34C8CAB,24246,order_or_project_signal,yes,"Imported by Gmail MCP; reason=supplier_order_signal; hits=autohub,confirmed,delivered,order"
email,19de69fd6503ed45,2026-05-02T02:58:46Z,supplier_communication,receipt_payment,Daraz,"Yay, your Order 242366749280938 is confirmed!","Yay, your Order #242366749280938 is confirmed! Yay, your order is confirmed! --> Yay, your order is confirmed! Dear pridmoredave, Thank you for shopping with Daraz. We have received your Order 242366749280938 on 02 May 2026 10:57. We're excited for you to rece",242366749280938,25550,payment_or_receipt_signal,yes,"Imported by Gmail MCP; reason=supplier_order_signal; hits=epoxy,paint,primer,daraz,mm paint,confirmed,delivered,delivery,order,paid,payment"
email,19de86646691ab40,2026-05-02T11:15:08Z,project_update,post_purchase_feedback,Aliexpress,Highly rated See what shoppers LOVE,96 See the latest highly-reviewed items: Littelfuse Bolt-down Automotive Fuse MIDI/498 Auto Fuse 30A 40A 50A 60A... ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ,PKR719|PKR817|PKR485|PKR669|PKR486|PKR662,95170,feedback_requested,no,"Imported by Gmail MCP; reason=supplier_order_signal; hits=fuse,aliexpress"
