gate,inspection,pass_requirement,evidence,status
A,Parts identified,"R0 C0 G0 FS FL loose arm blanks and every proposed holder/interface tagged and oriented","Photo register and baseline sheet",OPEN
A,R0 baseline,"Pressure/flow and retained-metal/ear/tab condition recorded","Radiator-shop report",OPEN
A,C0 baseline,"Condition contamination and leak-test route recorded","A/C-shop report",OPEN
A,Fan baseline,"FS/FL voltage start/run current rotation direction airflow direction and frame condition recorded","Electrical test sheet",OPEN
B,Templates,"A0-D-L/R B0 S0 G0-H and R0-H repeat from fixed datums","Signed templates and dated drawing",OPEN
B,Central alignment,"CL0 records the vehicle centre plane usable grille-aperture centre repaired G0 perimeter centre C0 usable-fin-field centre and FS motor/rotor axis; G0-to-aperture X/Z C0-to-vehicle X and FS-to-C0 X/Z offsets are each <= 2 mm as applicable with complete frames/tabs/plug/service envelope represented","Signed CL0 coordinate table centre templates dated bare-metal photos and drawing",OPEN
B,Mass/span,"MR and L0 including A0/A1 connection envelopes recorded","Scale record and dated drawing",OPEN
B,Vehicle sweep,"Grille bonnet/latch bumper steering suspension tow engine movement hoses A/C pipes wiring and tool envelopes recorded","Opaque dry-fit photos and drawing",OPEN
C,Arm ownership state,"Both radiator arms recorded loose and not attached; no installed chassis member is cut as part of arm shortening","Dated before-work photos and owner/fabricator record",OPEN
C,Arm blank condition,"Identity material actual thickness/section straightness corrosion cracks old holes and prior heat damage accepted or replacement pair specified","Inspection/NDT/material record as released",OPEN
C,Connector match,"A1-L/R bear on only the intended A0-D structural interfaces with adequate edge distance and tool access; no new chassis hole slot ream forced pull or washer-stack spacer","Signed drawing templates and bare-metal photos",OPEN
C,Arm termination,"A0-L/R stop at the highest released functional interface with no unused tall projection or water trap","Signed drawing and bare-metal photos",OPEN
C,Structural release,"X0 X1 A0 A1 connector bearing welds fasteners torque and proof fixture accepted for vertical fore/aft/lateral road loads shock vibration and fatigue","Competent-person signed calculation/drawing",OPEN
D,Lower seating,"Both R1 saddles fully seat and share radiator weight; no tank seam or metal/core contact","Dry-fit record",OPEN
D,Upper neutrality,"R3-U tightening does not lift pull rack twist or unload R0","Witness and measurement record",OPEN
D,Guard holders,"G1/G2 contact only sound G0 perimeter frame through replaceable EPDM; hold its centre within 2 mm of the usable grille-aperture centre in X/Z; complete guard installs/removes without mesh clamp fan/grille interference or rattle","G0-H/CL0 drawing and dry-fit record",OPEN
D,Radiator holders,"Every used R0-E/R3 interface is mapped and sound; no bracket/hot work/load on tank skin tubes fins core face or solder seam","R0-H record radiator-shop report and dry-fit photos",OPEN
D,Optional lower restraint,"R3-L is either signed N/A or shown to restrain only fore/aft/lateral movement without sharing vertical weight; historical added leg not reproduced","Released drawing and witness/load check or signed N/A",OPEN
D,Independent carriers,"C1 F1 F2 G1/G2 and E1 remain independently supported and removable; C0 usable-fin-field lateral centre is within 2 mm of vehicle centre plane and FS motor/rotor axis is within 2 mm of C0 usable-fin-field centre in X/Z","CL0 coordinate record and dry-fit photos",OPEN
D,Proof,"A total static 2 x MR distributed between both S0 saddle centres in the released loaded-radiator distribution for 10 minutes causes no set crack connector/fastener movement saddle displacement or arm distortion; fixture prevents local point-loading","Proof-load sheet with distribution fixture and before/after measurements",OPEN
E,Finish,"Edges deburred; drains earths threads bearing faces rubber seats and radiator-shop interfaces clear; no overspray on cores motors or rubbers","Finish inspection photos",OPEN
E,Hardware,"New R1/R2/R3-I/S1 installed; H1 grades lengths locking methods and torques match drawings","Assembly and torque sheet",OPEN
F,Electrical,"FS and FL independent circuits pass voltage-drop current direction and temperature checks","Commissioning log",OPEN
F,Thermal/A-C,"Naturally aspirated road/load cooling and intended-ambient hot-idle A/C remain stable","Logged road and A/C test",OPEN
F,First journey,"No leak rub settling witness-mark movement or loose hardware after cool-down and first loaded journey","Reinspection sign-off",OPEN
