route_id,system,route_name,model_level_target,coverage_status,model_part_count,model_part_names,purchase_bom_count,purchase_bom_ids,geometry_to_capture,clearance_checks,release_gate,scope_status
J40-RT-001,vehicle_basis,drive_and_drivetrain_orientation,L2,represented_in_generator,3,j40_rt_001_drive_and_drivetrain_orientation_engine_gearbox_transfer_centerline|j40_rt_001_drive_and_drivetrain_orientation_front_output_to_front_pinion|j40_rt_001_drive_and_drivetrain_orientation_rear_output_to_rear_pinion,0,,engine_gearbox_transfer_steering_axle_orientation_and_output_positions,fan_radiator_prop_shaft_steering_and_body_clearance,verified_against_actual_as_fitted_truck,scope_added_needs_capture
J40-RT-002,electrical_power,battery_positive_to_cutoff,L3,represented_in_generator,1,j40_rt_002_battery_positive_to_cutoff_battery_to_cutoff_sweep,3,PK-RTE-BATT-CABLE-001|PK-RTE-SLEEVE-001|PK-RTE-PCLIP-001,cable_centerline_lug_clocks_grommet_or_guard_and_cutoff_entry_exit_sweeps,bonnet_battery_radiator_fan_steering_and_sharp_edge_clearance,dry_fit_with_lugs_and_cutoff_body_before_final_wrap,scope_added_needs_measurement
J40-RT-003,electrical_power,cutoff_output_to_relay_box_feed,L3,represented_in_generator,1,j40_rt_003_cutoff_output_to_relay_box_feed_cutoff_to_relay_feed,3,PK-RTE-BATT-CABLE-001|PK-RTE-SLEEVE-001|PK-RTE-PCLIP-001,cable_sweep_from_cutoff_output_to_relay_top_input_hole_with_support_points,relay_lid_service_sweep_battery_liftout_and_chafe_clearance,relay_box_installed_with cable_lug_clocking_confirmed,scope_added_needs_measurement
J40-RT-004,electrical_power,cutoff_output_to_midi_common_feed,L3,represented_in_generator,1,j40_rt_004_cutoff_output_to_midi_common_feed_cutoff_to_midi_common,4,PK-RTE-BATT-CABLE-001|PK-RTE-MIDI-FUSE-001|PK-RTE-SLEEVE-001|PK-RTE-PCLIP-001,cable_sweep_to_second_from_last_midi_holder_input_and_grommet_size,lid_hinge_clearance_output_fanout_and_bend_radius,midi_enclosure_grommet_and_holder_spacing_dry_fit_complete,scope_added_needs_measurement
J40-RT-005,electrical_power,midi_five_output_fanout,L3,represented_in_generator,1,j40_rt_005_midi_five_output_fanout_midi_output_fanout,3,PK-RTE-MIDI-FUSE-001|PK-RTE-SLEEVE-001|PK-RTE-PCLIP-001,five_output_centerlines_output_hole_sizes_bundle_diameters_and_clip_points,lid_close_bend_radius_heat_chafe_and_service_pull_clearance,all_five_output_destinations_named_and_fused,scope_added_needs_capture
J40-RT-006,electrical_power,battery_negative_engine_chassis_body_grounds,L3,represented_in_generator,2,j40_rt_006_battery_negative_engine_chassis_body_grounds_battery_negative_to_engine|j40_rt_006_battery_negative_engine_chassis_body_grounds_body_chassis_ground_strap,3,PK-RTE-BATT-CABLE-001|PK-RTE-SLEEVE-001|PK-RTE-PCLIP-001,earth_strap_centerlines_lug_faces_bolt_points_and_clean_contact_zones,exhaust_heat_engine_movement_paint_coating_and_service_clearance,continuity_test_and_contact_face_release_before_coating,scope_added_needs_capture
J40-RT-007,starter_charging,starter_main_and_solenoid_trigger,L2,represented_in_generator,2,j40_rt_007_starter_main_and_solenoid_trigger_starter_main_cable|j40_rt_007_starter_main_and_solenoid_trigger_starter_solenoid_trigger,3,PK-RTE-BATT-CABLE-001|PK-RTE-SLEEVE-001|PK-RTE-PCLIP-001,starter_cable_path_trigger_wire_path_lug_orientation_and_support_points,exhaust_heat_clutch_linkage_steering_and_engine_movement_clearance,continuity_and_cranking_load_test_after_routing,scope_added_needs_capture
J40-RT-008,starter_charging,alternator_charge_regulator_branch,L2,represented_in_generator,1,j40_rt_008_alternator_charge_regulator_branch_alternator_charge_branch,3,PK-RTE-BATT-CABLE-001|PK-RTE-SLEEVE-001|PK-RTE-PCLIP-001,alternator_B_plus_sense_exciter_regulator_branch_and_clip_locations,belt_pulley_fan_heat_and_vibration_clearance,charging_test_and_no_chafe_before_wrap,scope_added_needs_capture
J40-RT-009,engine_controls,engine_sender_injection_pump_branch,L2,represented_in_generator,1,j40_rt_009_engine_sender_injection_pump_branch_engine_sender_injection_pump_branch,4,PK-RTE-VAC-001|PK-RTE-WIRE-001|PK-RTE-SLEEVE-001|PK-RTE-PCLIP-001,oil_temp_fuel_stop_idle_up_unknown_connector_and_sender_branch_routes,throttle_linkage_fuel_lines_heat_and_service_clearance,each_connector_identified_and_continuity_tested,scope_added_needs_capture
J40-RT-010,front_lighting,headlamp_marker_horn_aux_lamp_branch,L2,represented_in_generator,1,j40_rt_010_headlamp_marker_horn_aux_lamp_branch_front_lamp_cross_loom,4,PK-RTE-RELAY-FUSE-001|PK-RTE-WIRE-001|PK-RTE-SLEEVE-001|PK-RTE-PCLIP-001,loom_centerline_to_headlamps_indicators_horn_aux_lamps_and_earths,grille_removal_radiator_condenser_fan_and sharp_edge_clearance,front_panel_dry_fit_with_lamp_harness_clips,scope_added_needs_capture
