item,quantity,likely source if from another car,needs mechanic checked,expected price,image to show,purchase stage,what to verify,all image refs,source row,existing one ok? (analysis),buy_decision_now,cleanup_reason,cleanup_action,pakistan_quality_recommendation,verified_source_url,decision_today,primary_purchase_link,backup_purchase_link,procurement_status,purchased_qty,purchased_on,purchased_est_cost_pkr,purchase_notes,price_min_pkr,price_max_pkr,price_mid_pkr,parts_tab_procured,parts_tab_status_hint,include_in_remaining_budget,dedup_key,duplicate_count
Kit A bolt - M10x1.25 class 8.8 hex bolt,16 (+20% spare),New hardware/electrical market (not donor car),Optional (sample-check),PKR 1400-2800,images/20260405_234546.jpg,BUY_NOW,"Head mark 8.8, pitch-gauge check, length by sample",20260405_234546.jpg;20260405_234802.jpg,244,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.,ON_HAND_USE_AFTER_LENGTH_PITCH_CHECK,Unchanged from active parts list.,KEPT_IN_ACTIVE,No change.,,VERIFY_BEFORE_USE,,,TRUSTED_ON_HAND,~50 bolts purchased (market),2026-04-16,Not logged,User confirmed trusted market bolts. Still confirm exact length/pitch per mount location before final torque.,1400,2800,2100,no,planned_or_open,NO,kit a bolt - m10x1.25 class 8.8 hex bolt,1
Kit A nut - M10 nyloc/all-metal mix,24 (+20% spare),New hardware/electrical market (not donor car),Optional (sample-check),PKR 1200-2400,images/20260405_234546.jpg,BUY_NOW,Thread fit and lock quality,20260405_234546.jpg,244,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.,AS_LISTED,Unchanged from active parts list.,KEPT_IN_ACTIVE,No change.,,KEEP_AS_ACTIVE,,,NOT_PURCHASED,,,,,1200,2400,1800,no,planned_or_open,YES,kit a nut - m10 nyloc/all-metal mix,1
Kit A washer - M10 flat washer,40 (+20% spare),New hardware/electrical market (not donor car),Optional (sample-check),PKR 400-900,images/20260405_234546.jpg,BUY_NOW,ID/OD match cups and bolt,20260405_234546.jpg,244,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.,AS_LISTED,Unchanged from active parts list.,KEPT_IN_ACTIVE,No change.,,KEEP_AS_ACTIVE,,,NOT_PURCHASED,,,,,400,900,650,no,planned_or_open,YES,kit a washer - m10 flat washer,1
Kit A spring washer - M10 spring washer,20 (+20% spare),New hardware/electrical market (not donor car),Optional (sample-check),PKR 300-650,images/20260405_234546.jpg,BUY_NOW,"No cracks, consistent spring",20260405_234546.jpg,244,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.,AS_LISTED,Unchanged from active parts list.,KEPT_IN_ACTIVE,No change.,,KEEP_AS_ACTIVE,,,NOT_PURCHASED,,,,,300,650,475,no,planned_or_open,YES,kit a spring washer - m10 spring washer,1
Kit A sleeve/spacer - Sleeve for M10 mount points,16,New hardware/electrical market (not donor car),Optional (sample-check),PKR 1200-3200,images/20260405_234652.jpg,BUY_NOW,ID/OD/length match stack,20260405_234652.jpg,244,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.,AS_LISTED,Unchanged from active parts list.,KEPT_IN_ACTIVE,No change.,,KEEP_AS_ACTIVE,,,NOT_PURCHASED,,,,,1200,3200,2200,no,planned_or_open,YES,kit a sleeve/spacer - sleeve for m10 mount points,1
Kit A bolt - M12 class 8.8 hex bolt,4 (+20% spare),New hardware/electrical market (not donor car),Optional (sample-check),PKR 600-1400,images/20260405_234802.jpg,BUY_NOW,"Head mark 8.8, length by sample",20260405_234802.jpg,244,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.,ON_HAND_USE_AFTER_LENGTH_PITCH_CHECK,Unchanged from active parts list.,KEPT_IN_ACTIVE,No change.,,VERIFY_BEFORE_USE,,,TRUSTED_ON_HAND,~50 bolts purchased (market),2026-04-16,Not logged,User confirmed trusted market bolts. Still confirm exact length/pitch per mount location before final torque.,600,1400,1000,no,planned_or_open,NO,kit a bolt - m12 class 8.8 hex bolt,1
Kit A nut - M12 nut,6 (+20% spare),New hardware/electrical market (not donor car),Optional (sample-check),PKR 500-1100,images/20260405_234802.jpg,BUY_NOW,"Thread clean, pitch match",20260405_234802.jpg,244,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.,AS_LISTED,Unchanged from active parts list.,KEPT_IN_ACTIVE,No change.,,KEEP_AS_ACTIVE,,,NOT_PURCHASED,,,,,500,1100,800,no,planned_or_open,YES,kit a nut - m12 nut,1
Kit A washer - M12 flat washer,12 (+20% spare),New hardware/electrical market (not donor car),Optional (sample-check),PKR 200-500,images/20260405_234802.jpg,BUY_NOW,ID/OD match,20260405_234802.jpg,244,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.,AS_LISTED,Unchanged from active parts list.,KEPT_IN_ACTIVE,No change.,,KEEP_AS_ACTIVE,,,NOT_PURCHASED,,,,,200,500,350,no,planned_or_open,YES,kit a washer - m12 flat washer,1
Kit A spring washer - M12 spring washer,6 (+20% spare),New hardware/electrical market (not donor car),Optional (sample-check),PKR 150-350,images/20260405_234802.jpg,BUY_NOW,Consistent tension,20260405_234802.jpg,244,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.,AS_LISTED,Unchanged from active parts list.,KEPT_IN_ACTIVE,No change.,,KEEP_AS_ACTIVE,,,NOT_PURCHASED,,,,,150,350,250,no,planned_or_open,YES,kit a spring washer - m12 spring washer,1
Kit B bolt - M6x1.0 class 8.8 hex bolts lengths 12/16/20/25mm,220 total,New hardware/electrical market (not donor car),Optional (sample-check),PKR 6000-13000,images/20260405_234546.jpg,BUY_NOW,Confirm mix by length,20260405_234546.jpg,245,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.,AS_LISTED,Unchanged from active parts list.,KEPT_IN_ACTIVE,No change.,,KEEP_AS_ACTIVE,,,NOT_PURCHASED,,,,,6000,13000,9500,no,planned_or_open,YES,kit b bolt - m6x1.0 class 8.8 hex bolts lengths 12/16/20/25mm,1
Kit B nuts - M6 nyloc,160,New hardware/electrical market (not donor car),Optional (sample-check),PKR 3200-6400,images/20260405_234546.jpg,BUY_NOW,Nylon insert quality,20260405_234546.jpg,245,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.,AS_LISTED,Unchanged from active parts list.,KEPT_IN_ACTIVE,No change.,,KEEP_AS_ACTIVE,,,NOT_PURCHASED,,,,,3200,6400,4800,no,planned_or_open,YES,kit b nuts - m6 nyloc,1
Kit B nuts - M6 flange nuts,80,New hardware/electrical market (not donor car),Optional (sample-check),PKR 1200-2800,images/20260405_234546.jpg,BUY_NOW,Flange face true,20260405_234546.jpg,245,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.,AS_LISTED,Unchanged from active parts list.,KEPT_IN_ACTIVE,No change.,,KEEP_AS_ACTIVE,,,NOT_PURCHASED,,,,,1200,2800,2000,no,planned_or_open,YES,kit b nuts - m6 flange nuts,1
Kit B washers - M6 flat washers,300,New hardware/electrical market (not donor car),Optional (sample-check),PKR 900-2400,images/20260405_234546.jpg,BUY_NOW,Consistent thickness,20260405_234546.jpg,245,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.,AS_LISTED,Unchanged from active parts list.,KEPT_IN_ACTIVE,No change.,,KEEP_AS_ACTIVE,,,NOT_PURCHASED,,,,,900,2400,1650,no,planned_or_open,YES,kit b washers - m6 flat washers,1
Kit B spring washers - M6 spring washers,140,New hardware/electrical market (not donor car),Optional (sample-check),PKR 600-1700,images/20260405_234546.jpg,BUY_NOW,No cracks,20260405_234546.jpg,245,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.,AS_LISTED,Unchanged from active parts list.,KEPT_IN_ACTIVE,No change.,,KEEP_AS_ACTIVE,,,NOT_PURCHASED,,,,,600,1700,1150,no,planned_or_open,YES,kit b spring washers - m6 spring washers,1
Kit B bolt - M8x1.25 class 8.8 bolts lengths 16/20/25/30mm,120 total,New hardware/electrical market (not donor car),Optional (sample-check),PKR 4800-10800,images/20260405_234546.jpg,BUY_NOW,Confirm mix by length,20260405_234546.jpg,245,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.,AS_LISTED,Unchanged from active parts list.,KEPT_IN_ACTIVE,No change.,,KEEP_AS_ACTIVE,,,NOT_PURCHASED,,,,,4800,10800,7800,no,planned_or_open,YES,kit b bolt - m8x1.25 class 8.8 bolts lengths 16/20/25/30mm,1
Kit B nuts - M8 nyloc,90,New hardware/electrical market (not donor car),Optional (sample-check),PKR 2700-6300,images/20260405_234546.jpg,BUY_NOW,Nylon insert quality,20260405_234546.jpg,245,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.,AS_LISTED,Unchanged from active parts list.,KEPT_IN_ACTIVE,No change.,,KEEP_AS_ACTIVE,,,NOT_PURCHASED,,,,,2700,6300,4500,no,planned_or_open,YES,kit b nuts - m8 nyloc,1
Kit B nuts - M8 flange nuts,40,New hardware/electrical market (not donor car),Optional (sample-check),PKR 1000-2200,images/20260405_234546.jpg,BUY_NOW,Flange face true,20260405_234546.jpg,245,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.,AS_LISTED,Unchanged from active parts list.,KEPT_IN_ACTIVE,No change.,,KEEP_AS_ACTIVE,,,NOT_PURCHASED,,,,,1000,2200,1600,no,planned_or_open,YES,kit b nuts - m8 flange nuts,1
Kit B washers - M8 flat washers,180,New hardware/electrical market (not donor car),Optional (sample-check),PKR 900-2500,images/20260405_234546.jpg,BUY_NOW,Consistent thickness,20260405_234546.jpg,245,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.,AS_LISTED,Unchanged from active parts list.,KEPT_IN_ACTIVE,No change.,,KEEP_AS_ACTIVE,,,NOT_PURCHASED,,,,,900,2500,1700,no,planned_or_open,YES,kit b washers - m8 flat washers,1
Kit B spring washers - M8 spring washers,90,New hardware/electrical market (not donor car),Optional (sample-check),PKR 600-1600,images/20260405_234546.jpg,BUY_NOW,No cracks,20260405_234546.jpg,245,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.,AS_LISTED,Unchanged from active parts list.,KEPT_IN_ACTIVE,No change.,,KEEP_AS_ACTIVE,,,NOT_PURCHASED,,,,,600,1600,1100,no,planned_or_open,YES,kit b spring washers - m8 spring washers,1
Kit C captive nut - M6 captive/clip nuts,120,New hardware/electrical market (not donor car),Optional (sample-check),PKR 1800-4200,images/20260405_234546.jpg,BUY_NOW,Plating + thread quality,20260405_234546.jpg,246,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.,AS_LISTED,Unchanged from active parts list.,KEPT_IN_ACTIVE,No change.,,KEEP_AS_ACTIVE,,,NOT_PURCHASED,,,,,1800,4200,3000,no,planned_or_open,YES,kit c captive nut - m6 captive/clip nuts,1
Kit C captive nut - M8 captive/clip nuts,60,New hardware/electrical market (not donor car),Optional (sample-check),PKR 1500-3300,images/20260405_234546.jpg,BUY_NOW,Plating + thread quality,20260405_234546.jpg,246,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.,AS_LISTED,Unchanged from active parts list.,KEPT_IN_ACTIVE,No change.,,KEEP_AS_ACTIVE,,,NOT_PURCHASED,,,,,1500,3300,2400,no,planned_or_open,YES,kit c captive nut - m8 captive/clip nuts,1
Kit C weld nut - M6 weld nuts,30,New hardware/electrical market (not donor car),Optional (sample-check),PKR 600-1500,images/20260405_234546.jpg,BUY_NOW,Thread quality,20260405_234546.jpg,246,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.,AS_LISTED,Unchanged from active parts list.,KEPT_IN_ACTIVE,No change.,,KEEP_AS_ACTIVE,,,NOT_PURCHASED,,,,,600,1500,1050,no,planned_or_open,YES,kit c weld nut - m6 weld nuts,1
Kit C weld nut - M8 weld nuts,20,New hardware/electrical market (not donor car),Optional (sample-check),PKR 700-1600,images/20260405_234546.jpg,BUY_NOW,Thread quality,20260405_234546.jpg,246,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.,AS_LISTED,Unchanged from active parts list.,KEPT_IN_ACTIVE,No change.,,KEEP_AS_ACTIVE,,,NOT_PURCHASED,,,,,700,1600,1150,no,planned_or_open,YES,kit c weld nut - m8 weld nuts,1
Kit C rivnut - M6 steel rivnuts,30,New hardware/electrical market (not donor car),Optional (sample-check),PKR 900-2100,images/20260405_234546.jpg,BUY_NOW,Wall/knurl quality,20260405_234546.jpg,246,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.,AS_LISTED,Unchanged from active parts list.,KEPT_IN_ACTIVE,No change.,,KEEP_AS_ACTIVE,,,NOT_PURCHASED,,,,,900,2100,1500,no,planned_or_open,YES,kit c rivnut - m6 steel rivnuts,1
Kit C rivnut - M8 steel rivnuts,20,New hardware/electrical market (not donor car),Optional (sample-check),PKR 900-2200,images/20260405_234546.jpg,BUY_NOW,Wall/knurl quality,20260405_234546.jpg,246,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.,AS_LISTED,Unchanged from active parts list.,KEPT_IN_ACTIVE,No change.,,KEEP_AS_ACTIVE,,,NOT_PURCHASED,,,,,900,2200,1550,no,planned_or_open,YES,kit c rivnut - m8 steel rivnuts,1
