excel_row,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12
1,System,Item,Qty,Priority,Stage,Price_Min_PKR,Price_Max_PKR,Target_PKR,Direct_Link_1,Direct_Link_2,Price_Basis,Buy_Notes
2,EPS,Vitz EPS column complete set (motor+torque sensor+housing),1 set,P2,pre_tub_refit,60000,140000,100000,https://www.pakwheels.com/accessories-spare-parts/search/-/q_vitz+eps+column/,https://www.olx.com.pk/items/q-vitz-parts,Market listing range,Buy tested unit only; no lash/noise.
3,EPS,Vitz EPS ECU/controller (matching generation),1,P2,pre_tub_refit,20000,60000,40000,https://www.pakwheels.com/accessories-spare-parts/search/-/q_vitz+eps+computer/,https://www.pakwheels.com/accessories-spare-parts/search/-/q_power+steering+ecu+toyota/,Market listing range,Buy with column as matched pair.
4,EPS,Steering U-joints/couplers/intermediate shaft materials,1 conversion set,P2,pre_tub_refit,15000,45000,30000,https://www.pakwheels.com/accessories-spare-parts/search/-/q_steering+u+joint+toyota/,https://www.daraz.pk/catalog/?q=steering+u+joint,Fabrication market range,New joints preferred; final length after mock-up.
5,Rubbers,Body-to-chassis mount rubber kit,1 kit,P2,pre_tub_refit,18000,60000,39000,https://www.pakwheels.com/accessories-spare-parts/search/-/q_body+mount+rubber+toyota+land+cruiser/,https://www.daraz.pk/catalog/?q=body+mount+bushing+toyota,Market listing range,Mandatory before tub refit.
6,Rubbers,Body mount shims/spacers pack (M10/M12 mix),1 pack,P2,pre_tub_refit,3000,12000,7000,https://www.daraz.pk/catalog/?q=m10+shim+washer,https://www.daraz.pk/catalog/?q=m12+shim+washer,Online listing range,Needed for OEM mount-height correction.
7,Rubbers,Firewall/column/wiper/rear grommet set,1 set,P2,pre_tub_refit,1000,7000,4000,https://www.daraz.pk/catalog/?q=rubber+grommet+kit+automotive,https://www.pakwheels.com/accessories-spare-parts/search/-/q_rubber+grommet+kit/,Online listing range,Top-up if current stock short.
8,Engine/Trans,Engine mount set (2H diesel),1 set,P4,post_tub_off_inspection,15000,50000,32500,https://www.pakwheels.com/accessories-spare-parts/search/-/q_2h+engine+mount+toyota/,https://www.daraz.pk/catalog/?q=toyota+engine+mount+rubber,Market listing range,Buy new if sag/cracks found.
9,Engine/Trans,Gearbox/transfer mounts + shifter bush service items,1 set,P4,post_tub_off_inspection,12000,45000,28500,https://www.pakwheels.com/accessories-spare-parts/search/-/q_transmission+mount+toyota+land+cruiser/,https://www.daraz.pk/catalog/?q=gearbox+mount+rubber+toyota,Market listing range,Directly linked to current shift quality issue.
10,Engine/Trans,Glow plug set (new only),1 set,P4,post_tub_off_inspection,12000,36000,24000,https://www.pakwheels.com/accessories-spare-parts/search/-/q_glow+plug+2h+toyota/,https://www.daraz.pk/catalog/?q=toyota+glow+plug,Market listing range,Confirm thread/reach/voltage before buy.
11,Engine/Trans,Fuel filter,1,P4,post_tub_off_inspection,3000,12000,7500,https://www.pakwheels.com/accessories-spare-parts/search/-/q_toyota+diesel+fuel+filter/,https://www.daraz.pk/catalog/?q=toyota+diesel+fuel+filter,Market listing range,Buy genuine/known brand only.
12,Engine/Trans,Oil filter (diesel),1,P4,post_tub_off_inspection,2000,9000,5500,https://www.daraz.pk/catalog/?q=toyota+oil+filter+diesel,https://www.pakwheels.com/accessories-spare-parts/search/-/q_toyota+oil+filter+diesel/,Market listing range,Buy genuine/known brand only.
13,Engine/Trans,Fuel-rated hose J30R7 + clamps,1 bundle,P4,post_tub_off_inspection,12000,35000,23500,https://www.daraz.pk/catalog/?q=SAE+J30R7+fuel+hose,https://www.daraz.pk/catalog/?q=fuel+hose+clamp,Online listing range,Do not substitute coolant hose.
14,Engine/Trans,Radiator hose set,1 set,P4,post_tub_off_inspection,8000,25000,16500,https://www.daraz.pk/catalog/?q=radiator+hose+toyota,https://www.pakwheels.com/accessories-spare-parts/search/-/q_radiator+hose+toyota/,Market listing range,Confirm diameters and bends.
15,Engine/Trans,Heater hose set,1 set,P4,post_tub_off_inspection,5000,15000,10000,https://www.daraz.pk/catalog/?q=heater+hose+toyota,https://www.pakwheels.com/accessories-spare-parts/search/-/q_heater+hose+toyota/,Market listing range,Confirm diameter/length before cut.
16,TOTAL_P2,,,,,,,,,,,
17,TOTAL_P4,,,,,,,,,,,
18,TOTAL_ALL,,,,,,,,,,,
