source,source_url,kit_or_part,component_id,component_description,quantity,published_spec_in,published_spec_mm,fabrication_role,custom_fabrication_use,notes
Energy Suspension / EnergySuspensionParts,https://www.energysuspensionparts.com/8.18105,8.4104 body mount bushing set,4143,"Bushing, short",2,0.237 thick,6.02 thick,Body mount thickness control,Use only as aftermarket cross-check; confirm whether vehicle has matching short-position rubbers,Polyurethane aftermarket component inside 8.4104 kit.
Energy Suspension / EnergySuspensionParts,https://www.energysuspensionparts.com/8.18105,8.4104 body mount bushing set,4144,"Bushing, tall",2,0.950 thick,24.13 thick,Large/tall body mount thickness control,Cross-checks BM-LG 24 mm photo nominal,Polyurethane aftermarket component; do not copy material/hardness for rubber recreation.
Energy Suspension / EnergySuspensionParts,https://www.energysuspensionparts.com/8.18105,8.4104 body mount bushing set,4145,"Bushing, medium",10,0.450 thick,11.43 thick,Medium body mount thickness control,Use as a split-stack reference if old sample separates spacer bushing from seat,Polyurethane aftermarket component; current BM-SM 22 mm may represent combined rubber stack rather than this one part alone.
Energy Suspension / EnergySuspensionParts,https://www.energysuspensionparts.com/8.18105,8.4104 body mount bushing set,4146,"Bushing seat for mount plate",12,0.340 thick,8.64 thick,Seat thickness control,Use as a split-stack reference if reproducing separate rubber/poly seat bushings,Polyurethane aftermarket seat; original vehicle may use rubber plus metal cup/seat geometry.
Energy Suspension / EnergySuspensionParts,https://www.energysuspensionparts.com/8.18105,8.4104 body mount bushing set,4147,Body mount bushing,2,0.240 thick,6.10 thick,Extra body mount bushing thickness control,Identify against physical samples before adding to production count,Product review notes indicate front apron cushion may not be included in 8.4104; do not assume coverage without vehicle map.
Energy Suspension / EnergySuspensionParts,https://www.energysuspensionparts.com/8.18105,8.4104 body mount bushing set,15.03.48.39,Lock washer,2,0.437 ID,11.10 ID,Hardware reference only,Do not substitute for Toyota metric OE hardware without thread/fit confirmation,Aftermarket kit uses SAE hardware.
Energy Suspension / EnergySuspensionParts,https://www.energysuspensionparts.com/8.18105,8.4104 body mount bushing set,15.03.42.39,Washer,2,1.000 x 0.437 x 0.090,25.40 OD x 11.10 ID x 2.29 thick,Hardware reference only,Do not substitute for Toyota metric OE hardware without thread/fit confirmation,Aftermarket kit uses SAE hardware.
Energy Suspension / EnergySuspensionParts,https://www.energysuspensionparts.com/8.18105,8.4104 body mount bushing set,15.03.69.39,Washer,12,0.812 x 0.406 x 0.100,20.62 OD x 10.31 ID x 2.54 thick,Hardware reference only,Do not substitute for Toyota metric OE hardware without thread/fit confirmation,Aftermarket kit uses SAE hardware.
Energy Suspension / EnergySuspensionParts,https://www.energysuspensionparts.com/8.18105,8.4104 body mount bushing set,15.05.30.39,Bolt,2,7/16-14 x 1.000,11.11 major dia x 25.40 length,Hardware reference only,Do not substitute for Toyota metric OE hardware without thread/fit confirmation,Aftermarket kit uses SAE hardware.
Energy Suspension / EnergySuspensionParts,https://www.energysuspensionparts.com/8.18105,8.4104 body mount bushing set,15.05.35.39,Bolt,2,3/8-16 x 2.250,9.53 major dia x 57.15 length,Hardware reference only,Do not substitute for Toyota metric OE hardware without thread/fit confirmation,Aftermarket kit uses SAE hardware.
Energy Suspension / EnergySuspensionParts,https://www.energysuspensionparts.com/8.18105,8.4104 body mount bushing set,15.05.44.39,Bolt,10,3/8 x 1.750,9.53 major dia x 44.45 length,Hardware reference only,Do not substitute for Toyota metric OE hardware without thread/fit confirmation,Aftermarket kit uses SAE hardware.
Energy Suspension / EnergySuspensionParts,https://www.energysuspensionparts.com/8.18105,8.4104 body mount bushing set,15.06.14.39,Body mount plate,12,No dimensions published,No dimensions published,Count/reference only,Use photo/physical sample for plate shape and dimensions,Aftermarket kit count cross-check.
Energy Suspension / EnergySuspensionParts,https://www.energysuspensionparts.com/8.18105,8.4104 body mount bushing set,15.07.06.39,Nut plate,2,No dimensions published,No dimensions published,Count/reference only,Use physical sample/vehicle for plate shape and dimensions,Aftermarket kit count cross-check.
Energy Suspension / EnergySuspensionParts,https://www.energysuspensionparts.com/8.18105,8.4104 body mount bushing set,15.08.28.39,Dash pad retainer,4,No dimensions published,No dimensions published,Count/reference only,Use only if matching physical samples are present,Aftermarket kit count cross-check.
