candidate_id,file_name,media_id,captured_date,captured_time,collection,selection_status,selected_for_recreation,role_guess,measurement_priority,notes
RRB-20260502-001,20260502_004201_gp_zfUSmKJg.jpg,20260502_004201_gp_zfUSmKJg,2026-05-02,00:42:01,rubber_recreation_candidates_20260502,selected,yes,front_support_strip_overview,high,"Long degraded front-support/strip rubber layout with vertical tape; use for overall shape only."
RRB-20260502-002,20260502_004215_gp_evgCLjSw.jpg,20260502_004215_gp_evgCLjSw,2026-05-02,00:42:15,rubber_recreation_candidates_20260502,selected,yes,front_support_strip_length_reference,high,"Horizontal tape reference for long strip/bracket rubber family."
RRB-20260502-003,20260502_004222_gp_PKRe5HSQ.jpg,20260502_004222_gp_PKRe5HSQ,2026-05-02,00:42:22,rubber_recreation_candidates_20260502,selected,yes,front_support_strip_profile_reference,high,"Second horizontal-tape view of long strip/bracket rubber; use with RRB-002."
RRB-20260502-004,20260502_004231_gp_CfosvPIg.jpg,20260502_004231_gp_CfosvPIg,2026-05-02,00:42:31,rubber_recreation_candidates_20260502,selected,yes,circular_cushion_and_oval_pad_scale_reference,high,"Best shared tape-scale image for circular body cushions/cups and two-hole oval pad."
RRB-20260502-005,20260502_004254_gp_Hm9RR5DQ.jpg,20260502_004254_gp_Hm9RR5DQ,2026-05-02,00:42:54,rubber_recreation_candidates_20260502,selected,yes,front_support_strip_height_reference,high,"Vertical tape closeup of stacked/degraded strip rubber heights."
RRB-20260502-006,20260502_004314_gp_wuzpgNrA.jpg,20260502_004314_gp_wuzpgNrA,2026-05-02,00:43:14,rubber_recreation_candidates_20260502,selected,yes,front_support_strip_edge_width_reference,medium,"Side/edge view with tape for long strip/bracket rubber thickness."
RRB-20260502-007,20260502_004337_gp_m2OagYpg.jpg,20260502_004337_gp_m2OagYpg,2026-05-02,00:43:37,rubber_recreation_candidates_20260502,selected,yes,circular_cushion_edge_width_reference,medium,"Edge/top reference for circular cushion/washer diameter and thickness."
RRB-20260502-008,20260502_004345_gp_yK8VYzMQ.jpg,20260502_004345_gp_yK8VYzMQ,2026-05-02,00:43:45,rubber_recreation_candidates_20260502,selected,yes,two_hole_oval_front_support_pad_top_face,high,"Best top-face view of two-hole oval pad with rectangular relief and metal insert."
RRB-20260502-009,20260502_004401_gp_otUSjgGA.jpg,20260502_004401_gp_otUSjgGA,2026-05-02,00:44:01,rubber_recreation_candidates_20260502,selected,yes,front_support_strip_thickness_reference,medium,"Close side profile of degraded strip rubber with tape."
RRB-20260502-010,20260502_004413_gp_Qno8OVRg.jpg,20260502_004413_gp_Qno8OVRg,2026-05-02,00:44:13,rubber_recreation_candidates_20260502,selected,yes,circular_cushion_top_face_used,high,"Top view of old circular cushion/cup profile; degraded center bore."
RRB-20260502-011,20260502_004419_gp_ZPXJRBzg.jpg,20260502_004419_gp_ZPXJRBzg,2026-05-02,00:44:19,rubber_recreation_candidates_20260502,selected,yes,circular_cushion_top_face_used,high,"Second top view of old circular cushion/cup profile."
RRB-20260502-012,20260502_004429_gp_KJHxGcCA.jpg,20260502_004429_gp_KJHxGcCA,2026-05-02,00:44:29,rubber_recreation_candidates_20260502,selected,yes,circular_cushion_side_profile_reference,medium,"Side profile for circular cushion/cup lip and free height; tape present but focus soft."
RRB-20260502-013,20260502_004437_gp_f1TySzww.jpg,20260502_004437_gp_f1TySzww,2026-05-02,00:44:37,rubber_recreation_candidates_20260502,selected,yes,circular_cushion_clean_top_reference,high,"Cleaner top-face reference for circular annular cushion with raised/recessed center."
RRB-20260502-014,20260502_004442_gp_7WcFHjLQ.jpg,20260502_004442_gp_7WcFHjLQ,2026-05-02,00:44:42,rubber_recreation_candidates_20260502,selected,yes,circular_cushion_clean_top_reference,high,"Cleaner duplicate/alternate top-face reference for circular annular cushion."
RRB-20260517-001,20260517_193503_gp_N9nHjqXw.jpg,20260517_193503_gp_N9nHjqXw,2026-05-17,19:35:03,rubber_recreation_candidates_20260517,selected,yes,long_rubber_strip_full_length_reference,high,"Long rubber strip/channel with tape along most of its length; use for fabrication shape and scale reference only until physical trace confirms location and hole centres."
RRB-20260517-002,20260517_193539_gp_E0cR9I0A.jpg,20260517_193539_gp_E0cR9I0A,2026-05-17,19:35:39,rubber_recreation_candidates_20260517,selected,yes,long_rubber_strip_end_and_width_reference,medium,"End and width reference for the long rubber strip/channel; keep with the May 17 tape-scale set."
RRB-20260517-003,20260517_193559_gp_NEpk1hpg.jpg,20260517_193559_gp_NEpk1hpg,2026-05-17,19:35:59,rubber_recreation_candidates_20260517,selected,yes,long_rubber_strip_width_closeup,high,"Close width/edge profile view with tape; use for cross-section and lip/groove evidence, not final production dimensions."
RRB-20260517-004,20260517_193612_gp_JmbfR0Tw.jpg,20260517_193612_gp_JmbfR0Tw,2026-05-17,19:36:12,rubber_recreation_candidates_20260517,selected,yes,long_rubber_strip_curved_end_measurement_reference,medium,"Curved/end section with tape; use to understand terminal shape and likely handedness before tracing the physical piece."
RRB-20260517-005,20260517_193616_gp_1ye19BZA.jpg,20260517_193616_gp_1ye19BZA,2026-05-17,19:36:16,rubber_recreation_candidates_20260517,selected,yes,long_rubber_strip_curved_end_closeup,medium,"Second close view of curved/end section; keep as companion evidence for the long strip fabrication hold."
