entry_id,workstream,item,prior_decision,product_link,sourcing_mode,timing_window,pass2_decision,budget_mode,basket_id,supplier_hint,rationale
part_hvac_barrier_hose_fittings_20260514,ac_hvac_retrofit,A/C barrier hose and refrigerant-compatible fittings,confirm_price_then_buy,,local_toyota_common,review,confirm_price_then_buy,review,basket_review,Use local Toyota/common parts markets; buy as one batch after inspection.,No pass-2 override rule matched.
part_hvac_blower_clutch_fan_wiring_20260514,ac_hvac_retrofit,"Relay, fuse, switch, and wiring pack for blower, compressor clutch, and condenser fan request",confirm_price_then_buy,,local_toyota_common,review,confirm_price_then_buy,review,basket_review,Use local Toyota/common parts markets; buy as one batch after inspection.,No pass-2 override rule matched.
part_hvac_control_panel_20260514,ac_hvac_retrofit,Compact A/C control panel or integrated controls,confirm_price_then_buy,,mixed_local_or_online,review,confirm_price_then_buy,review,basket_review,"Prefer local sourcing first, then online if unavailable.",No pass-2 override rule matched.
part_hvac_duct_defrost_hose_kit_20260514,ac_hvac_retrofit,"Measured outlet duct branches, vent adapters, and defrost/demist hose kit",measurement_hold,,local_toyota_common,after_M7_M8,buy_after_measurement,hold,measurement_hold,"Source local hose and measured adapters only after the received vent spigots and selected EBU-404 outlets are measured.","The nominal 75 mm rear mounting boss is not a hose size; retain 70 mm only where the evaporator interface and routed adapter are physically proven."
part_hvac_evaporator_drain_mount_kit_20260514,ac_hvac_retrofit,Evaporator drain hose and mounting/sealing kit,confirm_price_then_buy,,local_toyota_common,review,confirm_price_then_buy,review,basket_review,Use local Toyota/common parts markets; buy as one batch after inspection.,No pass-2 override rule matched.
part_hvac_firewall_bulkhead_fittings_20260514,ac_hvac_retrofit,A/C firewall bulkhead fittings and sealing grommets,confirm_price_then_buy,,local_electrical_common,review,confirm_price_then_buy,review,basket_review,Use local electrical markets first; avoid duplicate online orders.,No pass-2 override rule matched.
part_hvac_parallel_flow_condenser_20260514,ac_hvac_retrofit,Parallel-flow A/C condenser sized to core support,confirm_price_then_buy,,mixed_local_or_online,review,confirm_price_then_buy,review,basket_review,"Prefer local sourcing first, then online if unavailable.",No pass-2 override rule matched.
part_hvac_r134a_oil_oring_charge_kit_20260514,ac_hvac_retrofit,"HNBR O-rings, refrigerant oil, vacuum/leak test, and R134a charge setup",confirm_price_then_buy,,mixed_local_or_online,review,confirm_price_then_buy,review,basket_review,"Prefer local sourcing first, then online if unavailable.",No pass-2 override rule matched.
part_hvac_receiver_drier_20260514,ac_hvac_retrofit,Receiver-drier matched to R134a A/C layout,confirm_price_then_buy,,mixed_local_or_online,review,confirm_price_then_buy,review,basket_review,"Prefer local sourcing first, then online if unavailable.",No pass-2 override rule matched.
part_hvac_return_air_grille_filter_20260514,ac_hvac_retrofit,Hidden return-air grille and washable filter for evaporator intake,confirm_price_then_buy,,local_toyota_common,review,confirm_price_then_buy,review,basket_review,Use local Toyota/common parts markets; buy as one batch after inspection.,No pass-2 override rule matched.
part_hvac_slim_louver_outlet_panel_20260514,ac_hvac_retrofit,Suzuki Cultus/Celerio circular chrome dashboard A/C grille outlets - 4 physical vents,await_delivery,https://www.daraz.pk/products/suzuki-cultus-dashboard-ac-grill-side-grill-2018-2024-chrome-suzuki-cultus-2017-2024-avk-dashboard-ac-grill-vent-chrome-1-grill-pc-suzuki-cultus-celerio-side-ac-grill-sides-ac-wings-2017-2023-i607758031.html,mixed_local_or_online,in_flight_now,track_in_flight_order,delivery_tracking,basket_in_flight_tracking,"AL.Zain Mart / Daraz order 246057471480938 is paid and confirmed; do not repurchase.","Expected 2026-08-05 through 2026-08-08. Receive four, measure every unit, choose the best-matched pair for installation and retain two as service spares."
part_hvac_trinary_switch_20260514,ac_hvac_retrofit,Trinary pressure switch for A/C compressor and fan control,confirm_price_then_buy,,mixed_local_or_online,review,confirm_price_then_buy,review,basket_review,"Prefer local sourcing first, then online if unavailable.",No pass-2 override rule matched.
