Item_Group,Medium_PKR,Pakistan_Source_Notes,Pakistan_Link_1,Pakistan_Link_2,Replace_All,Pakistan_Buy_Note
Body-to-chassis mount rubber kit (main tub/chassis rubbers),30000,Pakistan online search: Body mount bushing/rubber kit,https://www.pakwheels.com/accessories-spare-parts/search/-/q_body+mount+rubber+toyota+land+cruiser/,https://www.daraz.pk/catalog/?q=body+mount+bushing+toyota,YES,No common exact FJ40 listing locally; use PakWheels + Daraz search and match dimensions.
Body mount shim/spacer alignment pack,7000,Pakistan online: Shim/spacer washers,https://www.daraz.pk/catalog/?q=m10+shim+washer,https://www.daraz.pk/catalog/?q=m12+shim+washer,YES,Order mixed thickness packs for tub alignment.
Firewall/column/wiper/rear wiring grommets set,4500,Pakistan online: Rubber grommet kits,https://www.daraz.pk/catalog/?q=rubber+grommet+kit+automotive,https://www.pakwheels.com/accessories-spare-parts/search/-/q_rubber+grommet+kit/,YES,Grommet assortments are widely available locally.
Engine mounts (front + rear),35000,Pakistan online: Engine mounts (2H / Land Cruiser diesel),https://www.pakwheels.com/accessories-spare-parts/search/-/q_2h+engine+mount+toyota/,https://www.daraz.pk/catalog/?q=toyota+engine+mount+rubber,YES,Confirm 2H/HJ47 dimensions before order.
Gearbox / transfer mounts + top-cover bush service items,18500,Pakistan online: Transmission/gearbox mount rubbers,https://www.pakwheels.com/accessories-spare-parts/search/-/q_transmission+mount+toyota+land+cruiser/,https://www.daraz.pk/catalog/?q=gearbox+mount+rubber+toyota,YES,Verify gearbox + transfer mount pattern from removed parts.
Spring eye bushes (leaf springs),15000,Pakistan online: Leaf spring eye bushes,https://www.pakwheels.com/accessories-spare-parts/search/-/q_leaf+spring+bush+toyota/,https://www.daraz.pk/catalog/?q=leaf+spring+bush,YES,Buy full vehicle set; avoid mixed hardness.
Shackle bushes,10000,Pakistan online: Shackle bushes,https://www.pakwheels.com/accessories-spare-parts/search/-/q_shackle+bush+toyota/,https://www.daraz.pk/catalog/?q=shackle+bushing,YES,Prefer full matching set with spring eye bushes.
Steering bushings,10000,Pakistan online: Steering bushings,https://www.pakwheels.com/accessories-spare-parts/search/-/ct_steering-suspension/,https://www.daraz.pk/catalog/?q=toyota+steering+bushing,YES,Match by ID/OD/length; avoid model-only mismatch.
Brake flexible hose set (front + rear center),12500,Pakistan online: Brake flex hoses,https://www.pakwheels.com/accessories-spare-parts/search/-/q_brake+hose+toyota+land+cruiser/,https://www.daraz.pk/catalog/?q=brake+hose+toyota,YES,Replace all hoses as a set to keep brake feel consistent.
Clutch flex hose,10000,Pakistan online: Clutch flex hose,https://www.pakwheels.com/accessories-spare-parts/search/-/q_clutch+hose+toyota/,https://www.daraz.pk/catalog/?q=clutch+hose+toyota,YES,Check banjo/thread spec before purchase.
Fuel hose + return hose + hose clamps kit,33000,Pakistan online: Fuel hose + clamps,https://www.daraz.pk/catalog/?q=SAE+J30R7+fuel+hose,https://www.daraz.pk/catalog/?q=fuel+hose+clamp,YES,Use fuel-rated hose only (not coolant hose).
Heater hose set,9000,Pakistan online: Heater hose,https://www.pakwheels.com/accessories-spare-parts/search/-/q_heater+hose+toyota/,https://www.daraz.pk/catalog/?q=heater+hose+toyota,YES,Buy by diameter + length after measurement.
Radiator/coolant hoses + thermostat gasket + radiator mount pads,23000,Pakistan online: Radiator/coolant hoses,https://www.pakwheels.com/accessories-spare-parts/search/-/q_radiator+hose+toyota/,https://www.daraz.pk/catalog/?q=radiator+hose+toyota,YES,Thermostat gasket and pad material often bought with hose service items.
Reservoir hoses / caps / seals,8000,Pakistan online: Reservoir hose/cap + O-rings,https://www.daraz.pk/catalog/?q=coolant+reservoir+cap+hose,https://industryparts.pk/products/o-ring-assortment-rubber-kit-382-pieces-30-sizes,YES,Keep one O-ring kit in stock for seals and sender service.
Tank strap pads/rubbers + sender seal,10000,Pakistan online: Tank sender seal + strap pad material,https://www.pakwheels.com/accessories-spare-parts/search/-/q_fuel+sender+gasket+toyota/,https://www.daraz.pk/catalog/?q=fuel+sender+gasket+toyota,YES,Tank strap pads may need sheet-rubber cut to size locally.
Door weatherstrip set,80000,Pakistan online: Door weatherstrip / glass run,https://www.pakwheels.com/accessories-spare-parts/search/-/q_door+weatherstrip+toyota/,https://www.daraz.pk/catalog/?q=land+cruiser+weather+strip,YES,FJ40-specific usually import-order; local generic strips often imperfect fit.
Windscreen rubber / base seal,20000,Pakistan online: Windscreen rubber/base seal,https://www.pakwheels.com/accessories-spare-parts/search/-/q_windshield+rubber+toyota/,https://www.daraz.pk/catalog/?q=windshield+weatherstrip+toyota,YES,Exact windshield profile is critical; confirm cross-section first.
Vent / flap / cowl seal set,12000,Pakistan online: Vent/cowl seal rubber,https://www.pakwheels.com/accessories-spare-parts/search/-/q_vent+window+seal+toyota/,https://www.daraz.pk/catalog/?q=vent+window+seal+rubber+toyota,YES,Often import-only for FJ40-correct seal profile.
Exhaust hanger rubbers,8000,Pakistan online: Exhaust hanger rubbers,https://www.daraz.pk/catalog/?q=exhaust+hanger+rubber,https://www.pakwheels.com/accessories-spare-parts/search/-/q_exhaust+hanger+rubber/,YES,Buy by hanger hole spacing and durometer.
A/C barrier hoses + drain hoses + O-rings,45000,Pakistan online: AC hoses + O-rings,https://www.daraz.pk/catalog/?q=car+ac+hose,https://industryparts.pk/products/o-ring-assortment-rubber-kit-382-pieces-30-sizes,YES,Barrier hose is usually fabricated by local AC shop after routing.
Pedal rubbers,4000,Pakistan online: Pedal rubbers,https://www.pakwheels.com/accessories-spare-parts/search/-/q_pedal+rubber+toyota/,https://www.daraz.pk/catalog/?q=toyota+pedal+rubber,YES,Simple local buy; match pedal type and size.
TOTAL_ALL_RUBBERS_REPLACE,=SUM(B2:B22),,,,,
