ref,hand,qty,item,make_or_buy,provisional_stock_or_product,final_control,release_state,finish,notes
X0,Centre,1,Lower full-width radiator crossmember,MAKE,"40 x 40 x 3 mm mild-steel SHS for packaging/mock-up only if L0 <= 700 mm and MR <= 35 kg","Structural drawing releases section span A0 connections welds fasteners and torque",HOLD,"2K epoxy + 2K polyurethane; cavity wax only if eligible","No final cut from nominal stock guidance"
X1,LH/RH,2,Formed lower saddle seats,MAKE,"Released structural steel plate/section; thickness HOLD","S0 plus selected R1 sample drainage and structural calculation",HOLD,"Same compatible ferrous coating system","Full rubber support; no tank seam or metal/core contact"
A0,LH/RH,2 assemblies,Shortened chassis-connector radiator arms,MAKE,"Verified loose arm blanks or certified weldable structural steel; grade section wall/thickness HOLD","A0-D-L/R plus B0/S0/R0-H/L0 and competent-person road-load calculation/drawing",HOLD,"Same compatible ferrous coating system","Mirror-handed; terminate at highest released interface with no unused tall projection; cut loose parts on bench only"
A1,LH/RH,2,Integral connector shoes/end fittings for A0,MAKE,"Released matching structural steel; blank bends gussets and thickness HOLD","Actual A0-D bearing faces/hole group edge distance bolt approach and released weld/fastener/torque design",HOLD,"Same compatible ferrous coating system","Use only intended structural connector; never steering suspension bumper tow point thin sheet forced alignment slots or washer-stack spacers"
G1,LH/RH,2,Lower removable-G0 perimeter-frame cradles,MAKE,"Folded coated mild steel by default; exact material/thickness HOLD","G0-H/CL0 sound contact lengths direct VCL and fixed-vehicle-grille-aperture alignment frame plane drainage removal vector and carrier drawing",HOLD,"Compatible satin/semi-gloss coating with replaceable EPDM contact","Support frame only; broad contact and retaining lip; locate complete repaired G0 perimeter-frame centre <= 2 mm laterally from VCL and <= 2 mm X/Z from usable fixed vehicle-grille-aperture centre; never mesh point screw or self-tapper"
G2,LH/RH,2,Upper or side removable-G0 perimeter-frame keepers,MAKE,"Released compatible coated section; exact material/thickness HOLD","G0-H/CL0 direct-VCL and fixed-vehicle-grille-aperture alignment retention/removal map and accessible fastener drawing",HOLD,"Compatible satin/semi-gloss coating with EPDM contact/edge trim","Positive removable retention; keep complete G0 perimeter-frame centre at both direct VCL and local aperture limits without tolerance stacking; guard must remain independently removable"
R0-E,Measured,As required,Radiator-side ear/tab repair or reproduction,RADIATOR SHOP,"Copper/brass-compatible material and process selected after R0-H inspection","R0-H jig and approved load class; post-hot-work pressure/flow test",HOLD,"Thin radiator-shop heat-exchanger coating only","Attach only to released sound side rail/header support; never tank skin tube fin pack or core face"
R3-U,LH/RH,2,Short upper radiator keepers,MAKE,"Released coated mild-steel plate/section; thickness HOLD","B0/R0-H transferred only after natural R0 seating on final R1 saddles",HOLD,"Compatible ferrous coating system","Sleeved EPDM locator/restraint only; tightening must not lift rack twist or unload either saddle"
R3-L,LH/RH,0 or 2,Optional lower-side radiator stabilisers,MAKE,"Released coated mild-steel plate/section; thickness HOLD","R0-H and dry-fit written justification plus sleeved-joint drawing",HOLD,"Compatible ferrous coating system","Fore/aft/lateral restraint only; no vertical weight; do not reproduce historical added leg"
C1,Measured,As measured,Independent condenser support brackets,MAKE,"Compatible galvanically isolated steel or aluminium design","C0 full map CL0 lateral centre ports pipe/tool sweep and isolator drawing",HOLD,"Substrate-compatible finish","C0 usable-fin-field lateral centre within 2 mm of vehicle centre plane; no load through any heat-exchanger core"
F1,Centre,1 set,Single FS front-pusher carrier rails/tabs,MAKE,"Released compatible section","Complete FS/C0 maps and independent CL0-to-VCL centre coordinates",HOLD,"Substrate-compatible finish","Exactly one complete front A/C fan; complete frame/rotor datum <= 2 mm laterally from VCL and <= 2 mm X/Z from C0 usable-fin-field centre with no tolerance stacking; complete frame/tabs/guard/plug/cable/service envelope clears; no through-core ties"
F2,Measured,1 set,FL rear-puller carrier rails/tabs and seal land,MAKE,"Released compatible section","Complete FL frame plus R0-H seal/service map",HOLD,"Substrate-compatible finish","Independent support; closed-cell EPDM seal; zero tank/core load"
E1,Measured,1,Relay/fuse mounting plate,MAKE,"Released coated metal plate","Electrical enclosure relay/fuse cable-bend drainage and service map",HOLD,"Substrate-compatible finish","No water-trapping orientation"
R1,LH/RH,2,J40-pattern lower radiator rubber saddles,BUY,"New automotive rubber parts matched to actual locators","S0 locator diameter cup depth installed height load area and compound",HOLD,Uncoated,"Old rubber is pattern only"
R2/R3-I,Measured,As drawn,EPDM bushes strips fitted crush/shoulder sleeves and anti-chafe,BUY,"New automotive EPDM plus compatible metal sleeves","Each released G1/G2/R3/C1/F1/F2 joint and actual clamp stack",HOLD,Uncoated,"Every clamped rubber joint positively sleeve-controlled where required"
H1,Measured,1 matched set,Mounting fasteners,BUY,"Zinc-plated class 8.8 unless released drawing requires otherwise","Released diameter pitch grip length torque and positive locking method",HOLD,Uncoated,"Do not mix unidentified grades; no loose spacer stack"
S1,Measured,As measured,Shroud seal and guard edge trim,BUY,"Closed-cell automotive EPDM and compatible edge trim","R0-H/FL/G0-H maps and service clearances",HOLD,Uncoated,"Do not block fins drains fasteners or removal path"
