Item,Qty,Procurement Channel,Primary Source,Backup Source,URL 1,URL 2,Expected Price (PKR),Mechanic Check Required,Existing OK?,Action Now,Notes
Fastener Kit A (M10/M12 tub-mount hardware bundle),1 bundle,ONLINE,MrTool (grade 8.8 bolts by kg),Daraz (nyloc/washers),https://mrtool.pk/product/8-8-grade-bolt/,https://www.daraz.pk/products/m3-m4-m5-m6-m8-m10-m12-to-m24-din985-nylock-fasten-nyloc-nuts-screw-cap-hexagon-t-type-i895473910.html,"PKR 5,950-13,300",Optional (sample check),No (use new),Order now,Buy complete kit as one order to avoid mismatch
Fastener Kit B (M6/M8 body-panel hardware bundle),1 bundle,ONLINE,MrTool + Daraz,Ubuy assortments,https://mrtool.pk/product/8-8-grade-bolt/,https://www.ubuy.com.pk/en/product/4MD3C9ER0-1-260-piece-metric-class-8-8-nut-bolt-hex-bolt-washer-assortment-kit,"PKR 21,900-49,700",Optional (sample check),No (use new),Order now,Prefer labeled kits to reduce sorting errors
"Fastener Kit C (clip nuts, weld nuts, rivnuts)",1 bundle,ONLINE,Daraz rivnut/clip-nut listings,Ubuy industrial fasteners,https://www.daraz.pk/products/10pcs-durable-threaded-rivet-carbon-steel-rivnut-m3-m4-m5-m6-m8-m10-m12-tool-set-flat-head-rivnut-insert-nutsert-cap-metalworking-accessory-rivet-nut-home-diy-i894380740.html,https://www.ubuy.com.pk/en/category/nut-%26-bolt-assortment-sets-383887011,"PKR 6,400-14,900",Optional (sample check),No (use new),Order now,Verify rivnut grip range for sheet thickness
Fastener Kit D (ground hardware + conductive paste),1 bundle,ONLINE,Daraz / electrical hardware stores online,Ubuy washers,https://www.ubuy.com.pk/en/category/industrial-scientific/fasteners/washers/lock-washers-16410901,https://www.daraz.pk/catalog/?q=serrated+star+washer+m8,"PKR 4,900-12,500",Yes,Maybe,Order now,"Star washers must be sharp, not flattened"
Body mount rubber insulator set (FJ40),1 full set,ONLINE,BTB Products (FJ40 specific),Daystar kit,https://btbprod.com/product/body-mount-kit-fj40-1958-78-replacement-w-hardware/,https://daystarproducts.com/products/daystar-kt04007bk,"PKR 15,000-60,000 + shipping",Yes,Maybe (replace if cracked/compressed),Quote online now,Match sleeve height to your chassis/tub stack
"Shims/spacers pack (M10/M12, 1/2/3/5mm)",1 assorted pack,ONLINE,Daraz industrial washers/shims,Local hardware e-stores,https://www.daraz.pk/catalog/?q=m10+shim+washer,https://www.daraz.pk/catalog/?q=m12+shim+washer,"PKR 3,000-12,000",Yes,Yes (partly),Order now,Use for tub leveling when refitting
Ignition barrel/lock set (security fix),1 set,ONLINE,CityRacer FJ40 lock set,Specialty Land Cruiser shops,https://www.cityracerllc.com/products/ignition-cylinder-lock-set-for-75-and-later-toyota-land-cruiser-fj40,https://www.sor.com/cat/144,"PKR 4,000-25,000 + shipping",Yes,No (current one insecure),Order/quote now,"If importing is slow, do locksmith re-key stopgap"
Compact covered fuse box 6-way,3 units,ONLINE,WellShop,SehgalMotors,https://wellshop.pk/product/6-way-fuse-block-blade-fuse-box-holder-dc-12-32v-1-709607/,https://sehgalmotors.pk/products/fuse-60a-box-fuse-kit-for-trucks-and-cars,"PKR 11,100-21,000",Yes,Maybe,Order now,Get same model x3 for consistency
"Heat plugs / glow plugs (diesel, engine-code match)",1 engine set,ONLINE,Cruiser-specific suppliers,Local online auto stores,https://cruisercorps.com/products/ngk-3b-diesel-glow-plug-set-of-4,https://www.ishopping.pk/khalidtraders-glow-plug-for-car-toyota-1c-pt-107-price-in-pakistan.html,"PKR 12,000-36,000",Yes,No (new only),"Quote now, buy after code confirmation",Do not buy until exact engine code/thread/reach confirmed
Local front leaf spring pack (fabricated/new),2 packs,ONLINE_QUOTE,Landhi Engineering (leaf spring manufacturer),Pakistan Spring / Popular Spring,https://spring.com.pk/,https://www.pakspring.com/,"PKR 35,000-90,000",Yes,Maybe,Send dimensions for quote,"Online RFQ first, buy only after measurement match"
Local rear leaf spring pack (fabricated/new),2 packs,ONLINE_QUOTE,Landhi Engineering (leaf spring manufacturer),Popular Spring Industries,https://spring.com.pk/,https://popularspringind.com/,"PKR 35,000-90,000",Yes,Maybe,Send dimensions for quote,"Online RFQ first, buy only after measurement match"
OME/EMU front shock pair (OME-60097 x2),1 front pair,ONLINE_QUOTE,ARB/Ubuy channel,Part reference page,https://www.ubuy.com.pk/en/brand/arb,https://www.4x4proyect.com/parts/old-man-emu-ns-60097-shock/en,"PKR 55,000-110,000",Yes,Optional upgrade,Quote online now,Confirm exact part number on invoice before payment
OME/EMU rear shock pair (OME-63064 x2),1 rear pair,ONLINE_QUOTE,ARB/Ubuy channel,Part reference page,https://www.ubuy.com.pk/en/brand/arb,https://www.offroadattitude.fr/amortisseurs/78131-ome-63064.html,"PKR 55,000-110,000",Yes,Optional upgrade,Quote online now,Confirm exact part number on invoice before payment
OME greasable shackle front (OMEGS8),1 kit,ONLINE_QUOTE,ARB/Ubuy channel,Part reference page,https://www.ubuy.com.pk/en/brand/arb,https://thmotorsports.com/1996476-arb-greasable-shackle-pair,"PKR 25,000-60,000",Yes,Optional upgrade,Quote online now,Must include grease passages and nipples
OME greasable shackle rear (OMEGS9),1 kit,ONLINE_QUOTE,ARB/Ubuy channel,Part reference page,https://www.ubuy.com.pk/en/brand/arb,https://rayo4x4.pl/product-pol-8431-U-Bolt-OME-OMEU59A.html,"PKR 25,000-65,000",Yes,Optional upgrade,Quote online now,Verify pin diameter and bushing compatibility
OME bush kit (OMESB30) x4,4 kits,ONLINE_QUOTE,Ubuy / ARB channel,ShockWarehouse part reference,https://www.ubuy.com.pk/en/brand/arb,https://www.shockwarehouse.com/products/old-man-emu-omesb30-front-or-rear-bushing-kit,"PKR 28,000-60,000",Yes,Optional upgrade,Quote online now,Buy only genuine
OME U-bolt kit (OMEU59A) x7,7 kits,ONLINE_QUOTE,Ubuy / ARB channel,Part reference page,https://www.ubuy.com.pk/en/brand/arb,https://rayo4x4.pl/product-pol-8431-U-Bolt-OME-OMEU59A.html,"PKR 42,000-98,000",Yes,Optional upgrade,Quote online now,"Confirm rod dia, leg length, thread pitch"
Steering bushing set,1 set,ONLINE,Generic Toyota/Land Cruiser parts e-stores,Daraz/Pakwheels listings,https://www.daraz.pk/catalog/?q=toyota+steering+bushing,https://www.pakwheels.com/accessories-spare-parts/search/-/ct_steering-suspension/,"PKR 3,000-12,000",Yes,Maybe,Order after part-size check,Replace only if play/crack exists
Wire rework consumables (lugs + heatshrink only),1 kit + labor,ONLINE + LOCAL_LABOR,Daraz cable lugs/adhesive heatshrink,Electrical wholesalers online,https://www.daraz.pk/catalog/?q=battery+cable+lug+25mm,https://www.daraz.pk/catalog/?q=adhesive+heat+shrink,"PKR 3,000-12,000",Yes,Yes (rework existing cable),Order now,This is for correcting 25mm² split issue
Electrical tape (PVC 19mm),10 rolls,ONLINE,Daraz,Electrical stores online,https://www.daraz.pk/catalog/?q=electrical+tape+19mm,https://www.ubuy.com.pk/en/search/index/view/product/B0B5VQW6XK/s/3m-electrical-tape-19mm/store/store,"PKR 1,500-4,500",No,N/A,Order now,Buy mixed colors for labeling
Cloth harness loom tape,5 rolls,ONLINE,Daraz cloth tape listings,Specialty auto tape suppliers,https://www.daraz.pk/products/19mmx15m-universal-heat-resistant-nap-adhesive-cloth-electrical-automotive-tape-i281397325.html,https://www.qkdautotape.com/en/product/cloth-harness-tape,"PKR 2,500-9,000",No,N/A,Order now,Prefer 125°C-rated cloth tape
Firewall grommet assortment,1 kit,ONLINE,Daraz assortments,Industrial catalog sellers,https://www.daraz.pk/catalog/?q=firewall+grommet+assortment,https://www.swordfish-tools.com/product-page/swordfish-21100-180pc-closed-rubber-grommet-firewall-hole-plug-assortment,"PKR 2,000-7,000",Yes,N/A,Order now,Need exact ID/OD per hole
Grease-injection fittings (zerk nipples + caps),1 kit,ONLINE,Ubuy fittings assortments,Industrial fittings stores,https://www.ubuy.com.pk/en/product/F3KO60UI-swpeet-246pcs-sae-metric-grease-nipple-assortment-kit-hydraulic-grease-fittings-standard-with-plasti,https://www.ubuy.com.pk/en/product/81THG1FEA-4-pieces-grease-fitting-1-8-npt-pipe-zerk-nipple-45-deg-degree,"PKR 1,000-4,500",Yes,Maybe,Order with shackle decision,Confirm thread type before order
