check_id,stage,check,acceptance,status,measurement_or_evidence_ref,signoff
TRC-I00,vehicle_state,Installed 2H engine retained,"Engine remains attached; mount condition and fastener security checked; no engine removal assumed",,,
TRC-I01,prework,Engine gearbox steering firewall floor bonnet wings and front-panel datums present,"Actual parts or rigid full-size templates present",,,
TRC-I02,prework,Radiator fan shroud condenser A-C compressor and intercooler envelope present,"Actual parts or rigid full-size templates present",,,
TRC-I03,prework,Turbo manifold housing and downpipe centreline represented,"Actual selected assembly or rigid flange/housing/tube templates present before H4/H5 release",,,
TRC-I04,survey,Existing tabs brackets lines hoses and looms labelled,"Every affected item marked KEEP REPAIR RELOCATE REMOVE NON-BASELINE or UNKNOWN",,,
TRC-I05,survey,Nearest hot-side corridor clearances recorded,"Millimetre measurements and labelled photos attached",,,
TRC-I06,cooling_stack,Upright stock verified,"50 x 50 x 4 preferred or approved 40 x 40 x 4 minimum",,,
TRC-I07,cooling_stack,Upright straightness,"Maximum 2 deviation over full measured length",,,
TRC-I08,cooling_stack,Upright parallelism,"Maximum 3 difference across corresponding datum measurements",,,
TRC-I09,cooling_stack,Separate cooling component support,"Radiator condenser intercooler and fan do not load one another or any core/tank/fin",,,
TRC-I10,cooling_stack,Service removal,"Radiator fan/shroud front panel and intercooler template remove without cutting welded metal",,,
TRC-I11,weld_prep,Parent metal exposed and sound,"At least 25 cleaned around weld; thickness/condition accepted and photographed",,,
TRC-I11A,weld_prep,Engine-installed hot-work protection,"No fluid leak/residue; alternator/controllers disconnected; ports sealed; fire blankets/metal guards fitted; extinguisher and fire watch assigned",,,
TRC-I11B,weld_prep,Welding return path,"Return clamp on same parent component close to weld; current cannot pass through engine gearbox bearings steering lines or wiring grounds",,,
TRC-I12,interfaces,Tab stock and corners,"3 or 4 thickness as specified; minimum R3 outside corners; fully deburred",,,
TRC-I13,interfaces,Hole edge distance,"At least 8 from hole edge to tab edge for 3 mm auxiliary tabs",,,
TRC-I14,interfaces,Thread fit,"Specified bolt runs by hand through full engagement; thread protected from coating",,,
TRC-I15,lines,Line/loom support,"No preload bare clamp sharp contact or unserviceable routing",,,
TRC-I16,exhaust_hold,H4 release evidence,"Turbo/downpipe/flex/body/engine mock-up and marked hanger centre approved before fabrication",,,
TRC-I17,exhaust,Exhaust support behavior,"First fixed hanger downstream of flex; represented full weight does not load turbo/manifold",,,
TRC-I18,heat_shield,Shield interface behavior,"Template removable with ordinary tools; no rigid moving-to-fixed bridge",,,
TRC-I19,air_intake,Airbox/breather/charge support behavior,"Bolt-on and isolated as applicable; no compressor/end-tank load; engine movement retained",,,
TRC-I20,final,Completed work photographed before coating,"Every weld joint both sides where accessible; holes/crush tubes/threads visible",,,
TRC-I21,final,Corrosion protection restored,"No bare steel; drains vents and threads open; cavity access recorded",,,
TRC-I22,final,Excluded work untouched,"No manifold downpipe exhaust sump oil-line charge-pipe or chassis-mounted turbo fabrication performed",,,
TRC-I23,final,Disposition recorded,"Every TRC scope row marked PASS NOT REQUIRED or HELD — NOT FABRICATED",,,
TRC-I24,final,Engine-bay hot-work closeout,"30-minute fire watch complete; top/bottom inspection passed; temporary plugs/guards counted and removed; electrical connections restored after inspection",,,
