priority,item_id,component,selected_local_item,supplier,source_url,buy_decision,required_proof_before_payment,reject_if,installation_role
P0,FCS-RAD-PK-001,Engine radiator,"Toyota Land Cruiser 70-series diesel radiator, preferably HZJ75/HZJ78/HZJ79/1HZ",Bilal Ganj/Montgomery Road/Land Cruiser parts suppliers,local_market,"Primary donor-stack task","Photos of radiator; donor identity as genuine 70-series diesel; part numbers or markings if present; price; return/exchange terms; new preferred or clean undamaged used acceptable","Small-car substitute; not actually 70-series diesel; leaking rotten crushed badly repaired or damaged plastic tanks; no return/exchange if wrong after trial fit","Rear heat exchanger in front stack; owner/fabricator will design two-sided rubber-isolated cradle after parts are in hand"
P0,FCS-RAD-PK-002,Engine radiator,"Custom HJ47/2H pattern radiator built or recored from old sample",Master Radiators Lahore,https://www.masterradiators.com/,"Fallback if 70-series donor radiator is unavailable or poor","Old sample on counter; overall width/height/thickness; core width/height/thickness; hose neck side and OD; cap/overflow/drain positions; corrected left/right mount tabs; pressure/flow test result; warranty","Shop copies the bad one-sided support leg; no pressure test; wrong necks/brackets; radiator is used as condenser/fan structure","Fallback rear heat exchanger in front stack; mounted on rubber-isolated frame tabs"
P0,FCS-COND-PK-001,A/C condenser,"Matching Toyota Land Cruiser 70-series A/C condenser from the same HZJ75/HZJ78/HZJ79/1HZ donor family",Bilal Ganj/Montgomery Road/Land Cruiser parts suppliers,local_market,"Primary matching condenser task","Photos of condenser; donor identity as matching 70-series A/C part; part numbers or markings if present; port condition; price; return/exchange terms","Small-car substitute; broken ports; oil-stained or badly smashed fins/tubes; seller cannot identify donor or accept return/exchange","Forward heat exchanger in front stack; owner/fabricator will design mounting spacing and hose routing after parts are in hand"
P1,FCS-COND-PK-002,A/C condenser,"Hilux Vigo/Revo diesel, Kia Sportage, or universal parallel-flow condenser fallback",Snow Cool/Arsalan Autos/A/C market,https://snow-cool.com/product-category/condensers/,"Fallback if 70-series condenser is unavailable","Seller photos of overall width/height/thickness; fitting side; inlet/outlet size/thread; bracket/tab positions; proof it is parallel-flow/R134a suitable; fins straight and no oil stains","Tube-fin or unknown construction; bent tubes/fins; no fitting data; too wide/tall for upright opening; seller wants through-fin mounting rods","Forward heat exchanger in front stack; mounted to separate rubber-isolated condenser tabs"
P2,FCS-COND-PK-003,A/C condenser,"Alto Pakistani 660cc condenser from Snow Cool/Arsalan",Snow Cool or Arsalan Autos,https://snow-cool.com/product-category/condensers/,"Small-space fallback only","Use only if the front opening cannot accept the 70-series or larger fallback condenser; seller tape photos; pressure test; fitting proof","Chosen for convenience while larger condenser fits; too small for hot-weather load; no fitting data","Fallback condenser package; may need stronger fan and careful charge testing"
P1,FCS-FAN-PK-001,Condenser fan,"Slim 12V pusher condenser fan assembly, 12-14 inch, complete with blade/shroud/mount feet",Snow Cool/Cool Sun/Arsalan Autos,https://coolsun.enic.pk/,"Buy after condenser dimensions are locked","Diameter, depth, current draw, blade direction, pusher airflow proof, mounting foot layout, grille clearance with bonnet shut","Motor-only without blade/shroud; puller-only fan that cannot be reversed; fan tied through condenser fins; current draw unknown","Mounted on fan hoop/crossbar ahead of condenser, not through fins"
P1,FCS-DRIER-PK-001,Receiver-drier,"New R134a receiver-drier with matched O-ring ports and switch port",Snow Cool driers or Arsalan receiver driers,https://arsalanautos.com/,"Buy with final condenser/hose fitting set","Sealed caps still fitted; flow arrow; inlet/outlet thread/port size; binary/trinary switch port thread; bracket/clamp size; fresh unused stock","Open/unsealed drier; no pressure-switch provision unless switch is installed elsewhere; flare/O-ring mismatch; old stock with corrosion","Mounted vertical on side upright after condenser outlet and before TXV/evaporator feed"
P1,FCS-SWITCH-PK-001,Pressure protection,"Binary or trinary A/C pressure switch matched to drier or high-side service block",Arsalan Autos/Cool Sun/Snow Cool,https://arsalanautos.com/,"Required before compressor clutch wiring is released","Thread matches drier/switch port; normally-open/normally-closed logic identified; pressure ratings; connector pigtail available","Random vehicle switch with unknown thread/logic; no way to wire low-pressure and high-pressure clutch cutout","Protects compressor from no charge and excessive head pressure"
P1,FCS-HOSE-PK-001,A/C hoses and fittings,"R134a barrier hose set with crimp fittings, service ports, and HNBR O-rings",Arsalan Autos/Cool Sun/Snow Cool,https://arsalanautos.com/,"Crimp only after dry-fit","Match actual compressor head, condenser ports, drier ports, TXV/evaporator ports; #6 liquid line, #8 discharge, #10 suction where applicable; protected firewall pass-through; nitrogen leak check","Hydraulic hose or fuel hose; crimped before component positions are locked; wrong O-ring/flare standard; hose touching belts/fan/exhaust","Connects compressor, condenser, drier, evaporator, and service ports"
P1,FCS-HOSE-PK-002,A/C hose quality fallback,"Hose and pipe fitting quote with nitrogen leak check",Sanpak Engineering Industries,https://www.sanpak.biz/,"Quality fallback if local A/C shop cannot prove hose/fitting work","Confirm they will build to the actual sample/fitting set; crimp and nitrogen leak-check finished hoses; provide pigtails/adapters if needed","No custom hose service available; no leak-check; fittings do not match compressor head or selected drier","Same hose role as primary hose row"
P0,FCS-COMP-PK-001,A/C compressor,"Reuse installed Sanden-type compressor on 2H bracket; local replacement only if it fails gate",Existing vehicle; replacement quote from Arsalan/Sanpak,https://arsalanautos.com/,"Reuse first, replace only if failed","12V clutch; V-belt pulley/groove alignment; suction/discharge port style; R134a oil plan; shaft seal/port leak test; bracket not cracked","24V compressor on 12V vehicle; wrong pulley offset; unknown oil after failed system; shaft seal leak; no pressure switch protection","Compressor discharge feeds condenser; suction returns from evaporator"
P2,FCS-EVAP-PK-001,Cabin evaporator,"Hang on 228 12V under-dash unit from Arsalan Autos",Arsalan Autos,https://arsalanautos.com/,"Local fallback cabin unit if hidden evaporator package is rejected","Case width/height/depth; drain nipple; TXV/fittings; blower current; outlet face; mounting tabs; under-dash cardboard mock-up","Bulky visible hang-on unit rejected by cabin design; no drain path; fittings conflict with firewall; blower draw exceeds wiring plan","Cabin-side evaporator/blower; not part of front frame but required for complete A/C loop"
P0,FCS-STEEL-PK-001,Frame steel,"50 x 50 x 4 mm mild-steel angle plus 3-4 mm tab/gusset plate",Local loha market/fabricator stock,../front_radiator_two_side_retention_rev_a/README.md,"Buy before frame mock-up","Tape/caliper proof of 4 mm thickness; straight stock; enough length for both full-height uprights and tabs; weldable mild steel","2 mm angle; aluminium angle; twisted or deeply pitted stock; closed rust traps added without drain/access","Structural uprights, tabs, crossbars, drier clamp, and fan hoop"
