excel_row,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
1,record_type,id,title_or_item,lane_or_workstream,state_or_decision,timing_or_depends_on,action_or_gate,notes
2,work_package,WP01,Body Floor Rust Closure,body_structure,in_progress,stripdown_cataloguing_complete,Rust map signed off and repaired zones primed.,Confirm price/order for primer + bedliner + metal protection stack.
3,work_package,WP01A,Tub Lift + Mount-Point Mapping,body_structure,queued,stripdown_cataloguing_complete,Tub lifted and every body/chassis mount point mapped before welding closure.,"Tag all mount points, captive nuts, shim positions, hole condition, and required repair action before refit planning."
4,work_package,WP01B,Chassis/Tub Interface Weld Closure,body_structure,queued,WP01A,"All mount interfaces weld-repaired, protected, and dimension-checked for refit.",No final tub refit until all mount points pass straightness/fit and anti-corrosion prep checks.
5,work_package,WP02,Panel + Seals Refurbishment Returns,body_weather_seal,in_progress,WP01,Doors/hood/windows/rubbers mechanically serviceable and tagged for refit.,Only buy replacement seals/mechanisms after refurbish inspection confirms non-reusable items.
6,work_package,WP02A,Tub Refit Interface + Rubber Kit Control,body_weather_seal,queued,WP01B,"Body mount rubbers, hardware, and shims selected and trial-fitted before final torque.",Capture exact attachment points and shim stack plan before permanent tub-to-chassis fastening.
7,work_package,WP03,Electrical Baseline Finalization,electrical,in_progress,stripdown_cataloguing_complete,Start/charge/lights/horn/wipers/gauges baseline passes functional checks.,Order selected harness/sleeving path; verify on-hand connectors/relays before duplicate buys.
8,work_package,WP03A,Dashboard Switch Fit-Up + Fascia Decision Gate,electrical,queued,WP03,All 7 ordered Schneider switches allocated and mechanically fitted with clearance-confirmed panel mounting.,"Planned allocation: right cluster 4 controls, AC mid-cluster 2 controls; use auxiliary fascia only for any overflow/clearance conflict."
9,work_package,WP03B,Diesel Cutoff + Ignition Security Integration,electrical,queued,WP03|WP03A,Key OFF reliably cuts diesel solenoid and starter interrupt path is validated.,Retain manual diesel cutoff cable as emergency backup; normal run/stop controlled by ignition logic.
10,work_package,WP04,Mechanical Service Baseline,mechanical,queued,stripdown_cataloguing_complete,Cooling/fuel/ignition/service baseline complete with leak-free checks.,Batch-buy must-replace consumables; keep inspect-then-replace items gated to inspection findings.
