oe_position_code,part_number,description,position_or_fit,quantity,oe_dimension_or_spec,replaced_by,fabrication_use,source_url,source_type,notes
52211,90540-16043,"Cushion, Body Mounting, NO.1 Upper",Upper,2,No OD/ID/height published,,Station identity only; match physical sample before mapping to BM-SM/BM-LG,https://www.toyotapartsdeal.com/parts-list/1978-toyota-land_cruiser/body/cab_mounting_body_mounting.html,Toyota OEM dealer/EPC-style listing,
52214,52204-35010,"Cushion, Body Mount, NO.1 Lower",Lower,2,No OD/ID/height published,,Station identity only; match physical sample before mapping to BM-SM/BM-LG,https://www.toyotapartsdeal.com/parts-list/1978-toyota-land_cruiser/body/cab_mounting_body_mounting.html,Toyota OEM dealer/EPC-style listing,
52221,52202-30010,"Cushion, Body Mount, NO.2 Upper",Upper,2,No OD/ID/height published,,Station identity only; match physical sample before mapping to BM-SM/BM-LG,https://www.toyotapartsdeal.com/parts-list/1978-toyota-land_cruiser/body/cab_mounting_body_mounting.html,Toyota OEM dealer/EPC-style listing,
52224,52022-60010,"Cushion, Body Mount, NO.2 Lower",Lower,2,No OD/ID/height published,,Station identity only; match physical sample before mapping to BM-SM/BM-LG,https://www.toyotapartsdeal.com/parts-list/1978-toyota-land_cruiser/body/cab_mounting_body_mounting.html,Toyota OEM dealer/EPC-style listing,
52231,90540-17045,"Cushion, Body Mount, NO.3 Upper",Upper,2,No OD/ID/height published,,Station identity only; match physical sample before mapping to BM-SM/BM-LG,https://www.toyotapartsdeal.com/parts-list/1978-toyota-land_cruiser/body/cab_mounting_body_mounting.html,Toyota OEM dealer/EPC-style listing,
52234,52023-60010,"Cushion, Body Mount, NO.3 Lower",Lower,2,No OD/ID/height published,,Station identity only; match physical sample before mapping to BM-SM/BM-LG,https://www.toyotapartsdeal.com/parts-list/1978-toyota-land_cruiser/body/cab_mounting_body_mounting.html,Toyota OEM dealer/EPC-style listing,
52241,90540-17045,"Cushion, Body Mount, NO.4 Upper",Upper,2,No OD/ID/height published,,Station identity only; match physical sample before mapping to BM-SM/BM-LG,https://www.toyotapartsdeal.com/parts-list/1978-toyota-land_cruiser/body/cab_mounting_body_mounting.html,Toyota OEM dealer/EPC-style listing,
52244,52023-60010,"Cushion, Body Mount, NO.4 Lower",Lower,2,No OD/ID/height published,,Station identity only; match physical sample before mapping to BM-SM/BM-LG,https://www.toyotapartsdeal.com/parts-list/1978-toyota-land_cruiser/body/cab_mounting_body_mounting.html,Toyota OEM dealer/EPC-style listing,
52251,52209-60010,"Cushion, Body Mount, NO.5 Upper",Upper,2,No OD/ID/height published,,Station identity only; match physical sample before mapping to BM-SM/BM-LG,https://www.toyotapartsdeal.com/parts-list/1978-toyota-land_cruiser/body/cab_mounting_body_mounting.html,Toyota OEM dealer/EPC-style listing,
52254,52022-60010,"Cushion, Body Mount, NO.5 Lower",Lower,2,No OD/ID/height published,,Station identity only; match physical sample before mapping to BM-SM/BM-LG,https://www.toyotapartsdeal.com/parts-list/1978-toyota-land_cruiser/body/cab_mounting_body_mounting.html,Toyota OEM dealer/EPC-style listing,
52211B,90105-10053,Bolt for body mount NO.1 cushion,NO.1,2,No length/thread published on listing,,Hardware identity control; confirm final bolt length and pitch on vehicle,https://www.toyotapartsdeal.com/parts-list/1978-toyota-land_cruiser/body/cab_mounting_body_mounting.html,Toyota OEM dealer/EPC-style listing,
52221B,90105-10053,Bolt for body mount NO.2 cushion,NO.2,2,No length/thread published on listing,,Hardware identity control; confirm final bolt length and pitch on vehicle,https://www.toyotapartsdeal.com/parts-list/1978-toyota-land_cruiser/body/cab_mounting_body_mounting.html,Toyota OEM dealer/EPC-style listing,
52231B,90105-10053,Bolt for body mount NO.3 cushion,NO.3,2,No length/thread published on listing,,Hardware identity control; confirm final bolt length and pitch on vehicle,https://www.toyotapartsdeal.com/parts-list/1978-toyota-land_cruiser/body/cab_mounting_body_mounting.html,Toyota OEM dealer/EPC-style listing,
52241B,90101-10463,Bolt for body mount NO.4 cushion,NO.4,2,No length/thread published on listing,,Hardware identity control; confirm final bolt length and pitch on vehicle,https://www.toyotapartsdeal.com/parts-list/1978-toyota-land_cruiser/body/cab_mounting_body_mounting.html,Toyota OEM dealer/EPC-style listing,
52251B,90101-10463,Bolt for body mount NO.5 cushion,NO.5,2,No length/thread published on listing,,Hardware identity control; confirm final bolt length and pitch on vehicle,https://www.toyotapartsdeal.com/parts-list/1978-toyota-land_cruiser/body/cab_mounting_body_mounting.html,Toyota OEM dealer/EPC-style listing,
52211C,90560-12232,Spacer for body mounting NO.1 cushion,NO.1,2,No thickness published on listing,,Spacer identity control; measure actual spacer before reproducing,https://www.toyotapartsdeal.com/parts-list/1978-toyota-land_cruiser/body/cab_mounting_body_mounting.html,Toyota OEM dealer/EPC-style listing,
52221C,90560-12231,Spacer for body mount NO.2 cushion,NO.2,2,No thickness published on listing,,Spacer identity control; measure actual spacer before reproducing,https://www.toyotapartsdeal.com/parts-list/1978-toyota-land_cruiser/body/cab_mounting_body_mounting.html,Toyota OEM dealer/EPC-style listing,
52231C,90560-12233,Spacer for body mount NO.3 cushion,NO.3,2,No thickness published on listing,,Spacer identity control; measure actual spacer before reproducing,https://www.toyotapartsdeal.com/parts-list/1978-toyota-land_cruiser/body/cab_mounting_body_mounting.html,Toyota OEM dealer/EPC-style listing,
52241C,90560-12233,Spacer for body mount NO.4 cushion,NO.4,2,No thickness published on listing,,Spacer identity control; measure actual spacer before reproducing,https://www.toyotapartsdeal.com/parts-list/1978-toyota-land_cruiser/body/cab_mounting_body_mounting.html,Toyota OEM dealer/EPC-style listing,
52251C,90560-12234,Spacer for body mount NO.5 cushion,NO.5,2,No thickness published on listing,,Spacer identity control; measure actual spacer before reproducing,https://www.toyotapartsdeal.com/parts-list/1978-toyota-land_cruiser/body/cab_mounting_body_mounting.html,Toyota OEM dealer/EPC-style listing,
52228,52228-30010,"Holder, Body Mount Bolt Spacer, NO.2",NO.2,2,No dimensions published,52228-22010,Reuse or reproduce only after checking old holder thickness/profile,https://www.toyotapartsdeal.com/parts-list/1978-toyota-land_cruiser/body/cab_mounting_body_mounting.html,Toyota OEM dealer/EPC-style listing,
52258,52228-30010,"Holder, Body Mount Bolt Spacer, NO.5",NO.5,2,No dimensions published,52228-22010,Reuse or reproduce only after checking old holder thickness/profile,https://www.toyotapartsdeal.com/parts-list/1978-toyota-land_cruiser/body/cab_mounting_body_mounting.html,Toyota OEM dealer/EPC-style listing,
52212,52212-90310,"Spacer, Body Mounting","BJ40, FJ4#",,T=10,,Toyota-published thickness control for shim/spacer pack,https://www.toyotapartsdeal.com/parts-list/1978-toyota-land_cruiser/body/cab_mounting_body_mounting.html,Toyota OEM dealer/EPC-style listing,
52212,52216-90310,"Spacer, Body Mounting","BJ40, FJ40",,T=5.0,,Toyota-published thickness control for shim/spacer pack,https://www.toyotapartsdeal.com/parts-list/1978-toyota-land_cruiser/body/cab_mounting_body_mounting.html,Toyota OEM dealer/EPC-style listing,
52212,52217-90310,"Spacer, Body Mounting","BJ40, FJ40",,T=15,,Toyota-published thickness control for shim/spacer pack,https://www.toyotapartsdeal.com/parts-list/1978-toyota-land_cruiser/body/cab_mounting_body_mounting.html,Toyota OEM dealer/EPC-style listing,
52032,52032-90300,"Shim Sub-Assy, Cowl Body Mounting",Cowl,2,No dimensions published,,OE cowl shim identity; keep original shim pack by side,https://www.toyotapartsdeal.com/parts-list/1978-toyota-land_cruiser/body/cab_mounting_body_mounting.html,Toyota OEM dealer/EPC-style listing,
66441,52033-90301,"Shim, Mounting, NO.1",NO.1,2,No thickness shown for this row,,OE shim identity; keep original shim pack by station,https://www.toyotapartsdeal.com/parts-list/1978-toyota-land_cruiser/body/cab_mounting_body_mounting.html,Toyota OEM dealer/EPC-style listing,
66442,52033-90301,"Shim, Mounting, NO.2",NO.2,2,T=22.8,,Toyota-published thickness control; do not replace with washer stack,https://www.toyotapartsdeal.com/parts-list/1978-toyota-land_cruiser/body/cab_mounting_body_mounting.html,Toyota OEM dealer/EPC-style listing,
66442,52033-90304,"Shim, Mounting, NO.2",NO.2,2,T=27.8,,Toyota-published thickness control; do not replace with washer stack,https://www.toyotapartsdeal.com/parts-list/1978-toyota-land_cruiser/body/cab_mounting_body_mounting.html,Toyota OEM dealer/EPC-style listing,
66443,52033-90301,"Shim, Mounting, NO.3",NO.3,2,No thickness shown for this row,,OE shim identity; keep original shim pack by station,https://www.toyotapartsdeal.com/parts-list/1978-toyota-land_cruiser/body/cab_mounting_body_mounting.html,Toyota OEM dealer/EPC-style listing,
66445,52033-90305,"Shim, Mounting, Rear",Rear,4,No thickness shown for this row,,OE rear shim identity; keep original shim pack by station,https://www.toyotapartsdeal.com/parts-list/1978-toyota-land_cruiser/body/cab_mounting_body_mounting.html,Toyota OEM dealer/EPC-style listing,
66441A,90467-11003,"Clip, Mounting Shim Set",Shim set,4,No dimensions published,,Clip identity for shim retention,https://www.toyotapartsdeal.com/parts-list/1978-toyota-land_cruiser/body/cab_mounting_body_mounting.html,Toyota OEM dealer/EPC-style listing,
