Item,Qty,Where,Expected Price (PKR),Mechanic Check,Buy Now?,Why/Notes
EPS complete kit (column + ECU + shafts + U-joints + couplers + brackets + connectors + pigtails),1 complete kit,Bilal Ganj only,"54,000-136,000",Yes,YES,Only Bilal Ganj item in this plan. Buy only complete and bench-tested unit.
"Fastener Kit A-D (full hardware scope, grouped)",1 grouped order,Online,"39,150-90,400",Optional sample check,YES,Grouping avoids duplicate line confusion and mismatch of sizes.
Body mount rubber set + sleeves,1 full set,Online,"15,000-60,000",Yes,YES,Needed before tub re-fit to original mount points.
"Shim/spacer pack (M10/M12, 1/2/3/5mm)",1 pack,Online,"3,000-12,000",Yes,YES,For tub leveling/alignment on refit.
Compact covered fuse boxes (6-way),3 units,Online,"11,100-21,000",Yes,YES,Internal fuse boxes still missing.
Electrical tape (PVC 19mm) + cloth harness tape,10 + 5 rolls,Online,"4,000-13,500",No,YES,Consumables for loom finishing and service-friendly wrapping.
Firewall grommet assortment,1 kit,Online,"2,000-7,000",Yes,YES,Needed for safe pass-throughs and chafe protection.
Wire rework (25mm² split + lugs/heatshrink + labor),1 task,Local electrical workshop,"3,000-12,000",Yes,YES,Only confirmed wiring correction from last build pass.
Ignition lock security fix,1 set/service,Online + locksmith,"4,000-25,000",Yes,YES,Current key security is weak.
Heat plugs / glow plugs (engine-code matched),1 engine set,Online,"12,000-36,000",Yes,YES_AFTER_CODE,New only; buy after engine-code thread/reach confirmation.
